mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.008893758,-0.008677263,0.004923201,0.115358554,0.03502585,0.88024396,0.059678063,0.863552,0.07676994
-0.010289032,-0.007758867,0.0060167806,0.11633402,0.03547896,0.8793532,0.060330164,0.862308,0.077361844
-0.010445271,-0.008100539,0.005958152,0.11754519,0.036106616,0.877947,0.06106644,0.86084706,0.07808652
-0.010681763,-0.009547129,0.0054908562,0.1217703,0.038345236,0.87309813,0.06362485,0.85577583,0.08059936
-0.009534713,-0.00910436,0.0050797034,0.117906965,0.03633332,0.8773396,0.06124043,0.8604622,0.07829739
-0.012156758,-0.0065727346,0.007463035,0.117759824,0.03615116,0.8780344,0.061278004,0.860498,0.07822398
-0.011073403,-0.007334791,0.006593992,0.11711446,0.035855845,0.8785814,0.060837217,0.86133003,0.07783274
-0.010186773,-0.007435467,0.006095793,0.11530363,0.034947474,0.8805678,0.05970581,0.86355007,0.07674413
-0.0104299,-0.0074820146,0.006202166,0.11597972,0.03528897,0.8798046,0.060123753,0.86272573,0.07715053
-0.011118535,-0.007348895,0.0066115316,0.117255025,0.03592767,0.8784239,0.06092401,0.8611591,0.07791695
-0.010292187,-0.008641943,0.005658659,0.118537314,0.036635526,0.8767507,0.06165645,0.8596663,0.07867729
-0.009403896,-0.009073932,0.0050246865,0.11752367,0.036136776,0.87776524,0.061003514,0.86092854,0.078067936
-0.007623695,-0.010684069,0.003450836,0.117353,0.036117904,0.8776128,0.060815703,0.86122805,0.07795629
-0.010462109,-0.008099366,0.0059673227,0.11758183,0.036125198,0.87790716,0.061089292,0.86080223,0.07810848
-0.0118476935,-0.007218905,0.007040468,0.118647285,0.036630828,0.8769314,0.061798118,0.8594506,0.07875131
-0.009672001,-0.008054484,0.005578148,0.115630634,0.03513699,0.8800721,0.05987812,0.8631846,0.076937295
-0.00854452,-0.009156987,0.0045476872,0.11572677,0.03523072,0.8797321,0.05988272,0.8631286,0.07698869
-0.0075881854,-0.009971969,0.003722583,0.11551394,0.035157118,0.87979704,0.059709966,0.86343414,0.07685592
-0.007978208,-0.009222634,0.004228954,0.11458337,0.034659587,0.8809976,0.05916998,0.86453015,0.07629986
-0.008134004,-0.008481808,0.0046110367,0.11314914,0.033915877,0.8827779,0.058317333,0.86624426,0.07543842
-0.007992953,-0.008701898,0.0044486625,0.11335827,0.034028333,0.88249326,0.058436166,0.86600035,0.07556352
-0.011339325,-0.0057624727,0.007371571,0.113879606,0.034169704,0.8825237,0.0589038,0.8652007,0.075895526
-0.013332311,-0.005037967,0.008694405,0.11670173,0.03555141,0.87952113,0.06069645,0.861705,0.077598475
-0.011641569,-0.0057657547,0.0075261146,0.1145781,0.034517083,0.8817345,0.059337806,0.8643454,0.07631684
-0.0122611895,-0.00460767,0.0083173895,0.11319217,0.033783685,0.8835491,0.0585333,0.8659797,0.07548701
-0.011636518,-0.0060020126,0.0074272696,0.115141645,0.034807917,0.881052,0.05967653,0.8636685,0.07665497
