mu1,mu2,sigma1,sigma2,pi1,pi2
0.06990802,0.0092500895,0.2786352,0.12535003,0.4409344,0.5590656
0.0703444,0.008139476,0.2777416,0.12481672,0.44067737,0.55932266
0.070657,0.007081732,0.2771121,0.12446866,0.44044742,0.5595526
0.070408896,0.007448122,0.2776978,0.12486492,0.44056758,0.55943245
0.0702675,0.007767692,0.27769905,0.12478205,0.44055986,0.55944014
0.0706294,0.00684841,0.27667528,0.1240875,0.4402641,0.55973595
0.07070033,0.006724313,0.27646613,0.12393803,0.44021398,0.5597861
0.07047334,0.007386759,0.27705687,0.1243192,0.44040063,0.55959934
0.07056776,0.00729914,0.27679014,0.12412431,0.44035167,0.5596484
0.070956096,0.006490156,0.27604097,0.12367315,0.44016948,0.5598305
0.07133788,0.005289629,0.2755014,0.12344763,0.43997005,0.5600299
0.070845544,0.006485209,0.27653453,0.12407637,0.44025868,0.5597414
0.07117058,0.005826637,0.27573267,0.12354199,0.44005743,0.5599426
0.07103616,0.0061552078,0.27604246,0.12373934,0.44014463,0.55985534
0.07072906,0.0069826096,0.27677494,0.12420259,0.44036525,0.5596348
0.071661726,0.004748419,0.27489072,0.12307339,0.43984517,0.5601548
0.071144745,0.0058621317,0.27597523,0.12374761,0.44012243,0.5598776
0.07080157,0.006808862,0.2767332,0.12420845,0.4403554,0.5596446
0.0708722,0.006686315,0.27662188,0.12414693,0.4403339,0.5596661
0.0678834,0.014212593,0.28269196,0.12776226,0.44205722,0.5579428
0.06952293,0.010502264,0.27919117,0.12558499,0.44114384,0.5588562
0.07105291,0.0060395747,0.27634913,0.12403204,0.44022062,0.5597794
0.07001561,0.008392677,0.27853274,0.12532856,0.44081214,0.5591878
0.069857255,0.0094011575,0.2785114,0.12509681,0.44093558,0.55906445
0.07034989,0.00884144,0.2772266,0.12416793,0.4407003,0.55929977
0.070273876,0.009724453,0.27724668,0.1240823,0.44083285,0.55916715
0.071992114,0.006038174,0.2739351,0.122126505,0.43999606,0.560004
0.071655884,0.0068837255,0.2745085,0.12246233,0.44015187,0.5598481
0.07137208,0.007905796,0.27481163,0.12255596,0.44028723,0.55971277
0.07107578,0.005969003,0.27597573,0.123711005,0.44010958,0.5598904
0.07125051,0.0055335313,0.2754746,0.12337017,0.43996564,0.5600344
0.07138772,0.0054264218,0.27511904,0.12311213,0.4399074,0.56009257
0.070973024,0.0064568967,0.27634084,0.123954035,0.44025752,0.55974245
0.07063027,0.0073500723,0.27704507,0.12437379,0.4404648,0.5595352
0.07096003,0.006548539,0.2764074,0.12400139,0.44028762,0.5597124
0.07021904,0.008215442,0.27806792,0.12505579,0.4407265,0.55927354
0.07060987,0.0073464364,0.27712855,0.12443979,0.44047886,0.5595212
0.07130107,0.005432382,0.27569902,0.1235979,0.44003668,0.55996335
0.07064214,0.0068436116,0.2769948,0.124379866,0.44036224,0.5596378
0.070957705,0.006212011,0.27632022,0.123951145,0.44019905,0.559801
0.070428476,0.007527694,0.27716306,0.124386296,0.4404361,0.55956393
0.07082985,0.006712541,0.27631104,0.12384957,0.4402281,0.55977196
0.07177536,0.0043299943,0.27454203,0.12284285,0.43971965,0.5602804
0.07114206,0.005729273,0.27593368,0.123721056,0.44008455,0.5599155
0.071035415,0.0062158257,0.27613366,0.12381365,0.44018224,0.5598178
0.07056001,0.007415518,0.27709278,0.12438429,0.4404574,0.5595426
0.0714585,0.0052652806,0.27528384,0.123301916,0.43995917,0.56004083
0.071432516,0.0052224547,0.2753194,0.12332828,0.43994927,0.5600507
0.071198,0.0057756156,0.276008,0.1238039,0.44014138,0.5598587
0.070446596,0.0077263564,0.27745864,0.1246397,0.44056737,0.5594326
0.070032015,0.008819893,0.27822754,0.12507178,0.44079563,0.55920434
0.07019645,0.008412257,0.27791658,0.1248928,0.44070822,0.5592918
0.070347145,0.007944629,0.27764705,0.124750175,0.44061524,0.55938476
0.07065661,0.0069796294,0.27708706,0.12445378,0.44042116,0.55957884
0.070641324,0.0068175644,0.2769404,0.12433205,0.4403412,0.55965877
