mu1,mu2,sigma1,sigma2,pi1,pi2
-0.00085392594,0.24110772,0.052003395,0.30029628,0.8816658,0.1183342
-0.0009827763,0.24130647,0.05096433,0.2985432,0.8829138,0.11708618
0.0031654388,0.24290611,0.050124668,0.2970966,0.8837787,0.11622129
0.01530163,0.24601464,0.04722587,0.29134676,0.88698816,0.113011815
0.0058797747,0.24305187,0.05027846,0.29712772,0.8835801,0.11641992
-0.00037507713,0.24193008,0.049874343,0.29686466,0.88417983,0.11582018
0.0015848726,0.24318342,0.0506759,0.2985557,0.8831164,0.11688361
-0.0025494397,0.24137305,0.052169986,0.30111456,0.8815021,0.118497916
-0.0015960336,0.24152963,0.05135125,0.29948694,0.88240594,0.11759406
0.0009277016,0.24251722,0.050260957,0.29757345,0.8836251,0.11637491
0.0067729205,0.24401875,0.049558073,0.2960816,0.88433,0.11567006
0.005014956,0.24289219,0.05045036,0.29748386,0.8833717,0.116628274
0.0077139735,0.24280371,0.05083054,0.29765296,0.88291985,0.11708019
0.001633659,0.24135242,0.050098933,0.29663497,0.8839666,0.11603335
0.0036474913,0.24332254,0.049235,0.29560313,0.88483727,0.11516276
9.353459e-05,0.2421241,0.052080546,0.30084077,0.8815882,0.11841177
0.0013438612,0.24146111,0.052291762,0.30077788,0.8813705,0.11862952
0.0018288344,0.24091907,0.052395403,0.30052775,0.881273,0.11872702
-0.0019992888,0.23973219,0.052952576,0.30152956,0.8807863,0.11921369
-0.005915463,0.23896174,0.05413624,0.30384707,0.8795524,0.12044763
-0.004711777,0.23932807,0.05415516,0.3039046,0.87951267,0.12048732
-0.010154843,0.23875417,0.053281784,0.30307993,0.88059103,0.119408935
-0.004358396,0.24203466,0.050881274,0.29941,0.8830398,0.11696025
-0.006388083,0.24149294,0.052841824,0.30302155,0.88073325,0.119266726
-0.012768209,0.2394825,0.0533834,0.30400935,0.8802154,0.119784564
-0.005425006,0.24178876,0.051661536,0.30072784,0.8819612,0.11803878
-0.0030810386,0.24270017,0.049497783,0.29689968,0.8844571,0.115542896
0.008979335,0.24626018,0.0473864,0.2925992,0.8866496,0.11335042
0.01152198,0.2464573,0.046095125,0.28990158,0.88821626,0.11178376
0.018042013,0.24827974,0.044826396,0.28715992,0.88963085,0.11036914
0.017751828,0.24891882,0.04263156,0.2832037,0.89243907,0.10756091
0.014368549,0.24957131,0.04354355,0.28578633,0.8911926,0.10880736
0.015323475,0.24939264,0.044357542,0.2872217,0.89004195,0.109957986
0.02294539,0.2503699,0.043132335,0.28400636,0.8914718,0.10852817
0.02057992,0.24923535,0.043283273,0.2841046,0.891421,0.10857898
0.030688837,0.25122797,0.0428944,0.2826388,0.8917876,0.108212344
0.021171018,0.24788122,0.04409145,0.28507906,0.8906182,0.109381765
0.028068557,0.24993874,0.043328974,0.2833396,0.8914308,0.10856921
0.02515097,0.24863188,0.04408484,0.28481168,0.8906155,0.109384514
0.022059515,0.24838446,0.043734256,0.2845553,0.89112455,0.108875446
0.013736799,0.24638902,0.04754966,0.2923365,0.8865441,0.11345591
0.0030516237,0.24295063,0.049965717,0.29702383,0.8839562,0.11604382
0.0003758818,0.24260597,0.05007912,0.29735804,0.8838074,0.116192564
-0.0008507222,0.24297093,0.049443584,0.29659042,0.88455814,0.115441896
0.0007567853,0.24360986,0.05028263,0.2981586,0.88348407,0.11651592
0.010634258,0.24536838,0.04821669,0.2936355,0.88574475,0.11425525
0.007639751,0.24391304,0.04883463,0.29449174,0.88511443,0.114885576
0.011982128,0.2448753,0.048007783,0.29270118,0.8860705,0.11392951
0.013262227,0.24489103,0.048024092,0.29256752,0.88608545,0.113914594
0.006523952,0.24284817,0.05012606,0.29659918,0.8837949,0.1162051
0.008652106,0.24344005,0.049361005,0.29515713,0.884662,0.11533808
0.0055798143,0.24269952,0.050317943,0.2970751,0.8836081,0.11639192
0.004194334,0.2419302,0.051924735,0.29985848,0.881802,0.118198
-0.0057811886,0.23878668,0.054551408,0.30458644,0.8791089,0.1208911
-0.009563491,0.23832585,0.054533504,0.30489385,0.8791804,0.12081965
-0.017108902,0.23832898,0.052641384,0.3028103,0.88134116,0.11865884
-0.01356034,0.24148323,0.051822156,0.30230784,0.88188875,0.11811125
-0.0012103319,0.24386527,0.051246524,0.30039686,0.8821529,0.11784707
0.0055788904,0.243266,0.0503639,0.29736298,0.88315445,0.1168456
0.005411491,0.24252276,0.0490929,0.29455745,0.88482386,0.11517618
0.004115954,0.24319552,0.048035473,0.29303208,0.88616174,0.1138383
0.010247424,0.24542053,0.0477503,0.29263422,0.8863664,0.11363361
0.011465773,0.24626337,0.045539796,0.2888398,0.8890679,0.11093214
0.018606111,0.2492278,0.044367444,0.2867136,0.8902199,0.10978008
0.014786825,0.24846984,0.043829028,0.28600138,0.8909167,0.1090833
0.010640189,0.24683009,0.048529383,0.294831,0.88517606,0.11482392
0.00024949014,0.24178492,0.0507242,0.29813948,0.8829216,0.117078446
0.005124375,0.24358378,0.047832638,0.2926859,0.8862898,0.11371023
0.028450623,0.24867283,0.04638182,0.28863606,0.8876516,0.11234835
0.018915161,0.24469186,0.04627336,0.2883534,0.88826054,0.11173947
0.011470273,0.2442578,0.047620766,0.29167092,0.8866723,0.11332765
0.011914983,0.24501924,0.04708335,0.29098886,0.8872576,0.112742454
0.0044075847,0.24288265,0.050820157,0.2981573,0.8829762,0.11702383
-0.0017998368,0.24066956,0.05231085,0.30087143,0.8814418,0.11855821
-0.015108988,0.2372372,0.056077316,0.30784872,0.87749463,0.1225054
-0.0068345815,0.23971508,0.053813912,0.30384406,0.8798075,0.120192535
-0.0071469992,0.23969786,0.053568915,0.30351105,0.88010526,0.11989469
-0.012139395,0.23859291,0.05480759,0.305875,0.8787936,0.12120642
0.0076521486,0.2440386,0.04947124,0.29583117,0.88445276,0.115547284
0.004038304,0.24261092,0.050644387,0.29788858,0.883186,0.116814
0.0030213445,0.24187325,0.051634178,0.29943746,0.88208777,0.11791217
-0.00947164,0.23938362,0.05169741,0.30039248,0.8822928,0.1177072
0.000519976,0.24350424,0.050466523,0.2984494,0.8833459,0.11665413
0.0020467788,0.24299942,0.050299197,0.29775319,0.8834683,0.11653173
0.0009288639,0.24255247,0.050270233,0.2976222,0.88354975,0.116450235
0.003542021,0.24333493,0.049675718,0.29646,0.88420886,0.11579119
0.0041051954,0.2433234,0.04985235,0.29670435,0.8840224,0.1159776
0.0041482896,0.2430465,0.05009935,0.29700512,0.88375616,0.11624388
0.008110657,0.24368747,0.049608465,0.29578063,0.884288,0.11571204
0.013547614,0.24407591,0.0498078,0.29548886,0.88402474,0.11597526
0.008388266,0.24289854,0.04802016,0.2924872,0.88632613,0.113673836
-0.0037066191,0.2412862,0.051481068,0.29987562,0.8823904,0.11760961
0.0007929057,0.24211906,0.052064996,0.30068246,0.88158303,0.118416995
-0.0014028698,0.24085043,0.05216834,0.30068296,0.881564,0.118436016
-0.00431861,0.24028437,0.052634362,0.30162954,0.88106924,0.11893079
-0.0038926601,0.24039744,0.053058837,0.30234683,0.8805908,0.1194092
-0.0028339773,0.24022458,0.053580135,0.30306673,0.88003546,0.11996448
-0.0068277568,0.23935159,0.0530119,0.30227885,0.88077253,0.11922745
-0.0022768378,0.24123032,0.05218521,0.300932,0.88155335,0.11844666
0.008851156,0.24378382,0.049867216,0.29627284,0.884018,0.115982
-0.0021433383,0.24050124,0.052369434,0.3009818,0.8813889,0.11861112
-0.012584135,0.2389767,0.052705295,0.30248705,0.8811706,0.118829444
-0.0098967105,0.24195917,0.050165668,0.2988913,0.88384694,0.116153084
-0.00248833,0.24452545,0.04968022,0.29806155,0.8840501,0.11594994
-0.004269704,0.24372979,0.048100863,0.294976,0.88585603,0.11414396
0.012665287,0.2479022,0.047133233,0.29226097,0.8866786,0.11332137
0.017997399,0.2472439,0.04497407,0.2870067,0.88937473,0.11062529
0.02049096,0.24745499,0.045374837,0.2873085,0.8889241,0.111075915
0.021763101,0.24730326,0.044543948,0.2854813,0.8900875,0.10991249
0.029782996,0.2496114,0.043453045,0.28324172,0.8913649,0.10863519
0.03595738,0.24998783,0.044161662,0.28397515,0.89042336,0.10957662
0.016086593,0.24419753,0.04740763,0.2908025,0.886972,0.113028
0.006748289,0.24173562,0.052505866,0.30028525,0.8811588,0.11884123
0.0019803792,0.23889275,0.054769028,0.30370843,0.87884885,0.121151134
-0.024513885,0.23300101,0.057997297,0.31056765,0.8759166,0.12408341
-0.017469108,0.2374941,0.055806644,0.30784106,0.8778789,0.122121066
-0.016564354,0.2375976,0.05653369,0.30906913,0.8769225,0.123077504
-0.010509297,0.23855622,0.05596556,0.30766627,0.87745494,0.122545056
-0.0145290345,0.23693524,0.05650564,0.3084073,0.8769947,0.1230053
-0.01421386,0.23735811,0.055947866,0.30752367,0.8776067,0.122393325
-0.0038699657,0.240461,0.05262615,0.30158445,0.8810868,0.11891323
-0.0065844953,0.2396682,0.053922676,0.30397344,0.8797116,0.12028834
0.004363537,0.24242543,0.050976217,0.29832843,0.8828368,0.1171632
0.014615729,0.2448544,0.04828287,0.29294327,0.88581747,0.11418251
0.0035723299,0.24104698,0.053002317,0.30141428,0.88062596,0.119374014
-0.0047710687,0.23806192,0.055179954,0.30509728,0.87846524,0.12153474
-0.009753719,0.23728715,0.055328473,0.30574143,0.87840813,0.12159184
-0.007411316,0.23873256,0.054322556,0.30431005,0.8794012,0.12059883
-0.008358717,0.23871242,0.055029925,0.30577955,0.8786211,0.12137887
-0.011051074,0.23802944,0.055898692,0.30744627,0.87770385,0.12229617
-0.011804804,0.23777114,0.05636743,0.308189,0.8771755,0.122824505
