mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.017885007,-0.011790626,-0.23334147,0.507917,0.5350605,0.6167739,0.2887589,0.4705699,0.24067116
0.018981673,-0.013430484,-0.23627432,0.5066725,0.53400815,0.61663145,0.28837517,0.47145176,0.24017304
0.01894892,-0.013032563,-0.2365307,0.50654405,0.5339323,0.6164811,0.28821278,0.47166082,0.24012645
0.018854655,-0.01292067,-0.2362838,0.5066519,0.5340194,0.61649907,0.28825125,0.47158006,0.24016872
0.021747537,-0.016912587,-0.24306168,0.5037106,0.5316101,0.61624944,0.28741288,0.47357485,0.23901233
0.02074445,-0.014988944,-0.24137501,0.50442386,0.53223187,0.61606914,0.2874001,0.47330415,0.23929574
0.020474024,-0.014004573,-0.24037023,0.504779,0.53261906,0.6160286,0.28743258,0.47310853,0.23945889
0.021500833,-0.016111165,-0.24258031,0.5038788,0.5318023,0.6161426,0.28734982,0.47356093,0.2390893
0.021099858,-0.015356265,-0.24204089,0.5041141,0.5320018,0.6160452,0.28731224,0.47350758,0.2391802
0.020531617,-0.013796687,-0.24049534,0.50469583,0.5325881,0.6159587,0.2873506,0.47321525,0.23943415
0.020429768,-0.013690151,-0.23986007,0.50495327,0.5328138,0.61605966,0.28749344,0.47296488,0.23954174
0.021042205,-0.0150003955,-0.24126537,0.50438833,0.5322926,0.61612165,0.2874337,0.47325903,0.23930722
0.019632556,-0.012423463,-0.23811112,0.5057023,0.53344315,0.61606425,0.28765342,0.47250786,0.23983875
0.019172333,-0.011527948,-0.23647644,0.5063567,0.53403944,0.6161614,0.2878727,0.47201422,0.24011311
0.01904083,-0.012244709,-0.23601206,0.5066391,0.534163,0.6164156,0.28816462,0.47163326,0.24020214
0.01710137,-0.008758292,-0.23144867,0.5085453,0.5358286,0.6163979,0.28853872,0.47048858,0.2409727
0.018086247,-0.010358706,-0.23311614,0.5078075,0.5352245,0.61650527,0.28848112,0.47083074,0.24068817
0.01877316,-0.0123530775,-0.23505853,0.50708365,0.5344812,0.61661965,0.2884417,0.47118905,0.24036926
0.020391516,-0.015323445,-0.23947497,0.5052712,0.53287226,0.61651933,0.28798163,0.47239244,0.23962595
0.019805722,-0.014082909,-0.23880489,0.5055573,0.5331283,0.6163197,0.28786263,0.47239974,0.23973763
0.01928591,-0.013130084,-0.2374437,0.5061174,0.53362423,0.61634,0.2879955,0.47203773,0.23996681
0.017240532,-0.0099564865,-0.23236303,0.5082785,0.53545237,0.61649585,0.28858054,0.47058976,0.24082969
0.019905962,-0.014021546,-0.23806049,0.50580776,0.5334061,0.61647254,0.28804636,0.47209448,0.23985915
0.019546397,-0.0131599605,-0.23781379,0.505911,0.53350896,0.61629164,0.2879059,0.47219503,0.23989904
0.019107126,-0.01254344,-0.23667206,0.5064001,0.5339163,0.61635107,0.28806052,0.471846,0.24009348
0.020683058,-0.014316611,-0.2402096,0.5048158,0.5326774,0.61615425,0.28755027,0.47296527,0.23948452
0.019298173,-0.011976808,-0.2371117,0.5061262,0.533799,0.61614245,0.287811,0.47218016,0.24000889
0.019295268,-0.012382261,-0.23673506,0.5063105,0.5339151,0.61631685,0.2880068,0.47191653,0.24007669
0.018351085,-0.011585668,-0.23463885,0.5072789,0.5346374,0.616492,0.28836894,0.47119027,0.2404408
0.019481547,-0.013443895,-0.23727445,0.5061614,0.53368473,0.6164667,0.28811586,0.47189006,0.23999411
0.018968038,-0.012427852,-0.23638205,0.50653565,0.53401583,0.6163733,0.2881093,0.47174674,0.24014398
0.019075371,-0.011848144,-0.23636998,0.5064545,0.5340555,0.6162501,0.28797606,0.47188705,0.24013688
0.017271973,-0.009520292,-0.23189624,0.50840497,0.5356437,0.616496,0.28860137,0.47049642,0.24090226
0.017421104,-0.009754702,-0.23181893,0.5084183,0.5356715,0.6165805,0.28867823,0.47040752,0.24091427
0.017422996,-0.009793296,-0.23177035,0.5084402,0.5356874,0.6166,0.28870028,0.47037697,0.24092276
0.017774738,-0.010910541,-0.23267479,0.5081131,0.5353344,0.6167002,0.28872687,0.4704976,0.24077554
0.018706806,-0.012221076,-0.23515303,0.50705206,0.53444856,0.61656284,0.288385,0.4712615,0.24035352
0.017781116,-0.010808639,-0.23323537,0.5078874,0.5351376,0.6165578,0.28855404,0.47076556,0.24068044
0.017450713,-0.010196075,-0.23223273,0.50829643,0.53550357,0.61659825,0.2886731,0.4704777,0.2408492
0.017138623,-0.0101761,-0.23140796,0.50869185,0.53577876,0.61674106,0.2888853,0.47012037,0.24099438
0.018215649,-0.011984818,-0.23402329,0.50758886,0.5348302,0.61670387,0.28862596,0.47082257,0.24055149
0.018301941,-0.012009606,-0.23458524,0.5073544,0.5346331,0.6165979,0.2884832,0.47106114,0.24045572
0.017203577,-0.009595789,-0.2319013,0.50842863,0.5356332,0.61650646,0.28861746,0.4704787,0.24090384
0.01808586,-0.011011139,-0.23349549,0.50772774,0.5350569,0.61657697,0.2885348,0.47083318,0.24063198
0.019318439,-0.013082087,-0.23662825,0.5064144,0.5339222,0.616505,0.28820083,0.47169718,0.24010196
0.01967191,-0.0139278695,-0.23795636,0.5058998,0.5334307,0.61645186,0.2880504,0.47206855,0.23988098
0.018802203,-0.0126587525,-0.23619945,0.5066719,0.53405833,0.61645114,0.28821135,0.47160754,0.24018109
0.018049113,-0.010979496,-0.2341667,0.5074784,0.5348138,0.6164237,0.288349,0.47113088,0.24052012
0.018075667,-0.010727525,-0.23378567,0.5075916,0.534965,0.61644816,0.28839064,0.4710289,0.24058045
0.020028688,-0.01401335,-0.23829122,0.5056869,0.53333265,0.6164326,0.2879839,0.47219855,0.23981754
0.019421257,-0.013342679,-0.23751391,0.50607616,0.5335989,0.6163869,0.288028,0.47201777,0.2399543
0.021721594,-0.017215297,-0.24300788,0.50376767,0.53161323,0.61632925,0.28749853,0.473476,0.23902544
0.02133336,-0.015796132,-0.24283369,0.5037957,0.5317139,0.6160003,0.28720704,0.47374588,0.23904711
0.020849623,-0.014856607,-0.24145247,0.5043537,0.53221804,0.6160312,0.28734887,0.4733723,0.23927876
0.020230703,-0.014037982,-0.2397949,0.50506485,0.5328061,0.6161369,0.28759176,0.47284693,0.23956136
0.019415222,-0.012789398,-0.23767786,0.5059605,0.53356564,0.61622226,0.28785357,0.47222582,0.23992065
0.019803949,-0.013157196,-0.23828377,0.50566417,0.53335917,0.61621416,0.2877821,0.4724037,0.23981425
0.019633166,-0.012324095,-0.23775686,0.505827,0.5335753,0.6161164,0.28772393,0.47237915,0.23989692
0.019178249,-0.011257775,-0.23634596,0.506378,0.5340995,0.61612654,0.28784347,0.47202477,0.24013172
0.018937401,-0.011561193,-0.23555817,0.50677145,0.53435093,0.6163432,0.28812277,0.4716044,0.24027279
0.01888644,-0.011553414,-0.23550858,0.50680304,0.5343655,0.6163474,0.2881338,0.47158402,0.24028222
0.02087792,-0.016049229,-0.24041398,0.5048583,0.5325366,0.61653274,0.28790683,0.47262743,0.23946577
0.020102091,-0.014705256,-0.23965113,0.5052193,0.5328168,0.6163117,0.2877869,0.47261697,0.23959617
0.020176403,-0.014653005,-0.2397529,0.5051559,0.5327882,0.6162845,0.287748,0.47267526,0.23957679
0.022246234,-0.018001609,-0.24466486,0.5030798,0.5310209,0.61620766,0.28724733,0.47400758,0.23874508
0.021256275,-0.015943341,-0.24297126,0.50377834,0.531652,0.61599857,0.28720486,0.47376758,0.23902759
0.019484736,-0.012671366,-0.23833786,0.50567967,0.5333391,0.6160608,0.28765094,0.47254196,0.2398071
0.020505287,-0.01398471,-0.23998903,0.5049135,0.5327592,0.61610776,0.28752926,0.47294897,0.23952176
0.017863013,-0.008949719,-0.233544,0.5075634,0.5351205,0.6160655,0.288033,0.4713611,0.24060586
0.017502062,-0.008319013,-0.23156844,0.5083497,0.5358358,0.6163057,0.2884055,0.4706562,0.24093825
0.016871415,-0.0073111355,-0.2296636,0.5091439,0.5365243,0.6164188,0.2886683,0.4700707,0.241261
0.016294122,-0.007786572,-0.228179,0.5099119,0.5369951,0.61679375,0.2891709,0.46930066,0.24152845
0.016490884,-0.0084171,-0.22885709,0.5096632,0.5367349,0.61681443,0.28914154,0.46944124,0.2414172
0.017618738,-0.010775425,-0.23182015,0.5084671,0.5356374,0.6168363,0.2889207,0.47015858,0.24092071
0.017638795,-0.012068585,-0.23263891,0.5082777,0.5352824,0.6169661,0.28900972,0.47019273,0.24079756
0.016476892,-0.010111719,-0.23039253,0.5092486,0.5360992,0.61688274,0.28913537,0.46968547,0.24117917
0.017950363,-0.012105025,-0.23362269,0.5078237,0.53494924,0.61679333,0.28875908,0.4706148,0.24062608
0.017539777,-0.011761636,-0.23303373,0.50812286,0.5351473,0.6168017,0.28883165,0.4704379,0.24073046
0.017210878,-0.010046586,-0.2321118,0.50839114,0.53553647,0.6165677,0.28866833,0.47045824,0.24087346
0.017688654,-0.010430604,-0.23274364,0.5080618,0.5353259,0.6165657,0.28859448,0.4706448,0.24076071
0.019029237,-0.01228147,-0.23583986,0.50671136,0.5342223,0.6164598,0.28821895,0.4715494,0.24023166
0.019328423,-0.01277937,-0.23685016,0.5062973,0.53385735,0.6163881,0.28807038,0.4718685,0.24006113
0.018713988,-0.011644065,-0.23550461,0.50685906,0.5343498,0.616354,0.28815523,0.4715568,0.24028797
0.02027098,-0.014704883,-0.23908903,0.50538826,0.53303117,0.6164462,0.2879371,0.47237664,0.23968627
0.02017089,-0.014948256,-0.23957567,0.5052539,0.5328375,0.6163906,0.2878648,0.47252524,0.23960997
0.01944343,-0.0131348595,-0.23798181,0.5058718,0.53344214,0.616241,0.28785476,0.4722722,0.23987304
0.020177133,-0.014542766,-0.23940034,0.50527877,0.5329201,0.6163338,0.2878155,0.47254997,0.23963448
0.020408772,-0.0148214325,-0.2402019,0.50494087,0.5326361,0.6162492,0.28767,0.47283196,0.2394981
0.021666698,-0.016260006,-0.24320103,0.5036146,0.53158486,0.6160603,0.28722113,0.47379568,0.23898323
0.020885728,-0.014612332,-0.2415256,0.50429237,0.532206,0.61596185,0.28727198,0.47346526,0.23926279
0.020168163,-0.013461694,-0.23948379,0.50514245,0.53294045,0.6160629,0.28753772,0.47285405,0.23960824
0.019688241,-0.01262369,-0.23803927,0.5057348,0.5334637,0.61613125,0.28772014,0.47242808,0.23985177
0.019010283,-0.011091016,-0.2360936,0.5065018,0.5341858,0.61612624,0.28787,0.471954,0.24017602
0.01845,-0.010859527,-0.23442896,0.5072607,0.5347547,0.6163758,0.2882535,0.47128114,0.24046543
0.01847551,-0.011271723,-0.23447473,0.5072773,0.5347206,0.61646456,0.288339,0.4711992,0.2404618
0.019434981,-0.012665279,-0.23683448,0.50626385,0.5338763,0.6163743,0.2880482,0.47189185,0.24005997
0.015650727,-0.006556101,-0.22792293,0.5100579,0.53709835,0.6165033,0.28894356,0.46948335,0.24157307
