mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.0059730336,-0.013631292,-0.97721106,0.16436678,0.20484424,0.44832212,0.113295674,0.8344071,0.05229729
0.01048135,-0.01963196,-0.992078,0.1611158,0.20162612,0.44698346,0.11140131,0.8376333,0.050965376
0.009204023,-0.016963549,-0.99583226,0.16025211,0.20069659,0.44566923,0.11037302,0.83912313,0.050503846
0.012517087,-0.01845146,-1.0129006,0.15641674,0.19694862,0.44296977,0.10754058,0.843611,0.048848394
0.008636288,-0.0149657205,-0.99248284,0.16088158,0.20141722,0.44587496,0.11070812,0.8385206,0.050771296
0.01136487,-0.019182153,-0.99849457,0.15962115,0.2001797,0.44574428,0.11018846,0.8395121,0.050299417
0.009809308,-0.017787822,-0.9954209,0.16033663,0.20081824,0.44594797,0.11055539,0.83887523,0.050569326
0.0076191947,-0.014235057,-0.9895759,0.16155837,0.202045,0.44621274,0.1111341,0.8378199,0.051046014
0.008842818,-0.015298761,-0.99142855,0.16111006,0.20166864,0.44615266,0.11094142,0.83817124,0.050887328
0.012512676,-0.021348603,-1.0007889,0.15917179,0.19971997,0.4458098,0.11006427,0.8397962,0.05013954
0.0113154575,-0.019357778,-1.0047312,0.15831853,0.19876768,0.4445995,0.10910139,0.84120923,0.049689386
0.007219188,-0.014518626,-0.9873081,0.16210951,0.2025589,0.4466689,0.11158115,0.8371299,0.051289003
0.006807618,-0.012082584,-0.9869643,0.1620479,0.20259163,0.44623256,0.11131754,0.8374445,0.05123799
0.010364644,-0.017184652,-0.9934482,0.16065598,0.20127448,0.44624105,0.11082813,0.8384323,0.050739586
0.013713591,-0.022599407,-1.0067449,0.15788,0.19842228,0.44501096,0.109167546,0.8412464,0.04958605
0.008259706,-0.016071625,-0.99251384,0.16099522,0.20141605,0.44605818,0.110850394,0.8383376,0.05081202
0.0069284365,-0.013040163,-0.9867272,0.16215666,0.20266321,0.4464716,0.11148823,0.8372157,0.05129606
0.0072233602,-0.011305459,-0.9889175,0.1615267,0.20214306,0.44574136,0.11086205,0.83812934,0.051008616
0.0071557686,-0.01071123,-0.9849939,0.16233517,0.20303427,0.44636208,0.11148852,0.83712786,0.051383626
0.004340999,-0.009279378,-0.96634644,0.16660309,0.20727104,0.44942272,0.11469696,0.8320279,0.053275168
0.0029018447,-0.0071370676,-0.9620932,0.16753992,0.20819966,0.4497136,0.115189634,0.831157,0.05365337
