mu1,mu2,sigma1,sigma2,pi1,pi2
-0.0005911784,-0.000870015,0.5329379,0.5684153,0.50524276,0.49475726
-0.0008567935,-0.0017824876,0.53299063,0.5694986,0.5052235,0.49477655
-0.0011539357,-0.0015916484,0.5326808,0.5691376,0.5052849,0.4947151
-0.0012445739,-0.0015932578,0.53262174,0.5691174,0.5053023,0.4946977
-0.0017506285,-0.0037728208,0.5328208,0.5717335,0.50522965,0.49477035
-0.001981764,-0.002735536,0.5323181,0.57030153,0.5053397,0.49466035
-0.0021818085,-0.002246793,0.53199375,0.5695856,0.50540465,0.49459532
-0.0020527868,-0.003403138,0.5324627,0.5711441,0.50530577,0.4946942
-0.0021463064,-0.0029801833,0.53225327,0.570557,0.5053497,0.49465027
-0.0023306971,-0.0021418142,0.53182536,0.569385,0.50543433,0.49456564
-0.0021849228,-0.0020765471,0.5319238,0.5693522,0.5054143,0.49458572
-0.002028578,-0.0027556824,0.53225887,0.57029164,0.50534177,0.49465826
-0.0020288462,-0.0013270783,0.5318147,0.56842947,0.5054381,0.49456194
-0.0018974906,-0.0008317935,0.53176534,0.5678302,0.505449,0.49455097
-0.0014215456,-0.0011990028,0.532301,0.5685024,0.5053499,0.49465013
-0.0013442589,0.00074613513,0.5317472,0.56599313,0.50546604,0.494534
-0.001188484,-0.00010270951,0.5321351,0.5671491,0.50538224,0.49461776
-0.0008549029,-0.0011368799,0.53274846,0.56862783,0.5052598,0.49474025
-0.0009758519,-0.0027490216,0.53314966,0.57068515,0.5051711,0.49482885
-0.00130725,-0.0021154243,0.53268903,0.56974435,0.50527054,0.4947295
-0.0014508208,-0.0016852426,0.53246045,0.569148,0.5053272,0.4946728
-0.0013002986,-1.2646895e-05,0.5320973,0.5670495,0.50542015,0.49457982
-0.0014527021,-0.0022302675,0.5326319,0.5698602,0.50529134,0.49470863
-0.0015846984,-0.0016915756,0.5323303,0.5690919,0.5053455,0.49465448
-0.0015366329,-0.0013850438,0.532287,0.56871897,0.5053602,0.4946398
-0.0018683923,-0.002324115,0.5322475,0.5697806,0.5053427,0.49465728
-0.0017966749,-0.0010288018,0.5319107,0.5681241,0.5054192,0.49458086
-0.0015519587,-0.0012611705,0.5322046,0.56852996,0.505366,0.49463394
-0.0012092004,-0.000822674,0.53238195,0.5681062,0.5053436,0.49465635
-0.0012739515,-0.0018325555,0.53263384,0.56939155,0.5052849,0.49471506
-0.0013794424,-0.0012706774,0.5323666,0.56861717,0.50533944,0.4946606
-0.0016248627,-0.0009572315,0.5320348,0.568097,0.5053962,0.49460378
-0.0012128064,0.0003044349,0.53201807,0.56663215,0.5054185,0.49458152
-0.0010734992,0.00019827904,0.53216016,0.5668167,0.50538725,0.49461275
-0.0009399662,0.00023185136,0.5322457,0.56681174,0.505365,0.49463496
-0.0007157149,-0.00035614846,0.5326293,0.5676688,0.5052907,0.4947093
-0.000887339,-0.0010466683,0.53268164,0.56848997,0.50526935,0.49473068
-0.00088280905,-0.0002937275,0.53246665,0.5675229,0.5053218,0.49467823
-0.00089434814,7.663388e-06,0.53237253,0.5671334,0.5053455,0.4946545
-0.00068642106,9.131618e-07,0.53257126,0.56723565,0.5053145,0.49468547
-0.0007584179,-0.000986095,0.53281444,0.5684902,0.5052593,0.49474075
-0.00090999994,-0.0010006535,0.53268665,0.5684488,0.50528234,0.4947177
-0.0011069151,0.00029735686,0.53210694,0.5666794,0.5054003,0.4945997
-0.001064281,-0.00048401533,0.53238523,0.56771064,0.50534064,0.4946594
-0.0010983394,-0.0015692371,0.53267676,0.56909835,0.50527024,0.49472976
-0.0011421433,-0.0020321864,0.53279316,0.5696918,0.5052477,0.4947523
-0.0011961283,-0.0013928222,0.5325771,0.56885815,0.50530416,0.49469584
-0.0013539931,-0.0005222219,0.5321746,0.5676664,0.5053888,0.49461117
-0.0013653068,-0.0003849226,0.5321089,0.56747407,0.50539774,0.49460223
-0.0013606576,-0.0021367627,0.53263855,0.56974345,0.5052759,0.49472412
-0.0013161236,-0.0017498392,0.53256744,0.5692642,0.5052966,0.49470344
-0.0015336266,-0.0038979608,0.5330481,0.5719833,0.5051867,0.49481335
-0.0020329608,-0.0031388062,0.5323853,0.5707978,0.5053184,0.49468157
-0.0021405993,-0.0027024555,0.5321786,0.57020146,0.5053686,0.49463144
-0.002038681,-0.0022917944,0.5321531,0.5697159,0.50538224,0.49461776
-0.0019225487,-0.001621108,0.5320491,0.56889045,0.50540954,0.49459046
-0.0019396404,-0.001797508,0.5320654,0.5690967,0.50539654,0.49460346
-0.0020120488,-0.0012858021,0.5318091,0.5683772,0.505437,0.494563
-0.0019189911,-0.0006521302,0.5316663,0.5675707,0.5054606,0.49453944
-0.0014781198,-0.0007777321,0.5320893,0.56790936,0.5053822,0.49461782
-0.0013514822,-0.0007199156,0.5321665,0.5678738,0.5053635,0.49463648
-0.0010603471,-0.003182243,0.53321254,0.57121855,0.5051556,0.49484435
-0.0013355603,-0.0024669128,0.53277814,0.5701947,0.50525206,0.49474794
-0.0015828116,-0.0025365907,0.53261304,0.57020754,0.5052912,0.49470875
-0.0018564798,-0.004404168,0.53295076,0.57253546,0.5052081,0.49479195
-0.0021998985,-0.003332268,0.5323446,0.5710071,0.50534004,0.49466
-0.0022653593,-0.0016171443,0.53178287,0.56877255,0.5054696,0.4945304
-0.0022778166,-0.002321716,0.53195703,0.5696618,0.50541866,0.49458137
-0.0021993602,0.00049484195,0.53112155,0.56600857,0.50559133,0.4944087
-0.00177659,0.00090405764,0.5313276,0.5656208,0.5055462,0.49445385
-0.001324798,0.0016046059,0.5314436,0.5648496,0.50551206,0.4944879
-0.0004962096,0.0014341068,0.5322194,0.56539977,0.5053693,0.49463066
-0.00027294178,0.0011700732,0.53247696,0.56581724,0.50531304,0.494687
-0.00016092975,-9.816466e-05,0.5329828,0.5675185,0.50521195,0.49478802
6.678235e-05,-0.0008531171,0.53346586,0.5686262,0.5051329,0.49486712
-0.00017941836,0.00013122382,0.53298116,0.5672736,0.5052442,0.49475577
-0.0005621156,-0.0010351944,0.53302985,0.56865275,0.5052295,0.49477053
-0.00060383324,-0.00090255914,0.53297627,0.5684805,0.5052489,0.49475113
-0.0010959981,-9.919982e-06,0.5322489,0.56710917,0.50538385,0.49461618
-0.0011743968,-0.00022418378,0.53223187,0.56734556,0.5053794,0.49462068
-0.001280955,-0.0011777836,0.53240186,0.56852007,0.50532657,0.49467343
-0.0012983037,-0.001410197,0.5324478,0.56880784,0.50531185,0.49468815
-0.0013318798,-0.0007918882,0.5322292,0.5679917,0.5053593,0.49464068
-0.0012492603,-0.002483006,0.53284085,0.5702377,0.5052345,0.49476558
-0.0012943549,-0.0026330757,0.5328711,0.5704319,0.5052352,0.49476483
-0.0016372846,-0.0017009485,0.53229755,0.56909037,0.5053549,0.49464512
-0.0016344273,-0.0025230306,0.53256744,0.5701718,0.50530094,0.4946991
-0.0017688749,-0.0026766467,0.53249586,0.5703171,0.50531155,0.49468845
-0.0021265177,-0.0034585553,0.5324034,0.5711783,0.5053118,0.49468824
-0.002274339,-0.0025687474,0.5320048,0.5699627,0.5053963,0.49460372
-0.0021705283,-0.001965772,0.53191483,0.5692228,0.5054216,0.49457842
-0.0020438964,-0.0014902013,0.5318662,0.5686458,0.5054317,0.4945683
-0.0019808142,-0.0006033289,0.5316167,0.5674964,0.5054768,0.4945232
-0.0015011197,-0.0004400569,0.53198206,0.56747365,0.50541145,0.49458858
-0.0012439629,-0.0006120759,0.5322483,0.5677915,0.5053572,0.49464276
-0.0013056146,-0.0013223845,0.53239334,0.5686759,0.5053156,0.49468446
-0.0010273168,0.002014969,0.5316113,0.56446135,0.5054984,0.49450162
-0.0007210346,4.7062058e-05,0.53251857,0.56715614,0.5053218,0.4946782
-0.00045080762,3.014924e-05,0.5327484,0.56727767,0.505276,0.494724
-0.0005772086,-0.0011307108,0.53300697,0.5687433,0.50521904,0.49478093
-0.00063117873,0.0017723483,0.5320668,0.56495726,0.50542486,0.4945752
-0.0006221263,-0.0008851099,0.5329328,0.5684349,0.50524944,0.49475062
-0.0007788325,-0.0005066055,0.53265107,0.5678606,0.5052954,0.49470463
-0.0009253146,-0.0020198482,0.5330052,0.56978106,0.50521845,0.49478158
-0.001133577,-0.0027865577,0.53307545,0.570708,0.505202,0.49479803
-0.0013184706,-0.00265881,0.53291243,0.5704943,0.50524604,0.49475402
-0.0020463606,-0.0026346105,0.53223825,0.57014954,0.505358,0.49464205
-0.001929163,-0.0018763947,0.53212374,0.56922114,0.50539356,0.49460647
-0.001907072,-0.0016978192,0.5320778,0.5689904,0.50540054,0.4945995
-0.001711716,-0.001505475,0.5321847,0.56881523,0.50538194,0.49461812
-0.002096939,-0.0012001055,0.5316889,0.568218,0.5054531,0.49454695
-0.0016739825,-0.0012994367,0.53209126,0.5685178,0.5053798,0.49462023
-0.0016345764,-0.001159932,0.5320627,0.568338,0.5053798,0.49462026
-0.0013473416,-0.0009945738,0.53227425,0.56824607,0.5053474,0.4946526
-0.0011589369,-0.0012348997,0.5325278,0.5686442,0.5053037,0.49469635
-0.0012126891,-0.0024437117,0.53286386,0.57020336,0.50523186,0.49476817
-0.0013968451,-0.002205606,0.5326464,0.5698316,0.5052799,0.49472013
-0.0015723007,-0.0012462395,0.53221196,0.56852347,0.5053751,0.49462494
-0.0015773317,-0.0011869776,0.532188,0.5684435,0.5053797,0.49462032
-0.00149919,-0.0005813348,0.53205645,0.5676785,0.50540626,0.49459377
-0.0014799805,-0.000985946,0.5321768,0.5681968,0.5053724,0.49462762
-0.0013369219,-0.00043801544,0.5321204,0.5675333,0.50538486,0.49461514
-0.0012493106,-0.00052780984,0.53221554,0.5676785,0.50536346,0.49463657
-0.0011569643,-0.0003540921,0.5322329,0.5674829,0.50535905,0.49464098
-0.0010565678,-0.0010416466,0.53253627,0.5684188,0.5052971,0.4947029
-0.0008865213,-0.0012470144,0.53277063,0.5687696,0.5052599,0.49474013
-0.00097189005,-0.0012429315,0.53271353,0.5687434,0.5052767,0.49472332
-0.0011978438,-0.0012386697,0.53251785,0.5686498,0.5053133,0.49468675
-0.0012599649,-0.0009780186,0.5323878,0.5682894,0.50534153,0.4946585
-0.0013754023,-0.001435067,0.53241956,0.5688317,0.50532746,0.49467257
-0.0013409415,-0.00093984185,0.53229725,0.5682018,0.5053556,0.49464437
-0.0014050258,-0.0011220383,0.53228855,0.5684067,0.50535196,0.494648
-0.0013988717,-0.001290183,0.53233826,0.5686224,0.50533843,0.4946616
-0.0014301622,-0.0011227536,0.53225213,0.56838715,0.50535357,0.49464646
-0.0013490217,-0.001703422,0.5325092,0.56917983,0.5053025,0.49469757
-0.0013378961,-0.0014742273,0.532457,0.5688923,0.5053177,0.49468237
-0.0013699243,-0.0012185234,0.53235835,0.5685528,0.5053414,0.49465862
-0.001381292,-0.0010148245,0.53228545,0.5682833,0.50535697,0.494643
-0.0014070524,-0.0012302059,0.53232116,0.5685473,0.50534517,0.4946549
-0.0013742456,-0.0018746513,0.532549,0.56939906,0.5052963,0.49470368
-0.0015104907,-0.0018737125,0.53242713,0.5693415,0.5053175,0.49468246
-0.0015742453,-0.0019026357,0.53238726,0.5693586,0.5053268,0.49467325
-0.0015907073,-0.001568656,0.5322761,0.5689218,0.50535303,0.49464697
-0.0016382886,-0.0018217224,0.5323088,0.5692294,0.50534284,0.49465722
-0.0015598228,-0.0016774642,0.5323385,0.5690771,0.50534105,0.49465892
-0.0016302997,-0.0024445164,0.5325109,0.5700456,0.5052998,0.49470022
-0.0017894609,-0.0028730142,0.5325016,0.57053864,0.5052956,0.49470446
-0.0019270135,-0.0019517797,0.532107,0.5692905,0.50538135,0.49461865
-0.001907493,-0.0016860026,0.5320426,0.56895286,0.50539637,0.49460363
-0.0017842455,-0.0023184377,0.53234154,0.56982267,0.50533336,0.4946666
-0.0017877119,-0.0019472498,0.53222144,0.5693362,0.5053587,0.49464133
-0.0016837073,0.00031021656,0.5316189,0.56644666,0.50549567,0.49450436
-0.0014227657,0.001262207,0.5315287,0.5652997,0.5055149,0.4944851
-0.0010025026,0.0011664522,0.5318932,0.5655685,0.5054367,0.49456328
-0.0007858882,-0.00082411943,0.53268117,0.56822675,0.50526506,0.49473497
-0.00063730124,-0.0006464231,0.5327615,0.5680589,0.50525445,0.4947456
-0.00054808985,0.00040084543,0.5325465,0.5667561,0.50531614,0.49468383
-0.00060741697,0.0003852588,0.5325099,0.56676,0.50532615,0.49467385
-0.00051901024,0.0013812822,0.5322719,0.56549865,0.5053784,0.4946216
-0.00024201255,0.0009610397,0.53266007,0.566165,0.5053087,0.49469128
-0.0002311701,-0.00052146195,0.5331348,0.5680988,0.5052077,0.49479225
-0.00063459296,-4.2873435e-06,0.5325979,0.56724876,0.5053027,0.49469733
-0.0009333277,-0.0012883353,0.5327321,0.5687973,0.5052628,0.49473718
-0.0010460028,-0.0005969661,0.5324205,0.5678537,0.5053275,0.49467245
-0.00084462296,-0.0013389844,0.5328624,0.56892496,0.50525135,0.4947487
