mu1,mu2,sigma1,sigma2,pi1,pi2
0.00024713762,-0.002402803,0.3284533,0.41477528,0.51807624,0.48192373
-0.00034696423,-0.005258074,0.328635,0.4173599,0.51789564,0.48210436
-0.00061355345,-0.0037955847,0.32759088,0.41513088,0.5181257,0.48187432
-0.0012332704,-0.004005244,0.3264929,0.4144711,0.51820725,0.48179275
-0.00032214634,-0.0025690403,0.32740512,0.414068,0.51815987,0.48184016
-0.00043722428,-0.004626205,0.327989,0.41632527,0.51795554,0.48204446
-0.00037408434,-0.004091641,0.3279131,0.4156977,0.51802045,0.48197952
-0.00026000477,-0.0024410393,0.32752055,0.4139944,0.5181759,0.48182413
-0.00024483912,-0.0027418043,0.32760066,0.4144171,0.5181184,0.4818816
-0.0005028527,-0.0057338085,0.32833707,0.4175378,0.5178552,0.4821448
-0.0007975977,-0.004799595,0.32751313,0.41588515,0.5180481,0.4819519
-0.00031767972,-0.0028435197,0.327764,0.4144793,0.518169,0.481831
-0.00024184398,-0.0011992361,0.32710332,0.4126848,0.5182945,0.48170546
-0.00020104833,-0.0034719016,0.3278923,0.4153766,0.51800895,0.4819911
-0.00061378814,-0.00610896,0.32815886,0.41769168,0.5178294,0.4821706
-0.00032834522,-0.0034429934,0.3277931,0.41496235,0.5180996,0.48190042
-0.00023528747,-0.0018569138,0.3274271,0.4134434,0.5182378,0.4817622
-9.2307106e-05,-0.00041042827,0.32679626,0.41186422,0.5183116,0.48168835
0.00047503226,0.00028673746,0.3270904,0.41166857,0.5182132,0.48178682
0.001526596,0.00076685287,0.3284672,0.41245663,0.51802164,0.48197836
0.0018640514,0.0019340906,0.32836172,0.41139483,0.5180584,0.48194155
0.0012915824,-0.0031326916,0.32947332,0.41657564,0.517643,0.48235705
0.00059416704,-0.0036161449,0.32854623,0.41590646,0.51779133,0.4822087
0.000483023,-0.0042396393,0.32912096,0.41679922,0.51780814,0.48219186
0.0005509462,-0.0044963863,0.32989332,0.4175716,0.517826,0.48217395
-0.00017180108,-0.0042095985,0.3288691,0.41644782,0.5180361,0.4819639
-0.0009200331,-0.00597932,0.32846507,0.41765735,0.5180071,0.48199293
-0.0014324356,-0.005348971,0.32731044,0.4161247,0.5181827,0.4818173
-0.0015337486,-0.004233977,0.32657886,0.41465557,0.518299,0.48170102
-0.0015580151,-0.005503526,0.32684016,0.4160381,0.5181371,0.4818629
-0.0020630676,-0.0075923707,0.32659987,0.4175329,0.51801324,0.4819868
-0.0015208963,-0.006973734,0.32748505,0.4176065,0.5180085,0.4819916
-0.0017491076,-0.0069896486,0.32733655,0.41745692,0.518079,0.48192108
-0.00200315,-0.008079043,0.32752928,0.4185288,0.518033,0.48196697
-0.0021958817,-0.007700434,0.3272035,0.41788054,0.5181342,0.48186582
-0.0023184698,-0.0056967046,0.32619694,0.41539446,0.5183638,0.4816363
-0.0021010544,-0.00697439,0.3270075,0.41729453,0.51815444,0.4818456
-0.0019614492,-0.0045867767,0.32604805,0.41445988,0.5183621,0.48163795
-0.0019103307,-0.004501423,0.32579878,0.4143297,0.51831114,0.48168886
-0.0017556231,-0.007536849,0.32708934,0.41798314,0.51794076,0.4820592
-0.0010485891,-0.0029468145,0.3264523,0.41341394,0.51830935,0.48169068
-0.0009272117,-0.004565051,0.32736132,0.41571844,0.5180867,0.48191336
-0.0010183994,-0.006374201,0.32788154,0.41760406,0.5179224,0.48207757
-0.0009902883,-0.0059940126,0.32799056,0.41723478,0.51799715,0.48200288
-0.0013888571,-0.0073838737,0.3281587,0.41851744,0.51796097,0.48203903
-0.0019087587,-0.0062492397,0.32691514,0.41645604,0.5182058,0.4817942
-0.0015998911,-0.0052709486,0.3271362,0.41590938,0.51823753,0.4817625
-0.001810791,-0.005007794,0.32645497,0.41520974,0.5182759,0.4817241
-0.0015180875,-0.0037211087,0.32614848,0.41394737,0.518316,0.481684
-0.0002915021,-0.001045784,0.32694972,0.41247618,0.51831245,0.48168755
-0.00035962276,-0.0005083885,0.32609284,0.41147044,0.51831466,0.48168534
0.00050399266,8.721091e-05,0.32689494,0.4117202,0.518152,0.48184806
0.001721656,0.0033677612,0.32730606,0.40935943,0.51821506,0.48178497
0.0024460535,0.003667811,0.32814324,0.4099456,0.5180511,0.48194894
0.0031692702,0.002811322,0.32957792,0.41184214,0.5178001,0.48219994
0.0027128104,-0.0011991765,0.33060256,0.41591492,0.5175078,0.4824922
0.0020654555,-0.0025604274,0.33047843,0.4166589,0.5175817,0.4824183
0.001816703,0.00040487386,0.32935977,0.41311854,0.51800716,0.48199284
0.0017442983,0.0013814662,0.32906526,0.4122409,0.5181128,0.4818872
0.0014245342,-0.00078104995,0.32931834,0.41438115,0.5179243,0.48207572
0.0011915211,-0.0014036503,0.32909346,0.4146385,0.5179133,0.48208675
0.0011360887,-0.0005310979,0.32869408,0.41353524,0.51802737,0.48197266
0.000190055,-0.0044144597,0.32867214,0.41680184,0.51781046,0.4821895
-0.0002591554,-0.004281154,0.32789263,0.41584325,0.5179527,0.48204738
-0.0014930982,-0.012510916,0.32963184,0.42418864,0.5173955,0.4826045
