mu1,mu2,sigma1,sigma2,pi1,pi2
-2.7320348e-06,-0.018894851,0.56159747,0.57934016,0.5859288,0.41407117
-0.00037302496,-0.0164264,0.5626209,0.5801621,0.5851748,0.41482517
-0.00015638443,-0.016733214,0.56250656,0.58011436,0.58525205,0.41474795
-0.00016049528,-0.016911052,0.56242985,0.5800465,0.5853194,0.41468057
-0.0012200526,-0.011338651,0.5647281,0.58184016,0.58362085,0.41637918
-0.0005080071,-0.01354599,0.563839,0.5812233,0.58426493,0.4157351
-0.00029779365,-0.015014939,0.5632279,0.58073574,0.5847123,0.41528773
-0.0009680833,-0.012303658,0.5643346,0.58155686,0.58390516,0.4160948
-0.0006494508,-0.013093837,0.56402117,0.5813551,0.5841324,0.41586763
-0.00022023963,-0.0152408555,0.56313735,0.5806763,0.5847769,0.41522315
-0.0002909149,-0.015621632,0.5629695,0.5805105,0.5849035,0.41509652
-0.0006767032,-0.013906226,0.5636723,0.5810401,0.58439046,0.41560957
0.00011595106,-0.017276786,0.5622951,0.5800034,0.5853983,0.4146017
0.00024496252,-0.018808268,0.5616525,0.57946444,0.5858738,0.41412622
-6.207777e-05,-0.0180403,0.5619564,0.5796569,0.5856563,0.41434368
0.0009837314,-0.022717558,0.5600464,0.578201,0.5870592,0.4129408
0.0003598067,-0.020966642,0.5607431,0.57867897,0.58655125,0.41344872
-0.00017351797,-0.018191084,0.56188405,0.57955945,0.5857156,0.41428444
-0.0008737636,-0.013852343,0.56368107,0.580984,0.5843956,0.4156044
-0.000347652,-0.015125439,0.56317765,0.58066434,0.5847569,0.41524312
-0.00013678102,-0.0164693,0.56262046,0.5802231,0.58516556,0.41483444
0.0006713816,-0.020903341,0.5607937,0.57878894,0.5865132,0.41348678
-0.00060651405,-0.015629679,0.56294256,0.5804021,0.5849352,0.41506487
-0.00016627694,-0.016458549,0.5626226,0.580221,0.5851634,0.41483656
-4.0913466e-05,-0.017401561,0.5622297,0.5799012,0.58546376,0.41453624
-0.00051142694,-0.014972813,0.56322974,0.5806844,0.58471686,0.41528317
0.0002000737,-0.01805789,0.5619688,0.57973033,0.5856408,0.4143592
-4.4048298e-05,-0.01778353,0.56206715,0.5797596,0.5855733,0.4144267
0.00015912531,-0.018869735,0.56162024,0.5794056,0.5859038,0.4140962
-0.00037170714,-0.016359143,0.5626495,0.58019495,0.58514875,0.41485128
7.5935386e-06,-0.017576069,0.5621593,0.5798482,0.5855133,0.41448674
0.00016326783,-0.018400177,0.5618203,0.5795895,0.5857525,0.41424754
0.0007246458,-0.02174884,0.5604384,0.57848895,0.5867724,0.41322765
0.0005549933,-0.02168487,0.5604526,0.57846415,0.58676463,0.41323537
0.0005477355,-0.02168487,0.5604521,0.5784604,0.58676577,0.41323423
0.00021140603,-0.020213313,0.5610524,0.57891124,0.58633006,0.4136699
-6.518932e-05,-0.01825437,0.5618654,0.5795678,0.5857273,0.41427273
0.0003903634,-0.020042486,0.5611389,0.5790275,0.5862595,0.41374055
0.00050230185,-0.02099549,0.560742,0.57870317,0.5865522,0.41344783
0.00044171466,-0.02111835,0.5606851,0.57863754,0.5865963,0.4134037
-5.8796722e-05,-0.018601865,0.5617179,0.5794373,0.5858375,0.41416258
3.2251235e-05,-0.018364325,0.56182575,0.5795535,0.5857603,0.41423973
0.00074398937,-0.021585248,0.5605096,0.5785533,0.58672017,0.41327986
0.00020932546,-0.01994744,0.56116533,0.579015,0.5862412,0.41375878
-0.00030839024,-0.017019838,0.5623727,0.57996297,0.585354,0.4146461
-0.00044191396,-0.01562731,0.56295633,0.58044684,0.5849234,0.41507664
-4.175445e-05,-0.017196156,0.56231797,0.5799742,0.58539104,0.41460896
0.0003903075,-0.019542828,0.56135136,0.57922095,0.5860994,0.41390058
0.00037217932,-0.02009543,0.56111467,0.5790102,0.58627456,0.41372547
-0.00057339156,-0.01569464,0.56291735,0.580387,0.5849531,0.41504693
-0.00023805676,-0.016283482,0.562692,0.5802622,0.5851148,0.4148852
-0.0013144114,-0.010997847,0.5648664,0.5819351,0.5835293,0.41647068
-0.00069063855,-0.012419872,0.5643062,0.5815945,0.583921,0.416079
-0.0005026241,-0.01380077,0.5637306,0.5811316,0.58434355,0.41565642
-0.00034977915,-0.015018821,0.5632224,0.58071667,0.58471835,0.41528162
-5.5319164e-05,-0.016797975,0.5624862,0.58013207,0.58526015,0.41473988
-0.00020770403,-0.016447164,0.5626238,0.58022016,0.58516353,0.41483644
5.9692655e-05,-0.017584004,0.5621598,0.57987285,0.5854993,0.4145007
0.0003194739,-0.019218624,0.5614834,0.5793332,0.5859976,0.41400248
0.00013553491,-0.01905065,0.5615412,0.57933664,0.5859605,0.4140395
0.00016769068,-0.019067764,0.56153643,0.57933724,0.58596444,0.41403556
-0.0011335188,-0.012949169,0.56404686,0.5812481,0.58412886,0.41587117
-0.00050088903,-0.01419206,0.5635643,0.580971,0.5844727,0.41552725
-0.00052413484,-0.01426696,0.5635303,0.5809401,0.58449656,0.4155034
-0.0014454094,-0.009655394,0.5654308,0.58240855,0.58310425,0.41689578
-0.00070713786,-0.012033083,0.5644701,0.58173823,0.5837986,0.4162014
0.00010002451,-0.016621508,0.5625731,0.5802474,0.5851912,0.41480884
-0.00042532058,-0.015217826,0.56313145,0.5806238,0.58478653,0.41521344
0.0010390491,-0.02202934,0.56034267,0.5784861,0.5868333,0.41316676
0.0009585344,-0.023587309,0.5596745,0.57787776,0.5873321,0.4126679
0.0012738421,-0.024682626,0.5588621,0.5775306,0.58810925,0.41189072
0.0009817216,-0.024676219,0.55904204,0.57745194,0.58789,0.41210994
0.00082232105,-0.024073757,0.5594584,0.577638,0.587503,0.412497
0.00018477766,-0.02080167,0.5608005,0.5786765,0.5865174,0.41348264
-0.00010141684,-0.018744856,0.5616543,0.57935935,0.5858905,0.41410953
0.0005582464,-0.02112604,0.560691,0.57865745,0.58660054,0.41339943
-6.71898e-05,-0.018469207,0.56177396,0.5794804,0.5857977,0.41420224
7.569464e-05,-0.01876384,0.5616586,0.57940936,0.5858967,0.4141033
0.00060703466,-0.02090925,0.5607864,0.57876647,0.58652025,0.41347978
0.00039774878,-0.020616204,0.5608949,0.5788192,0.58644307,0.41355696
-9.859027e-05,-0.018090762,0.56193227,0.57962555,0.5856757,0.4143243
-0.00014917227,-0.01726541,0.5622801,0.57992023,0.5854185,0.41458145
0.00020750379,-0.018752389,0.5616738,0.5794653,0.58586246,0.4141376
-0.0007223417,-0.014699243,0.5633308,0.580715,0.5846502,0.41534984
-0.00064961566,-0.014018603,0.56362677,0.5809921,0.5844329,0.41556713
-8.222042e-05,-0.016309798,0.56269246,0.580302,0.58510983,0.4148902
-0.0005879677,-0.014567591,0.563397,0.5808099,0.58459604,0.415404
-0.0005963822,-0.014037013,0.5636225,0.5810087,0.5844333,0.4155667
-0.00093424926,-0.011969931,0.5644797,0.5816945,0.5837961,0.41620395
-0.0004131631,-0.0140699,0.56362236,0.58105975,0.58442086,0.41557917
-0.00018764334,-0.015818782,0.56289333,0.580466,0.5849584,0.41504166
-1.9256491e-05,-0.017124012,0.56234974,0.5800228,0.58535963,0.4146404
0.00037949393,-0.019361638,0.5614271,0.5792974,0.5860382,0.4139619
0.0003180434,-0.019972883,0.5611625,0.57904387,0.5862385,0.4137615
0.00018629106,-0.019492403,0.5613571,0.5791821,0.58609915,0.41390085
-0.00015373854,-0.017555133,0.5621562,0.5798111,0.58551013,0.41448984
0.0017597289,-0.024714746,0.55857515,0.577625,0.5884679,0.41153213
0.00028166687,-0.021614514,0.5604618,0.57840675,0.5867645,0.41323552
0.0003750953,-0.021122992,0.5606783,0.5786124,0.58660436,0.41339564
-0.00017033191,-0.018131644,0.5619099,0.57957715,0.58569866,0.41430134
0.0015577297,-0.024465106,0.5588857,0.57766753,0.58813876,0.4118612
-0.0001686546,-0.019236982,0.5614391,0.57916284,0.5860509,0.4139491
0.00023300527,-0.01956249,0.5613314,0.5791582,0.58612084,0.41387922
-0.00053562457,-0.015855983,0.56285185,0.5803281,0.58500487,0.4149951
-0.0007756674,-0.013671264,0.56376576,0.5810819,0.58433086,0.41566914
-0.0006039967,-0.014022425,0.5636278,0.58100075,0.5844486,0.41555145
-0.00049257604,-0.01397346,0.5636577,0.5810678,0.5843982,0.41560182
-0.00015432062,-0.016057946,0.56279415,0.5803808,0.58503354,0.4149665
