mu1,mu2,sigma1,sigma2,pi1,pi2
0.0029373178,-0.00046247244,0.3603043,0.4688234,0.7820443,0.21795572
0.00097534526,0.00049847364,0.36311722,0.46961766,0.7790327,0.22096728
0.00257307,0.000780046,0.36211848,0.46986264,0.78021204,0.21978801
0.002430427,0.00094109774,0.36239424,0.47005093,0.77992964,0.22007039
0.0030281106,0.00010827184,0.36086062,0.46932068,0.78148675,0.21851327
0.0013690749,0.00051015615,0.36276796,0.46965003,0.77941954,0.22058049
0.002051727,0.00061511993,0.36236563,0.46972537,0.7799123,0.22008772
0.0032509053,9.5397234e-05,0.36069876,0.4693031,0.7816887,0.21831131
0.0027678246,4.7326088e-05,0.36098406,0.46926358,0.78132147,0.21867852
0.00058243144,0.0008275509,0.36384127,0.46990344,0.778271,0.22172901
0.0018690517,0.0010947287,0.3631447,0.4701382,0.77914673,0.2208532
0.0031234017,0.00019210577,0.36094472,0.46937418,0.78143734,0.21856265
0.0040353015,-0.00032013655,0.35946476,0.46896753,0.78296447,0.21703556
0.0019032238,1.0460615e-05,0.36164308,0.4692377,0.7805626,0.21943745
0.00034126732,0.0010411739,0.36434492,0.47009012,0.77776724,0.2222327
0.0027574347,0.0006123781,0.3618059,0.4697138,0.78056073,0.21943924
0.003682157,-6.41942e-05,0.36010495,0.46916372,0.78230166,0.21769837
0.0042877514,-0.0006210804,0.35885727,0.46873507,0.7835845,0.21641552
0.004128852,-0.0012398958,0.3582279,0.46822774,0.78418267,0.21581738
0.0038949838,-0.0018541813,0.35769463,0.467668,0.7846632,0.21533683
0.004665576,-0.0020291507,0.35682517,0.4675055,0.7855884,0.21441156
0.000973138,-0.0005519688,0.3617179,0.46870375,0.7803378,0.21966222
0.0016176188,0.00033256412,0.36241388,0.469466,0.7798161,0.22018394
0.0014992403,0.00024724007,0.3624522,0.4693828,0.7797797,0.22022031
0.001588718,9.658933e-05,0.3622049,0.46922833,0.78002596,0.21997403
0.002283671,0.00034338236,0.36189058,0.46946606,0.7804177,0.21958235
0.0011750562,0.0009876788,0.36358196,0.4700263,0.7786138,0.22138621
0.0019704113,0.0012133121,0.36319822,0.47025338,0.7791108,0.22088923
0.0026903609,0.0010285378,0.36229587,0.47011635,0.7800601,0.21993992
0.0014783042,0.0013492703,0.36367494,0.47038168,0.77853745,0.22146253
0.00020710845,0.0022481978,0.3659291,0.47114536,0.77619916,0.22380085
0.00082882587,0.0020032227,0.36515477,0.47089443,0.77704334,0.22295664
0.0010191156,0.0019569993,0.36494598,0.47086844,0.77728325,0.22271675
0.0003820164,0.0022910237,0.36588445,0.47113854,0.7762679,0.22373213
0.00090385694,0.0023031533,0.36547542,0.4711619,0.7767506,0.22324938
0.002351527,0.001767844,0.36355639,0.47075367,0.77882016,0.22117983
0.0009572273,0.0017822683,0.36469635,0.47074223,0.77748984,0.22251016
0.0027718497,0.0015479326,0.36285147,0.47055742,0.7795194,0.22048064
