mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.013858229,-0.5427862,0.0022157505,0.015560427,0.09746746,0.17608203,0.8923877,0.055556547,0.052055787
-0.013124749,-0.54565424,0.001400955,0.015306186,0.09668303,0.17500743,0.89351267,0.05502478,0.05146251
-0.012787789,-0.548203,-0.00033017248,0.0150632495,0.095939405,0.17394711,0.8946869,0.054519847,0.050793312
-0.013310045,-0.54861397,-0.0012143329,0.015013235,0.09578151,0.17371859,0.89502573,0.054390278,0.05058399
-0.008907646,-0.553912,0.00027418882,0.014617642,0.09455562,0.17208776,0.89626956,0.053690903,0.05003957
-0.0046232045,-0.55950636,0.0004980564,0.014184591,0.09321027,0.17020912,0.89781684,0.05291014,0.049272973
-0.0021505505,-0.5628376,0.0009245202,0.013937749,0.09242649,0.16909884,0.89871484,0.052440174,0.048845
-0.0033228844,-0.56100136,0.000933297,0.014076282,0.092868276,0.16968933,0.89819133,0.052704822,0.04910388
-0.0041032434,-0.5593989,0.0016171634,0.014211544,0.093290515,0.17029308,0.8976007,0.05296675,0.04943257
-0.004535705,-0.5590951,0.0014085695,0.014231084,0.093349785,0.17036872,0.8975704,0.052991446,0.04943818
-0.0040147603,-0.5567685,0.0038911253,0.014458252,0.094071396,0.17145315,0.8962783,0.05352046,0.050201263
-0.0038720518,-0.5553062,0.004350044,0.014580748,0.094475485,0.17200983,0.8956443,0.05382467,0.050531056
-0.0049996227,-0.5522249,0.0051845387,0.014841387,0.095292695,0.17314667,0.8945003,0.05435865,0.05114099
-0.007976934,-0.548392,0.004327841,0.015135075,0.09619842,0.17436041,0.8935286,0.054889925,0.051581513
-0.008058041,-0.5498242,0.0038064048,0.015008762,0.09579334,0.17379569,0.894167,0.05458924,0.05124382
-0.005092025,-0.55194676,0.006000422,0.014880301,0.09539845,0.17333573,0.89428353,0.054420974,0.051295497
-0.0048445314,-0.5520765,0.0052830204,0.014854789,0.095338695,0.17321096,0.89440954,0.05440271,0.051187716
-0.008960664,-0.5492142,0.002713941,0.015036288,0.095885806,0.17387182,0.8942103,0.054625627,0.051164087
-0.013967097,-0.547239,-0.00079577416,0.015130592,0.09614002,0.17414229,0.8945782,0.05459983,0.050821967
-0.014528275,-0.546711,-8.934736e-05,0.015190822,0.09630242,0.17445952,0.8943084,0.05468818,0.051003482
-0.012248576,-0.55065054,-0.0010595992,0.014852327,0.09527512,0.17304386,0.89563894,0.054070864,0.050290257
-0.009108931,-0.554062,-0.00015193969,0.014597935,0.09449449,0.17199537,0.8964071,0.053641804,0.049951088
-0.0075237155,-0.55683947,-0.000982903,0.014363596,0.093772076,0.17094667,0.89738053,0.053197846,0.04942163
-0.006479293,-0.5571759,0.00022161007,0.014359533,0.09375857,0.17095199,0.8972197,0.053220965,0.049559347
-0.00905028,-0.5564737,-0.0026829913,0.014359044,0.093755625,0.17084025,0.8976878,0.053127673,0.049184598
-0.0052604824,-0.56302506,-0.0014941618,0.013881658,0.092206165,0.16874374,0.89949197,0.052146733,0.04836136
