mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.0057523847,-0.0013620704,0.00616543,0.07546828,0.036355704,0.01976891,0.0057792147,0.011554324,0.9826665
-0.005790621,-0.0014597327,0.006007001,0.07569367,0.0365232,0.019861322,0.005818553,0.011623901,0.9825576
-0.005516976,-0.0008260757,0.0061644763,0.075440675,0.036374893,0.01975133,0.0057849665,0.011555923,0.9826591
-0.0046674088,-0.0007323772,0.0042118877,0.073494375,0.035061363,0.018980177,0.0054686256,0.010994089,0.98353726
-0.0046967193,-0.00084997714,0.0032766908,0.0748064,0.036063805,0.019506969,0.005702127,0.011401198,0.9828966
-0.005188562,-0.0012332946,0.004404947,0.07506794,0.036166828,0.019612545,0.0057291714,0.011458484,0.98281235
-0.0047380254,-0.00080658495,0.0039316863,0.07416049,0.0355574,0.019246487,0.005584284,0.011196931,0.9832188
-0.0038044378,0.0009800941,0.0036109537,0.07365079,0.035329536,0.019024132,0.005533409,0.011079711,0.9833869
-0.0036662817,0.0021869391,0.0049373955,0.07361419,0.035322513,0.01899126,0.005538157,0.011073135,0.98338866
-0.0043188557,0.001980856,0.0067154616,0.07420469,0.035646893,0.019222062,0.0056195455,0.01122409,0.9831564
-0.0047861636,0.0007094592,0.006758377,0.07408716,0.035461366,0.019190181,0.005573078,0.011164353,0.9832626
-0.0043073893,0.00019662082,0.004486248,0.07331723,0.03498369,0.018898379,0.0054531284,0.010953988,0.98359287
-0.0032934248,0.0015883297,0.0030304044,0.073028125,0.034948133,0.018772872,0.005443499,0.0109113315,0.9836452
-0.0046720505,-0.0008255094,0.0035512298,0.07429357,0.03567396,0.019300973,0.0056106457,0.01124198,0.9831473
-0.0041618645,-9.517372e-05,0.003099069,0.07379424,0.03538489,0.019095253,0.0055427034,0.011110396,0.98334694
-0.004237108,0.0016784221,0.0051134676,0.07462021,0.03602699,0.019396357,0.005704436,0.011367492,0.9829281
-0.005619593,-0.00044240057,0.007132873,0.07509864,0.03610497,0.019606225,0.0057243914,0.0114456825,0.9828299
-0.0052005723,-0.001207158,0.0050545186,0.07413736,0.03545243,0.01923831,0.005561982,0.011167684,0.9832703
-0.0039893463,0.0021447092,0.0050804466,0.07433568,0.03585368,0.019277604,0.0056641675,0.011289928,0.98304594
-0.0040799305,0.0020820051,0.006416902,0.0734045,0.035085537,0.018904792,0.005486491,0.01098889,0.9835246
-0.004459657,0.0022183806,0.0071475953,0.07450417,0.03586751,0.019336985,0.0056737172,0.01131412,0.98301214
-0.0060473904,-0.0018929988,0.006669447,0.07482917,0.03582418,0.01951726,0.0056531625,0.01134292,0.983004
-0.005112529,-0.0014264733,0.003980562,0.07474567,0.03593893,0.01948722,0.0056733545,0.011362426,0.9829642
-0.005228281,-0.0015958399,0.0039013475,0.07513407,0.03621642,0.019645115,0.0057386756,0.011478894,0.9827824
-0.0055217147,-0.00189583,0.004370019,0.07542031,0.036379546,0.01976215,0.0057783094,0.011554514,0.98266715
-0.004115306,0.0006868094,0.004209563,0.07385569,0.035426643,0.01910686,0.005557404,0.011128213,0.9833144
-0.004193619,0.0009421557,0.0048478693,0.07402184,0.03553256,0.019167742,0.005584787,0.011174459,0.9832408
-0.005450584,-0.0016750842,0.0048771948,0.07477624,0.035894748,0.019499436,0.005665014,0.011354934,0.98298
-0.0036552325,0.0018800348,0.0043362826,0.07364265,0.03535375,0.019008057,0.0055431314,0.011084222,0.9833726
-0.004168503,0.0013387352,0.0055304617,0.07386013,0.035406094,0.019096682,0.005557772,0.011123678,0.98331857
-0.0032125786,0.0031661242,0.0054888576,0.07289853,0.03483563,0.018695854,0.0054274085,0.010868356,0.9837042
-0.004522644,-0.0032261163,0.0007225722,0.071469426,0.033604573,0.018222922,0.005116653,0.010397406,0.984486
-0.0015533417,-0.00010319054,-0.005498603,0.071137585,0.03389532,0.018077975,0.0051724813,0.010431122,0.9843964
-0.00078902394,0.0021898597,-0.0043857247,0.070798755,0.033749253,0.017917546,0.005146467,0.010356621,0.9844969
-0.0009570569,0.005063519,-6.939471e-05,0.07151047,0.03425952,0.018148936,0.0052815927,0.010561998,0.9841564
-0.002396427,0.0065404624,0.0064489692,0.072682574,0.034898903,0.018569484,0.0054521672,0.010853988,0.9836939
-0.0033405274,0.0050852746,0.0089017,0.07216582,0.03427349,0.0183768,0.00530974,0.010641057,0.9840492
-0.0035576224,0.003223613,0.0069220513,0.07230558,0.03433725,0.018459408,0.005315172,0.010673869,0.984011
-0.002128452,0.0044273883,0.0042629093,0.07121126,0.033760086,0.018027764,0.005176589,0.010405952,0.98441744
-0.0014134422,0.0051808506,0.0030674785,0.070891626,0.033639446,0.017898945,0.0051470646,0.010340256,0.9845127
-0.0011411756,0.0063438565,0.0037296265,0.07103899,0.033796526,0.017940646,0.005187383,0.010395554,0.9844171
-0.0062322095,-0.002256617,0.006195411,0.0760126,0.036688846,0.019999035,0.005857053,0.011704397,0.98243856
-0.0074016526,-0.0043187886,0.006398186,0.077471025,0.037600946,0.020616494,0.006073002,0.012114907,0.9818121
-0.007786013,-0.0044858307,0.0071086735,0.07810938,0.038024656,0.020877572,0.0061779884,0.012302108,0.98151994
-0.0065288767,-0.0021253973,0.0072776526,0.07651384,0.03700853,0.020196486,0.0059375265,0.011846605,0.9822159
