mu1,mu2,sigma1,sigma2,pi1,pi2
0.0026237941,0.0013820175,0.37850037,0.38935432,0.50349545,0.49650452
0.0025565824,0.0017385427,0.37878343,0.3895068,0.50325984,0.49674013
0.0029148362,0.001715282,0.37913594,0.38997018,0.5032096,0.49679038
0.0030936725,0.0016729031,0.37936193,0.39024475,0.5031709,0.4968291
0.0017065383,0.0027867649,0.37904662,0.38919672,0.50267106,0.49732897
0.0010922751,0.0030633006,0.37883353,0.38871968,0.50256914,0.49743083
0.00085808104,0.0030734185,0.37870768,0.38852286,0.5025892,0.49741083
0.0012668795,0.0026594196,0.37871578,0.3887779,0.5028029,0.49719712
0.0012933887,0.0025947038,0.37865603,0.38874626,0.5028465,0.4971535
0.0015654541,0.0024026725,0.37872988,0.38895836,0.5029328,0.4970672
0.0005238778,0.0029573683,0.37817675,0.38793305,0.50274175,0.49725822
0.00035822904,0.0028353129,0.3778925,0.3876396,0.5028559,0.49714407
0.00024571782,0.0027372185,0.3776566,0.38740245,0.5029482,0.4970518
0.0010128147,0.002168784,0.37782818,0.38797164,0.5032117,0.49678832
0.0012900806,0.002152348,0.37809587,0.38832402,0.50317264,0.49682742
7.917639e-06,0.0029903147,0.3776388,0.3872377,0.5028192,0.49718085
0.0002985499,0.0026256237,0.377607,0.38740277,0.5030152,0.49698475
0.0019388548,0.0016286019,0.3782349,0.3888134,0.5034199,0.4965801
0.003982154,0.00055476464,0.3792797,0.39075977,0.5037566,0.49624342
0.0033654324,0.001387516,0.3793637,0.3904085,0.5033106,0.49668938
0.0030256636,0.0017935131,0.37943828,0.3902601,0.5030904,0.4969096
0.0019451431,0.0026449803,0.37912756,0.38939083,0.5027298,0.4972703
0.0020137555,0.002528945,0.37916481,0.3894837,0.50278574,0.49721426
0.00145073,0.0028230343,0.3789218,0.38898638,0.50267726,0.49732277
0.003090111,0.0016259048,0.37954208,0.39043152,0.50316125,0.49683878
0.0022552884,0.00254325,0.37959546,0.38997072,0.5026953,0.49730465
0.0014111749,0.0030412022,0.3792459,0.38922986,0.5025105,0.4974895
0.0004367209,0.0033382121,0.37854534,0.3881569,0.5024806,0.4975194
0.0010380647,0.0025862847,0.37833798,0.38835782,0.502906,0.49709398
0.00035033142,0.0029537026,0.37799984,0.38770768,0.50277525,0.49722475
0.00028183078,0.002821738,0.37781107,0.3875406,0.5028778,0.49712226
0.002061022,0.0017473642,0.3785579,0.38913417,0.50330305,0.496697
0.0008761785,0.0026710425,0.37822178,0.38816884,0.50288165,0.49711835
0.0022504828,0.0017732624,0.37871742,0.38934052,0.50325954,0.49674046
0.002586355,0.0016837362,0.37882972,0.38957852,0.5032821,0.49671793
0.0023947707,0.0019604806,0.37887612,0.3894833,0.5031292,0.49687088
0.0022661216,0.002142692,0.3789495,0.38946238,0.50302213,0.4969779
0.0039780936,0.0008792374,0.37983122,0.39117345,0.50344723,0.49655274
0.0026581562,0.0022300277,0.37957156,0.39015058,0.50284266,0.49715737
0.00068729883,0.0034829471,0.37890705,0.38854393,0.5023343,0.49766573
0.001484198,0.0027407203,0.37898234,0.38908172,0.5027123,0.49728775
0.002386374,0.0021248106,0.37923262,0.38978505,0.5029862,0.49701384
0.0015741638,0.0027895067,0.37912312,0.38923308,0.50266194,0.49733806
-0.0026096501,0.0049535427,0.37774223,0.38596907,0.50175536,0.4982447
-0.00061759586,0.0031187925,0.37759635,0.38697,0.5027568,0.49724323
0.0004743836,0.0024747644,0.3778383,0.3877293,0.5030535,0.49694654
0.00020471727,0.0027006809,0.37766194,0.38740695,0.5029686,0.49703136
-0.00043083215,0.002843598,0.37704352,0.3865632,0.5030014,0.49699864
-0.00066315616,0.0028233621,0.3767934,0.3862532,0.50305665,0.49694332
-0.00019447738,0.0025193933,0.3770296,0.38671753,0.5031742,0.4968258
0.0009493581,0.0018327776,0.37744015,0.38767016,0.50345564,0.4965444
0.0016571335,0.0015361402,0.3777226,0.38824934,0.50355536,0.49644467
0.0010459176,0.0021090452,0.377619,0.3877916,0.50327474,0.49672523
0.000978542,0.0023659114,0.37795883,0.38803095,0.5030852,0.49691483
0.00029715663,0.002729291,0.37761515,0.38737866,0.5029573,0.49704272
0.00020389771,0.0026262496,0.37741023,0.3871794,0.5030471,0.49695292
0.0006919778,0.0023178551,0.3776288,0.38763377,0.5031692,0.49683085
0.0005109585,0.0025432352,0.37771264,0.3875951,0.5030384,0.49696156
0.00012612855,0.0027854089,0.37760878,0.38730517,0.5029324,0.49706757
0.00022609299,0.0026336256,0.37757394,0.3873463,0.5030179,0.49698213
0.00027851528,0.0025100354,0.37745783,0.38728407,0.50310147,0.49689856
0.0008856929,0.002089912,0.37759596,0.3877277,0.5032933,0.4967067
0.0014703474,0.0018797014,0.37795553,0.38832092,0.5033377,0.4966623
0.0017573587,0.0018688533,0.3781946,0.38864625,0.5032996,0.49670038
0.0009307838,0.0025164578,0.3780168,0.3880285,0.50299543,0.4970046
0.00041083014,0.0027591381,0.37777165,0.38755834,0.50291425,0.49708578
0.0016491464,0.0019261036,0.3781995,0.3886019,0.5032706,0.49672937
0.002034185,0.0019106362,0.37855524,0.3890734,0.5032148,0.4967852
0.002055747,0.002081493,0.378754,0.389225,0.5030909,0.4969091
0.00129809,0.0026096199,0.37852857,0.38861632,0.50285727,0.49714276
0.0014979369,0.0024257693,0.37858674,0.38878912,0.50294346,0.4970565
0.0013625151,0.0024997238,0.37852344,0.3886638,0.50291634,0.49708366
0.0008484102,0.00274075,0.37823555,0.388153,0.50284225,0.49715778
0.00032819575,0.0029109214,0.37788776,0.38760293,0.50281614,0.49718392
0.0011040694,0.002372915,0.37819698,0.38830242,0.5030421,0.49695796
0.0014624349,0.0022848044,0.3784965,0.3887323,0.5030352,0.49696484
0.0011057681,0.002490962,0.37827718,0.38834634,0.5029654,0.49703464
0.0014707125,0.002195293,0.37831005,0.3885768,0.50311184,0.4968882
0.0039433218,0.00062916614,0.37934712,0.3907894,0.5037023,0.4962977
0.0042331717,0.00069221295,0.37991223,0.39137536,0.5035135,0.4964865
