mu1,mu2,sigma1,sigma2,pi1,pi2
-0.002097562,0.021434575,0.013354822,0.028615624,0.44519565,0.5548043
-0.0015799552,0.021870822,0.01331785,0.02853463,0.4450871,0.55491287
-0.00080378354,0.022443175,0.013347969,0.028582176,0.4451122,0.55488783
-0.005478576,0.018929183,0.013550646,0.029008484,0.44552755,0.5544725
-0.0012321025,0.022146285,0.013348699,0.028551374,0.44497928,0.5550207
-0.0020592958,0.021910787,0.0132890055,0.028457792,0.44482312,0.5551769
-0.003572777,0.020849526,0.013363902,0.028614894,0.44496217,0.55503786
-0.0005033761,0.022970289,0.013411819,0.028659705,0.44496047,0.5550395
0.0017339438,0.024564326,0.0134441415,0.028706273,0.44500822,0.55499184
0.0021120757,0.024786174,0.013427276,0.028694017,0.4450804,0.55491966
-0.0015322715,0.021967888,0.013477317,0.02884523,0.44535112,0.55464894
-0.0039740354,0.019938737,0.013561963,0.029014526,0.4455465,0.5544535
-0.0004889518,0.022341788,0.013584099,0.028987568,0.44543087,0.5545691
-0.0029214174,0.021025956,0.0134000685,0.028673116,0.44508007,0.55491996
-0.002368763,0.021527141,0.013424099,0.028703237,0.44504395,0.5549561
0.003687188,0.026011556,0.013345899,0.02849374,0.44478345,0.55521655
-0.0015757829,0.022380471,0.013314119,0.028533114,0.44494018,0.5550598
-0.0053987056,0.019356519,0.013406316,0.028740864,0.44521627,0.55478376
0.0038457364,0.02577275,0.0134083275,0.02861645,0.4450112,0.5549888
-4.287064e-05,0.022926658,0.01357102,0.028996127,0.44545534,0.5545446
0.0035794228,0.025361627,0.0134984255,0.02882118,0.4453458,0.55465424
-0.0056949407,0.018774003,0.013458417,0.02887041,0.44550955,0.55449045
-0.003234461,0.020415604,0.013422245,0.028733985,0.4452999,0.55470014
-0.0024337322,0.021303117,0.013332609,0.028545016,0.44500107,0.55499893
-0.0026207715,0.021482378,0.013259034,0.028409172,0.44480252,0.55519754
-0.0008009225,0.022682488,0.013432784,0.028712,0.44505385,0.5549461
