mu1,mu2,sigma1,sigma2,pi1,pi2
0.0011210218,0.047197923,0.51758766,0.56697,0.6534598,0.3465402
0.001171954,0.047185034,0.517613,0.56697494,0.6534399,0.34656012
0.0013592541,0.047040537,0.5177186,0.56700563,0.65338236,0.34661764
0.0014583468,0.046975866,0.5177729,0.5670203,0.65335006,0.34664994
0.00092197955,0.047343105,0.51747644,0.56693846,0.65352225,0.34647772
0.00061448663,0.047490045,0.5173149,0.56689984,0.65363127,0.3463687
0.0004917979,0.04754664,0.5172507,0.56688464,0.65367514,0.3463249
0.0006426126,0.047444,0.51733404,0.5669076,0.6536267,0.34637338
0.00066266954,0.04746002,0.51734114,0.56690675,0.65361536,0.34638464
0.000776723,0.047390565,0.51740307,0.566923,0.6535774,0.34642267
0.00030276924,0.0477342,0.51713866,0.56684834,0.6537264,0.34627363
0.0001468584,0.04779668,0.5170584,0.5668302,0.6537836,0.34621638
5.5529177e-05,0.047852412,0.51700884,0.5668172,0.653814,0.34618598
0.00036473572,0.047640026,0.51717967,0.56686443,0.6537149,0.3462851
0.000547491,0.047549844,0.5172761,0.56688786,0.6536505,0.34634945
1.0251999e-05,0.047935724,0.51697695,0.5668035,0.65382004,0.34618
5.7458878e-05,0.047845364,0.5170106,0.56681824,0.6538143,0.34618568
0.0007790327,0.047357976,0.51740843,0.56692743,0.6535816,0.34641835
0.0017535463,0.046758726,0.51793826,0.5670673,0.6532577,0.3467423
0.0016135126,0.04694183,0.5178493,0.5670346,0.6532885,0.34671152
0.0014677495,0.04700041,0.5177741,0.5670177,0.653342,0.34665805
0.00101538,0.047276944,0.51752836,0.56695306,0.6534926,0.3465074
0.0010097325,0.04722488,0.5175325,0.5669594,0.65350354,0.34649646
0.00077153,0.047391817,0.51740044,0.5669226,0.6535794,0.3464206
0.0014489293,0.04690504,0.517778,0.5670289,0.6533657,0.34663436
0.0012391359,0.047121465,0.5176523,0.5669874,0.65342116,0.34657887
0.0008473098,0.04736513,0.517439,0.56693083,0.653551,0.34644905
0.00032645464,0.047689036,0.5171556,0.5668556,0.6537235,0.34627652
0.00046627223,0.047555417,0.5172378,0.5668819,0.65368474,0.34631523
0.00018403679,0.04778105,0.5170776,0.5668346,0.6537701,0.34622994
0.00010532141,0.047815636,0.51703674,0.56682515,0.65379846,0.34620154
0.00089102983,0.047273144,0.5174714,0.56694555,0.653547,0.346453
0.0004663393,0.047651663,0.51722515,0.56686944,0.65366906,0.34633094
0.0010059103,0.047229424,0.51753026,0.56695855,0.65350443,0.34649554
0.0011873543,0.047158137,0.51762366,0.5669794,0.6534376,0.34656242
0.0011326373,0.04720585,0.51759195,0.56696963,0.65345347,0.3465465
0.0010861829,0.047218025,0.5175689,0.56696516,0.65347165,0.34652838
0.0018036664,0.046703935,0.51796854,0.5670776,0.6532449,0.34675506
0.0013793707,0.04706259,0.51772493,0.567004,0.6533701,0.3466299
0.0005614236,0.047571406,0.5172797,0.56688595,0.65364105,0.346359
0.0007557571,0.047351196,0.51739854,0.5669268,0.6535928,0.34640718
0.0011619255,0.047105387,0.5176188,0.5669846,0.65345716,0.34654284
0.00089141726,0.04734187,0.5174625,0.56693673,0.65353566,0.34646434
-0.0006611794,0.048386768,0.51660734,0.56670225,0.6540369,0.34596315
-0.00019978732,0.047923997,0.5168814,0.56679165,0.6539127,0.3460873
0.00021721423,0.047711402,0.5171022,0.5668458,0.65376705,0.34623295
8.369237e-05,0.047861874,0.5170206,0.56681776,0.6538003,0.3461997
-0.0002837479,0.048108876,0.51681834,0.5667623,0.653919,0.34608105
-0.00044513494,0.0481873,0.5167334,0.5667419,0.65397596,0.34602407
-0.00024038553,0.048033133,0.5168483,0.5667749,0.65391254,0.3460875
0.00026804954,0.047709793,0.51712584,0.56684923,0.65374535,0.34625465
