mu1,mu2,sigma1,sigma2,pi1,pi2
0.031567022,-0.00041729212,0.42026836,0.028487297,0.0022325495,0.99776745
0.03181486,0.00068999827,0.4204545,0.028540673,0.0022395176,0.9977605
0.031025931,-6.343424e-05,0.42030483,0.028465452,0.0022312284,0.99776876
0.03476964,-0.00760673,0.41928086,0.027791224,0.0021288453,0.99787116
0.032768533,-0.0006607622,0.4204583,0.028337833,0.0022101684,0.99778986
0.03334181,-0.00065632164,0.42053822,0.028357025,0.0022104303,0.99778956
0.032742724,-0.00462614,0.42008695,0.028139835,0.0021815065,0.99781847
0.031723425,-0.004071906,0.41991225,0.028004672,0.0021670659,0.99783295
0.03067945,-0.003515944,0.41968787,0.027925244,0.002159256,0.99784076
0.028392658,-0.0027848333,0.41974396,0.028148146,0.00219483,0.9978052
0.030235633,-0.004920155,0.4194676,0.028072663,0.0021786822,0.99782133
0.03396313,-0.0070029944,0.4191656,0.027759328,0.002127208,0.9978728
0.03489785,-0.005059853,0.419218,0.02758251,0.0021030728,0.9978969
0.03466998,-0.0031000227,0.42005825,0.028059669,0.002166567,0.99783343
0.033049986,-0.004770875,0.41994616,0.028002672,0.0021628793,0.9978371
0.028920159,3.08007e-05,0.42033428,0.028301066,0.0022157012,0.9977843
0.029431805,-0.0023658127,0.42022783,0.028454179,0.0022326068,0.99776745
0.032718584,-0.0056456625,0.41980192,0.028156409,0.0021831682,0.99781686
0.03051947,0.00040358305,0.42000204,0.028128602,0.00218872,0.99781126
0.032447025,-0.005652994,0.41901532,0.027664091,0.002118617,0.9978814
0.028082296,-0.0014666915,0.4195989,0.028155914,0.0021974014,0.9978026
0.03375326,-0.004567042,0.41964883,0.028176041,0.0021827528,0.9978173
0.03362964,-0.00221245,0.42008504,0.028248161,0.002194929,0.99780506
0.0350558,-0.00013162196,0.4204345,0.028277393,0.0021956111,0.9978044
0.032557532,-0.0005529672,0.420713,0.028499277,0.0022315662,0.99776846
0.031456336,-0.004448876,0.4198405,0.028016983,0.002168937,0.99783105
0.03074257,-0.0036625564,0.4198601,0.02807284,0.0021785053,0.9978215
0.032392547,-0.0033705235,0.42031246,0.028362347,0.0022123472,0.99778765
0.030889198,-0.0033067316,0.419736,0.027960908,0.0021637997,0.9978362
0.031626567,-0.0038445145,0.4196037,0.027941635,0.0021584013,0.9978416
0.030057773,-0.0064792037,0.41893464,0.027649429,0.0021232227,0.99787676
0.04276459,-0.017491981,0.4184594,0.027126623,0.002018931,0.997981
0.04224734,-0.009609222,0.41961765,0.02716184,0.0020304779,0.9979695
0.042770013,-0.0088493675,0.4195913,0.026855556,0.0019896207,0.99801034
0.036422655,-0.006253496,0.419497,0.026945863,0.002016428,0.9979836
0.027449176,-0.0052507073,0.4192764,0.027395485,0.0020962039,0.9979038
0.026828751,-0.011342734,0.41830358,0.027382849,0.0020931212,0.9979069
0.033169433,-0.008301526,0.41836044,0.027368914,0.002077373,0.9979226
0.036343798,-0.010060146,0.41778105,0.026841654,0.002001459,0.99799854
0.036861822,-0.010740623,0.4175458,0.026582286,0.0019667766,0.9980332
0.03408633,-0.010929689,0.41732076,0.026484625,0.001960482,0.99803954
0.03121899,-0.00032293797,0.42050907,0.028604774,0.0022490153,0.997751
0.029873833,0.003542021,0.42154434,0.029259374,0.0023434702,0.9976565
0.02962266,0.006289929,0.42194432,0.029472237,0.0023745222,0.9976255
0.029407904,0.0021003634,0.4209567,0.02891289,0.0022966517,0.9977034
0.02498965,0.0023729056,0.4199674,0.028459867,0.0022481058,0.9977519
0.02701877,-0.0010970682,0.4194473,0.0284069,0.002232558,0.99776745
0.030783698,0.0021789223,0.41989866,0.02863347,0.0022546141,0.9977454
0.03188233,0.0044825077,0.42057025,0.028928889,0.0022926682,0.99770737
0.034193322,0.0031110197,0.42082235,0.028926853,0.0022853795,0.99771464
0.033381328,0.0031512529,0.42094713,0.028839227,0.0022765365,0.99772346
0.034877166,0.0009672493,0.4210531,0.028783282,0.0022637113,0.99773633
0.02976422,0.0054941922,0.4217305,0.02918665,0.002335396,0.99766463
0.028931543,0.003567502,0.42135936,0.02909698,0.0023236321,0.9976763
0.02694659,0.0026030838,0.42122352,0.029192355,0.0023418919,0.99765813
0.028467938,-0.0009933263,0.4198711,0.02837132,0.0022249825,0.997775
0.031362757,-0.0035696924,0.41940594,0.028085325,0.002177824,0.99782217
0.030593798,-0.00033780932,0.41977248,0.028252233,0.00220391,0.9977961
0.028023109,0.0040099174,0.42019174,0.028591752,0.002257931,0.99774206
0.029147848,0.0009557009,0.4203596,0.028896231,0.002293698,0.9977063
0.033293173,0.0015902668,0.42052755,0.028801614,0.00227054,0.9977295
0.03247331,0.0075576454,0.42164,0.02928998,0.002342174,0.99765784
0.031566367,0.0041178614,0.42112377,0.028982954,0.0023009619,0.9976991
0.030459926,0.00083209574,0.4208137,0.028856559,0.0022856046,0.9977144
0.032848343,-0.0014040768,0.42049882,0.028548896,0.0022369088,0.9977631
0.036244437,-0.0049920827,0.42005175,0.028064698,0.0021624165,0.9978376
0.034861848,-0.0015654117,0.42065546,0.028248936,0.0021924179,0.99780756
0.033873186,-0.0039624125,0.42026496,0.028018665,0.0021631767,0.99783677
0.028348133,-0.0035291165,0.41958907,0.027780285,0.002146562,0.99785346
0.02765815,-0.00518848,0.4193917,0.027987994,0.0021740845,0.9978259
0.029274091,-0.002899453,0.41971466,0.028269822,0.002208371,0.99779165
0.03313826,-0.005352631,0.41918138,0.027839802,0.0021403222,0.99785966
0.03628795,-0.007482052,0.41888446,0.027467215,0.002083185,0.9979168
0.038324878,-0.008855075,0.41892844,0.02727735,0.0020533858,0.99794656
0.034117743,-0.0034824163,0.41983774,0.027739368,0.002126618,0.9978734
0.031018898,-0.0013046116,0.4206057,0.028382689,0.0022198977,0.99778014
0.028339013,-0.0015012175,0.42061943,0.028587699,0.0022544488,0.9977456
0.029577002,-0.0018044561,0.4204844,0.028564773,0.00224769,0.99775237
0.03105031,-0.005199909,0.41933945,0.027836982,0.002145799,0.9978542
0.033075616,-0.007287249,0.41881138,0.027485913,0.0020937028,0.9979063
0.031157836,-0.004761994,0.41899714,0.02761084,0.0021162108,0.9978838
0.031378314,-0.0043620765,0.4192471,0.027851036,0.002146772,0.9978532
0.029309198,-0.0005813986,0.42009303,0.02844827,0.002233413,0.9977666
0.034637675,-0.002982974,0.42039046,0.028534008,0.0022289103,0.99777114
0.033553228,-0.00052547455,0.4205537,0.0283947,0.0022156863,0.9977843
0.033195063,-0.00014099479,0.42035767,0.028211316,0.0021918747,0.99780816
0.031637296,-0.0037936121,0.4198884,0.028074794,0.002175909,0.9978241
0.028078899,-0.00095283985,0.4202109,0.028407367,0.0022314112,0.99776864
0.02791588,0.00015720725,0.4201141,0.02847498,0.002240803,0.9977592
0.026540205,0.0018500537,0.42035687,0.028802518,0.0022893222,0.9977107
0.029087648,-0.00045357645,0.41979408,0.028494166,0.0022394664,0.99776053
0.03068839,0.00040774047,0.4198649,0.028466582,0.00223211,0.9977679
0.033849344,-0.00203605,0.41954735,0.028139243,0.0021790753,0.997821
0.031947777,0.0046007186,0.42110062,0.02899757,0.0023025319,0.9976975
0.03239523,0.0034230798,0.42120683,0.029021526,0.0023036234,0.9976964
0.030918464,0.0021067858,0.42112383,0.0289636,0.0022996955,0.99770033
0.029155657,0.0051866323,0.42148626,0.029189,0.0023367472,0.99766326
0.028893098,0.0020483732,0.42088377,0.02892801,0.0023000126,0.99770004
0.029384539,-0.00063438714,0.42032713,0.028630408,0.0022574035,0.99774265
0.029429123,0.00063328445,0.42004517,0.028420711,0.0022299187,0.9977701
0.030934617,-0.0010670573,0.41986385,0.02835442,0.0022157328,0.9977843
0.03238766,-0.0029099137,0.41981408,0.028276788,0.0022010521,0.997799
0.033559248,0.00023572147,0.4204498,0.028483685,0.0022272014,0.9977728
0.037286922,-0.005186841,0.4200088,0.028046867,0.002156999,0.997843
0.032772943,0.00032319129,0.42082387,0.028408993,0.0022203517,0.99777967
0.030693337,0.00091195107,0.42083955,0.028529854,0.0022414129,0.99775857
0.028623328,-0.0027250499,0.42011696,0.028321223,0.0022170804,0.99778295
0.029219493,-0.004099846,0.41976112,0.028208068,0.0021999707,0.99780005
0.031309232,-0.0032543093,0.4196875,0.028103009,0.0021808937,0.9978191
0.0323873,-0.004623279,0.41917711,0.027745722,0.002130471,0.99786955
0.032299682,-0.004719734,0.419192,0.027762996,0.0021328935,0.9978671
0.02998732,-0.00073489547,0.4198693,0.028227499,0.0022021218,0.9977979
0.029987022,-0.0011125356,0.41993675,0.028368782,0.0022203422,0.99777967
0.027604267,0.0053330064,0.42129576,0.02929641,0.002355624,0.99764436
0.028837368,0.004009828,0.4209155,0.029087815,0.0023225734,0.99767745
0.029759213,0.0013495237,0.42041972,0.028788885,0.002278374,0.9977216
0.031419083,0.00092072785,0.42026165,0.028596194,0.0022478953,0.99775213
0.031191513,0.0025567561,0.42054805,0.028712349,0.0022649672,0.997735
0.029568419,0.0040594786,0.42086896,0.028953763,0.0023026613,0.99769735
0.03636919,-0.0055868477,0.42017278,0.028429061,0.0022089414,0.99779105
0.03464113,0.0010050386,0.42104936,0.028587535,0.00223962,0.9977604
0.03966956,-0.005317524,0.42015964,0.027817082,0.0021208953,0.99787915
0.036690757,-0.004915133,0.42022583,0.02775723,0.002121425,0.99787855
0.035205647,-0.009135991,0.4195912,0.027449708,0.002083532,0.9979165
0.034497663,-0.01143308,0.41907945,0.027173713,0.0020488084,0.9979512
0.032396063,-0.010122627,0.41901755,0.027205296,0.0020587868,0.9979412
0.031427667,-0.010536537,0.41871142,0.027163392,0.0020551966,0.99794483
0.03106682,-0.012348384,0.41812906,0.026958767,0.0020288937,0.9979711
0.030764028,-0.01237379,0.41746902,0.026645217,0.0019892731,0.9980107
0.032041535,-0.007869646,0.4187866,0.027535515,0.0021023552,0.9978976
0.032005534,-0.007016763,0.41881078,0.027525036,0.0021018952,0.9978981
0.032456145,-0.0026831478,0.41967434,0.02800529,0.002165312,0.99783474
0.0314198,-0.0026754588,0.41979808,0.028127717,0.0021841845,0.99781585
0.030939326,-0.0015091747,0.42013142,0.028359462,0.0022167661,0.99778324
0.0311182,-0.00046740472,0.42042845,0.028537357,0.0022404853,0.9977595
0.033634767,-0.0038329363,0.4200469,0.028228749,0.0021911352,0.9978089
0.032703623,-0.0018988252,0.42018226,0.028189208,0.0021898209,0.9978102
0.03502409,-0.005396858,0.41983178,0.02792379,0.0021467174,0.9978533
0.030744478,-0.00332354,0.41987857,0.027966091,0.002165124,0.99783486
0.035743937,-0.009251073,0.41937062,0.027658595,0.002108367,0.9978916
0.03187017,-0.0048413575,0.4199097,0.02790041,0.0021532134,0.99784684
0.03243117,-0.0039332956,0.4196752,0.027761448,0.002132995,0.997867
0.03102003,-0.006590396,0.419299,0.027721161,0.002129826,0.9978702
0.0301141,-0.0061888844,0.41921848,0.027765414,0.0021384922,0.99786156
0.031609043,-0.006001726,0.41903996,0.027659126,0.0021205817,0.99787945
0.03221862,-0.004601285,0.4194862,0.027932718,0.002155454,0.9978446
0.031405196,-0.003083825,0.41953376,0.027939351,0.002159325,0.9978407
0.031316802,-0.001666829,0.4199963,0.028271964,0.0022038312,0.9977962
0.030941352,-0.0038806647,0.41952446,0.028021079,0.0021708112,0.9978292
0.028855965,0.003569156,0.42086875,0.02888109,0.0022948922,0.99770516
0.030880257,-0.0005555749,0.4203722,0.028638968,0.0022541368,0.9977459
0.029430911,0.00077183545,0.4203455,0.028598495,0.002254007,0.997746
0.03376536,-0.0024492294,0.4199829,0.028289057,0.0021989546,0.99780107
0.030269489,0.0013032109,0.42043638,0.028521808,0.0022419759,0.997758
0.038076445,-0.008154258,0.41956785,0.027874961,0.0021306176,0.9978694
0.046669886,-0.017635062,0.41922927,0.027152749,0.0020140375,0.99798596
0.041552708,-0.0041276067,0.42040676,0.027172612,0.002036452,0.99796355
0.039743766,-0.008866772,0.41961455,0.026862849,0.0019967833,0.99800324
0.035438642,-0.012405023,0.4189549,0.02681691,0.0019993456,0.9980007
0.036769733,-0.018117651,0.41757208,0.026149524,0.0019097668,0.9980902
0.033798024,-0.013842642,0.41777062,0.026368875,0.001946357,0.99805367
0.032197163,-0.014893591,0.4170765,0.026209835,0.0019294462,0.99807054
0.031650826,-0.01599668,0.4170973,0.026483275,0.0019648355,0.9980352
0.032866523,-0.016664222,0.41622508,0.025952905,0.0018947077,0.9981053
0.03791772,-0.015614912,0.4170312,0.026350595,0.0019323068,0.9980677
0.03446941,0.0002475232,0.4209553,0.028607773,0.0022418448,0.9977582
0.034590945,-0.0016862303,0.42035428,0.02811747,0.002175292,0.99782467
0.031844005,-0.0032831877,0.42006513,0.028047211,0.002172338,0.99782765
0.029706106,-0.0041473657,0.41992247,0.02812258,0.002187608,0.9978124
0.027491972,0.0003453791,0.42046186,0.028573906,0.0022558114,0.9977442
0.027767584,-0.0012886077,0.4198484,0.0283522,0.0022239836,0.99777603
0.027079925,-0.0012629777,0.41943318,0.028232703,0.0022098937,0.9977901
0.029737994,-0.0014990866,0.4194373,0.028281707,0.002208787,0.99779123
0.030360922,-0.00020892918,0.4195127,0.028277026,0.0022074936,0.9977925
0.032368347,0.0028815418,0.42054108,0.028828753,0.0022770641,0.9977229
0.032959387,0.00301072,0.42101943,0.029007737,0.0023000445,0.9977
0.0329275,0.004071012,0.42132068,0.029038366,0.0023051098,0.9976949
0.031218454,0.004210517,0.4214103,0.029072996,0.0023146395,0.9976854
0.030256316,0.0024141222,0.4212991,0.029067293,0.002315549,0.9976845
0.03023456,7.6293945e-05,0.42073262,0.028717538,0.0022674277,0.9977326
