mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.011788756,0.0020377748,-0.20823702,0.25967792,0.1563377,0.55860806,0.57248795,0.36903036,0.05848177
-0.011973515,0.0020031445,-0.20712855,0.26012498,0.15701655,0.5590501,0.57225657,0.36901096,0.05873253
-0.011826739,0.0024178438,-0.20607653,0.26082638,0.15797809,0.5590653,0.5714236,0.369511,0.059065394
-0.012149632,0.0018363707,-0.20603183,0.2607901,0.15782902,0.55940664,0.57158715,0.3693377,0.059075173
-0.012081385,0.0019951053,-0.20604846,0.26071894,0.1578006,0.5593753,0.57172024,0.36924204,0.059037674
-0.012077823,0.0020541437,-0.20596439,0.26068798,0.15780829,0.55943865,0.5718519,0.36912277,0.059025284
-0.011842117,0.0025468878,-0.20502156,0.26147604,0.15883103,0.55927473,0.5707506,0.36986294,0.059386488
-0.012370676,0.0015114509,-0.20549005,0.2611287,0.15818517,0.5596974,0.5712614,0.3694805,0.059258133
-0.012440786,0.0015794076,-0.2052339,0.26116937,0.158336,0.55977315,0.57128453,0.36942017,0.059295315
-0.012332827,0.0018163063,-0.20505834,0.26133722,0.15858288,0.5596507,0.5710115,0.36962122,0.05936727
-0.012261987,0.0017928965,-0.20539889,0.2612199,0.15837114,0.5595259,0.57105726,0.3696459,0.05929681
-0.012146488,0.0018358566,-0.20592555,0.2609635,0.15800677,0.5593452,0.5712744,0.36957058,0.05915499
-0.012664095,0.0011800341,-0.20557252,0.26089966,0.1579456,0.5599053,0.57163733,0.36917776,0.059184857
-0.012142494,0.0020789467,-0.20563602,0.26089984,0.15811276,0.559449,0.5715468,0.36931217,0.059141
-0.011939675,0.0022672378,-0.20581326,0.26090142,0.15807438,0.5592754,0.571467,0.36941788,0.05911523
-0.011836156,0.0022764988,-0.20623222,0.26070186,0.1577683,0.5591628,0.5716634,0.3693358,0.059000846
-0.01223968,0.0019017421,-0.20497605,0.26143083,0.15868223,0.5596214,0.57089365,0.36970434,0.059402075
-0.012376651,0.0016008206,-0.20545152,0.26114017,0.1582456,0.5596498,0.5712206,0.3695126,0.059266858
-0.012203619,0.0018443204,-0.20571941,0.2610012,0.15810339,0.5594565,0.5713292,0.36948842,0.05918249
-0.012187168,0.0019080974,-0.20533907,0.26133174,0.15850292,0.55943507,0.5708542,0.36980465,0.05934118
-0.012527481,0.0013488866,-0.2052742,0.26135173,0.15843324,0.55970323,0.5708597,0.3697584,0.059382007
-0.012575254,0.0013269745,-0.20521116,0.26142406,0.15852776,0.5596718,0.5707029,0.3698736,0.059423447
-0.012533754,0.0011847205,-0.2064955,0.26055962,0.15740818,0.5595111,0.5717431,0.36926493,0.058992036
-0.012086809,0.001976665,-0.20635197,0.26068786,0.15771692,0.55914986,0.5715181,0.3694635,0.059018392
-0.012098357,0.0019066967,-0.20618078,0.26085484,0.15787488,0.55919284,0.5713004,0.3696026,0.05909704
-0.0121898055,0.0017012395,-0.2063677,0.26071432,0.15765782,0.5592698,0.5715006,0.36946398,0.059035398
-0.012270927,0.0016731434,-0.2061238,0.26079705,0.15780117,0.5593772,0.5714679,0.3694442,0.059087917
-0.012080714,0.0019480251,-0.2062692,0.2607817,0.15779679,0.5591755,0.57140625,0.36953527,0.05905848
-0.012119487,0.0018201806,-0.20637906,0.26070654,0.15766609,0.55922776,0.5715221,0.36945438,0.05902356
-0.012140334,0.0018957295,-0.20574239,0.2611662,0.15825325,0.5592741,0.57092774,0.3698206,0.059251644
-0.012323767,0.0015414841,-0.20578453,0.2612475,0.1582393,0.55934244,0.5707355,0.3699643,0.05930025
-0.012628391,0.00108793,-0.20567697,0.26132882,0.1582665,0.5595317,0.57060975,0.37002254,0.05936774
-0.012496084,0.0011357404,-0.20665929,0.26078847,0.15755077,0.55923396,0.5711172,0.3697988,0.059083953
-0.012422994,0.0012885891,-0.2065238,0.26095635,0.15777081,0.5591137,0.5708108,0.37003055,0.0591587
-0.0125930905,0.0009705834,-0.20654768,0.2610004,0.15774289,0.5591938,0.57069486,0.37011206,0.059193127
