mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.009921342,-0.029462136,-0.3941814,0.023493195,0.010899632,0.24550435,0.7869728,0.21132232,0.0017048573
-0.009768695,-0.028926179,-0.39314458,0.02364385,0.010997781,0.24593815,0.7864331,0.21184435,0.0017225924
-0.009057313,-0.027998194,-0.39340946,0.023676604,0.011016398,0.24572086,0.7860885,0.21218708,0.0017244053
-0.011250824,-0.03128344,-0.39048848,0.024011152,0.011205813,0.24757464,0.7852622,0.2129651,0.0017727175
-0.010779411,-0.03023789,-0.39121374,0.023920948,0.011159789,0.24707654,0.7854413,0.21279873,0.0017600105
-0.010285705,-0.02962678,-0.3918884,0.023882212,0.011133553,0.24669601,0.7853613,0.21288496,0.0017537501
-0.011636168,-0.03207566,-0.3914698,0.023880323,0.011116867,0.2472142,0.7856344,0.21260759,0.0017580648
-0.010738343,-0.030190237,-0.39210567,0.023809982,0.011090373,0.24664275,0.7857124,0.21254121,0.0017463637
-0.009326607,-0.027409889,-0.39087263,0.024167772,0.011318402,0.24697308,0.783758,0.2144561,0.0017859098
-0.011428326,-0.03242761,-0.39148268,0.024112474,0.011226877,0.24742359,0.784012,0.21420115,0.0017868029
-0.011592537,-0.032358103,-0.39191112,0.024072446,0.011203667,0.24721822,0.78395253,0.2142649,0.0017825734
-0.011699945,-0.032414317,-0.3917577,0.024166705,0.011254829,0.2473514,0.7832999,0.21490522,0.0017949269
-0.013927668,-0.036135644,-0.3908303,0.024240697,0.011275194,0.24831006,0.78325343,0.21493462,0.001812
-0.0145563185,-0.037342347,-0.3932506,0.023794375,0.011001552,0.2472244,0.78508306,0.21315835,0.0017586213
-0.013636917,-0.03545011,-0.3950958,0.0234621,0.010824875,0.24599464,0.786409,0.21187662,0.0017144142
-0.012315005,-0.03296794,-0.39573202,0.023360498,0.010786146,0.2453195,0.7867892,0.21151343,0.0016973943
-0.008641809,-0.027457662,-0.39811268,0.023249647,0.010735474,0.24352631,0.7863961,0.21193163,0.0016723253
-0.008466512,-0.029097281,-0.39929423,0.023220982,0.010676662,0.24327844,0.7862634,0.21206777,0.0016688468
-0.010504574,-0.031601176,-0.39460954,0.023863724,0.011055713,0.24591058,0.78405654,0.21418978,0.0017536833
-0.012560159,-0.035363585,-0.39459988,0.023793153,0.010986812,0.2464076,0.7845854,0.21366249,0.0017520845
-0.01266405,-0.03439433,-0.39357546,0.023910755,0.0110786315,0.24674854,0.78409725,0.21413592,0.0017668747
-0.015101343,-0.037918173,-0.3915963,0.024049938,0.011153535,0.24813482,0.78410995,0.2140978,0.001792301
-0.014634579,-0.03628049,-0.39218882,0.02390807,0.011092934,0.24756852,0.78464746,0.21357979,0.0017727899
-0.012775809,-0.033850543,-0.39555928,0.023490943,0.010846864,0.24560788,0.78589106,0.2123937,0.0017152517
-0.010407299,-0.030986317,-0.39888445,0.023151238,0.01064253,0.24366502,0.7867147,0.21161881,0.0016665185
-0.009329349,-0.03079623,-0.4017028,0.022829369,0.010431158,0.2423148,0.78780717,0.21056804,0.0016247956
-0.010994464,-0.033176437,-0.3990564,0.0230528,0.010564181,0.24383521,0.7876024,0.2107411,0.0016564326
-0.011888295,-0.03384594,-0.3975334,0.023081081,0.010600575,0.24453957,0.78815293,0.21018493,0.0016621494
-0.010730952,-0.030130737,-0.39463076,0.023449194,0.010871003,0.2453974,0.78684056,0.21145698,0.001702436
-0.00994429,-0.029427856,-0.39503297,0.023448577,0.010865841,0.24513702,0.7867455,0.21155465,0.0016998685
-0.010254413,-0.029643185,-0.39300737,0.023750743,0.011049329,0.24617249,0.785659,0.21260333,0.0017376522
-0.009685308,-0.029367112,-0.3942313,0.023656072,0.010980295,0.24558872,0.78575754,0.21251802,0.001724428
-0.010039359,-0.030458897,-0.39467344,0.023610849,0.010938163,0.24554114,0.7859083,0.21237145,0.0017202465
-0.009632319,-0.029333025,-0.39362153,0.023830175,0.011078017,0.2459404,0.7848222,0.21343194,0.0017458539
-0.013343543,-0.03572806,-0.39164004,0.023930782,0.011103949,0.24771124,0.78522927,0.21300001,0.001770722
-0.012063056,-0.031282403,-0.38936588,0.024284424,0.011374159,0.24820742,0.78359056,0.2145995,0.0018099642
-0.012591273,-0.033063978,-0.39029512,0.024224333,0.011306993,0.24806343,0.7836121,0.21458326,0.0018046594
-0.011788815,-0.032930166,-0.39434275,0.023711432,0.010977789,0.24610019,0.7851744,0.21308671,0.001738879
-0.011698514,-0.032921724,-0.39505258,0.023613675,0.010916935,0.24575353,0.7854998,0.21277349,0.0017266424
-0.011855036,-0.033374734,-0.3957307,0.023485927,0.0108373705,0.24546403,0.78608096,0.2122075,0.0017115218
-0.010094732,-0.029719964,-0.3949053,0.02372443,0.011005607,0.2454264,0.78469473,0.21357045,0.001734889
-0.013619512,-0.0369967,-0.39502499,0.023543188,0.0108419275,0.24630208,0.78616637,0.21210921,0.001724456
-0.011996955,-0.03299684,-0.3958749,0.023355544,0.010777293,0.24525855,0.78685904,0.21144514,0.0016958265
-0.012110084,-0.032386795,-0.39353922,0.023644026,0.010967775,0.24629046,0.7859803,0.21228868,0.001731034
-0.010028571,-0.030445479,-0.39822367,0.023060253,0.010609353,0.2437713,0.78788894,0.2104574,0.0016536709
-0.009358734,-0.028845847,-0.3962905,0.023357814,0.01080343,0.24450238,0.78674406,0.21156871,0.0016872186
-0.0100206435,-0.030255005,-0.3951436,0.023518493,0.010887552,0.2452638,0.78627986,0.21201128,0.0017088875
-0.010918051,-0.031782895,-0.39472952,0.023504391,0.010873722,0.24563465,0.78662634,0.21166365,0.0017100064
-0.010476023,-0.030365191,-0.39401475,0.02358669,0.010942549,0.24576758,0.7863305,0.21195105,0.0017183882
-0.009462029,-0.028877102,-0.39438984,0.023610575,0.0109601505,0.2454185,0.78597915,0.21230263,0.0017181397
-0.011591524,-0.031052873,-0.38859138,0.024426095,0.0114556365,0.24857727,0.7831752,0.21499898,0.001825889
-0.013515204,-0.036083207,-0.3927851,0.023697965,0.010965313,0.24715339,0.78628016,0.2119775,0.001742376
-0.010264486,-0.02904182,-0.39347205,0.023679303,0.0110161975,0.2458541,0.7857695,0.21250136,0.0017290126
-0.010514051,-0.030513003,-0.3937383,0.02371,0.011007527,0.24598421,0.78557557,0.21269064,0.0017338574
-0.010766834,-0.031367853,-0.39447054,0.023602167,0.010931869,0.24574438,0.7860082,0.21227022,0.0017216214
-0.01140967,-0.031932637,-0.3931249,0.023743534,0.011022579,0.24645081,0.78566045,0.21259864,0.001740924
-0.0112096965,-0.031139694,-0.39241484,0.023860734,0.011102729,0.24669789,0.7851377,0.21310773,0.0017546009
-0.011437207,-0.032387726,-0.39435026,0.023571467,0.0109104095,0.24591859,0.78627676,0.21200314,0.0017200152
-0.009915739,-0.02940695,-0.39455757,0.023611594,0.010955621,0.24543487,0.7857993,0.21248066,0.0017198964
-0.0125513375,-0.03460888,-0.39414498,0.023508495,0.010860765,0.24627097,0.78692126,0.21136282,0.001715912
-0.012531728,-0.032595284,-0.39187863,0.02368457,0.011014351,0.24699675,0.7866282,0.21163516,0.0017366859
-0.008181721,-0.026384436,-0.39685425,0.023186633,0.010732004,0.24380782,0.787658,0.21067971,0.0016623328
-0.009367079,-0.02897752,-0.3948308,0.023460615,0.0108742155,0.24515866,0.7869207,0.2113801,0.0016992257
-0.00903967,-0.027807496,-0.3929803,0.023770632,0.011073363,0.24592921,0.78561544,0.2126486,0.0017358682
-0.011519164,-0.03286966,-0.39315537,0.023614755,0.0109426575,0.24648224,0.7867919,0.21148303,0.0017250498
-0.009952277,-0.028995335,-0.3930923,0.023613533,0.010984535,0.245945,0.78663796,0.21164262,0.0017194478
-0.010460228,-0.029664166,-0.39144894,0.023839034,0.011119437,0.2468432,0.78591937,0.21233198,0.001748653
-0.009649426,-0.028404273,-0.3918186,0.023857906,0.011133591,0.24652632,0.7855823,0.21266928,0.0017484232
-0.011183351,-0.030199923,-0.388123,0.024398154,0.011456761,0.24861701,0.7836764,0.21450311,0.0018205108
-0.0106392205,-0.030332513,-0.39112732,0.02407156,0.011234708,0.24723169,0.78442776,0.21379365,0.0017785226
-0.010793418,-0.03169615,-0.39395884,0.02368506,0.010976426,0.24604844,0.7857611,0.21250702,0.001731844
-0.012518972,-0.033839114,-0.39231667,0.023768364,0.011030817,0.2470599,0.7859617,0.21229073,0.0017475218
-0.009904116,-0.028275095,-0.39191404,0.023963785,0.011192246,0.24654682,0.78457785,0.21365935,0.0017627873
-0.012508541,-0.032974802,-0.3891345,0.024360672,0.011394403,0.24859975,0.783357,0.21482185,0.0018211717
-0.011386365,-0.03187073,-0.39275965,0.023936681,0.011127125,0.24672218,0.78441334,0.2138216,0.0017650569
-0.012246937,-0.03381733,-0.3936387,0.023791563,0.011020386,0.24655959,0.78502524,0.21322456,0.0017502151
-0.0122976005,-0.034083575,-0.39536622,0.023486717,0.010837483,0.24570814,0.7862868,0.21200025,0.0017129596
-0.011633426,-0.032447413,-0.39536682,0.02345283,0.010837577,0.24544743,0.78646463,0.21182896,0.0017064265
-0.0117610395,-0.03263101,-0.39510092,0.023434173,0.010830611,0.24556312,0.78677046,0.2115252,0.0017043874
-0.011092931,-0.030879796,-0.3940234,0.023581725,0.010939941,0.24583626,0.7862256,0.21205449,0.0017199484
-0.009647399,-0.028606646,-0.39407018,0.023708973,0.011021278,0.24558288,0.7853107,0.21295851,0.0017308282
-0.010121971,-0.03182686,-0.39825013,0.023127124,0.0106224185,0.2440046,0.7876021,0.21073563,0.0016622435
-0.010449141,-0.030670874,-0.3948066,0.023526339,0.010895396,0.24546018,0.7863554,0.21193352,0.0017111864
-0.010268599,-0.030165315,-0.39388338,0.023683492,0.01099443,0.24585596,0.7857043,0.21256597,0.0017297862
-0.011318594,-0.031427056,-0.39151338,0.024011461,0.01118982,0.247195,0.7845889,0.21363755,0.0017736197
-0.012164801,-0.03279408,-0.3912063,0.02403895,0.011197364,0.2475346,0.78453577,0.21368428,0.001779974
