mu1,mu2,sigma1,sigma2,pi1,pi2
0.007089101,0.0072337165,0.021046456,0.22134162,0.73693734,0.26306266
0.0055855736,0.003891863,0.020300152,0.21851595,0.74012136,0.25987864
0.0025809333,0.004809059,0.019864483,0.2171469,0.7410272,0.25897282
0.0028506443,0.0032492056,0.019734042,0.21645407,0.74208534,0.2579147
0.003447853,0.002780296,0.01968115,0.21625954,0.74235785,0.25764212
0.0035439953,0.0014939681,0.019605687,0.21585782,0.742971,0.257029
0.00021135062,0.0047005787,0.019346142,0.21535039,0.74260014,0.2573999
0.0015799925,0.003000535,0.019437041,0.21531926,0.743223,0.25677696
0.0018451437,0.0021380559,0.019220503,0.21454251,0.7440955,0.25590456
0.0010588691,0.0029501095,0.019250011,0.21480423,0.7435748,0.25642517
0.0013633594,0.004034199,0.019472672,0.2156737,0.74258286,0.2574171
0.0024008676,0.0050288215,0.019746209,0.21672171,0.74147034,0.2585297
0.0025819764,0.0010210052,0.01934743,0.21478887,0.7441891,0.25581095
0.0027910396,0.0021073595,0.019479398,0.21555912,0.7430556,0.25694442
0.002502285,0.0031439438,0.019660128,0.21628451,0.74213976,0.25786027
0.0033753142,0.003850259,0.0198542,0.21699066,0.74141943,0.25858054
0.0006651804,0.0033800974,0.019199252,0.21465369,0.74362177,0.25637823
0.0017891452,0.0032791868,0.019432649,0.21539651,0.7430635,0.25693652
0.0024473593,0.0038949028,0.019590845,0.21606918,0.74229497,0.257705
0.0010631308,0.005213417,0.019495197,0.21591663,0.7420894,0.25791058
0.00080870837,0.0047225133,0.0194122,0.21547207,0.74270964,0.25729036
0.0006425306,0.0055767074,0.01940922,0.21559682,0.742404,0.25759602
0.0038833246,0.0043336526,0.019988665,0.21739033,0.74116564,0.2588344
0.0034429654,0.005438663,0.020000761,0.21769266,0.74048704,0.259513
0.0026356801,0.0057720914,0.01996254,0.21759032,0.7404788,0.25952125
0.0032533333,0.005387403,0.01998724,0.21757431,0.7406619,0.25933805
0.0030596778,0.004626848,0.019820351,0.21693203,0.74139655,0.25860348
0.0031618103,0.0056834593,0.019984439,0.2176593,0.74045455,0.2595455
0.0033714399,0.0053431764,0.020008888,0.21765876,0.74057424,0.25942576
0.0016864166,0.006522812,0.019747097,0.21694058,0.7409074,0.2590926
0.0012864396,0.007814385,0.019838993,0.21734361,0.7403308,0.25966915
0.0010225698,0.008186735,0.01977348,0.21711265,0.74054664,0.2594534
0.0031683668,0.009221233,0.020322453,0.21911433,0.7385669,0.26143315
0.0024706349,0.010624267,0.020354388,0.2194348,0.73791265,0.26208735
0.002127044,0.011265434,0.020399315,0.21961856,0.7376544,0.2623456
