mu1,mu2,sigma1,sigma2,pi1,pi2
-0.0006287843,-0.00027167052,0.010217308,0.13591278,0.6266439,0.37335613
-0.0020445436,-0.0003484413,0.010045063,0.13502866,0.6272815,0.37271854
-0.0026695877,0.0021896437,0.010080195,0.1354249,0.6261795,0.3738205
-0.0043172687,-0.0011030957,0.009682119,0.13294484,0.62931025,0.37068978
-0.0038193017,0.00010240823,0.0098576555,0.13402452,0.62800944,0.37199056
-0.0034879893,0.002433069,0.010014777,0.13505876,0.6264703,0.37352973
-0.0027185231,-1.4297664e-05,0.009944827,0.13441063,0.62790686,0.37209317
-0.0027067214,0.0012845472,0.010081821,0.13531701,0.6266348,0.3733652
-0.0054852813,0.008896537,0.010154372,0.13640481,0.6232412,0.37675884
-0.0029753894,0.010195442,0.010345108,0.13725989,0.6227543,0.3772457
-0.0025456697,0.01236219,0.01058973,0.13869613,0.62100726,0.3789927
-0.0028336197,0.01578296,0.010779525,0.1399527,0.6189948,0.3810052
-0.0018336326,0.014101572,0.010792144,0.13976327,0.61991113,0.3800889
0.0019482821,0.010920532,0.011172047,0.14138752,0.6197336,0.38026643
0.0037685484,0.0081648305,0.011368776,0.14224526,0.61970025,0.38029978
0.0039828867,0.0073074177,0.011379473,0.14234775,0.6196288,0.38037124
0.0041259974,0.01612658,0.011780193,0.14522457,0.61450565,0.38549432
0.0044460744,0.020041473,0.011887458,0.14586294,0.613203,0.386797
6.569922e-05,0.020032413,0.0112802265,0.1427895,0.6156497,0.3843503
0.0014651865,0.017488845,0.011309661,0.14257514,0.6169184,0.38308167
6.173551e-05,0.017198272,0.011273516,0.14246485,0.61688185,0.38311818
0.00014431775,0.011638589,0.010991186,0.14053957,0.6201509,0.37984908
0.0011253804,0.010322042,0.011167351,0.14143018,0.61963004,0.38037
0.0041549653,0.012595065,0.011696496,0.14428914,0.61666787,0.3833322
0.006261602,0.017120548,0.01218126,0.14703752,0.61319315,0.38680688
0.008120462,0.018503971,0.012401693,0.14810278,0.61218697,0.3878131
0.006123528,0.012181945,0.011703655,0.1441671,0.6171579,0.38284215
0.0049720258,0.0042026117,0.011170692,0.14092602,0.62193763,0.3780624
0.00072436035,0.0025485829,0.010672934,0.13851084,0.623763,0.37623695
0.0005944222,0.0037908629,0.010638285,0.13844037,0.6234264,0.3765736
-0.0014936179,0.004451044,0.010364447,0.13706823,0.6242879,0.37571213
-0.000678733,0.007601805,0.010579562,0.13839206,0.6224123,0.3775877
-0.00015698373,0.008189864,0.010636391,0.1386576,0.6221963,0.37780365
-0.0022720844,0.01130379,0.0105891,0.1387097,0.6211016,0.37889844
-0.0015094727,0.0037796572,0.010217145,0.13597262,0.62594205,0.37405795
-0.0052190274,0.006490536,0.010141488,0.13603896,0.6244911,0.37550893
-0.0030944496,0.009435482,0.010453778,0.13782647,0.62241256,0.3775874
0.0011691898,0.012611099,0.011128185,0.14145435,0.61884934,0.3811507
0.0019162446,0.012849636,0.01124863,0.14206356,0.6183452,0.38165477
0.0028484017,0.011410363,0.0112924315,0.14214276,0.6187722,0.38122782
0.00022168458,0.016675003,0.011314329,0.14284058,0.61630857,0.38369143
0.0035360307,0.009238787,0.011142686,0.14107731,0.62054914,0.37945083
0.003086701,0.0072564557,0.0111871185,0.14132571,0.6205495,0.37945053
0.0009497851,0.005146034,0.010810891,0.13935155,0.6224885,0.37751153
0.0047100335,0.007196553,0.011345238,0.14218618,0.619757,0.380243
0.0016871244,0.0078979805,0.010975141,0.14046375,0.62068677,0.3793132
0.0007021874,0.0073350146,0.010734497,0.13912621,0.62202543,0.37797454
0.0008109957,0.004285641,0.010573292,0.13799591,0.6239447,0.37605536
-0.00049580634,0.0036403611,0.010453021,0.13740368,0.62441397,0.375586
-0.0013196319,0.0061993673,0.0104864575,0.13782606,0.62321323,0.37678674
-0.00636898,0.0061070994,0.009860235,0.1344997,0.6258236,0.3741764
0.00067581236,0.0012540296,0.010354625,0.13649282,0.6263066,0.3736934
-0.0012860447,0.005548544,0.0105759725,0.13828017,0.622961,0.37703902
-0.0006174892,0.0072614625,0.010614861,0.13853711,0.62242854,0.3775715
0.0003155321,0.00720305,0.0106880395,0.13884194,0.62235886,0.37764117
-0.00081403553,0.005347796,0.010478424,0.13761736,0.6238472,0.37615284
-0.001734212,0.0062910393,0.010453027,0.13761015,0.6234547,0.3765453
0.00087200105,0.0054273084,0.010679699,0.13863303,0.6231116,0.37688836
-0.0003810972,0.008440621,0.010754302,0.13936907,0.6213842,0.37861577
0.0014241189,0.00097412616,0.010465973,0.13710295,0.62580407,0.3741959
-0.000761345,-0.003961496,0.01011125,0.13502656,0.62852746,0.3714725
0.0013982505,0.0033230856,0.010775542,0.13920973,0.62275434,0.37724563
-0.00010149181,0.0017677024,0.010339407,0.1367215,0.6253859,0.37461412
-0.0029204935,0.0040999725,0.01013514,0.13587059,0.6252407,0.37475935
-0.00063093007,-0.0017629787,0.010011933,0.13455693,0.6284962,0.37150374
-0.0022572726,-0.0015579984,0.00999869,0.134682,0.62792885,0.37207115
-0.0036878437,-0.002509527,0.009759784,0.13333783,0.62924653,0.3707535
-0.0041406006,0.0004227832,0.009848755,0.1340734,0.6277151,0.37228486
-0.0071513504,0.0012170151,0.009516041,0.13229704,0.628929,0.371071
-0.0038906783,0.0062790588,0.010107139,0.13580601,0.624821,0.37517896
-0.0006451756,0.007018931,0.010507779,0.13785847,0.6232554,0.3767446
-0.0010935813,0.0012503937,0.010212139,0.13583715,0.6266122,0.37338784
-0.0039770454,0.007380493,0.01033351,0.13720278,0.6231465,0.3768535
-0.0046883374,0.007095583,0.010081905,0.13569103,0.6247613,0.37523872
-0.0012717992,0.012125321,0.010777886,0.13968822,0.6202283,0.37977174
0.00056131184,0.011469491,0.010945841,0.14039879,0.6200912,0.37990883
0.0026724786,0.009179182,0.011138117,0.14116639,0.6202412,0.37975878
0.0021704584,0.0076763704,0.011067828,0.1407879,0.6207766,0.37922344
0.0021284968,0.0048158243,0.010891429,0.13968305,0.62245136,0.37754866
0.00048528612,0.00460387,0.010700441,0.13878635,0.6229926,0.37700742
-0.0005352944,0.0099755,0.010823952,0.13990733,0.6203774,0.3796226
0.0044451505,0.0089989975,0.011226425,0.14161775,0.619912,0.38008797
0.00034989417,0.006149836,0.010668727,0.13867588,0.62276596,0.37723407
-0.0011287481,0.006806858,0.010533912,0.13807248,0.62294346,0.3770565
-0.0031074136,0.006591983,0.010268624,0.13665581,0.6241303,0.37586966
-0.0026004463,0.0064422563,0.010317366,0.13685435,0.6241217,0.37587827
-0.00089640915,0.0071675256,0.010588453,0.13831516,0.6227927,0.37720734
-0.00018312037,0.007642515,0.010719935,0.13904339,0.6220608,0.37793925
0.0015544146,0.008735307,0.0109880455,0.14048824,0.62064713,0.37935284
0.0065217167,-0.004006736,0.010845586,0.13854294,0.6264404,0.37355956
0.0002014786,-0.0047239587,0.010331723,0.13632011,0.62731934,0.37268066
0.0018970817,-0.0037705824,0.0103982575,0.13669683,0.6268514,0.37314862
