mu1,mu2,sigma1,sigma2,pi1,pi2
0.012858991,-0.0021070018,0.028660066,0.011611515,0.21420464,0.7857954
0.013477553,-0.0023080334,0.028780166,0.011674488,0.21447876,0.7855212
0.01282512,-0.002369158,0.028797703,0.011677308,0.21455124,0.7854488
0.013237003,-0.0024480596,0.028850503,0.011706739,0.2146771,0.7853229
0.0134454705,-0.0024781302,0.028855724,0.01171052,0.21467736,0.7853226
0.013779689,-0.0025718883,0.02887796,0.011723292,0.21471974,0.7852803
0.012526412,-0.0024260655,0.028835507,0.0116932215,0.21465805,0.7853419
0.013139326,-0.0024881288,0.02888532,0.011723337,0.21477593,0.7852241
0.013385434,-0.0025090948,0.028917704,0.011741149,0.21483952,0.78516054
0.013050232,-0.00242842,0.028889315,0.011724779,0.21477419,0.7852258
0.012873296,-0.0022735074,0.028848562,0.011704449,0.21467179,0.7853282
0.012754161,-0.0022512153,0.028810743,0.011684872,0.21458729,0.7854127
0.0138124265,-0.0024617985,0.028933773,0.011753312,0.21486,0.78514
0.013493393,-0.0024779066,0.028879717,0.011722775,0.2147288,0.7852712
0.013180781,-0.0024714097,0.028841298,0.011701057,0.21464972,0.78535026
0.013160456,-0.0024387017,0.028810928,0.011686028,0.21457587,0.7854242
0.012907509,-0.0024002418,0.02888224,0.011720403,0.21476232,0.7852376
0.013083626,-0.002429165,0.028872091,0.011716706,0.21473876,0.7852612
0.012979407,-0.0024610087,0.028845489,0.011702087,0.21467876,0.78532124
0.012436572,-0.0023635551,0.028828388,0.01169017,0.21465531,0.78534466
0.01253416,-0.0023818836,0.028863775,0.011709007,0.21474984,0.7852502
0.012313459,-0.0022230372,0.028844733,0.011699216,0.21470037,0.78529966
0.013067383,-0.0023991987,0.028835326,0.011698884,0.21465982,0.7853402
0.012743566,-0.0023087934,0.028791254,0.0116743725,0.21454336,0.78545666
0.012528855,-0.0022702292,0.028788118,0.011671608,0.21454602,0.78545403
0.012734804,-0.0022998527,0.02879906,0.011678618,0.21456969,0.7854303
0.012924422,-0.0022787526,0.02882144,0.011691448,0.21461071,0.7853893
0.0126207955,-0.0023010597,0.02878143,0.011668657,0.21452725,0.78547275
0.012751762,-0.0023245737,0.02878756,0.011672643,0.21454051,0.7854595
0.012207199,-0.0022353008,0.028788105,0.0116694635,0.21455963,0.7854404
0.011782784,-0.0022215173,0.028771777,0.011658523,0.21455051,0.7854495
0.011631299,-0.0022104606,0.028788604,0.011666303,0.21460804,0.7853919
0.01165906,-0.0021610335,0.028729958,0.011637595,0.21446048,0.7855395
0.011205081,-0.0020341352,0.028700255,0.011620251,0.21439637,0.78560364
