mu1,mu2,sigma1,sigma2,pi1,pi2
0.044637877,-0.0004537329,0.05217441,0.018077018,0.0031651815,0.9968348
0.044154603,-0.0009683743,0.051835176,0.017898122,0.0031220468,0.99687797
0.041632522,0.001771234,0.05181762,0.01789661,0.003127434,0.9968726
0.044468958,-0.0015718117,0.05132983,0.01765728,0.0030628636,0.99693716
0.043341,0.00040902942,0.05154148,0.017770471,0.0030919078,0.9969081
0.04124697,0.0031493083,0.051766988,0.017891584,0.003126737,0.9968733
0.044029642,0.0007230714,0.051829223,0.01792757,0.0031301707,0.99686986
0.04251902,0.0024031624,0.05192047,0.017971504,0.0031430854,0.9968569
0.034305025,0.010756128,0.051763818,0.017907308,0.003145599,0.99685436
0.03570791,0.013557993,0.052373674,0.018276535,0.003234147,0.99676585
0.033594865,0.01776842,0.05270777,0.018476296,0.0032880546,0.99671197
0.030467946,0.022844411,0.052961275,0.018637063,0.0033350708,0.99666494
0.032854307,0.022324063,0.053210188,0.018792482,0.003368736,0.99663126
0.036661763,0.019670568,0.053971946,0.019181412,0.0034587262,0.99654126
0.038746554,0.015853204,0.0542599,0.01928599,0.0034815094,0.9965185
0.039059777,0.0131731555,0.054173727,0.019196458,0.0034586343,0.9965414
0.030967731,0.0210459,0.05442604,0.019320881,0.0035105406,0.99648947
0.029281963,0.025760643,0.05461259,0.019471444,0.0035515472,0.99644846
0.028403122,0.02710747,0.053690694,0.019030932,0.0034388227,0.9965612
0.031459916,0.02602359,0.053979453,0.01921168,0.0034785543,0.9965215
0.030288506,0.026801579,0.053839877,0.019136347,0.003461952,0.99653804
0.035498995,0.02098284,0.0536783,0.019042822,0.003425999,0.99657404
0.03597014,0.019193657,0.053897902,0.019122982,0.0034459531,0.9965541
0.03462835,0.020576604,0.054629173,0.019481774,0.003542086,0.99645793
0.031347323,0.02448631,0.05519313,0.019773252,0.0036259312,0.9963741
0.031475354,0.025567703,0.05553352,0.019965222,0.0036753123,0.9963247
0.036819447,0.018239997,0.05466407,0.019493947,0.0035397946,0.99646026
0.043052632,0.00867071,0.05396594,0.01908351,0.0034206503,0.99657935
0.042216856,0.005405538,0.05290628,0.018489616,0.003271752,0.99672824
0.04109742,0.00534641,0.05284295,0.018441768,0.003264225,0.99673575
0.039908577,0.005558379,0.052364565,0.018197322,0.003206227,0.9967938
0.037695725,0.009363659,0.05266757,0.01837358,0.0032550134,0.996745
0.03781717,0.010705911,0.052808434,0.018468441,0.003278006,0.99672204
0.03403147,0.014934935,0.05258714,0.018373206,0.0032621657,0.99673784
0.042188514,0.0076002106,0.052428395,0.018307708,0.0032270977,0.99677294
0.03686144,0.011068381,0.051928766,0.018034155,0.003169537,0.99683046
0.035510857,0.014339693,0.05255742,0.018375488,0.0032593028,0.99674064
0.034376014,0.018720202,0.053670365,0.018973753,0.003412587,0.9965874
