mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.57530415,-0.02212165,-0.021821156,1.5785493,0.03741633,0.010328956,0.00075684924,0.51142484,0.48781827
0.5772988,-0.021986347,-0.021982446,1.581977,0.03700853,0.010169162,0.00074041815,0.5119063,0.48735327
0.58259314,-0.021745544,-0.025188223,1.5932797,0.036125965,0.009823694,0.0007054217,0.5120508,0.48724377
0.58542573,-0.021296721,-0.025638714,1.5968486,0.035705145,0.009656161,0.000688242,0.51240444,0.48690733
0.58994186,-0.021316629,-0.028467193,1.6073427,0.03487375,0.009338098,0.00065693806,0.5128581,0.48648492
0.5919551,-0.021021347,-0.028770223,1.6101608,0.03453064,0.009204558,0.0006436508,0.5133338,0.48602253
0.5916563,-0.022174101,-0.029015675,1.6128746,0.034271527,0.009116781,0.0006359018,0.51401734,0.4853468
0.58705974,-0.023397546,-0.026914492,1.6061624,0.034769744,0.009316753,0.0006562605,0.5142451,0.48509866
0.5876882,-0.023133975,-0.02812101,1.6075219,0.0347988,0.009324618,0.00065690133,0.51371545,0.48562768
0.5884328,-0.021971088,-0.027797118,1.6048865,0.03500518,0.009391238,0.0006625229,0.51312894,0.48620853
0.5925575,-0.019830447,-0.03046383,1.6094213,0.034865465,0.009319254,0.000654129,0.51191145,0.48743448
0.5967108,-0.017558675,-0.030699387,1.6108645,0.03464165,0.009214129,0.0006422384,0.51159954,0.48775822
0.5966805,-0.01759706,-0.03102161,1.6124306,0.03457563,0.009192633,0.0006403452,0.51163197,0.48772773
0.5986598,-0.01753233,-0.031194821,1.6158594,0.034187406,0.009046257,0.00062608026,0.5121725,0.48720136
0.59577185,-0.019807082,-0.029952422,1.6155633,0.0341024,0.009034858,0.00062641926,0.5132483,0.48612526
0.58418775,-0.025162678,-0.023753539,1.603694,0.034639433,0.009286659,0.0006544356,0.5159374,0.48340815
0.5787117,-0.029544573,-0.024515525,1.6059511,0.034622535,0.00931824,0.00066070684,0.5168925,0.4824468
0.5850478,-0.027032714,-0.02803649,1.610921,0.03440439,0.009204908,0.0006475621,0.51529086,0.4840616
0.5874077,-0.02313922,-0.028732553,1.6056067,0.03502628,0.009405506,0.0006646765,0.5131338,0.48620155
0.59020436,-0.02020691,-0.028958812,1.6036708,0.035234414,0.009459451,0.00066798844,0.5119887,0.48734328
0.5824789,-0.020135622,-0.024248615,1.5881869,0.03647756,0.009943123,0.00071628386,0.5117208,0.48756298
0.5772832,-0.02192555,-0.021664992,1.5829853,0.036835693,0.010104233,0.0007340688,0.5125357,0.48673025
0.5813146,-0.02263866,-0.024806991,1.5931123,0.03614635,0.0098405555,0.0007077674,0.5122637,0.48702854
0.58736414,-0.020665985,-0.027015343,1.5993495,0.03562548,0.009618557,0.00068399607,0.5117403,0.48757568
0.5930198,-0.019471746,-0.02962996,1.6083567,0.034891754,0.009327029,0.0006544702,0.5117971,0.48754847
0.60469884,-0.017717462,-0.03480412,1.6285632,0.03321556,0.00868102,0.00059110066,0.51254123,0.4868677
0.60285956,-0.018428784,-0.03317739,1.626509,0.033211686,0.008687329,0.0005922149,0.5134492,0.48595855
0.5958108,-0.021026593,-0.03037931,1.6193529,0.03371173,0.008898328,0.0006141462,0.5143054,0.48508048
0.59155893,-0.022901397,-0.029080525,1.6147821,0.034097366,0.009058159,0.00063068315,0.5144157,0.48495367
0.5910914,-0.022925835,-0.029411212,1.6134076,0.034290016,0.009128776,0.00063746976,0.5139055,0.48545703
