mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.4049788,-0.015865115,0.012722075,1.6254706,0.037092384,0.015806334,0.0012641595,0.48946854,0.50926733
0.40566033,-0.016068725,0.011795461,1.6283176,0.036878694,0.015690787,0.0012513597,0.48947453,0.5092741
0.40624297,-0.015884308,0.011511862,1.6287322,0.036834363,0.01566099,0.0012476582,0.48943037,0.50932205
0.42021722,-0.012560872,0.00502795,1.6467125,0.03554177,0.014904787,0.0011560529,0.48662022,0.5122238
0.41763073,-0.010342745,0.008410156,1.6363372,0.03619127,0.015228793,0.0011908228,0.48771045,0.51109874
0.4163366,-0.012009649,0.0075742602,1.640728,0.03593003,0.01511759,0.0011807935,0.48788476,0.5109345
0.41532165,-0.011889486,0.008860171,1.6367948,0.036186766,0.015253602,0.0011957154,0.48804006,0.5107642
0.4113065,-0.013660101,0.01000756,1.6363124,0.036169052,0.015273135,0.0012013455,0.48934937,0.5094493
0.41132975,-0.014643578,0.00927335,1.6381187,0.03607472,0.015232834,0.0011975454,0.48906815,0.50973433
0.41621,-0.013463883,0.0072030425,1.6444709,0.035568014,0.014937101,0.0011623607,0.48839673,0.5104409
0.4120648,-0.013363866,0.00919956,1.6393425,0.035882853,0.015111037,0.001183554,0.48985696,0.5089595
0.40753204,-0.015200166,0.010311425,1.6360407,0.036185853,0.015304788,0.0012082427,0.49046883,0.5083229
0.4010051,-0.016108064,0.013222516,1.6263148,0.036922924,0.015722798,0.0012583766,0.49172315,0.50701845
0.3986919,-0.018200306,0.013731062,1.6195465,0.037663113,0.016151886,0.0013079983,0.49016702,0.508525
0.4042431,-0.016154675,0.012196958,1.6231015,0.037349097,0.015942331,0.0012798761,0.48913944,0.5095807
0.40179044,-0.01616302,0.0137555,1.6165124,0.03791353,0.016254066,0.0013157637,0.48909855,0.5095857
0.39106697,-0.017864136,0.01845938,1.6040618,0.03885436,0.016813342,0.0013869355,0.49171653,0.50689656
0.39415383,-0.0195972,0.015460074,1.6133066,0.038217306,0.016481346,0.0013485571,0.49054375,0.50810766
0.3889864,-0.019118099,0.019179642,1.6005372,0.03918205,0.017010294,0.0014113552,0.49158812,0.50700057
0.39911264,-0.019530563,0.013434231,1.6151679,0.038205016,0.016459767,0.0013422541,0.4881204,0.5105373
0.40221053,-0.015093235,0.014730871,1.609586,0.038517434,0.01656486,0.001349038,0.48817685,0.51047415
0.41233397,-0.013876108,0.009476244,1.6243536,0.03749672,0.015982173,0.0012771345,0.48543707,0.51328576
0.41785973,-0.009702353,0.009409845,1.6270038,0.037091777,0.015704004,0.0012409214,0.48570523,0.51305383
0.419896,-0.011319427,0.0076313615,1.6382358,0.036174644,0.015234001,0.0011900583,0.48597443,0.5128355
0.42083597,-0.010302691,0.0074633956,1.6400448,0.035980772,0.015118226,0.0011767378,0.48641047,0.51241285
0.4150563,-0.012833981,0.0092023015,1.6430886,0.035533004,0.014919478,0.0011606789,0.48949414,0.5093452
0.4187765,-0.013670353,0.005080521,1.6586162,0.034404155,0.014324669,0.0010967102,0.48965967,0.50924367
0.42009848,-0.0125319045,0.005310118,1.6546242,0.034699343,0.014460113,0.0011094447,0.4889782,0.5099124
0.41858518,-0.012470035,0.0054315925,1.6569135,0.034445733,0.014327949,0.0010967465,0.49039632,0.5085069
0.41094995,-0.014259366,0.008709013,1.6408815,0.035814025,0.015087948,0.0011824005,0.49000663,0.508811
0.41300917,-0.013228921,0.008071959,1.6409967,0.03583371,0.015081805,0.0011799305,0.48936218,0.5094579
0.41806066,-0.012081651,0.006816089,1.637346,0.03632883,0.015322874,0.0012014711,0.48606154,0.512737
0.41541278,-0.011273054,0.009710252,1.6329676,0.03644434,0.015379954,0.0012087084,0.48790014,0.51089114
0.40853626,-0.014389781,0.011036694,1.6306254,0.036697894,0.015571321,0.0012356284,0.48908392,0.5096805
0.40739906,-0.014612941,0.011523306,1.628737,0.03683625,0.015648725,0.0012448939,0.489301,0.5094541
0.40269148,-0.016026882,0.012936413,1.6294385,0.036628895,0.015561992,0.0012395475,0.49166363,0.5070968
0.3915398,-0.019980697,0.016460836,1.6190493,0.037469104,0.016084256,0.0013066643,0.49360773,0.50508565
0.3898679,-0.021476297,0.016190827,1.6160818,0.037836038,0.01630148,0.0013328936,0.49288395,0.5057832
0.40099233,-0.018179206,0.01198107,1.621358,0.03759409,0.016102385,0.0013010391,0.4891828,0.5095161
0.4078619,-0.014278678,0.011417687,1.61853,0.037852824,0.016180519,0.0013023023,0.48700997,0.51168776
0.3936978,-0.01596847,0.01858455,1.6007552,0.039146855,0.016942166,0.0013981623,0.4907061,0.5078957
0.38624805,-0.020581035,0.019851863,1.5954868,0.039816406,0.017392704,0.0014577626,0.49058977,0.50795245
0.39300692,-0.018989472,0.01749295,1.6032726,0.039091054,0.016952913,0.0014015579,0.48965594,0.50894254
0.4016844,-0.017895488,0.013766468,1.6145848,0.03817984,0.016420377,0.001334861,0.48780316,0.51086193
0.3998798,-0.016880183,0.015470326,1.6113476,0.03830319,0.016477514,0.00134194,0.489104,0.5095541
0.3972736,-0.017760424,0.015178978,1.6147847,0.03801783,0.016342537,0.0013297298,0.4903871,0.5082832
0.40183747,-0.016213445,0.013042867,1.6201334,0.03762929,0.016103998,0.0012994286,0.4894926,0.50920796
0.40527827,-0.015711932,0.012190402,1.6244721,0.037206393,0.01586008,0.0012698569,0.48916,0.5095701
0.40544522,-0.0159699,0.012286365,1.6211519,0.03757493,0.016062401,0.0012918586,0.48806313,0.51064503
0.40176862,-0.015959648,0.014583647,1.6140366,0.038102772,0.016355868,0.0013266905,0.48886237,0.509811
0.40101165,-0.016014246,0.013777435,1.6201725,0.03754791,0.016060673,0.001295112,0.490253,0.5084519
0.39937,-0.017226724,0.014225662,1.6198324,0.037555605,0.016081532,0.0012991595,0.4906074,0.5080934
0.39701462,-0.018288163,0.014953315,1.6179254,0.037696823,0.01617402,0.0013116011,0.49107227,0.50761616
0.3921643,-0.01946464,0.016932428,1.6088372,0.03851423,0.016642785,0.001367908,0.49116224,0.5074699
0.39608228,-0.018737582,0.01494962,1.6137986,0.038149867,0.016425293,0.0013404186,0.49024767,0.5084119
0.39426178,-0.01775804,0.01653248,1.6072656,0.038673732,0.016702391,0.0013721016,0.4905044,0.5081235
0.3964839,-0.018206863,0.015365779,1.6091346,0.03862512,0.016678162,0.0013678699,0.4891807,0.5094514
0.3917061,-0.018063692,0.018514931,1.6005552,0.03923099,0.017018167,0.0014094549,0.49055368,0.5080369
0.38553548,-0.020979552,0.020080507,1.5965257,0.039632227,0.017293058,0.0014472037,0.49136752,0.50718534
0.38931775,-0.020570306,0.018209517,1.6013068,0.039262183,0.017073052,0.001419022,0.49043298,0.5081481
0.3916155,-0.01960626,0.017704189,1.6022906,0.039155588,0.016994804,0.0014077818,0.49003685,0.5085554
0.39278042,-0.018955497,0.017221034,1.6027611,0.03914917,0.01698141,0.001405054,0.48966774,0.50892717
0.39919376,-0.017478852,0.014695346,1.6100597,0.038564567,0.0166291,0.001359839,0.4883335,0.51030666
0.39243078,-0.017074851,0.01855117,1.5999074,0.03928573,0.017035343,0.0014102904,0.49046683,0.50812286
0.38827848,-0.020465879,0.018837512,1.6018534,0.039157327,0.017020129,0.0014137758,0.49120125,0.507385
0.3945914,-0.01944664,0.016025245,1.6092197,0.03857781,0.016672296,0.0013692462,0.48975995,0.50887084
0.39342636,-0.018645314,0.017432392,1.6027485,0.039111268,0.016954925,0.0014012809,0.48966366,0.5089351
0.39148897,-0.019199995,0.017713368,1.6049985,0.03885169,0.016825464,0.0013886715,0.4909184,0.50769293
0.3828513,-0.02119234,0.020947397,1.597352,0.03941945,0.017182432,0.0014370014,0.4931978,0.50536525
0.38861394,-0.021193413,0.01734978,1.6023426,0.03927314,0.017089233,0.0014220336,0.49024466,0.50833327
0.39737117,-0.017681746,0.015772402,1.6050628,0.038978726,0.016858079,0.001386844,0.48839378,0.5102194
0.39725006,-0.017437844,0.016166508,1.6050842,0.038952842,0.016844293,0.0013851938,0.48859736,0.5100175
0.3886134,-0.018727927,0.020090759,1.5936884,0.039888903,0.017397963,0.0014552254,0.490346,0.5081988
0.39112484,-0.019403009,0.017703235,1.6034157,0.03908201,0.01695916,0.0014041241,0.49031296,0.5082829
0.39694637,-0.018166093,0.015673101,1.6094744,0.038557056,0.016640518,0.0013631425,0.4892051,0.50943184
0.40258706,-0.017501025,0.013548195,1.6162382,0.03799707,0.016313286,0.0013221474,0.4880044,0.5106735
0.41140872,-0.014197735,0.010199249,1.6238471,0.03744832,0.01595891,0.0012753407,0.48609045,0.5126342
