mu1,mu2,sigma1,sigma2,pi1,pi2
0.0005475208,0.011399139,0.008327475,0.060243715,0.5263304,0.47366956
0.0008993,0.010808621,0.008143334,0.059477128,0.5263568,0.47364318
0.0012978166,0.008648202,0.0077866446,0.05797808,0.5267438,0.47325614
0.0017326698,0.008168437,0.007597192,0.057159197,0.5267319,0.47326812
0.002605997,0.006003253,0.0071152807,0.055029396,0.5270649,0.47293505
0.0035224408,0.0050960667,0.006759513,0.053402,0.52709043,0.4729096
0.0041918457,0.004963197,0.0065511214,0.052409597,0.52704513,0.47295493
0.0038961247,0.0070199445,0.0068059606,0.053551327,0.5266817,0.47331828
0.0036597997,0.006471347,0.0068270396,0.053658023,0.5268663,0.4731337
0.0033160336,0.006602615,0.0069458694,0.05421774,0.52686304,0.473137
0.0027953163,0.0042481497,0.006903128,0.054088455,0.52744156,0.47255847
0.0030895434,0.0026960485,0.00669276,0.053165466,0.527635,0.472365
0.0027981028,0.0021805987,0.006736109,0.053386293,0.52778757,0.47221243
0.003339406,0.0015764944,0.006530034,0.052431073,0.5277872,0.47221282
0.0034783073,0.0033340268,0.006631181,0.052858803,0.52741367,0.4725864
0.004333146,0.009030666,0.0068534836,0.05372865,0.526149,0.47385105
0.0045862794,0.010860067,0.00691546,0.053920437,0.52589095,0.47410908
0.0046179295,0.008923188,0.00673946,0.05314946,0.5263048,0.47369525
0.0037461892,0.007283572,0.006869992,0.0538195,0.52676666,0.47323337
0.0033616424,0.005532574,0.0068459883,0.053775936,0.52713686,0.4728632
0.002071783,0.007973071,0.007472061,0.056594,0.5267801,0.4732199
0.0018544197,0.0097064935,0.0077052875,0.057584487,0.526448,0.473552
0.0011395887,0.0093584545,0.007909366,0.058492966,0.5266411,0.47335893
0.0011215508,0.007826287,0.0077703693,0.0579413,0.52690643,0.47309354
0.0016576983,0.0055759437,0.0073838267,0.056281738,0.5272712,0.4727288
0.004178088,-0.00015663728,0.006158988,0.050673116,0.5280457,0.47195432
0.005075492,-6.567687e-06,0.0059336103,0.04955522,0.52786344,0.4721366
0.005002454,0.0025013797,0.0061354553,0.050474335,0.52739584,0.47260416
0.0043049157,0.00509144,0.0065269256,0.052288946,0.5269992,0.47300082
0.0037172213,0.005905565,0.0067636464,0.05338377,0.52694285,0.47305712
0.0038554743,0.0055027343,0.006691681,0.053058203,0.52700156,0.47299844
0.004363656,0.00543103,0.0065396256,0.052336425,0.5269459,0.4730541
0.003661573,0.0068057366,0.006857719,0.053795252,0.5267889,0.47321114
0.0031048357,0.006902512,0.0070356685,0.054622605,0.5268467,0.47315335
0.0025968514,0.0085303895,0.0073443395,0.05599519,0.52656746,0.47343254
0.002188012,0.010961261,0.007705295,0.057536986,0.52614874,0.47385126
0.0022644252,0.006504018,0.007260231,0.05565902,0.527095,0.472905
0.0025709458,0.0015344843,0.006746627,0.053449757,0.5279765,0.4720235
0.0031179525,0.00047123432,0.0065105027,0.052374374,0.52805054,0.4719495
0.0035278574,0.0043382496,0.0067070452,0.053195592,0.52719194,0.4728081
0.0037874132,0.0056911036,0.006729413,0.053235877,0.52695465,0.47304538
0.0041225962,0.004230574,0.006508352,0.052222546,0.5272155,0.47278452
0.004259199,0.005479835,0.006575175,0.052510273,0.5269278,0.47307214
0.0039861947,0.0054161064,0.00664629,0.052838687,0.5270367,0.4729633
0.0042603128,0.003849741,0.0064426824,0.051917374,0.52729374,0.4727063
0.0049357787,0.0040327087,0.006271746,0.05108867,0.5271413,0.47285876
0.0033309646,0.007851537,0.0070502954,0.054660443,0.5266259,0.47337416
0.0018916503,0.009385731,0.0076518506,0.057345986,0.52652633,0.4734737
0.0017537661,0.009481844,0.0077116806,0.057618085,0.5264998,0.47350016
0.0030227639,0.008075137,0.0071675205,0.055200167,0.5266,0.47340003
0.0031741299,0.00785581,0.007097326,0.054877426,0.5266426,0.4733574
0.002707176,0.008322243,0.007286423,0.055731796,0.5266122,0.47338778
0.0031260215,0.0068707503,0.007027192,0.054586105,0.5268435,0.47315648
0.0028364249,0.009934176,0.0073963427,0.056187157,0.5262441,0.47375587
0.0025343485,0.0133962035,0.007818785,0.0579502,0.52563846,0.47436157
0.002719786,0.013281684,0.0077362917,0.05757462,0.5256769,0.4743231
0.0024532042,0.01243696,0.0077464986,0.057647627,0.5258927,0.4741073
0.0017520376,0.012684047,0.008019104,0.058847375,0.5259326,0.47406745
0.0015625134,0.012777928,0.008098989,0.059197932,0.52592844,0.47407153
0.0015328564,0.009466775,0.007780701,0.057906996,0.5266132,0.47338685
0.0014072433,0.008741494,0.007762353,0.057871778,0.52669823,0.4733018
0.0014314651,0.009778529,0.007856061,0.058254633,0.5264784,0.47352156
0.0013860948,0.011622731,0.008050019,0.059041396,0.5261161,0.47388396
0.0022156425,0.008396748,0.0074500716,0.05646945,0.5266814,0.4733186
0.003150873,0.004949674,0.006855558,0.053850736,0.52720773,0.47279227
0.0035190955,0.0044569485,0.0067092073,0.05318186,0.52723944,0.47276053
0.003549561,0.0057589486,0.0068083364,0.053608444,0.5269728,0.47302726
0.003541395,0.0051004216,0.006751024,0.05335072,0.52713406,0.47286594
0.003759101,0.0040437356,0.006601632,0.052679554,0.52729446,0.47270554
0.002941072,0.0075729564,0.0071515753,0.055150755,0.5266836,0.47331643
0.0029469132,0.007821914,0.0071661873,0.05519786,0.52667534,0.47332466
0.0033415034,0.007990435,0.0070580384,0.054696254,0.52656895,0.47343105
0.00390698,0.007624414,0.006852117,0.053741902,0.5265896,0.47341046
0.0031548142,0.009003513,0.0072032213,0.055323374,0.52642995,0.47357008
0.0026338808,0.011809833,0.0076338155,0.05718433,0.52593124,0.47406876
