mu1,mu2,sigma1,sigma2,pi1,pi2
-0.002312366,-0.0076927356,0.014815654,0.057733513,0.53465456,0.4653454
-0.0021550097,-0.008026909,0.01465421,0.057304386,0.5347047,0.46529534
-0.0021536313,-0.007802125,0.014693761,0.057402797,0.5346615,0.46533856
-0.0013517551,-0.015214555,0.013037852,0.053106308,0.5360047,0.46399534
-0.0012339577,-0.013824239,0.01323602,0.053633306,0.5356855,0.46431455
-0.0011119843,-0.0147879645,0.013005984,0.053008582,0.53589356,0.46410647
-0.0014980361,-0.013232484,0.013453807,0.054217458,0.5356012,0.46439883
-0.0013712905,-0.011501726,0.013662122,0.054726593,0.5352741,0.46472588
-0.0016328208,-0.010986,0.013870535,0.05527839,0.5352099,0.46479014
-0.0013005659,-0.012868315,0.013392015,0.054020584,0.53552926,0.46447074
-0.0007472895,-0.011889938,0.013271562,0.053645607,0.53529483,0.46470514
-0.00067068264,-0.010820571,0.013383855,0.053908218,0.5351102,0.4648898
-0.00050127134,-0.0083711445,0.0136854835,0.05464949,0.5346345,0.46536553
-0.0020956062,-0.0055671446,0.015028816,0.05819728,0.53427505,0.46572497
-0.0018867366,-0.0075356923,0.014574653,0.057058945,0.5346073,0.46539274
-0.002437327,-0.006099846,0.015157631,0.05857877,0.53438985,0.46561015
-0.002202388,-0.0023184195,0.01572141,0.0599172,0.53366977,0.4663302
-0.0022840984,-0.0038794614,0.015438524,0.05921559,0.53399736,0.4660026
-0.0025163405,-0.0005443208,0.016238846,0.061194163,0.5333734,0.46662658
-0.0034197606,-0.003833808,0.016139077,0.061065447,0.5341152,0.46588486
-0.003054589,-0.0049509853,0.015754808,0.06012887,0.53423035,0.4657697
-0.0032953173,-0.010158017,0.014935955,0.058154874,0.5352653,0.46473464
-0.002500452,-0.013075598,0.014032245,0.055830337,0.535671,0.464329
-0.0025823824,-0.013823114,0.0139488075,0.05562704,0.53583217,0.46416783
-0.00238863,-0.014417507,0.013751645,0.055108942,0.5358959,0.46410412
-0.0016222335,-0.011726189,0.013786383,0.055094827,0.53532135,0.46467865
-0.00027907267,-0.015521754,0.012475709,0.051518213,0.53595185,0.46404818
-0.0004943907,-0.014964409,0.012668548,0.052054934,0.5358459,0.4641541
0.00084076077,-0.016210273,0.011856278,0.049748544,0.5359816,0.46401846
-0.00044153258,-0.012401391,0.013019444,0.052944098,0.5353881,0.46461192
-0.00013601407,-0.013929155,0.012633313,0.051903673,0.53564733,0.46435264
-0.001925528,-0.0141058825,0.0135137355,0.054407563,0.5358412,0.4641588
-0.0016168542,-0.01230773,0.013681779,0.05482415,0.53543514,0.46456486
-0.0019053593,-0.010206595,0.014160767,0.05605141,0.5350994,0.46490058
-0.0019808188,-0.00928532,0.014350569,0.05653383,0.5349168,0.46508324
-0.00084497035,-0.008236151,0.013904226,0.05525742,0.53462845,0.46537158
-0.0011096485,-0.0031300597,0.014904214,0.05775879,0.53373224,0.4662678
-0.0015045814,-0.0018444248,0.015336579,0.05884829,0.5335524,0.46644756
-0.0018510558,-0.0061402246,0.014765897,0.057499237,0.53439474,0.4656053
-0.0023220293,-0.008525606,0.014657647,0.057327256,0.53485596,0.46514407
-0.0022387058,-0.0032209456,0.015602419,0.05964911,0.5338561,0.46614394
-0.003621161,0.00037020072,0.017127201,0.06344919,0.53334624,0.4666538
-0.0033331774,-0.0016829856,0.016526243,0.061994262,0.5336674,0.46633264
-0.0036498494,-0.0041255653,0.01625525,0.06139982,0.5341542,0.46584585
-0.0034279115,-0.0030123852,0.016364336,0.061649088,0.533905,0.46609497
-0.0025578663,-0.0040823035,0.0156011535,0.059673104,0.53404313,0.46595684
-0.0018158928,-0.007647671,0.014514305,0.05689671,0.5346353,0.46536472
-0.001729913,-0.008271478,0.014371045,0.05653792,0.5347313,0.46526873
-0.0028268546,-0.007091645,0.015207743,0.058757346,0.53461194,0.4653881
-0.0032293387,-0.0047818124,0.015896143,0.060498953,0.5342003,0.46579975
-0.0017737038,-0.0072824173,0.014568593,0.05703711,0.534545,0.46545503
-0.0018139072,-0.0061044283,0.014787949,0.05757899,0.534329,0.46567103
-0.0018542856,-0.004696563,0.015056112,0.058238808,0.5340774,0.4659226
-0.0025594123,-0.0018756501,0.015996663,0.060614116,0.53362626,0.46637377
-0.0022846535,-0.0039379373,0.015432977,0.05920756,0.5339923,0.46600768
-0.002176851,-0.0035385415,0.015456206,0.059257958,0.5338996,0.4661004
-0.0028159283,-0.0039492995,0.015757473,0.0600727,0.53404784,0.4659522
-0.0027988516,-0.0016096309,0.01621848,0.061193626,0.53359175,0.46640828
-0.003276337,0.0011149049,0.017047223,0.06320983,0.53315604,0.46684393
-0.0032688454,-0.00014944002,0.016772434,0.062555395,0.5333847,0.46661535
-0.003270574,-0.0006554425,0.016684309,0.06235565,0.53347147,0.46652856
-0.0032548122,-0.0015376508,0.016501525,0.06192125,0.5336371,0.46636292
-0.0032237917,-0.0042102,0.015966803,0.060642812,0.53412473,0.46587527
-0.0027559064,-0.0022672229,0.016075741,0.060853004,0.53370637,0.46629366
-0.003009379,-0.00041324273,0.01656774,0.06204068,0.5334129,0.46658716
-0.0030052178,-0.002495505,0.016146151,0.061031707,0.53378934,0.46621066
-0.0034839325,-0.001088269,0.01674989,0.062552616,0.53356165,0.46643832
-0.0027485676,-0.0014314689,0.016210405,0.061158292,0.5335675,0.46643248
-0.0022852272,0.0014973693,0.016482646,0.061730087,0.5329948,0.46700522
-0.00297283,-0.0009013973,0.016408121,0.061628222,0.5335328,0.46646717
-0.0032327399,-0.0029045716,0.016221868,0.061253373,0.5338876,0.4661124
-0.0033750571,-0.002971042,0.016318487,0.061516076,0.5339169,0.4660831
-0.0037033856,0.0005131103,0.017238997,0.06374439,0.53329605,0.46670392
-0.0030362979,-0.0018514022,0.016299946,0.061407395,0.5336816,0.4663184
-0.0030114464,-0.0035690144,0.015957117,0.06058847,0.5339814,0.46601862
-0.0034788474,-0.004470948,0.016086496,0.060975812,0.5341881,0.46581188
-0.0034270696,-0.008695375,0.015277519,0.059018925,0.53496313,0.4650369
-0.0027176104,-0.010218959,0.014626272,0.057337455,0.5351531,0.4648469
-0.001370512,-0.013661273,0.013316727,0.053845733,0.5356884,0.46431163
-0.0020476356,-0.012420341,0.013870133,0.055344634,0.5354989,0.46450108
-0.0019035749,-0.011212859,0.013997669,0.05565071,0.535253,0.46474698
-0.0014783926,-0.0095430575,0.014035528,0.055679638,0.53491557,0.4650844
-0.00055493414,-0.010698922,0.01333843,0.053775374,0.53506666,0.46493334
-0.0007291548,-0.011973828,0.013218816,0.053485867,0.5353326,0.46466735
