mu1,mu2,sigma1,sigma2,pi1,pi2
-0.0026102685,0.046196233,0.028899997,0.11752581,0.954788,0.045211952
-0.001067447,0.04963718,0.028487625,0.11684554,0.95532113,0.044678923
-0.0009808713,0.0476713,0.028347557,0.11624618,0.9555269,0.044473097
0.00085547334,0.051569533,0.027876338,0.115460515,0.9561388,0.043861225
0.0011914796,0.0512339,0.027283303,0.11385502,0.95692074,0.04307926
0.002864217,0.05542813,0.026391843,0.111949526,0.95807934,0.041920673
0.0028888262,0.056700002,0.025857907,0.11064496,0.95876634,0.041233685
0.002282185,0.056994837,0.026083956,0.1112926,0.9584493,0.041550674
0.00091259694,0.05271427,0.026429156,0.11175735,0.9580087,0.041991327
0.0013276762,0.053283554,0.026568424,0.11220375,0.9578313,0.042168677
0.00013998663,0.047233414,0.02718143,0.11315904,0.95707184,0.042928167
0.0025742925,0.05193157,0.026612952,0.11217394,0.9578256,0.0421744
0.0020835004,0.050083023,0.026976747,0.112918966,0.9573611,0.042638928
0.0037714518,0.053948205,0.026432088,0.11188819,0.9580713,0.041928735
0.0039309836,0.05622102,0.026386704,0.112005256,0.95810723,0.041892745
0.00515685,0.066472456,0.025536941,0.11081099,0.9591383,0.04086177
0.0011313832,0.059052687,0.025886474,0.11095423,0.9586526,0.041347366
0.0004534549,0.054401707,0.025896573,0.110516295,0.9586708,0.041329246
-0.00028552348,0.05013929,0.026463596,0.11159896,0.9579584,0.04204158
0.00029974198,0.050281625,0.026472006,0.11163995,0.9579674,0.04203259
7.3215924e-06,0.05120335,0.027355807,0.114073366,0.9568,0.043200057
-7.429207e-05,0.052781086,0.02754479,0.11472978,0.95653355,0.043466423
-0.0015074336,0.046926092,0.028542604,0.11666159,0.9552696,0.044730484
-4.7730748e-05,0.04760773,0.028583972,0.11685174,0.95524675,0.044753246
0.001097945,0.04834653,0.02821669,0.11597579,0.9557435,0.0442565
0.00414749,0.053612363,0.025946217,0.11054651,0.9587191,0.041280914
0.005648782,0.059146177,0.025049677,0.10869649,0.95987755,0.040122442
0.004605373,0.059492808,0.025160369,0.1090307,0.9597004,0.04029957
0.0030386127,0.057067733,0.02583063,0.11060357,0.9588009,0.04119911
0.0018767319,0.053889226,0.02642102,0.111858465,0.9580301,0.041969918
0.0022155843,0.054567706,0.02622733,0.111421555,0.95828575,0.041714296
0.0026291735,0.05694033,0.025670629,0.11017511,0.9590034,0.04099661
0.0011827475,0.054216247,0.026278554,0.11152165,0.95819795,0.041802105
0.00058813905,0.051990222,0.026738733,0.112513416,0.9576052,0.042394802
0.0007802895,0.05359314,0.02704493,0.1135056,0.9571928,0.042807247
9.201979e-05,0.054106485,0.027450005,0.11462669,0.9566406,0.043359414
-0.0014172741,0.04502515,0.027806545,0.114543505,0.9562427,0.04375734
0.0013624183,0.04618902,0.027290212,0.11333932,0.95697594,0.043024108
0.0037905327,0.052646738,0.0265281,0.112017296,0.9579629,0.042037107
0.004686681,0.060037147,0.026091134,0.1116253,0.9584752,0.041524857
0.0026536188,0.05639,0.026302384,0.11178334,0.9581817,0.04181834
0.0026644296,0.054119837,0.026165951,0.111188464,0.9583819,0.04161813
0.0035546771,0.05790041,0.02586703,0.11080594,0.958755,0.041245017
0.0017176918,0.053435754,0.026280617,0.11143201,0.958216,0.04178402
0.0024656258,0.053977054,0.025918774,0.1105288,0.95870507,0.04129492
0.0035587153,0.05888314,0.025082685,0.108779825,0.9597837,0.040216275
0.0008457429,0.054506075,0.0264703,0.11206477,0.95793587,0.042064145
-0.00080273533,0.049408536,0.027866254,0.115195654,0.95613056,0.043869466
-3.5935082e-06,0.05087964,0.027939346,0.11555547,0.95604,0.04395998
0.0012842244,0.05476771,0.026760675,0.112871185,0.9575632,0.042436764
0.00076537346,0.053518396,0.026713664,0.112606384,0.95762485,0.04237517
0.00038857525,0.052155267,0.027125774,0.1135567,0.9570919,0.04290806
0.0008562631,0.052512746,0.026723914,0.11253073,0.9576253,0.042374656
0.0013433672,0.05688442,0.02677514,0.113148905,0.9575218,0.042478204
-0.00023830915,0.05666889,0.027173994,0.114178166,0.9569601,0.043039925
-0.0014008456,0.05363674,0.027187206,0.113883786,0.956944,0.04305601
-0.0018271827,0.051071804,0.027402122,0.11418327,0.9566817,0.043318313
-0.0021094033,0.049944352,0.027914079,0.11540677,0.9560244,0.04397559
-0.0019751512,0.050566565,0.027987909,0.11566529,0.95592755,0.044072464
-0.0025441893,0.04545645,0.02817677,0.11557418,0.9557296,0.044270433
-0.00045692408,0.049337965,0.028001986,0.11556033,0.95596844,0.044031557
-0.00015459443,0.05157883,0.027997265,0.11578093,0.95595735,0.04404264
-0.00023324275,0.052762073,0.028187726,0.11640102,0.9556922,0.044307843
-0.00044198567,0.04920153,0.02775909,0.11487962,0.9562806,0.043719444
0.0016015745,0.05136476,0.026814373,0.11264337,0.95753884,0.04246118
0.0025167516,0.054163944,0.026365919,0.11175021,0.95811945,0.041880537
