mu1,mu2,sigma1,sigma2,pi1,pi2
0.0017203316,0.007432122,0.020955577,0.07240098,0.9455274,0.054472607
0.0018018968,0.005988855,0.020958077,0.072328396,0.9455251,0.054474916
0.0016211681,0.006249804,0.020970598,0.07237937,0.9454926,0.054507393
0.004488189,-0.0010383539,0.020596428,0.07103784,0.9463104,0.05368962
0.0025807433,0.008828182,0.020072494,0.07030382,0.9471704,0.052829646
0.003585998,0.0045049377,0.020207666,0.07038621,0.94697315,0.05302684
0.0030498393,0.0070355125,0.020352773,0.07087723,0.9466866,0.053313415
0.0020696633,0.008834917,0.020286778,0.07082499,0.94675595,0.053244088
0.0025124364,0.005840916,0.02062091,0.07147764,0.9461715,0.05382846
0.0028504021,0.005233366,0.020399809,0.07090462,0.94658744,0.05341256
0.001198139,0.010134298,0.019883482,0.069924735,0.9474434,0.052556626
0.000893157,0.00834002,0.019947164,0.07000097,0.94730705,0.052692976
-0.00081150234,0.011330087,0.019748509,0.0697046,0.94758266,0.052417386
0.00075946003,0.0038477369,0.021050317,0.07248284,0.94529414,0.05470585
0.0010755174,0.0044182725,0.020781375,0.07186242,0.94579494,0.054205112
0.0011209287,0.005160589,0.021096902,0.072665885,0.94523233,0.054767717
-0.0013729259,0.011555392,0.020793721,0.07231483,0.9456493,0.054350685
0.00035581738,0.0030829497,0.02120455,0.07283163,0.94499254,0.05500747
-0.0017317608,0.009948332,0.021088736,0.072966315,0.9450937,0.05490629
0.0024146773,-0.003548842,0.022219222,0.07486438,0.94329846,0.056701567
0.0012442954,0.005349476,0.02146654,0.073573306,0.9445786,0.05542143
0.0051282905,-0.0044483356,0.021975465,0.07416689,0.94388545,0.05611455
0.0043164007,0.0043771453,0.020960312,0.07220969,0.9456571,0.05434293
0.005264085,0.0027626343,0.021153117,0.072550155,0.9453661,0.05463394
0.0050888173,0.0051508136,0.020990638,0.072270624,0.9456527,0.05434729
0.002393704,0.012318928,0.020401126,0.071254104,0.9465765,0.053423584
0.0029374547,0.0068428107,0.019837223,0.06957866,0.9476198,0.052380215
0.0026216544,0.007639665,0.019908909,0.06981318,0.9474722,0.05252778
0.0010446645,0.011156995,0.0189593,0.06767091,0.94913876,0.05086123
0.001387909,0.0074131675,0.019852795,0.06970902,0.9475047,0.05249528
0.0015997626,0.0064346977,0.019622678,0.06909643,0.9479341,0.05206594
0.0046753027,-0.0012075119,0.020910392,0.07179022,0.94575655,0.054243427
0.0023701712,0.009544868,0.020272933,0.070838146,0.94679624,0.053203702
0.002469439,0.006707985,0.020702356,0.07172724,0.94602317,0.053976823
0.0020508058,0.0071261115,0.020788638,0.07196472,0.94584614,0.05415384
-0.0004354976,0.012583632,0.01992755,0.07019055,0.9472791,0.052720953
-0.002295483,0.012845594,0.020224659,0.0709856,0.9466351,0.053364895
-0.0019289255,0.0072822757,0.020715138,0.07191054,0.94575256,0.054247465
0.00092837214,-0.0006678514,0.021066757,0.07230653,0.9452627,0.05473735
0.002241142,0.0005563088,0.02110977,0.072453484,0.94526124,0.054738767
-0.0011421628,0.012376029,0.020669058,0.07206403,0.9458864,0.054113656
0.00026884302,0.0037793703,0.022113316,0.07505026,0.94337463,0.056625422
0.00054580346,0.0038296767,0.02185573,0.07443287,0.9438459,0.056154024
0.0024219118,-3.3359975e-05,0.022185538,0.07496703,0.9433662,0.056633748
0.00095930696,0.0069819875,0.021772554,0.074387826,0.944024,0.055975944
0.00052715465,0.0066741295,0.021267658,0.073159,0.944898,0.055102035
0.0012639612,0.004062075,0.020810844,0.07190319,0.94575304,0.054247003
0.0011387952,0.005647082,0.020625422,0.07154207,0.9460822,0.053917855
0.002426993,0.0024237223,0.021462133,0.07336577,0.94465095,0.05534906
0.001578711,0.006401796,0.021627806,0.07398712,0.9443165,0.055683468
0.00073478743,0.007727701,0.020619284,0.07163068,0.9460762,0.053923726
0.00023398176,0.0076613016,0.020679561,0.07178755,0.94593924,0.054060727
-0.00040453672,0.007972021,0.020720435,0.07192301,0.9458297,0.054170337
-0.00064368546,0.0069229193,0.021272447,0.073218994,0.9448219,0.055178113
0.00011553988,0.004014034,0.021147596,0.07275465,0.94508195,0.054918054
-0.00059844553,0.006855745,0.020911632,0.07235398,0.9454696,0.054530412
0.0009581186,0.002000589,0.02149798,0.073480666,0.9444996,0.05550043
-0.0008133799,0.008619506,0.021230048,0.07322343,0.9448893,0.05511075
-0.0009785034,0.0065282173,0.02175942,0.0743874,0.9439326,0.056067362
-0.0002320297,0.0035762973,0.021855833,0.07444539,0.943799,0.056201
-0.00018570945,0.004425425,0.021782642,0.074319035,0.9439324,0.056067582
0.00029694661,0.0035866685,0.02178239,0.07426248,0.9439593,0.056040727
0.0016485341,0.0012007542,0.021780206,0.07409694,0.94403726,0.055962767
-0.0006242059,0.009529967,0.021157697,0.07308763,0.9450318,0.054968115
-0.0005607046,0.006296117,0.021579674,0.0739278,0.94427675,0.055723302
0.00056188926,0.0027101822,0.021672346,0.07393684,0.9441694,0.05583054
0.00026510656,0.005052466,0.021903614,0.074625075,0.94374645,0.05625357
-0.00068131834,0.007328946,0.021335173,0.07340031,0.94470733,0.055292718
-0.0029620714,0.011557121,0.020954076,0.07275084,0.94526976,0.05473026
0.00019932166,-0.0005446486,0.0218684,0.07425035,0.9437928,0.056207173
0.0008417368,0.0018277355,0.021768298,0.07413267,0.944011,0.055988967
0.0010477938,0.0034648962,0.021776268,0.07422938,0.9440126,0.055987436
-0.0003021881,0.0076649375,0.02194993,0.07488944,0.94363666,0.0563634
0.00030104443,0.0041502304,0.021653203,0.07397031,0.94419163,0.055808417
0.0009646788,0.0031989403,0.021614635,0.0738145,0.94429624,0.055703755
0.0021355003,0.001593966,0.02196642,0.074541084,0.94373846,0.05626148
0.0042259656,-0.0012485795,0.021957379,0.074312,0.9438719,0.056128114
0.003335707,0.0054030605,0.021178136,0.0728086,0.9452153,0.054784704
0.0032244995,0.0058500357,0.020292258,0.07067081,0.9468026,0.053197365
0.00365467,0.004866738,0.020785194,0.071804814,0.9459375,0.054062497
0.0026796162,0.007972557,0.020640012,0.071628824,0.9461505,0.053849522
0.0013080612,0.009982426,0.020406654,0.071189515,0.94649994,0.053500082
0.0006667748,0.009026606,0.019893376,0.06989906,0.9473954,0.05260462
0.0017220974,0.004739005,0.020101903,0.07018551,0.94706315,0.052936856
0.0011364073,0.007436473,0.020007653,0.07011254,0.94720644,0.052793607
0.001093734,0.0067460127,0.020241965,0.07065649,0.9467763,0.053223718
0.0010610335,0.0062520094,0.020853499,0.072124034,0.94566905,0.05433096
0.00037607178,0.0075550266,0.02074434,0.07194161,0.94582945,0.054170527
-0.0006806515,0.0088677,0.020866062,0.07233115,0.94555336,0.05444664
-0.0007038601,0.006594438,0.021283887,0.07323014,0.94479746,0.055202555
0.0015030988,0.000302393,0.021603756,0.0736238,0.9443409,0.055659126
0.0013370998,0.004252512,0.021123042,0.072684355,0.9451951,0.05480497
0.0016577728,0.0042689033,0.021052703,0.072502725,0.94533974,0.054660253
0.0008525029,0.00699969,0.021253332,0.073141254,0.9449416,0.05505843
0.0028671958,0.00079079345,0.021574084,0.07353307,0.9444748,0.055525217
0.0031250902,0.0033039637,0.021396717,0.07323169,0.9448098,0.055190198
0.001984086,0.007563073,0.02103732,0.07260558,0.94539523,0.05460478
0.0019941144,0.0061416216,0.02087634,0.07213467,0.9456827,0.054317318
0.0025956966,0.004490871,0.020537347,0.07121447,0.94632274,0.05367729
0.001175221,0.0092385,0.020033611,0.07025702,0.9471658,0.052834254
0.0020007528,0.005027134,0.02067985,0.07160571,0.94603324,0.053966742
0.00119799,0.007676918,0.020508496,0.07134465,0.9463024,0.053697616
0.00049619004,0.008214492,0.02052401,0.07142739,0.9462362,0.053763814
0.0013620295,0.0045610853,0.02045824,0.071065396,0.9463956,0.053604454
0.0006425455,0.0073163696,0.02078109,0.07201465,0.9457775,0.054222517
0.0014444739,0.0041410513,0.021142483,0.07270679,0.9451683,0.054831702
0.0008247383,0.0066979714,0.020785656,0.071990244,0.9457783,0.054221734
0.00015416741,0.007650394,0.020792488,0.07207113,0.9457302,0.05426983
0.0009852685,0.0041349716,0.021309085,0.07312061,0.94484437,0.05515563
0.00040642545,0.006502945,0.020974515,0.0724521,0.94541436,0.054585613
0.00046395883,0.005635757,0.021253828,0.073081546,0.94491565,0.055084318
0.0015949272,0.0026596375,0.021326143,0.073074564,0.9448453,0.055154704
0.0012332313,0.005507607,0.020987557,0.072415,0.94543546,0.054564532
0.00050854683,0.0072420426,0.021155452,0.07292417,0.9450976,0.05490242
0.00042137504,0.00617804,0.02106167,0.07264135,0.945259,0.054741077
0.0008170791,0.0046913214,0.021346953,0.0732456,0.9447682,0.05523185
0.0007751733,0.0052693672,0.021229101,0.07299489,0.944977,0.05502301
0.00021780655,0.006782014,0.0209597,0.072435424,0.9454308,0.054569155
0.00093916804,0.00408699,0.021279657,0.073052496,0.9448936,0.055106428
0.0024578013,0.0012580939,0.021318652,0.072964445,0.94490504,0.05509493
0.002103731,0.005065698,0.02101204,0.07242943,0.9454401,0.054559898
0.0012905747,0.0073020644,0.021136189,0.07285593,0.9451775,0.054822557
0.0010154806,0.006639857,0.021133926,0.07281624,0.9451656,0.054834466
0.00073425844,0.006594617,0.02089679,0.0722477,0.94557446,0.054425597
0.0009720437,0.0054089613,0.02089267,0.072175555,0.9455923,0.054407705
0.0015778504,0.0041229315,0.020997433,0.07235262,0.9454356,0.05456446
0.0011993535,0.006129224,0.020839717,0.072083905,0.945701,0.05429905
0.0013596751,0.0054428168,0.020698009,0.071699314,0.94596374,0.054036293
0.00061937794,0.0075159855,0.020691833,0.07180736,0.9459375,0.054062523
0.000359606,0.006810028,0.021170286,0.07293692,0.9450623,0.054937698
0.000955265,0.0043557473,0.021346584,0.073221356,0.9447765,0.05522356
0.0020349585,0.002443511,0.021237478,0.072836995,0.94502854,0.054971494
0.0016314797,0.0055961795,0.020942189,0.072296984,0.94553995,0.054460056
0.0017508902,0.0052880235,0.020873643,0.07210741,0.9456697,0.05433031
0.0013392679,0.0065552182,0.020844202,0.072107665,0.9457024,0.054297663
0.00019323453,0.008739371,0.020888269,0.07235192,0.9455632,0.05443681
-0.00032557547,0.007852096,0.020909077,0.07236968,0.9454948,0.054505255
-3.7252903e-09,0.0054981895,0.021159668,0.07285394,0.94505805,0.05494197
0.00067623705,0.0038743801,0.02110546,0.07263067,0.94518924,0.05481077
