mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.0039679147,-0.006033346,0.017409995,0.016596535,1.9247016,0.10508077,0.9634405,0.0053599556,0.031199608
-0.0052204467,-0.0061564296,0.016248643,0.01630191,1.9341426,0.10420521,0.96399057,0.005236844,0.030772587
-0.0048920847,-0.0062731355,0.01620169,0.01658579,1.9261602,0.105097234,0.963458,0.0053500817,0.031191964
-0.0044172145,-0.004893169,0.017454818,0.015871119,1.9459445,0.102787405,0.9648095,0.0050706454,0.030119885
-0.004189644,-0.005736813,0.018168017,0.016011123,1.940609,0.10320752,0.96453977,0.0051298477,0.030330399
-0.0038230158,-0.0065113157,0.01874283,0.016277308,1.9319019,0.10402857,0.9640334,0.0052390425,0.03072753
-0.0057275034,-0.007778153,0.016209364,0.016572392,1.9256915,0.105060734,0.9634738,0.0053447965,0.031181438
-0.0055712797,-0.0068117827,0.015674502,0.01658409,1.926598,0.10511637,0.9634633,0.0053456766,0.031191004
-0.0041428544,-0.0057389587,0.017178923,0.016511131,1.9276611,0.10482415,0.9636098,0.0053229206,0.031067235
-0.0036360957,-0.00590156,0.01800172,0.016536707,1.9258965,0.10487067,0.9635579,0.0053377873,0.031104326
-0.0036759116,-0.0062280744,0.01825738,0.016494188,1.9265261,0.104727745,0.96363086,0.0053230166,0.031046167
-0.0039548613,-0.0068701953,0.01793769,0.016666237,1.9216645,0.10527887,0.9633016,0.0053912164,0.031307187
-0.0032047965,-0.006944701,0.018717766,0.016855825,1.9155451,0.10583482,0.96294594,0.005471474,0.03158263
-0.0053599216,-0.007447228,0.016396075,0.01661441,1.9244933,0.10518283,0.96339667,0.0053626206,0.03124069
-0.0042299367,-0.006046042,0.01766175,0.016332384,1.9318948,0.104244635,0.9639384,0.0052547324,0.03080686
-0.005716119,-0.006425306,0.01624921,0.016108315,1.9396713,0.103596546,0.9643596,0.005158169,0.030482214
-0.011985216,-0.007657215,0.0075773597,0.016148336,1.9473764,0.10407691,0.96427995,0.005133159,0.030586904
-0.0063549615,-0.0023621768,0.012308896,0.015974944,1.9503376,0.10331767,0.96464664,0.0050843637,0.03026901
-0.0054715015,-0.0021210164,0.01407136,0.015694043,1.9566451,0.102346845,0.96517134,0.00498258,0.029846102
-0.0063545443,-0.0025039166,0.013720989,0.015342172,1.967026,0.10122169,0.9658196,0.00484551,0.029334903
-0.0045627095,-0.002120003,0.016676605,0.015084994,1.9716324,0.100263335,0.96629983,0.0047593936,0.028940827
-0.0087848045,-0.0047353953,0.012673661,0.01495353,1.9785777,0.099995494,0.96653116,0.004691533,0.02877727
