mu1,mu2,sigma1,sigma2,pi1,pi2
0.0018950105,-0.0068868697,0.062200844,0.1101963,0.5386345,0.46136552
0.002824366,-0.0067177713,0.062194545,0.11021748,0.53868157,0.4613184
0.0013565421,-0.0066998303,0.062620275,0.11090474,0.53884846,0.46115157
-0.0004633069,-0.0068561733,0.06285123,0.11121219,0.5388356,0.46116439
0.001424849,-0.0060596466,0.06304817,0.11130088,0.53853995,0.4614601
0.0031215549,-0.0059702396,0.06265511,0.110678546,0.5383788,0.4616212
0.0022875667,-0.005976498,0.06282326,0.1109971,0.5384695,0.46153048
0.0018222928,-0.0062050223,0.06270902,0.11084984,0.5384811,0.46151888
0.0037227273,-0.005827844,0.06265817,0.11072699,0.53841543,0.46158454
0.0018134713,-0.0063164234,0.06267884,0.11087265,0.53859305,0.46140698
0.0042743087,-0.0057438016,0.0627315,0.11086463,0.5385186,0.46148142
0.0031964183,-0.005759269,0.06304489,0.11139279,0.53868675,0.46131322
0.0031659007,-0.005859792,0.06300521,0.11132358,0.53870404,0.46129596
0.0036068559,-0.006229818,0.06258647,0.11074147,0.5387202,0.46127987
0.0018077493,-0.006906241,0.06240176,0.11059768,0.53889287,0.46110716
0.0015671849,-0.006872475,0.06251563,0.11075844,0.5389153,0.46108472
0.001280725,-0.0070052147,0.062443927,0.110646956,0.5389001,0.46109992
-0.0026609302,-0.007640958,0.062621385,0.11096448,0.53895384,0.4610462
-6.943941e-05,-0.006630808,0.06277962,0.11092625,0.5385173,0.46148267
0.0019480586,-0.006145984,0.062615044,0.11058929,0.53827226,0.46172777
0.004067123,-0.0055642724,0.06266708,0.11065096,0.53822,0.46178004
0.002488196,-0.005996436,0.06268389,0.11081238,0.5384243,0.4615757
0.0020624995,-0.006077379,0.0627601,0.11093539,0.5384789,0.46152112
0.0054953694,-0.0052756965,0.06282477,0.110926636,0.5383861,0.46161392
0.0037330985,-0.0056827664,0.06297114,0.111286156,0.538659,0.46134105
0.0040479302,-0.005696565,0.06299768,0.11132373,0.5387265,0.46127352
0.004804313,-0.0056654215,0.06294913,0.11126405,0.53879017,0.46120983
