mu1,mu2,sigma1,sigma2,pi1,pi2
0.031547412,-0.022105098,0.036648225,0.016261935,0.45010775,0.5498923
0.030964717,-0.028702259,0.035304155,0.015427358,0.45084786,0.5491522
0.031577453,-0.023623586,0.036522817,0.016148968,0.44941995,0.5505801
0.029996738,-0.034784675,0.03363209,0.0144909285,0.45383978,0.5461602
0.030447885,-0.03236258,0.034032565,0.0147372605,0.45342895,0.5465711
0.031224415,-0.027639389,0.034984067,0.015305787,0.45225593,0.5477441
0.03171818,-0.026011705,0.03608926,0.015859144,0.44896618,0.55103385
0.03141968,-0.025658727,0.036423773,0.01603725,0.4485788,0.5514212
0.031034872,-0.024636865,0.036372755,0.016061315,0.45003292,0.5499671
0.03121595,-0.023146033,0.036428552,0.016133213,0.45060322,0.5493968
0.031406447,-0.023640513,0.036089107,0.015950412,0.45107406,0.54892594
0.03195773,-0.021261573,0.036685493,0.016295385,0.449944,0.550056
0.03246133,-0.017198801,0.0375067,0.016812248,0.44936904,0.550631
0.03180413,-0.024455309,0.036391217,0.016050957,0.44892672,0.5510733
0.031052873,-0.027490854,0.035427835,0.015522381,0.45113668,0.54886335
0.03030555,-0.033791065,0.034403645,0.014866407,0.4513858,0.54861426
0.029804572,-0.042064548,0.03458206,0.014699281,0.44584778,0.55415225
0.028925762,-0.035488725,0.03497218,0.015114752,0.45039144,0.5496086
0.028249308,-0.038048267,0.033832822,0.01453247,0.45355457,0.5464455
0.028190538,-0.044157267,0.032072306,0.013553436,0.45571795,0.544282
0.028326973,-0.045778394,0.030815601,0.012941882,0.45909426,0.5409058
0.028320596,-0.054999232,0.029798992,0.012243894,0.45668328,0.5433167
0.027175829,-0.0627687,0.028431306,0.0114823235,0.45859066,0.5414094
0.027078792,-0.059368253,0.02908646,0.011851944,0.4584088,0.5415912
0.02659677,-0.061619043,0.02851766,0.011561609,0.45991305,0.5400869
0.02714549,-0.058329105,0.029137017,0.011898795,0.45882043,0.5411796
0.031670436,-0.0222373,0.036603857,0.016232323,0.44997194,0.550028
0.032680914,-0.013277173,0.038211603,0.01728561,0.4495426,0.55045736
0.032724842,-0.016162515,0.037745804,0.016954748,0.4489333,0.55106676
0.03256993,-0.018350959,0.037413992,0.016722877,0.4487019,0.5512981
0.031202182,-0.027348638,0.035050817,0.0153471,0.4522659,0.5477341
0.032394633,-0.01801002,0.037370905,0.016720675,0.44933903,0.550661
0.03327559,-0.011000395,0.039238907,0.017845307,0.44708163,0.5529184
0.03345786,-0.0089610815,0.039975107,0.018274471,0.44601932,0.5539807
0.033412978,-0.007291198,0.039995678,0.01835193,0.44717517,0.5528248
0.034037694,-0.0022410154,0.040775057,0.01891257,0.44742572,0.5525743
0.034663484,-0.00069487095,0.041432604,0.019276263,0.44565335,0.5543467
0.034352466,-0.0035327673,0.04048134,0.018703735,0.44690976,0.5530903
0.034398958,-0.0039736032,0.040917568,0.018898295,0.44527462,0.55472535
0.034594223,-0.000538826,0.04199045,0.019561598,0.44429174,0.5557083
