mu1,mu2,sigma1,sigma2,pi1,pi2
-0.011369587,-0.038250133,0.4993951,0.13997029,0.030769804,0.96923023
-0.012162865,-0.037803814,0.49941206,0.14016943,0.030878955,0.96912104
-0.011091412,-0.040418893,0.49887466,0.13913976,0.030450318,0.9695497
-0.009884001,-0.042429775,0.4987402,0.1385651,0.030177739,0.9698223
-0.009078891,-0.04347281,0.49859017,0.13778235,0.029831374,0.97016865
-0.009968401,-0.041178897,0.49894938,0.13849182,0.030130882,0.96986914
-0.009610594,-0.042698175,0.4986427,0.13793188,0.029910842,0.97008914
-0.010139019,-0.04233952,0.4988861,0.138389,0.030099865,0.96990013
-0.011102469,-0.04132469,0.49904895,0.13874699,0.030266143,0.96973383
-0.0104534635,-0.04183568,0.49883112,0.13853446,0.030176703,0.9698233
-0.011239559,-0.041034818,0.49887326,0.13865022,0.030243648,0.96975636
-0.010682614,-0.042619064,0.49852383,0.13809112,0.030018259,0.9699818
-0.010565729,-0.042013302,0.49856144,0.13823532,0.030071728,0.96992826
-0.01166907,-0.039068714,0.4990525,0.13946126,0.030587055,0.9694129
-0.01162845,-0.03830482,0.49911603,0.13987656,0.030761201,0.9692388
-0.011493147,-0.038903892,0.49905938,0.13972369,0.030695092,0.9693049
-0.011403413,-0.03852153,0.49915394,0.13989359,0.030756753,0.9692432
-0.009381206,-0.041398853,0.49889168,0.13904703,0.030356476,0.96964353
-0.008880557,-0.04264745,0.49889624,0.13830717,0.03002299,0.96997696
-0.009352327,-0.042037025,0.4990433,0.13835008,0.03004483,0.9699552
-0.009935857,-0.042084664,0.49883747,0.13801825,0.02994106,0.9700589
-0.010356606,-0.042572036,0.4988305,0.13822645,0.03004419,0.96995586
-0.010490508,-0.042905793,0.49886614,0.13830267,0.03007575,0.9699243
-0.011430056,-0.041652724,0.49886292,0.13839972,0.03014279,0.9698572
-0.010817886,-0.042291522,0.4985003,0.13807414,0.030018423,0.96998155
-0.011107595,-0.04165855,0.49854827,0.13832042,0.030125754,0.96987426
-0.011667163,-0.04031287,0.49865818,0.1387801,0.030327842,0.9696722
-0.011526049,-0.038641915,0.49896163,0.13975774,0.030719148,0.96928084
-0.011829198,-0.03726366,0.4993199,0.140471,0.031004189,0.9689958
-0.011237741,-0.037680134,0.4992634,0.1402595,0.030900313,0.9690997
-0.011065812,-0.038445562,0.49917808,0.13986266,0.030731056,0.969269
-0.011871279,-0.03728138,0.49938968,0.14030999,0.030930413,0.9690696
-0.011538417,-0.037641227,0.4993542,0.14036232,0.03094836,0.96905166
-0.011658342,-0.03837575,0.49926168,0.14000148,0.03080235,0.96919763
-0.011604519,-0.038220942,0.49924523,0.14001596,0.030808637,0.9691914
-0.011154086,-0.038963675,0.49911094,0.13971104,0.03067568,0.9693243
-0.01102689,-0.039774135,0.4990193,0.13936026,0.030527756,0.9694723
-0.011098624,-0.03940861,0.49908468,0.13947965,0.03057576,0.96942425
-0.01077506,-0.03989044,0.49901217,0.13930073,0.030496204,0.9695038
-0.011489213,-0.038692474,0.49923462,0.13975714,0.030694226,0.9693058
-0.012275101,-0.03746903,0.49934447,0.14021476,0.030906701,0.9690933
-0.011542917,-0.03905697,0.49901628,0.139686,0.030685743,0.9693143
-0.010396601,-0.040693477,0.49894878,0.1393004,0.03048979,0.96951026
-0.010454119,-0.04000385,0.49904478,0.1391511,0.03041707,0.969583
-0.009306849,-0.042064458,0.49874446,0.13838303,0.030083343,0.96991664
-0.009975315,-0.04122609,0.49894637,0.13857035,0.030165425,0.96983457
-0.010741026,-0.040919006,0.49907357,0.13888814,0.030314326,0.9696857
-0.0106762955,-0.041136622,0.49893537,0.138745,0.030264115,0.96973586
-0.011275531,-0.04054846,0.4990892,0.1391417,0.030437736,0.9695623
-0.011034996,-0.0410897,0.49889523,0.13882509,0.030311087,0.9696889
-0.010623218,-0.042131886,0.49860755,0.13823682,0.030070882,0.96992916
