mu1,mu2,sigma1,sigma2,pi1,pi2
-0.0019357651,-0.048054084,0.02030175,0.25082436,0.9933321,0.006667904
-0.0025834888,-0.04787354,0.020580634,0.25181308,0.9931975,0.0068025235
-0.0028219968,-0.04833737,0.020335848,0.25113937,0.9932914,0.0067085954
-0.0009871572,-0.047053777,0.021063596,0.25301582,0.9930396,0.0069603897
-0.00091283023,-0.04638508,0.020902812,0.25226745,0.99311405,0.0068859383
-0.0010228306,-0.045915917,0.02060192,0.25113255,0.9932395,0.006760501
-0.0036717206,-0.047200106,0.02022149,0.2505252,0.99332273,0.006677285
-0.0038412064,-0.048503898,0.020186225,0.25079829,0.9933256,0.006674407
-0.0023266524,-0.04861769,0.020310266,0.251062,0.9933148,0.006685142
-0.0016264468,-0.04806436,0.020335646,0.25089705,0.993327,0.006672959
-0.0013643354,-0.047223635,0.020396715,0.2508402,0.99331176,0.006688281
-0.0019234568,-0.04700596,0.020222321,0.25025284,0.9933705,0.006629521
-0.0015696734,-0.046730265,0.02005399,0.24955,0.99345106,0.0065489304
-0.0033943802,-0.047393255,0.020221813,0.25054505,0.9933293,0.0066707064
-0.0018832237,-0.047212847,0.02049965,0.2512666,0.9932521,0.006747932
-0.0029677004,-0.04769457,0.020666903,0.25209886,0.9931517,0.0068482608
-0.009559438,-0.05260936,0.020468477,0.25362,0.99302965,0.0069704037
-0.004031703,-0.053291343,0.020849833,0.25448447,0.99301094,0.0069890562
-0.002056107,-0.05204557,0.021346826,0.2555144,0.9928685,0.007131503
-0.0015283078,-0.050044067,0.02183401,0.25649545,0.99268323,0.0073168017
0.0011373907,-0.046944767,0.022209747,0.25648594,0.9926138,0.0073862495
-0.0027038306,-0.046736002,0.02221259,0.2569363,0.99249965,0.007500376
-0.0022861212,-0.046742126,0.022540255,0.25795332,0.99236673,0.0076332395
-0.001718238,-0.0470277,0.022325506,0.25725254,0.9924789,0.007521095
-0.00084902346,-0.046399653,0.022382477,0.2571311,0.9924852,0.0075147157
-0.0012381822,-0.04620131,0.022036724,0.25600472,0.9926242,0.0073757754
-0.002063617,-0.047516212,0.020222379,0.25041384,0.9933646,0.006635437
-0.0006352514,-0.046688415,0.019931344,0.24898845,0.9935278,0.0064721825
-0.0018089563,-0.04630298,0.019952066,0.24909617,0.993491,0.0065090316
-0.002362296,-0.046461076,0.019981246,0.24932183,0.9934616,0.006538366
-0.00082205236,-0.045594305,0.020508492,0.25069854,0.9932852,0.0067148805
-0.001671508,-0.04595585,0.019907165,0.24882211,0.9935149,0.006485147
-0.002338305,-0.046503097,0.019469019,0.2475211,0.99367756,0.0063224747
-0.0029060096,-0.04719404,0.019310629,0.24722028,0.9937262,0.0062738643
-0.0014716536,-0.04681292,0.019377697,0.24717444,0.99373615,0.0062638326
-0.0002693683,-0.04572098,0.01924749,0.24624585,0.9938262,0.0061737793
-0.0016744286,-0.0454399,0.019024177,0.24554415,0.99388474,0.006115297
-0.00096069276,-0.04475051,0.019196616,0.24589331,0.9938321,0.0061679073
-0.0025735646,-0.04542198,0.019013364,0.24561584,0.99386615,0.0061338786
-0.0027100295,-0.04624764,0.018804768,0.2451098,0.9939447,0.006055306
0.00023658574,-0.045042366,0.018879991,0.24467468,0.9939917,0.0060083643
-0.0027489811,-0.045539685,0.018645149,0.24431823,0.99401605,0.0059839254
-0.0051047653,-0.047590666,0.018536992,0.24479333,0.9939917,0.0060083442
-0.002173081,-0.047840603,0.018537778,0.24451116,0.9940606,0.005939445
-0.0024399608,-0.047741868,0.018720336,0.24516411,0.9939831,0.006016882
-0.0019283742,-0.047000356,0.019171435,0.24654208,0.99381036,0.006189639
-0.0012788028,-0.046288423,0.019245306,0.24652894,0.9937989,0.006201095
-0.0021321326,-0.046130754,0.019394187,0.24712254,0.9937164,0.0062836222
-0.00358285,-0.047188997,0.019283185,0.24720651,0.9937203,0.006279711
-0.00010471046,-0.046133243,0.01927652,0.24645583,0.99381465,0.0061853705
-0.00032745302,-0.04476423,0.019682651,0.24752069,0.9936499,0.006350043
-0.001713261,-0.04478115,0.01936296,0.24658425,0.9937453,0.006254665
-0.0007156879,-0.04471235,0.018627966,0.24379341,0.9940724,0.0059276293
-0.004422322,-0.04632724,0.018596329,0.24456951,0.993991,0.006009005
-0.0023501962,-0.046716735,0.018716013,0.24487807,0.993987,0.0060129766
-0.0030367225,-0.047384903,0.018771958,0.24533094,0.9939479,0.0060520787
-0.0028707236,-0.047609203,0.019006088,0.24623126,0.99385285,0.0061471513
-0.0011124462,-0.046878047,0.01900627,0.2458106,0.9938996,0.0061003887
-0.0005810112,-0.045944504,0.018591903,0.24397165,0.9940877,0.0059122914
-0.004303977,-0.04676208,0.018967228,0.24603303,0.9938373,0.006162683
-0.0035838932,-0.047569744,0.019447468,0.24791111,0.9936474,0.0063525834
-0.0025001317,-0.04793056,0.019605294,0.24842152,0.9936103,0.006389707
-0.003596291,-0.048431285,0.020068018,0.25031826,0.99338585,0.0066141263
0.00048081577,-0.046967134,0.019729419,0.24821837,0.9936391,0.0063608997
-0.002437219,-0.04679276,0.019649964,0.2482398,0.9936013,0.006398662
-0.00336729,-0.047411703,0.019621631,0.24845468,0.9935819,0.006418075
-0.001639083,-0.047185406,0.019674046,0.2483567,0.99360603,0.006393971
-0.0020319968,-0.04686348,0.020016309,0.24950235,0.993456,0.0065439995
0.0005668849,-0.045023963,0.020450197,0.2501549,0.9933502,0.0066497745
-0.003137365,-0.04612618,0.019748325,0.24849455,0.9935435,0.0064565395
-0.0020759553,-0.04652109,0.019445973,0.24742176,0.99369216,0.0063078813
-0.0030925125,-0.047311105,0.019403595,0.24760179,0.9936832,0.006316821
-0.000115826726,-0.046322726,0.01909423,0.2458524,0.9938894,0.006110609
-0.003813699,-0.04682883,0.019587936,0.2482053,0.99359083,0.00640916
-0.0038319975,-0.0480002,0.01960707,0.24862617,0.9935727,0.0064272555
-0.0023859888,-0.048384793,0.019456953,0.24801059,0.9936731,0.006326928
-0.003713265,-0.048950247,0.019693332,0.2491635,0.9935389,0.006461123
-0.0032300502,-0.049185388,0.019901158,0.24991442,0.9934608,0.0065392083
-0.0039855093,-0.0495087,0.020662818,0.2527328,0.99311644,0.0068835914
-0.0010834187,-0.04863383,0.020646282,0.25206846,0.99320614,0.0067938035
-0.001754418,-0.047887057,0.020758921,0.2523108,0.99314606,0.006853883
-0.0020176321,-0.047526926,0.020687988,0.25201494,0.9931681,0.006831877
-0.00089506805,-0.04627242,0.021355283,0.25375733,0.99292165,0.0070783077
-0.0017264932,-0.04644525,0.020904662,0.25239933,0.99308985,0.0069101704
-0.0035333484,-0.0476558,0.020560501,0.25180528,0.99318004,0.0068200133
-0.00039346516,-0.04667554,0.020736242,0.25172916,0.9931956,0.006804414
-0.0018692762,-0.046756975,0.020337883,0.25056097,0.99332637,0.006673645
-0.002067998,-0.046813376,0.02011512,0.24984662,0.9934122,0.0065878364
-0.0020923764,-0.047133014,0.019666629,0.2483686,0.99359834,0.0064016366
-0.0015121549,-0.046582855,0.019903792,0.24897167,0.9935169,0.006483064
-0.0022717267,-0.04669383,0.019874396,0.24899468,0.9935091,0.0064908853
-0.0058977455,-0.049111396,0.019865163,0.25009272,0.9934059,0.0065941303
-0.0027797967,-0.049317375,0.020309342,0.25132576,0.99329764,0.0067023356
-0.0018112212,-0.048847005,0.020422759,0.25143704,0.9932827,0.006717349
-0.0031588823,-0.04916197,0.020115849,0.25064102,0.99337375,0.006626256
-0.0021566898,-0.048365906,0.02066821,0.25220498,0.9931686,0.0068313945
-0.0018945485,-0.047878467,0.020815812,0.25252956,0.9931164,0.006883643
-0.001925841,-0.04751285,0.020888232,0.25267556,0.9930861,0.0069138487
-0.002946183,-0.04781916,0.021029238,0.2533692,0.9929959,0.0070040966
-0.0007045418,-0.04683484,0.021301253,0.25371346,0.9929474,0.007052576
-0.0013066083,-0.046419375,0.021190897,0.2532913,0.9929816,0.007018385
-0.0026216358,-0.047345743,0.020282965,0.2506479,0.9933242,0.006675805
-0.002890125,-0.047842495,0.020268537,0.2507743,0.99332035,0.006679676
-0.0015242845,-0.04735159,0.020490317,0.2512228,0.9932662,0.006733773
