mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.004616834,-0.014542721,0.055057377,0.18302438,0.5147658,0.44729617,0.51259327,0.37129298,0.11611381
0.0047170147,-0.01335324,0.05506301,0.18359949,0.515178,0.44812036,0.5120804,0.3712104,0.11670928
0.004761398,-0.012522109,0.05513665,0.1839606,0.51546234,0.44866526,0.51172733,0.37117603,0.117096685
0.004990466,-0.015635774,0.05300969,0.184502,0.51509124,0.44829804,0.51245254,0.3709782,0.11656933
0.0051023886,-0.013352755,0.053524077,0.18515079,0.5157426,0.4495367,0.5115674,0.370936,0.11749659
0.0051798075,-0.01609001,0.052220613,0.18507765,0.51522905,0.4487436,0.51236546,0.37087673,0.116757825
0.0052212477,-0.015549399,0.05237618,0.18519272,0.51537097,0.4490252,0.51215553,0.37087497,0.11696947
0.005122125,-0.015969276,0.05270657,0.18464155,0.51509815,0.44843414,0.5124431,0.37096202,0.1165949
0.005090706,-0.016378652,0.0526976,0.18445046,0.5149598,0.44815946,0.51261586,0.37098986,0.11639432
0.0050560534,-0.016923632,0.052676022,0.18417971,0.51475865,0.44776985,0.51285994,0.37101373,0.11612635
0.0050561875,-0.017108455,0.052633524,0.18412234,0.5147031,0.44767192,0.5129298,0.37101564,0.116054535
0.005035989,-0.01761629,0.05256954,0.1839106,0.51452863,0.44734478,0.51314485,0.37102818,0.115826905
0.004979104,-0.017588656,0.052866444,0.18360479,0.514415,0.44707778,0.5132378,0.37107152,0.115690686
0.0049890056,-0.016724784,0.05310139,0.1838406,0.51466876,0.4475302,0.51290697,0.37107503,0.11601801
0.0048016757,-0.014153406,0.05476582,0.18350647,0.51502097,0.44792232,0.512277,0.37122825,0.11649478
0.004999265,-0.01824424,0.052251786,0.18397087,0.51445544,0.44719985,0.5133138,0.37102652,0.11565971
0.0050269365,-0.017409012,0.052657455,0.1838957,0.5145451,0.4473624,0.5131096,0.37101555,0.11587483
0.0049391314,-0.015611645,0.053709164,0.18377617,0.5148362,0.4477585,0.51262105,0.3711068,0.11627214
0.004900366,-0.015461426,0.05380413,0.1838071,0.5148921,0.4478224,0.512564,0.3711325,0.11630349
0.0049427375,-0.016252995,0.053280875,0.18392946,0.5147916,0.44770414,0.51275945,0.3710841,0.11615655
0.0049386695,-0.015500147,0.053602234,0.18397479,0.5149379,0.44794703,0.51253253,0.37109032,0.11637712
0.004937373,-0.015067719,0.053725034,0.18409048,0.5150645,0.44816762,0.5123694,0.37109298,0.11653764
0.0048760995,-0.013631243,0.054450408,0.18411793,0.5153421,0.44857883,0.5119474,0.37114435,0.11690829
0.0043656975,-0.01187478,0.055755436,0.18413913,0.51577103,0.4489979,0.5113905,0.37124178,0.11736774
0.004826449,-0.01518954,0.053837046,0.18395515,0.5149992,0.4479532,0.5124775,0.37112537,0.11639714
0.0012160093,-0.009990878,0.059120983,0.18476775,0.5170307,0.44954675,0.5102942,0.37138167,0.11832417
0.004803203,-0.012121484,0.054672286,0.18480726,0.5159023,0.4495175,0.5113264,0.37112823,0.11754544
0.0049590543,-0.013753694,0.053646654,0.18485771,0.5155678,0.44909737,0.51181173,0.37098563,0.11720261
0.00516963,-0.016449437,0.052031755,0.18501635,0.51510775,0.44852716,0.512535,0.37082928,0.11663575
0.0051849335,-0.01465917,0.052862242,0.1850859,0.515461,0.4491322,0.511967,0.37087518,0.11715786
0.0052044615,-0.015566152,0.05243686,0.18511832,0.515339,0.44895053,0.5121869,0.37088478,0.11692837
0.0052696317,-0.017180026,0.05162306,0.18512344,0.5150563,0.44853762,0.51263446,0.37084365,0.116521865
0.0051871836,-0.016254842,0.05241956,0.18478729,0.5151039,0.4485129,0.51246285,0.37093273,0.116604425
0.0050515383,-0.016090788,0.053031653,0.18427345,0.5149559,0.44810224,0.5125746,0.37104082,0.116384536
0.0050810426,-0.016233165,0.05276525,0.18450856,0.5150294,0.44827318,0.5125355,0.371016,0.11644854
0.0049430653,-0.01850706,0.052619174,0.1833936,0.51417416,0.44662806,0.5135733,0.37108257,0.115344144
0.004992336,-0.018421412,0.052528486,0.1834927,0.5142129,0.44674295,0.51352054,0.37104875,0.11543076
0.004857376,-0.014984082,0.054347605,0.18345337,0.51483405,0.44765368,0.5125363,0.37118548,0.11627826
0.0048223063,-0.013928037,0.05462064,0.18382227,0.5151956,0.44826153,0.51210684,0.37120783,0.116685316
0.0048581213,-0.01572454,0.053699866,0.18381749,0.51485914,0.447734,0.51264614,0.37114006,0.116213836
0.0048359185,-0.014208127,0.054404438,0.1838389,0.51512283,0.44815335,0.5122174,0.37115696,0.11662568
0.004928991,-0.015073467,0.053628832,0.18419361,0.5150998,0.44822964,0.5123537,0.37107474,0.11657156
0.0050330833,-0.01681422,0.05263421,0.18425784,0.5147908,0.4478113,0.51284057,0.37098286,0.1161766
0.005184561,-0.019368619,0.051250353,0.18427616,0.51431286,0.44714838,0.51356745,0.37086347,0.11556912
0.0051178634,-0.016965557,0.05261171,0.18412332,0.51469404,0.4477076,0.51290375,0.3709678,0.11612842
0.0051551834,-0.017714657,0.052086085,0.18435466,0.51467717,0.44773555,0.5130187,0.37095368,0.11602762
0.00513009,-0.016933687,0.052463606,0.18440588,0.51485044,0.44800696,0.5127663,0.3709887,0.11624501
0.0050773323,-0.018223569,0.052208275,0.18399225,0.5144629,0.4472793,0.5132734,0.37101436,0.11571224
0.0049852207,-0.017683078,0.052848667,0.18359311,0.5144038,0.44706342,0.5132532,0.37108436,0.11566243
0.004867688,-0.015362039,0.054119512,0.18353644,0.51481533,0.44764042,0.51260287,0.37118697,0.116210155
0.004831508,-0.016599193,0.053675547,0.1833646,0.51453,0.44712085,0.5130278,0.37118107,0.11579114
0.0047504976,-0.014585458,0.054740086,0.18329944,0.5148588,0.4475897,0.5124862,0.37124014,0.116273664
0.004911892,-0.017350793,0.05294156,0.18369643,0.5145003,0.44717246,0.51316476,0.3710794,0.11575586
0.0050364286,-0.016741093,0.0527696,0.18413796,0.51475596,0.44774404,0.51284885,0.37099835,0.116152816
0.00493633,-0.0149650015,0.0538902,0.18392713,0.5150063,0.44805312,0.51239663,0.37109882,0.11650463
0.004930258,-0.014974978,0.053787023,0.1840833,0.515082,0.44819006,0.51234186,0.37110198,0.11655616
0.0049253553,-0.014995281,0.053758264,0.18410471,0.51508576,0.44819438,0.51234597,0.37109762,0.11655647
0.0050248876,-0.016101293,0.052923054,0.18437453,0.51498073,0.4481312,0.5125802,0.37101135,0.11640846
0.0051549673,-0.018132422,0.051744968,0.1844742,0.5146329,0.44767404,0.513134,0.37090462,0.11596134
0.0050629526,-0.016723618,0.052831247,0.18406025,0.51472646,0.4477092,0.5128544,0.37100413,0.11614151
0.0050980747,-0.017866366,0.052225634,0.184125,0.5145598,0.44747004,0.513148,0.3709803,0.11587168
0.005041182,-0.017948285,0.05250609,0.18377778,0.51441157,0.4471416,0.51328254,0.37102735,0.115690075
0.0050391704,-0.016906455,0.0528668,0.18398453,0.5146902,0.44762236,0.5129056,0.3710462,0.11604821
0.0050450712,-0.017310288,0.052631617,0.18404144,0.5146475,0.44756278,0.5130001,0.37103778,0.1159622
0.0049651265,-0.016933553,0.053123027,0.18372056,0.51459134,0.4473699,0.5130016,0.37109497,0.11590335
0.004895486,-0.016336977,0.053597942,0.18355,0.51463664,0.4473692,0.51289064,0.3711438,0.11596557
0.0048454255,-0.016008742,0.053869262,0.18344636,0.5146565,0.44734967,0.5128388,0.37117076,0.11599043
0.0047428384,-0.013487831,0.05513777,0.18348122,0.5151313,0.448053,0.5121091,0.37125367,0.11663727
0.004856564,-0.015005246,0.05391191,0.18397982,0.5150493,0.44806397,0.5123933,0.37113616,0.116470575
0.0047844276,-0.012977939,0.055003524,0.18387635,0.51536125,0.44850868,0.51185805,0.37119228,0.11694966
0.0047901124,-0.012413446,0.055058822,0.18414788,0.5155741,0.4488941,0.5116104,0.37117994,0.117209725
0.005014457,-0.016323682,0.052653715,0.18454015,0.5149949,0.44816288,0.512623,0.37097013,0.116406865
0.0052025393,-0.018398963,0.051404476,0.1846208,0.5146089,0.44768837,0.513198,0.37083006,0.11597196
0.0052663833,-0.018106464,0.05149342,0.18465693,0.5146737,0.4478525,0.5130752,0.3708283,0.11609656
0.005228393,-0.017605081,0.051899984,0.18455483,0.51475286,0.447942,0.5129308,0.37089738,0.11617181
0.005235143,-0.018887453,0.051389843,0.18445182,0.51450145,0.4475215,0.51331395,0.37089992,0.11578612
0.00511308,-0.017029561,0.0526146,0.18418878,0.514752,0.44780743,0.51285297,0.37101907,0.11612801
0.0048611984,-0.0147710815,0.05437684,0.1836187,0.5149702,0.44790006,0.51238686,0.3712164,0.11639681
0.004869215,-0.016089525,0.053629592,0.18373807,0.5147851,0.44761324,0.512742,0.37117076,0.11608724
0.00485114,-0.016909964,0.053448632,0.18341802,0.51448494,0.447068,0.51311153,0.37115029,0.11573817
0.004785329,-0.016244527,0.054047003,0.18309516,0.5144628,0.44694257,0.5130422,0.37119234,0.11576542
0.0048950315,-0.016817931,0.053326935,0.1835379,0.51452404,0.44718093,0.5130652,0.37110168,0.1158331
0.0050033703,-0.016757108,0.05291918,0.1839807,0.51469743,0.44760355,0.5129007,0.37102738,0.11607193
0.005046554,-0.0167282,0.052783564,0.1841389,0.51476437,0.44776678,0.5128329,0.37100613,0.11616096
0.005197741,-0.019743316,0.051101238,0.18427102,0.5142614,0.44707438,0.5136523,0.3708775,0.11547016
0.0052271485,-0.018555451,0.051596686,0.1843603,0.5145064,0.44751316,0.5132651,0.37089497,0.115839936
0.005205035,-0.019367315,0.051420495,0.18414849,0.51429623,0.44712573,0.5135482,0.37092456,0.1155273
0.0050679967,-0.018877894,0.052229926,0.183577,0.5141763,0.44675443,0.51358664,0.37103844,0.11537487
0.004920326,-0.016657833,0.05357924,0.18340236,0.5145317,0.44720146,0.5129997,0.37116688,0.11583348
0.0050090924,-0.019507859,0.05200492,0.18355064,0.51407474,0.44653565,0.51378,0.3710566,0.115163475
0.004818365,-0.015496504,0.054367915,0.18318182,0.5146491,0.44728738,0.51275885,0.37122613,0.11601504
0.0048191994,-0.016572855,0.05375579,0.18330175,0.51451457,0.44707868,0.5130356,0.37119657,0.11576782
0.00492879,-0.018485505,0.05260229,0.18342935,0.51419127,0.4466482,0.5135651,0.37107834,0.11535657
0.00510896,-0.021234103,0.05102268,0.18351884,0.5136927,0.44598252,0.5143358,0.3709211,0.11474314
0.005310081,-0.022385843,0.050003335,0.18390827,0.5136146,0.4460606,0.5145231,0.37079605,0.11468085
0.005456604,-0.0249931,0.048664525,0.1838944,0.5131361,0.44539058,0.5152468,0.37070423,0.11404896
0.0053282157,-0.021819972,0.050550923,0.18365909,0.5136482,0.44610614,0.5143712,0.3708842,0.11474456
0.0052175075,-0.021934658,0.050832957,0.18342315,0.51358414,0.4458852,0.5144515,0.3709833,0.11456522
0.0049898103,-0.020246416,0.052323237,0.18281707,0.5136776,0.44578803,0.51416487,0.37115914,0.11467604
0.0049396157,-0.019691415,0.052531943,0.18294331,0.5138395,0.44602707,0.51397324,0.3711801,0.114846736
0.0048032627,-0.019988723,0.052942783,0.18232907,0.5135363,0.44534925,0.5142879,0.37124228,0.11446986
0.004581079,-0.016080134,0.055243686,0.1820003,0.51411194,0.4460804,0.5132971,0.37141538,0.115287565
0.004582472,-0.016577858,0.05477205,0.18226142,0.514126,0.446132,0.51337844,0.3713684,0.11525316
0.004693918,-0.016463552,0.054261997,0.18280032,0.5143268,0.44661167,0.5131987,0.37125432,0.11554705
0.0047264323,-0.014363434,0.05486858,0.18325719,0.5148694,0.44758248,0.51245713,0.37123522,0.116307646
0.004913859,-0.015226908,0.053627223,0.18411252,0.5150405,0.44811055,0.5124271,0.37108138,0.11649154
0.0050395206,-0.016977228,0.05255212,0.18424816,0.51475394,0.44775465,0.5128938,0.37097394,0.116132304
0.0050989464,-0.016438756,0.05264239,0.18441081,0.5149057,0.4480719,0.5126756,0.37095398,0.1163705
0.005079016,-0.016294826,0.05281499,0.18433252,0.5149147,0.44806233,0.5126437,0.37098792,0.116368435
0.0051366836,-0.017533947,0.05211696,0.18442032,0.51473105,0.4478159,0.51296157,0.37094557,0.11609291
0.005248688,-0.019171953,0.051134884,0.1845539,0.5144791,0.44750613,0.5133815,0.37086296,0.115755595
0.005116552,-0.018160906,0.052225083,0.18393657,0.5144283,0.44724843,0.5132818,0.37098774,0.1157304
0.0051206127,-0.019382816,0.05173035,0.18383689,0.5141828,0.4468359,0.5136547,0.3709824,0.11536295
0.005112514,-0.019455418,0.051785484,0.18373522,0.5141306,0.44673228,0.51370484,0.37099418,0.11530098
0.0049099997,-0.01696023,0.053560793,0.18323448,0.51440346,0.4469632,0.51314753,0.37116843,0.115683965
0.004848048,-0.016907223,0.053648815,0.18322903,0.5144288,0.44695342,0.51313776,0.37119862,0.11566362
0.0048678964,-0.016766384,0.05351883,0.18343419,0.51452625,0.4471521,0.5130454,0.37116438,0.115790196
0.0048837885,-0.017039299,0.05333954,0.18344584,0.5144676,0.4470692,0.5131352,0.37113446,0.11573036
0.004945904,-0.018288165,0.05266373,0.18344377,0.51422346,0.4467168,0.51350623,0.371069,0.1154248
0.005103573,-0.020333033,0.051369175,0.1836503,0.5139114,0.44635323,0.51402867,0.37093973,0.115031615
0.005205922,-0.020333689,0.051114306,0.18388359,0.5139925,0.4465963,0.5139376,0.37089193,0.11517049
0.005068183,-0.017896116,0.05264619,0.18362737,0.5143593,0.447062,0.51329654,0.37104258,0.115660906
0.005066566,-0.018488303,0.05227329,0.1837833,0.5143402,0.4470461,0.5134018,0.37104255,0.115555644
0.005037494,-0.01778686,0.05260746,0.18382108,0.5144858,0.4472664,0.5131891,0.37106612,0.11574476
0.004952185,-0.017887708,0.05290185,0.1834606,0.5143297,0.44690016,0.51334405,0.371117,0.11553896
0.0049188957,-0.018013325,0.052975565,0.18330385,0.5142409,0.44670916,0.51344216,0.37112784,0.115430035
0.0048875436,-0.017695952,0.053220645,0.18320088,0.51425207,0.44669068,0.513394,0.37114388,0.11546212
0.004884787,-0.01777571,0.05318436,0.18318632,0.514227,0.44664538,0.51342916,0.37113655,0.11543434
0.004956238,-0.018496946,0.05261959,0.18337363,0.5141597,0.44661272,0.5135803,0.37107286,0.11534685
0.005039163,-0.018167593,0.052425697,0.18373914,0.51435435,0.44704112,0.5133624,0.37102208,0.115615465
0.005052373,-0.017426629,0.05264075,0.18392797,0.51456845,0.44742596,0.51307786,0.37102914,0.115893066
0.004896015,-0.015482977,0.053967193,0.1836143,0.51481616,0.44767323,0.51261693,0.37116125,0.11622183
0.0047825947,-0.01371903,0.05489619,0.1836466,0.51516837,0.4481652,0.51210123,0.37124357,0.11665521
0.0047943667,-0.014656521,0.054329753,0.18375188,0.51503706,0.4479686,0.51235586,0.37119782,0.11644635
0.004821822,-0.014515933,0.05426888,0.18383962,0.5150741,0.4480611,0.51230794,0.37115768,0.11653439
0.004930839,-0.015936267,0.05331604,0.18403642,0.5148736,0.44784042,0.5126639,0.3710568,0.11627932
0.0048498586,-0.013184365,0.054748237,0.18398596,0.5153486,0.4485534,0.51188636,0.37114376,0.11696985
0.004817277,-0.012676261,0.05491887,0.18413919,0.5155194,0.4488252,0.51168466,0.37116688,0.117148496
0.003134571,-0.011135504,0.056879178,0.18462789,0.5163637,0.44941264,0.5108856,0.37126514,0.117849246
0.0045832023,-0.012001257,0.054906815,0.18485266,0.51598793,0.4495668,0.5112406,0.3711231,0.117636345
0.0049736947,-0.012922972,0.053897157,0.18507294,0.51581484,0.44954142,0.5114834,0.37099904,0.11751762
0.0050525814,-0.0140947215,0.053303987,0.18500607,0.5155562,0.44917163,0.5118452,0.37094173,0.11721316
0.0051001534,-0.015392527,0.05279666,0.18480721,0.5152362,0.4486606,0.51227605,0.37091613,0.11680783
0.0051617324,-0.015908118,0.052474663,0.18486376,0.5151665,0.44860256,0.512388,0.370893,0.116718985
0.005127676,-0.0150786005,0.052984565,0.1848025,0.5153094,0.44880477,0.5121471,0.37094992,0.116903
0.005118966,-0.0144868605,0.053165942,0.18499297,0.5155137,0.44915617,0.511895,0.37097535,0.11712969
0.0051463544,-0.016904749,0.052157328,0.1847621,0.5149892,0.4482868,0.5126673,0.37093633,0.11639635
0.0050246045,-0.014875673,0.053522483,0.1843939,0.5152132,0.4485178,0.5122016,0.37104946,0.11674886
0.0047804937,-0.013074286,0.055122003,0.18373117,0.515307,0.44840106,0.5119004,0.37123603,0.116863556
0.0047262833,-0.012934037,0.05519089,0.18377583,0.51535934,0.44844744,0.5118588,0.3712504,0.11689077
0.004898846,-0.01606299,0.05326493,0.18406975,0.51487833,0.4478255,0.5126893,0.37107074,0.11623995
0.005163759,-0.01943247,0.051165402,0.18433654,0.5143207,0.44715017,0.513586,0.37084907,0.11556494
0.0052880347,-0.019668594,0.050894722,0.18441889,0.5142897,0.44721043,0.51360714,0.3707973,0.115595594
0.0052981824,-0.019373342,0.051098853,0.18440084,0.51435834,0.44733116,0.51349,0.37083918,0.115670845
0.005017698,-0.014871687,0.05388479,0.18399413,0.51506555,0.4482264,0.5122948,0.37111157,0.11659363
0.0048581734,-0.014498416,0.054359093,0.18383169,0.51511693,0.4481627,0.51223433,0.371217,0.11654871
0.0049673766,-0.016535949,0.052974835,0.18419115,0.51487565,0.44789177,0.51272583,0.3710873,0.116186894
0.004959196,-0.016578447,0.053113595,0.1839371,0.51473904,0.44763166,0.51284415,0.37107703,0.11607883
0.004981816,-0.018737093,0.052334115,0.18354206,0.5141759,0.44667816,0.5136067,0.37103432,0.115358956
0.0049228743,-0.018025763,0.053005844,0.18316998,0.5141481,0.4465442,0.5135263,0.37109098,0.115382716
0.0048685,-0.0159502,0.053948253,0.18333347,0.51460344,0.44726884,0.5128641,0.3711587,0.11597719
0.0048553646,-0.013947662,0.05452852,0.18387485,0.5151997,0.44830096,0.5121011,0.37118092,0.11671793
0.004898533,-0.014084477,0.054105848,0.18428564,0.5153413,0.44861412,0.5120119,0.37113056,0.11685762
0.005097121,-0.017173924,0.052131772,0.18465614,0.51489985,0.44808698,0.5127962,0.37094504,0.116258755
0.005006045,-0.01624396,0.053113326,0.18403713,0.5148065,0.44779179,0.51273793,0.3710274,0.11623461
0.004968278,-0.016795397,0.05309935,0.18376888,0.5146106,0.4474088,0.5129776,0.37105867,0.11596369
0.005023718,-0.017086666,0.05276294,0.1839713,0.51463735,0.4475202,0.5129893,0.37102205,0.11598867
0.0051367283,-0.019104335,0.051606387,0.18408588,0.51430887,0.44708288,0.5135284,0.370929,0.11554257
0.005161695,-0.017785601,0.052100465,0.18426462,0.51461685,0.44763142,0.51307565,0.37094527,0.1159791
0.005092703,-0.016898982,0.05267912,0.18418774,0.5147712,0.44782203,0.512828,0.3710185,0.11615351
0.004900478,-0.014800791,0.054158956,0.18381478,0.51503086,0.44805327,0.5123423,0.37117374,0.116484
0.0048780814,-0.016926233,0.05332449,0.18357357,0.51455605,0.44722444,0.5130486,0.37114716,0.11580428
0.004776381,-0.0148327015,0.054560736,0.18335122,0.5148328,0.44757357,0.5125382,0.37122273,0.11623916
