mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.5489847,-0.18368247,0.004328035,0.10698334,0.7513436,0.027168902,0.12983309,0.024443148,0.84572375
0.549237,-0.18375888,0.0042866096,0.10690778,0.75136524,0.027134273,0.12976691,0.024416374,0.84581673
0.54863006,-0.18353239,0.00437174,0.10710315,0.75129735,0.027237184,0.13002077,0.024493117,0.8454861
0.54724056,-0.18307465,0.004622586,0.10748934,0.75119066,0.027386216,0.13018627,0.02461018,0.8452035
0.54809874,-0.18337488,0.004470922,0.10723704,0.7512651,0.027275981,0.13000116,0.024525607,0.84547323
0.5476434,-0.18314412,0.0045706406,0.107457735,0.7512022,0.027442459,0.13057101,0.024644397,0.8447846
0.5460478,-0.18253836,0.0048437044,0.10796791,0.75104105,0.027701871,0.13115571,0.02483813,0.8440061
0.5459845,-0.18270537,0.004910119,0.107893996,0.7511445,0.02757586,0.13053153,0.024755536,0.844713
0.54644305,-0.18284616,0.0049457178,0.10776916,0.7511864,0.027520537,0.13041687,0.024714896,0.84486824
0.54756844,-0.18251145,0.005118467,0.10746526,0.7514498,0.027339902,0.12980556,0.024555322,0.8456391
0.5482675,-0.18295917,0.0049149916,0.10725279,0.7514634,0.027259497,0.12974931,0.024500161,0.8457505
0.54865944,-0.18263876,0.00482779,0.10713086,0.75154066,0.02718599,0.12952507,0.024426794,0.8460482
0.55068916,-0.18159837,0.0051599964,0.106619105,0.75197226,0.026903016,0.12859094,0.024155587,0.84725344
0.5480594,-0.18359628,0.004828386,0.10747415,0.75151616,0.027491463,0.13071741,0.02468414,0.8445984
0.5463399,-0.18312961,0.0047749355,0.10787147,0.7513908,0.027602572,0.13069753,0.02477249,0.84453
0.546499,-0.18291992,0.0048222467,0.107838795,0.75123787,0.02761961,0.13087414,0.024780896,0.844345
0.54621553,-0.18269753,0.0047673807,0.10787133,0.751106,0.027618084,0.13084453,0.02477915,0.8443763
0.5445735,-0.18196398,0.0052641705,0.10840772,0.75089157,0.027889991,0.13142166,0.024984747,0.8435936
0.5444415,-0.18200177,0.0053793713,0.10840571,0.7509357,0.02784124,0.13111928,0.0249555,0.8439252
0.5445251,-0.18216169,0.0054242685,0.108325,0.7510227,0.027745027,0.13068654,0.024891324,0.84442216
0.5461018,-0.18129489,0.0057102516,0.107925035,0.751407,0.027510926,0.1298802,0.02466683,0.84545296
0.5416083,-0.18143702,0.0066365227,0.109670326,0.7511648,0.028604107,0.13296913,0.025527308,0.8415035
0.5388606,-0.18080983,0.006454475,0.1101773,0.75099826,0.028615568,0.1322232,0.025554616,0.8422222
0.54196274,-0.18148434,0.0059496537,0.10922526,0.7509906,0.028215846,0.1317127,0.025244744,0.84304255
0.54107165,-0.18095598,0.005918704,0.109479144,0.7507443,0.028359495,0.13213703,0.025345746,0.84251726
0.5413776,-0.18097568,0.005966373,0.10936852,0.75071806,0.028295927,0.1319677,0.02530008,0.84273225
0.54051465,-0.18058509,0.0062642917,0.109723926,0.7506239,0.028523266,0.13259725,0.025466248,0.84193647
0.54036486,-0.18063307,0.0061466917,0.10966345,0.75063616,0.028419346,0.13213713,0.025395185,0.84246767
0.5392381,-0.18012252,0.0065070614,0.11009749,0.7505016,0.028682692,0.13282582,0.025588578,0.8415856
0.5381172,-0.17985794,0.0065958723,0.11036413,0.7504603,0.028744541,0.13270374,0.025641954,0.84165436
0.5374923,-0.17951527,0.0069207326,0.110573374,0.7503508,0.02884716,0.13287978,0.025721379,0.8413989
0.54146653,-0.18085563,0.0059339777,0.1093889,0.7506345,0.02835797,0.13230395,0.025339346,0.8423567
0.54037213,-0.18060344,0.0061950013,0.10965969,0.75061995,0.028415348,0.13211608,0.025393002,0.8424909
0.5420981,-0.18137267,0.0058995113,0.10904507,0.75085676,0.028050631,0.13112727,0.025127642,0.84374505
0.5439583,-0.18198907,0.0055275634,0.10851114,0.7509957,0.02783733,0.1308772,0.024960898,0.84416187
0.5445819,-0.18219155,0.0053327456,0.108341634,0.7510343,0.027783547,0.13089038,0.024915723,0.84419394
0.5469337,-0.18213406,0.0051426217,0.10763188,0.7513778,0.02740307,0.1298863,0.024597827,0.8455159
0.5472243,-0.18292952,0.0047320053,0.10750598,0.75127834,0.0273767,0.13006103,0.024597995,0.8453409
0.5478967,-0.18329915,0.0044533387,0.10735243,0.7512531,0.027373081,0.13036513,0.024593456,0.84504145
0.5472543,-0.18308783,0.004595019,0.10755282,0.75121236,0.027465427,0.13053137,0.024664203,0.8448044
0.5497491,-0.18090415,0.0054808185,0.10690831,0.75196534,0.02700896,0.12864031,0.0242256,0.8471341
0.5516666,-0.18369901,0.004365675,0.10627454,0.7517804,0.02683084,0.12898833,0.024154874,0.84685683
0.5507856,-0.18453017,0.0040126666,0.10648456,0.751654,0.026949828,0.12942442,0.024276614,0.846299
