mu1,mu2,sigma1,sigma2,pi1,pi2
-0.0022531496,-0.005606141,0.5165425,0.55242115,0.50625986,0.49374017
-0.001874824,-0.0055798255,0.5169502,0.5524299,0.5061571,0.4938429
-0.0015703486,-0.0055586584,0.51727843,0.55243695,0.5060744,0.49392557
-0.0025327997,-0.005625587,0.5162414,0.5524148,0.5063358,0.4936642
-0.0019592838,-0.0055794828,0.5168568,0.55242836,0.5061809,0.49381915
-0.0028146254,-0.005645197,0.5159379,0.5524082,0.5064123,0.49358764
-0.0027564215,-0.0056158938,0.5159909,0.5524112,0.50639987,0.4936001
-0.002914776,-0.005652126,0.5158302,0.5524059,0.50643957,0.4935605
-0.0030490356,-0.0056571476,0.515684,0.5524031,0.5064766,0.49352342
-0.0032389807,-0.0056747086,0.5154814,0.5523985,0.5065276,0.49347243
-0.0033192234,-0.0056802817,0.5153951,0.55239666,0.5065494,0.49345064
-0.003495072,-0.0056907646,0.5152054,0.5523927,0.5065974,0.49340263
-0.0035021054,-0.0056930147,0.51519847,0.5523924,0.50659907,0.49340096
-0.0032153474,-0.005673062,0.5155068,0.55239904,0.50652117,0.49347883
-0.0023577558,-0.0056134276,0.51642984,0.5524187,0.5062883,0.49371174
-0.003534873,-0.005695287,0.51516324,0.55239165,0.50660795,0.49339208
-0.003432666,-0.0056881793,0.5152731,0.552394,0.5065802,0.4934198
-0.0028622942,-0.005648505,0.5158867,0.55240715,0.5064253,0.49357474
-0.002721195,-0.0056387,0.5160386,0.55241036,0.506387,0.49361306
-0.0029397504,-0.0056538843,0.51580334,0.55240536,0.5064463,0.49355367
-0.002729063,-0.0056392364,0.51603,0.55241024,0.50638914,0.4936109
-0.002565925,-0.0056279115,0.5162056,0.552414,0.5063448,0.4936552
-0.0020823376,-0.0055942647,0.51672643,0.5524251,0.5062135,0.49378654
-0.001336907,-0.0055288114,0.517525,0.55244315,0.50601286,0.4939872
-0.0023812251,-0.005615052,0.51640457,0.5524182,0.50629467,0.49370536
6.587338e-05,-0.0054448806,0.5190451,0.5524747,0.5056301,0.49436998
-0.0012169974,-0.005533632,0.51765937,0.55244505,0.5059785,0.49402148
-0.0018952684,-0.005581271,0.5169281,0.55242944,0.50616264,0.49383733
-0.0028913217,-0.005650539,0.5158554,0.55240643,0.5064332,0.49356684
-0.0024827318,-0.0056221224,0.51629525,0.5524159,0.5063222,0.4936778
-0.0027432935,-0.0056402273,0.51601475,0.5524099,0.50639296,0.493607
-0.0033024447,-0.0056748427,0.5154115,0.55239725,0.50654536,0.4934546
-0.003092979,-0.005646538,0.51563156,0.55240303,0.50649035,0.49350968
-0.003015046,-0.0056591295,0.5157223,0.5524036,0.50646675,0.49353322
-0.0030107247,-0.00559495,0.5157025,0.55240774,0.5064741,0.49352595
-0.0037547695,-0.0057105683,0.5149269,0.5523866,0.5066677,0.4933324
-0.003784691,-0.0057126544,0.5148947,0.55238587,0.5066758,0.4933242
-0.002698441,-0.0056371056,0.516063,0.5524109,0.5063808,0.49361923
-0.0021999078,-0.0056024306,0.51659983,0.55242234,0.50624543,0.49375463
-0.00269029,-0.0056365468,0.51607174,0.5524111,0.5063786,0.49362144
-0.0022603618,-0.0056066476,0.51653475,0.552421,0.5062618,0.4937382
-0.0024834173,-0.0056221746,0.5162945,0.5524159,0.5063224,0.49367762
-0.0030821608,-0.005663801,0.5156501,0.552402,0.506485,0.493515
-0.004009341,-0.005728271,0.5146534,0.5523807,0.5067368,0.49326324
-0.0033832984,-0.005684752,0.5153262,0.5523951,0.50656676,0.4934332
-0.0035542296,-0.0056966357,0.51514244,0.55239123,0.5066132,0.4933868
-0.0033274936,-0.005667817,0.51538116,0.55239725,0.50655335,0.49344662
-0.0037224488,-0.0057036243,0.5149598,0.55238765,0.5066595,0.4933405
-0.0035837041,-0.005698692,0.5151108,0.5523905,0.5066212,0.4933788
-0.00280716,-0.0056446753,0.51594603,0.5524084,0.5064103,0.4935897
-0.0030770497,-0.0056634657,0.5156556,0.5524022,0.5064836,0.49351642
-0.0024381327,-0.0056190006,0.5163433,0.5524169,0.5063101,0.49368992
-0.0032314407,-0.005674172,0.5154895,0.5523986,0.5065256,0.49347445
-0.0031520473,-0.005668681,0.5155749,0.55240047,0.506504,0.49349603
-0.0026060091,-0.0056306906,0.5161625,0.55241305,0.5063557,0.49364433
-0.002520715,-0.0056247525,0.51625437,0.552415,0.5063325,0.49366748
-0.0025058286,-0.0056237318,0.5162704,0.5524154,0.50632846,0.4936715
-0.0028604316,-0.0056483857,0.51588863,0.55240715,0.5064248,0.49357522
-0.003584166,-0.005692523,0.51510787,0.55239093,0.50662214,0.49337783
-0.0032494115,-0.0056754313,0.5154702,0.5523982,0.5065304,0.49346957
-0.0035699503,-0.005693134,0.51512384,0.5523912,0.5066181,0.49338192
-0.003636499,-0.005702343,0.51505405,0.55238926,0.50663555,0.49336448
-0.0033055441,-0.0056793503,0.51540977,0.5523969,0.50654566,0.49345437
-0.003399943,-0.005683761,0.51530755,0.5523949,0.5065716,0.49342844
-0.0032887505,-0.0056781583,0.5154279,0.5523973,0.5065411,0.4934589
-0.00306644,-0.0056627057,0.51566696,0.5524024,0.50648075,0.49351928
-0.0029119002,-0.0056519695,0.51583326,0.55240595,0.5064388,0.49356124
-0.0020682411,-0.005593296,0.5167417,0.55242544,0.5062097,0.49379036
-0.0024233954,-0.0056180023,0.51635915,0.5524173,0.5063061,0.49369395
-0.0018246518,-0.005576361,0.51700425,0.55243105,0.5061435,0.49385655
-0.0015565054,-0.0055576973,0.51729333,0.55243725,0.5060707,0.49392936
-0.0027744519,-0.0056423955,0.5159812,0.5524092,0.5064014,0.49359858
-0.0036386894,-0.0057024993,0.5150516,0.5523892,0.50663614,0.49336386
-0.0037049996,-0.005707111,0.5149804,0.5523877,0.50665414,0.49334586
-0.003580843,-0.0056984685,0.51511383,0.5523906,0.5066204,0.49337956
-0.003983979,-0.0057264976,0.5146806,0.55238134,0.5067299,0.4932701
-0.0034390287,-0.0056755953,0.5152613,0.5523946,0.50658363,0.49341637
-0.0026392685,-0.005632993,0.51612675,0.5524123,0.5063647,0.49363527
-0.0029042708,-0.0056435354,0.51583844,0.55240667,0.5064378,0.49356225
-0.0031837868,-0.0056676976,0.5155395,0.55239993,0.506513,0.49348697
-0.002990921,-0.0056574456,0.5157482,0.5524041,0.5064602,0.49353978
-0.003129621,-0.005667094,0.515599,0.55240095,0.50649786,0.4935021
-0.0031404393,-0.005667854,0.51558745,0.55240077,0.50650084,0.49349922
-0.00315768,-0.0056690685,0.51556885,0.55240035,0.5065055,0.49349448
-0.0041552233,-0.0057384185,0.51449674,0.55237734,0.5067764,0.49322358
-0.0039292173,-0.0057227053,0.51473945,0.5523826,0.50671506,0.49328497
-0.004189317,-0.0057275854,0.5144551,0.5523774,0.5067874,0.4932126
-0.0040606754,-0.005731847,0.5145983,0.55237955,0.50675076,0.4932493
-0.0033086287,-0.005679559,0.5154065,0.55239683,0.5065465,0.4934535
-0.0041094916,-0.0057352446,0.51454574,0.5523784,0.506764,0.493236
