mu1,mu2,sigma1,sigma2,pi1,pi2
0.018892601,0.008893877,0.07055209,0.015029965,0.48540992,0.5145901
0.019034967,0.008808553,0.07092628,0.015135818,0.48565832,0.51434165
0.019724578,0.00955379,0.07055025,0.015043649,0.4857409,0.5142591
0.017548919,0.009158134,0.06866115,0.014496935,0.48384878,0.5161512
0.017904297,0.009038195,0.06930978,0.014681367,0.48417947,0.5158205
0.021641627,0.011619464,0.06953055,0.014793016,0.48589876,0.5141012
0.023415908,0.0130147785,0.06918939,0.014708207,0.48710695,0.5128931
0.019623116,0.01021792,0.06947468,0.014712393,0.4864606,0.51353943
0.019709691,0.011006981,0.069333866,0.014668456,0.48664734,0.51335263
0.017176464,0.008767381,0.069444925,0.01468086,0.48503453,0.5149655
0.017170802,0.008941144,0.0691825,0.01462623,0.48427913,0.5157209
0.015901268,0.007574916,0.069185294,0.014629637,0.48296022,0.5170398
0.012802407,0.004504055,0.069935344,0.014808914,0.481254,0.51874596
0.023764089,0.013678715,0.06870494,0.014630396,0.48498458,0.5150155
0.02133198,0.010976449,0.06853273,0.014534174,0.4845406,0.51545936
0.023543298,0.01305683,0.06961551,0.014810172,0.48785916,0.51214087
0.02351503,0.012520194,0.07072313,0.015091973,0.48926654,0.5107335
0.02420953,0.014449105,0.06938318,0.014715727,0.48967454,0.51032543
0.021713555,0.012766287,0.069140084,0.014611807,0.48874363,0.5112564
0.018303335,0.011103049,0.068225436,0.014323619,0.48663473,0.51336527
0.015020847,0.00856933,0.06809985,0.014273836,0.48406368,0.5159363
0.030816346,0.022171661,0.06554061,0.013794682,0.48903748,0.51096255
0.020496428,0.014374033,0.06386174,0.013201157,0.48463747,0.51536256
0.023430347,0.015737712,0.06729066,0.01410851,0.48930964,0.5106904
0.024212554,0.016707152,0.066712774,0.013964134,0.48931178,0.51068825
0.022891253,0.015468687,0.06701534,0.014028417,0.48907104,0.510929
0.025641471,0.018398285,0.06622397,0.013845117,0.4900981,0.50990194
0.022261381,0.015196383,0.06667516,0.013924751,0.48893112,0.5110689
0.0246156,0.018670782,0.06519467,0.013553442,0.48934186,0.51065814
0.02089779,0.016869247,0.06354538,0.013076689,0.4866933,0.51330674
0.019220814,0.017698482,0.06149602,0.012518889,0.4848465,0.5151535
0.02487515,0.016809285,0.06718643,0.014111734,0.48963073,0.51036924
0.020865366,0.014801577,0.065644115,0.013644548,0.4872519,0.51274806
0.016602382,0.011738554,0.06586121,0.0136569645,0.48515832,0.5148417
0.017706618,0.011967972,0.06648764,0.013866269,0.48475057,0.51524943
0.017902866,0.011763066,0.06617122,0.01381113,0.48359573,0.51640433
0.015345499,0.007943258,0.06815115,0.01432502,0.48288372,0.5171163
0.016327769,0.0093122125,0.06757016,0.014193017,0.48243985,0.5175601
0.020107359,0.010597095,0.069009565,0.0146461995,0.4843268,0.51567316
0.020402595,0.01071465,0.06894873,0.014621473,0.48487976,0.5151202
0.012483999,0.0042108893,0.07007691,0.014811716,0.48228094,0.51771903
0.018023685,0.008090138,0.07146414,0.0152865015,0.4847308,0.51526916
0.019491985,0.00842689,0.07116245,0.0152467005,0.48452652,0.51547354
0.025920391,0.014647856,0.06927508,0.014789692,0.4872814,0.51271856
0.020264372,0.00988549,0.06975195,0.014811184,0.48630545,0.5136946
0.018959045,0.009772807,0.070236385,0.0149002625,0.48683974,0.5131603
0.01726605,0.009250194,0.069097504,0.014583915,0.48491985,0.51508015
0.019535512,0.010996044,0.06881904,0.014557852,0.48513898,0.514861
0.020004809,0.010148853,0.06986421,0.014856279,0.4856802,0.51431984
0.019479498,0.009514406,0.07034389,0.01497375,0.48592815,0.5140719
0.014835909,0.0080584735,0.0676071,0.014168207,0.48239657,0.5176034
0.015392572,0.007993057,0.06834294,0.014392757,0.4822371,0.5177629
0.015219763,0.0071296096,0.068927854,0.014569958,0.48168316,0.5183168
0.01679416,0.00566642,0.07235663,0.015544511,0.48368844,0.5163116
0.017682686,0.0069803745,0.071330115,0.01527411,0.48351425,0.51648575
0.017590344,0.0071392655,0.07079261,0.01512138,0.4832954,0.5167046
0.018134847,0.007993475,0.07036295,0.015002333,0.4836004,0.51639956
0.016406149,0.0057908,0.071669735,0.015333615,0.48364177,0.51635826
0.016138121,0.0054448396,0.07228495,0.0155024305,0.48373663,0.51626337
0.023510158,0.011413202,0.07161332,0.015424994,0.48659053,0.5134095
0.02201201,0.01046741,0.07053037,0.01508258,0.48624015,0.5137599
0.023998648,0.01317215,0.069969304,0.014914327,0.48828572,0.51171434
0.024270311,0.014079869,0.06927832,0.014704338,0.48898557,0.51101446
0.01861313,0.010294005,0.06906393,0.014557027,0.48697564,0.51302433
0.01996164,0.011969984,0.068878405,0.014533597,0.4871461,0.51285386
0.0196428,0.011405215,0.068517774,0.0144544495,0.48603505,0.513965
0.020925492,0.012426019,0.06823926,0.0144011155,0.48626092,0.51373905
0.019110829,0.011761114,0.06703919,0.01405186,0.48484054,0.5151595
0.0118474215,0.006809488,0.06655415,0.013835876,0.48106197,0.51893806
0.024800763,0.0156281,0.06808845,0.014433793,0.48673224,0.5132678
0.020944864,0.011263907,0.06831162,0.014443164,0.4853498,0.51465017
0.022593915,0.013095707,0.06907061,0.014633898,0.48782238,0.51217765
0.01740712,0.008356139,0.070191875,0.014867932,0.48617306,0.5138269
0.02271451,0.014510781,0.06796051,0.014336012,0.48720464,0.5127954
0.021374479,0.012565568,0.06800552,0.014339879,0.48640513,0.51359487
0.021600932,0.013355747,0.06782241,0.014276537,0.48704156,0.51295847
0.022240028,0.013593599,0.06819548,0.014380989,0.48768875,0.5123113
0.022139981,0.014202252,0.06750588,0.014188539,0.48752657,0.5124734
0.024690092,0.018886566,0.06413864,0.013302497,0.48739934,0.5126007
0.03279151,0.0225375,0.06685618,0.014108743,0.49333045,0.5066696
0.026184365,0.018399775,0.06618911,0.013804125,0.49196514,0.5080349
0.024729759,0.018736288,0.06604455,0.013722619,0.4922332,0.5077668
0.020666257,0.017741188,0.06346536,0.013008859,0.4884725,0.51152754
0.021830082,0.017238736,0.06470813,0.013378754,0.4884901,0.5115099
0.018864855,0.014669523,0.06444145,0.013296459,0.48607287,0.5139271
0.02168718,0.0170649,0.06393748,0.013210714,0.48631373,0.5136863
0.019770235,0.015007973,0.06394078,0.013198939,0.48499584,0.51500416
0.017003939,0.013291344,0.06388494,0.013154095,0.48356614,0.51643384
0.01665032,0.011615887,0.06567023,0.013640216,0.48356506,0.51643497
0.017558709,0.009062961,0.06943443,0.014690245,0.48495185,0.51504815
0.021131799,0.012312666,0.0684534,0.0144813275,0.48562115,0.51437885
0.021774888,0.012478694,0.06826079,0.014433253,0.48597133,0.51402867
0.0186522,0.01051113,0.068116896,0.014336277,0.48513925,0.51486075
0.019566149,0.011184245,0.06867028,0.014496056,0.48584777,0.5141522
0.019454762,0.011447832,0.0680169,0.014325334,0.4852064,0.51479363
0.018881336,0.009737581,0.06959619,0.0147516625,0.48562393,0.5143761
0.021759808,0.0121816695,0.069383405,0.014732241,0.48678598,0.51321405
0.026672512,0.01658152,0.06807067,0.014425498,0.4887627,0.51123726
0.023485243,0.014602259,0.06746892,0.0141908005,0.48827365,0.5117264
0.020086855,0.013541684,0.06672556,0.013923953,0.48728257,0.5127174
0.021545514,0.014121518,0.067661054,0.014204392,0.4880213,0.5119787
0.021113306,0.01308991,0.068110175,0.014335266,0.48759064,0.5124094
0.019840062,0.012838557,0.06708137,0.014046888,0.48629257,0.51370746
0.019225985,0.012376562,0.06690382,0.014000943,0.48550904,0.514491
0.022603318,0.015093476,0.066491656,0.013937018,0.4865403,0.5134597
0.016811565,0.010719225,0.066109344,0.013761691,0.48382017,0.5161798
0.016828984,0.010824084,0.06682892,0.013959213,0.4839192,0.51608086
0.01664184,0.008090749,0.06962887,0.014740466,0.4842346,0.5157654
0.02247119,0.012815461,0.06906252,0.014674076,0.4861618,0.51383823
0.019582063,0.0105014,0.06841132,0.014451879,0.484825,0.515175
0.020207494,0.011302546,0.06881037,0.014549751,0.48593923,0.51406074
0.018613026,0.009934798,0.06902386,0.014586985,0.4853189,0.5146811
0.019616187,0.01093924,0.06889549,0.014568923,0.48558316,0.5144168
0.01884462,0.010321543,0.06874636,0.014524325,0.48498562,0.5150144
0.021916687,0.011643544,0.07015424,0.014949625,0.4871008,0.51289916
0.022197962,0.012823001,0.068598986,0.01451756,0.48682955,0.5131705
0.020764723,0.012238532,0.068130374,0.014357313,0.48649266,0.5135073
0.02140607,0.014069423,0.066847906,0.014010081,0.48643962,0.5135604
0.022027463,0.012944251,0.06875246,0.0145336315,0.4877487,0.51225126
0.022713661,0.0141685605,0.068053916,0.014344512,0.4880419,0.5119581
0.020353958,0.012351394,0.06805014,0.014311326,0.48710176,0.5128982
0.018909857,0.011991084,0.06736189,0.014110948,0.48593986,0.51406014
0.016790673,0.009955555,0.06765076,0.014180098,0.48441046,0.51558954
0.01397109,0.00768286,0.06763449,0.014162939,0.48219168,0.5178083
0.015020013,0.0075481683,0.06851196,0.014443001,0.4818983,0.5181017
0.018267676,0.008989185,0.06917831,0.0146863405,0.4829225,0.5170775
0.02004166,0.0101946,0.06899933,0.014653753,0.48385203,0.51614803
0.023258656,0.0124528855,0.069502376,0.014808267,0.48646674,0.51353323
0.021882743,0.011509895,0.069775745,0.014835078,0.48713395,0.5128661
0.027648687,0.016476244,0.069844805,0.014902349,0.49082866,0.5091713
0.025394231,0.01512149,0.06919717,0.014670663,0.490571,0.50942904
0.023909241,0.015212491,0.06859581,0.014462438,0.4906257,0.5093743
0.023065805,0.01566501,0.0673572,0.014116929,0.48966146,0.5103386
0.020504817,0.014796838,0.06578004,0.013671742,0.48738673,0.5126133
0.017040566,0.012505248,0.06524537,0.013504249,0.48486477,0.5151352
0.017145932,0.012032583,0.0656879,0.0136489915,0.4840039,0.51599616
0.015919417,0.010140717,0.06627247,0.013815932,0.48266372,0.5173363
0.021968573,0.01392591,0.066985466,0.014094332,0.48517996,0.51482004
0.021307513,0.013459235,0.066392325,0.013916747,0.48494336,0.51505667
0.024981871,0.015241742,0.06832966,0.014460536,0.48860002,0.5114
0.026056781,0.016436055,0.06810246,0.01438601,0.49001306,0.50998694
0.025542751,0.016847298,0.0676355,0.014226936,0.49063623,0.5093638
0.029802695,0.020960107,0.06697212,0.014079186,0.4930813,0.50691867
0.02246371,0.015554428,0.06670542,0.013904299,0.49036562,0.5096344
0.020377308,0.015849024,0.06541667,0.013535294,0.48872742,0.5112726
0.02070254,0.01618816,0.064622544,0.013360948,0.48711726,0.5128827
0.01746203,0.014085725,0.06357833,0.0130700115,0.48418406,0.5158159
0.016278148,0.01148957,0.06540697,0.013560255,0.48363444,0.5163655
0.016728178,0.011431515,0.06560366,0.013641333,0.4828759,0.5171241
0.019500002,0.012384057,0.06651079,0.0139344,0.4838787,0.51612127
0.017380953,0.009556308,0.06777317,0.014248359,0.4835453,0.5164547
0.019783124,0.011677057,0.067998186,0.014336053,0.48483518,0.5151648
0.021960422,0.01120095,0.07046709,0.015039948,0.48708802,0.512912
0.020593002,0.0112430155,0.06919634,0.014657809,0.48644063,0.51355934
0.02232039,0.013326153,0.06850012,0.014481286,0.48721135,0.51278865
0.023291782,0.013673276,0.068891175,0.014592747,0.4881963,0.5118037
0.024339154,0.0152578205,0.06810128,0.01437406,0.4889457,0.51105434
0.022012502,0.014297217,0.067202054,0.014087837,0.4879972,0.5120028
0.023621172,0.016365632,0.066576555,0.013932777,0.4886553,0.51134473
0.032606408,0.023285896,0.06610875,0.013902555,0.49293217,0.50706786
0.022334367,0.015948087,0.06532314,0.013539933,0.48932427,0.5106757
0.022618383,0.017709792,0.06531103,0.013521482,0.4900691,0.5099309
0.022979349,0.017635673,0.065051645,0.013483066,0.4890659,0.5109341
0.023648158,0.018653423,0.0640621,0.013238642,0.4884772,0.51152277
0.026274607,0.020567194,0.063883305,0.013218466,0.48963058,0.5103695
0.020330012,0.015778914,0.06421682,0.013231298,0.48748094,0.51251906
0.019491687,0.015290499,0.06474015,0.013365533,0.48703182,0.5129682
0.018318966,0.014822379,0.06383632,0.013141928,0.48483476,0.51516527
0.017849356,0.013753742,0.06429152,0.013278471,0.483947,0.516053
0.020095214,0.011783585,0.06845523,0.0144399665,0.48636425,0.51363575
0.016957968,0.0104981065,0.066786535,0.013955377,0.48382232,0.51617765
0.018833712,0.012076229,0.066601515,0.013939767,0.48404905,0.5159509
0.020055652,0.012279898,0.06707303,0.014088316,0.48457435,0.5154256
0.019131213,0.010843754,0.0681821,0.014369971,0.48499715,0.51500285
0.020381853,0.010532543,0.07019232,0.014930893,0.48669782,0.51330215
0.019007951,0.010177776,0.06918851,0.014639114,0.48556527,0.5144347
0.01990603,0.011154622,0.068817675,0.014553391,0.48565766,0.5143423
0.021022454,0.01189211,0.06873749,0.014546927,0.4861011,0.5138989
0.024821103,0.015136212,0.068258666,0.0144527955,0.4880341,0.5119659
0.023072064,0.013820156,0.0682216,0.0143985115,0.4881135,0.51188654
0.028450653,0.019787073,0.06658065,0.013991288,0.49077126,0.50922877
0.025301605,0.017078787,0.06678604,0.013987949,0.4904193,0.50958073
0.020405427,0.013812482,0.06733041,0.014056369,0.48922926,0.51077074
0.016491324,0.011381522,0.06693149,0.013924336,0.48633534,0.5136647
0.016014948,0.010729641,0.06667499,0.013896379,0.48416165,0.5158384
0.018588006,0.012480706,0.0658884,0.013752622,0.48345318,0.51654685
0.013267338,0.007268831,0.066551626,0.013878473,0.4807612,0.51923877
0.019976482,0.012887806,0.06642648,0.013933768,0.48326844,0.51673156
0.01991859,0.010590062,0.06827856,0.014436619,0.4841261,0.5158739
0.018016905,0.009815723,0.06834369,0.0144066205,0.48417428,0.51582575
0.019148424,0.008670807,0.07142377,0.015263908,0.48622707,0.51377296
0.020416543,0.00957337,0.071524054,0.015314605,0.4867544,0.5132456
0.021007359,0.010855213,0.07010877,0.014931367,0.4864297,0.5135703
0.023697302,0.014130399,0.06836137,0.01447554,0.4872244,0.5127756
0.02153802,0.01288566,0.0678555,0.014291487,0.48675162,0.5132484
0.023821399,0.014581904,0.06860991,0.014507743,0.488825,0.51117504
0.02256541,0.015418887,0.06633132,0.0138652595,0.48754704,0.51245296
0.025133982,0.016358972,0.06781233,0.01428856,0.4898415,0.5101585
0.019888088,0.012286216,0.067977786,0.014261016,0.48788396,0.5121161
0.01945813,0.013157293,0.067024395,0.014006304,0.48688066,0.51311934
0.019088611,0.012948915,0.066246405,0.013818124,0.48532358,0.5146764
0.014436677,0.008776128,0.066645734,0.013885698,0.48269412,0.5173059
0.017764539,0.0113873035,0.06667565,0.013955958,0.48325154,0.5167484
0.015755132,0.007620558,0.0685485,0.014456261,0.48249653,0.51750344
0.016627282,0.008622423,0.06845821,0.014446706,0.4826197,0.5173803
0.016462117,0.007353753,0.06960466,0.014766909,0.48269668,0.51730335
0.015872672,0.0063722283,0.07046562,0.014998336,0.48271587,0.51728415
0.017795473,0.00676772,0.071966685,0.015445053,0.48409626,0.5159038
0.017830908,0.0072941184,0.070996836,0.015177393,0.4836447,0.5163553
0.019271135,0.008367255,0.07110138,0.01521947,0.48458943,0.5154106
0.025220275,0.013038486,0.070962146,0.015245273,0.48783776,0.51216227
0.021624163,0.0112516135,0.06955312,0.014775672,0.48678404,0.51321596
0.02320622,0.012849674,0.070237674,0.014955347,0.48890486,0.51109517
0.01861018,0.009881109,0.06954486,0.01470118,0.486691,0.513309
0.02225469,0.013380468,0.06903258,0.014616708,0.48784494,0.51215506
0.019663751,0.0111320615,0.068556085,0.014463644,0.48613656,0.5138635
0.019821912,0.012195587,0.06763955,0.014214798,0.48579273,0.5142073
0.019561231,0.011946619,0.067399226,0.014152977,0.48525855,0.5147415
0.016635254,0.0096735805,0.06741836,0.014125493,0.48375395,0.516246
0.011097059,0.0051646084,0.06803471,0.014237933,0.48083413,0.5191659
0.017262116,0.008132026,0.070238635,0.014955014,0.48327094,0.51672906
0.017506137,0.0075114667,0.06998223,0.014907776,0.48256907,0.51743096
