mu1,mu2,sigma1,sigma2,pi1,pi2
-0.06179387,0.016763441,0.5009935,0.3268467,0.38343382,0.61656624
-0.06339947,0.018392675,0.5010003,0.32533482,0.38457116,0.6154288
-0.0646073,0.019663893,0.5010265,0.32427248,0.38544643,0.6145536
-0.06342035,0.017828368,0.4998804,0.324607,0.3832396,0.61676043
-0.065028094,0.019578107,0.50029004,0.32320186,0.38488084,0.6151192
-0.06312854,0.017259322,0.49958873,0.324495,0.3827069,0.6172931
-0.06303624,0.01719866,0.4997981,0.324586,0.38290825,0.6170918
-0.061898388,0.016127326,0.49998888,0.32574677,0.38234204,0.61765796
-0.061303444,0.015490033,0.4999557,0.32625797,0.38188782,0.6181122
-0.060559146,0.014758684,0.49999914,0.32698864,0.38141775,0.61858225
-0.060254388,0.014420293,0.499982,0.32723117,0.38118735,0.6188126
-0.059619702,0.013783179,0.49999794,0.32783824,0.38076195,0.6192381
-0.059212245,0.013461672,0.500182,0.3283335,0.38069803,0.61930203
-0.060055085,0.014366604,0.50026643,0.32760003,0.38138893,0.61861104
-0.06145943,0.0162557,0.5010477,0.32686582,0.38330123,0.6166988
-0.059974708,0.0140418485,0.49959618,0.32742986,0.3805082,0.6194918
-0.05986599,0.014065407,0.5000344,0.32765105,0.3809757,0.6190243
-0.06080436,0.015323915,0.5005894,0.32714587,0.3822965,0.6177035
-0.061267294,0.015817188,0.50052834,0.32676378,0.38253766,0.61746234
-0.061073773,0.015469901,0.50021946,0.32676762,0.38202912,0.61797094
-0.061512806,0.015962787,0.50036615,0.3263981,0.38251886,0.6174811
-0.062052153,0.016578145,0.50043654,0.32598776,0.38297608,0.6170239
-0.06312222,0.017886259,0.50078744,0.32526982,0.38414207,0.61585796
-0.06473977,0.01983551,0.50124526,0.32415783,0.38581762,0.6141824
-0.06285227,0.017427094,0.5002196,0.32535064,0.3832487,0.6167513
-0.06805874,0.023824595,0.50229573,0.3218423,0.38940945,0.6105906
-0.06678016,0.021657921,0.50035274,0.3220555,0.38613835,0.6138617
-0.06538492,0.020004325,0.50009394,0.32302278,0.38486394,0.615136
-0.06332929,0.017496593,0.49946833,0.32439223,0.38268465,0.6173154
-0.063760184,0.018144868,0.5001064,0.32418683,0.38377804,0.616222
-0.06310601,0.017351292,0.4998635,0.32464156,0.38302687,0.61697316
-0.06173704,0.015716992,0.49949083,0.32560605,0.3816279,0.6183721
-0.061432995,0.015529819,0.49988443,0.32599962,0.38190344,0.61809653
-0.060948737,0.015217416,0.5001733,0.32668567,0.38190523,0.61809474
-0.06122712,0.015453465,0.5000247,0.32638168,0.38191614,0.6180839
-0.058517672,0.012684099,0.49999654,0.32891357,0.3799847,0.62001526
-0.058515303,0.012658246,0.5000233,0.32886967,0.3800222,0.61997783
-0.060608648,0.015306346,0.5009618,0.32754448,0.3826086,0.6173914
-0.062315874,0.01708465,0.50086606,0.32603616,0.38367453,0.6163255
-0.061580278,0.016072579,0.5002942,0.32642144,0.3824648,0.6175352
-0.0624891,0.017203681,0.50072145,0.3258133,0.38361898,0.61638105
-0.062609114,0.017131023,0.5002966,0.32547775,0.38318756,0.61681247
-0.061465867,0.015733711,0.49989724,0.32625172,0.38191083,0.6180892
-0.05943183,0.013283797,0.49930653,0.32766426,0.37979117,0.62020886
-0.060094394,0.01429268,0.50014585,0.32740065,0.38128155,0.61871845
-0.05998864,0.014012091,0.4997744,0.32729936,0.38075778,0.61924225
-0.060337223,0.014434911,0.49994692,0.3270448,0.38121307,0.618787
-0.05905617,0.013055272,0.49978706,0.32815924,0.38012317,0.61987686
-0.05882711,0.013030626,0.500183,0.32862988,0.38043717,0.6195628
-0.060384907,0.015000649,0.500812,0.3276598,0.382272,0.617728
-0.05991938,0.014395393,0.50043654,0.32796726,0.3814831,0.61851686
-0.061243065,0.016052417,0.5009887,0.32711148,0.38306957,0.6169304
-0.060389347,0.014673002,0.49996546,0.32730263,0.38123855,0.6187615
-0.06093005,0.015197314,0.5000408,0.3267336,0.38172024,0.61827976
-0.061682694,0.01628866,0.500653,0.32642618,0.38298184,0.61701816
