mu1,mu2,sigma1,sigma2,pi1,pi2
-0.04805608,0.019774199,0.05205878,0.018716374,0.31108555,0.6889144
-0.048374906,0.01992289,0.05219317,0.018775783,0.3112895,0.6887105
-0.047606632,0.019707225,0.05201053,0.01870712,0.31091297,0.68908703
-0.04764925,0.020558417,0.051382486,0.018381976,0.3104597,0.6895403
-0.047945753,0.0201943,0.05161854,0.018494153,0.31094852,0.6890515
-0.045217946,0.018386692,0.05153069,0.01853796,0.3100359,0.6899641
-0.04312767,0.017725497,0.051299963,0.018485237,0.30855933,0.6914407
-0.04593642,0.019901551,0.051543955,0.01851951,0.3090656,0.69093436
-0.04616426,0.020174168,0.05149203,0.018489216,0.30951956,0.6904804
-0.04862304,0.021678492,0.051673185,0.018500958,0.31047565,0.68952435
-0.048712775,0.02140022,0.051592138,0.018457621,0.31098282,0.6890172
-0.04982324,0.021631464,0.05167169,0.018460566,0.3116278,0.68837225
-0.05292417,0.022552006,0.052111156,0.018583616,0.31336132,0.6866387
-0.043556407,0.016553424,0.051182084,0.01841464,0.3105296,0.6894704
-0.044200495,0.017767742,0.0512336,0.018411407,0.3090442,0.69095576
-0.042760596,0.016825937,0.051490456,0.01859645,0.30859485,0.6914052
-0.04382114,0.018080868,0.051870763,0.018758811,0.30851737,0.69148266
-0.042374477,0.018562302,0.051316362,0.018521631,0.30742678,0.6925732
-0.044258192,0.020483695,0.051329933,0.018466936,0.30761912,0.69238085
-0.046481058,0.02227927,0.05112952,0.01829375,0.3085003,0.6914997
-0.049499616,0.023631915,0.05125751,0.018262422,0.31023088,0.68976915
-0.035483047,0.015341617,0.04970324,0.017913893,0.3055332,0.69446677
-0.040355667,0.020173073,0.049508005,0.017648375,0.3044629,0.6955371
-0.0406249,0.018692777,0.050490834,0.018154457,0.3060599,0.69394016
-0.040223256,0.01931534,0.050297022,0.0180663,0.3055434,0.69445664
-0.041474268,0.020370707,0.05045561,0.018107612,0.30573553,0.6942645
-0.038872764,0.019275196,0.05006728,0.01799247,0.30473146,0.6952685
-0.041718677,0.0212809,0.050356083,0.018048182,0.3052866,0.6947135
-0.03886737,0.019980863,0.049761392,0.01783649,0.30443746,0.69556254
-0.040254638,0.02162639,0.049369544,0.017589383,0.30426732,0.69573265
-0.03974478,0.021653734,0.048728343,0.017280344,0.3042086,0.6957914
-0.04032187,0.019479632,0.050405763,0.018119456,0.30564058,0.6943594
-0.041904286,0.021419764,0.04997491,0.017846426,0.30549935,0.6945007
-0.045614257,0.023128197,0.050276615,0.01788544,0.30743158,0.6925684
-0.045950785,0.022275269,0.05048555,0.017982693,0.30861232,0.6913877
-0.045680568,0.021531902,0.050447468,0.017969042,0.30877763,0.69122237
-0.049080804,0.022204183,0.05126433,0.018275818,0.31058764,0.6894124
-0.04807757,0.020971194,0.051075388,0.018213287,0.31092584,0.6890742
-0.046226487,0.018913455,0.0514198,0.018447395,0.31057402,0.689426
-0.045421347,0.018592037,0.051373105,0.018447716,0.30981043,0.69018954
-0.0523998,0.022439778,0.052198626,0.018643366,0.31244636,0.68755364
-0.050124004,0.019831792,0.052479967,0.018869525,0.31317705,0.68682295
-0.04877062,0.019293547,0.05232051,0.018826663,0.31212503,0.687875
-0.04156317,0.01585859,0.05127362,0.018523593,0.30879706,0.69120294
-0.045504615,0.019108117,0.05166063,0.018590715,0.30891526,0.69108474
-0.047184303,0.020116732,0.051880818,0.018655868,0.3100943,0.6899057
-0.048308894,0.021380164,0.051560316,0.018454337,0.31054074,0.68945926
-0.046614066,0.020103566,0.051424675,0.018439751,0.3102189,0.6897811
-0.046882138,0.019861601,0.05177895,0.018610936,0.31022456,0.6897754
-0.047495738,0.020091541,0.051951315,0.018680183,0.31046948,0.6895305
-0.048889592,0.021960624,0.051104784,0.018200712,0.3106156,0.6893844
-0.049430534,0.021210082,0.05141554,0.0183431,0.3117158,0.68828416
-0.050226822,0.02083847,0.05175615,0.018489607,0.31243283,0.68756723
-0.051678225,0.020065315,0.05289427,0.019026082,0.31375724,0.68624276
-0.050123677,0.019453086,0.052447688,0.018847816,0.31305692,0.6869431
-0.04955159,0.019339383,0.052234545,0.018755872,0.3125775,0.6874226
-0.048620865,0.018924624,0.05206402,0.018699098,0.31211987,0.6878801
-0.05095829,0.019981317,0.05262192,0.018908454,0.31303993,0.6869601
-0.051946387,0.02025792,0.05288182,0.01901135,0.31382248,0.68617755
-0.045808032,0.016798742,0.052305784,0.018919548,0.31156504,0.68843496
-0.04532738,0.017880067,0.051909074,0.018725134,0.3098454,0.6901546
-0.04291849,0.017195717,0.05155656,0.018625928,0.3085862,0.6914138
-0.042100653,0.017919533,0.051261205,0.018499773,0.30747402,0.692526
-0.04634194,0.021255799,0.051416814,0.018442629,0.30857307,0.69142693
-0.045879737,0.020877473,0.051316295,0.018410338,0.30910793,0.69089204
-0.04613702,0.021158122,0.051219102,0.018349491,0.30908677,0.69091326
-0.044774815,0.020204447,0.051046338,0.018304689,0.30864906,0.691351
-0.044934705,0.020722821,0.050657548,0.01809871,0.308347,0.691653
