mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.0025991052,0.006959796,-0.0018453561,0.5229383,0.5035351,0.68486,0.39335915,0.40335548,0.20328535
0.003214702,0.00776875,-0.001393225,0.5219749,0.5026288,0.68501174,0.3937125,0.40379295,0.20249459
0.0033402406,0.0075036734,-0.0011614114,0.5222161,0.50289285,0.6849216,0.39366055,0.40372944,0.20261002
0.0028649382,0.0062687695,-0.001312416,0.52358216,0.5042305,0.6846326,0.39321128,0.40317446,0.2036143
0.0034219828,0.007335037,-0.0010117702,0.52236915,0.5030605,0.68486404,0.39362788,0.4036895,0.20268267
0.002663575,0.0056313127,-0.0013392791,0.5242783,0.50491774,0.68447804,0.3929872,0.40289804,0.20411478
0.0025751218,0.0057437792,-0.001478482,0.52418363,0.50480884,0.6845206,0.39300248,0.40291652,0.20408101
0.0029870793,0.0066373497,-0.0012902282,0.5231785,0.503833,0.68472135,0.39334172,0.40333548,0.20332283
0.002690943,0.0060415417,-0.0014406554,0.5238535,0.50448567,0.68459016,0.39311144,0.403051,0.20383759
0.0024075434,0.0057785735,-0.0016843416,0.5241863,0.50478935,0.684551,0.39297974,0.4028879,0.20413232
0.0024987832,0.0062125027,-0.0017192699,0.5237228,0.5043263,0.684662,0.3931234,0.40306494,0.2038117
0.0027643833,0.0067579597,-0.001587946,0.52310634,0.50372934,0.68478274,0.39333308,0.403324,0.20334288
0.0024934933,0.0062178373,-0.0017271452,0.5237186,0.50432116,0.68466413,0.39312387,0.40306553,0.20381059
0.0027809143,0.0067637637,-0.001570642,0.5230967,0.5037216,0.6847823,0.39333802,0.40333012,0.20333187
0.0025113262,0.0061677247,-0.0016901717,0.5237657,0.50437176,0.6846478,0.39311287,0.40305203,0.20383511
0.00210944,0.0052565187,-0.0018610023,0.5247873,0.505366,0.684441,0.39276972,0.40262857,0.2046017
0.0025887564,0.0064703897,-0.0016985126,0.5234394,0.5040475,0.68472344,0.39321563,0.40317878,0.20360559
0.0024359543,0.0061258078,-0.0017640702,0.5238256,0.50442314,0.6846453,0.393086,0.40301868,0.20389536
0.0034793504,0.008963779,-0.0014738627,0.5207003,0.50135696,0.6853157,0.39410737,0.40428072,0.20161188
0.0030956045,0.0073168576,-0.0013848133,0.52246183,0.5031124,0.6848993,0.39355904,0.4036035,0.20283744
0.0038946513,0.009139061,-0.0010485686,0.52042824,0.50113297,0.68531376,0.39423805,0.40444353,0.20131846
0.0031073801,0.007038556,-0.001280792,0.5227425,0.50340176,0.68481934,0.39348105,0.4035075,0.20301147
0.0034464486,0.0077845976,-0.0011292994,0.52190614,0.50258905,0.68498766,0.3937621,0.403855,0.2023829
0.00287069,0.006537974,-0.0013931207,0.5233064,0.5039485,0.6847077,0.39329025,0.4032717,0.20343806
0.002565071,0.0061072186,-0.0016081259,0.5238151,0.50442964,0.68462414,0.39310583,0.40304363,0.20385055
0.0029650535,0.00700815,-0.0014361665,0.52280587,0.5034478,0.6848284,0.39344454,0.40346196,0.2030935
0.002458632,0.006047316,-0.0017122664,0.5239005,0.504503,0.6846204,0.39306766,0.4029962,0.20393609
0.0021261573,0.0056652576,-0.001974266,0.52436614,0.5049363,0.68455386,0.39289173,0.40277863,0.20432967
0.0019042976,0.005429536,-0.0021553375,0.5246573,0.50520545,0.6845149,0.39277977,0.4026401,0.20458016
0.0022073202,0.0061785653,-0.0020466521,0.5238238,0.5043911,0.6846884,0.3930565,0.40298158,0.20396195
0.0022052936,0.0060865805,-0.0020191558,0.5239181,0.50448745,0.6846627,0.39302945,0.4029483,0.20402229
0.002207525,0.0060208067,-0.0019952133,0.52398473,0.50455606,0.684644,0.39301082,0.40292537,0.20406382
0.0017702505,0.0053017214,-0.0022694878,0.5248185,0.50535285,0.68449545,0.39271626,0.40256158,0.20472214
0.0029128138,0.0075598955,-0.0016759299,0.52225596,0.502877,0.6849902,0.39359355,0.40364528,0.20276116
0.002642678,0.0065236166,-0.0016531758,0.5233729,0.5039865,0.6847318,0.39324155,0.4032109,0.20354754
0.0026098602,0.0065419003,-0.0016972236,0.5233616,0.5039707,0.68474096,0.39324045,0.4032094,0.20355017
0.0025362223,0.006239146,-0.0016844347,0.5236871,0.5042946,0.68466485,0.39313844,0.4030836,0.20377803
0.0020982437,0.005405158,-0.0019222461,0.52463806,0.5052114,0.6844841,0.39281073,0.4026789,0.20451035
0.0019544885,0.005360566,-0.0020746775,0.5247164,0.50527257,0.6844893,0.39276958,0.40262777,0.20460266
0.002360465,0.006435998,-0.0019524097,0.52352643,0.5041064,0.684742,0.39316106,0.40311074,0.2037282
0.0025643073,0.006728284,-0.0018106215,0.5231821,0.5037805,0.6847991,0.39328545,0.4032646,0.20344993
0.0018500146,0.0052754804,-0.0021683536,0.52482706,0.5053723,0.6844782,0.3927243,0.40257177,0.20470393
