mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.0028384589,0.0032913312,-0.08196803,0.42308736,0.39040065,0.69789445,0.41308507,0.43694213,0.14997284
-0.0030826777,0.0032914504,-0.082240455,0.42311394,0.39039314,0.6979098,0.41305616,0.4369022,0.15004162
-0.003526222,0.0028508082,-0.08244575,0.42371333,0.39094058,0.69777554,0.41287288,0.43665263,0.15047447
-0.0037966706,0.0024364516,-0.08226349,0.42444468,0.39167184,0.6976668,0.4126584,0.43641677,0.15092488
-0.0039820448,0.0025264397,-0.08213683,0.42469183,0.39194348,0.69776106,0.4125534,0.4363763,0.1510703
-0.003404025,0.0029776841,-0.08239279,0.4235413,0.39078268,0.6978145,0.41292506,0.43672365,0.1503513
-0.003565725,0.0030369237,-0.082612015,0.42348486,0.39070237,0.6978465,0.41292346,0.43672094,0.15035562
-0.004128907,0.0029502362,-0.08252848,0.42422065,0.39144877,0.69793236,0.41264805,0.43651688,0.15083502
-0.0034078099,0.0033235773,-0.08262416,0.4231093,0.39034238,0.69794196,0.41302714,0.43686184,0.15011099
-0.0048886575,0.003214389,-0.08220471,0.42450842,0.39172322,0.6981516,0.41243342,0.43662754,0.15093905
-0.004185125,0.0032293126,-0.08284143,0.42381966,0.3910245,0.6980301,0.4127431,0.43662784,0.15062913
-0.0039885156,0.0032081455,-0.083079465,0.4234176,0.39058763,0.69795054,0.4128916,0.43670678,0.15040162
-0.0058456175,0.0032469854,-0.08147437,0.42517865,0.39237776,0.69830626,0.4120875,0.43671212,0.1512004
-0.0023258142,0.0044442564,-0.08215345,0.42159298,0.3889516,0.69828635,0.41348574,0.43748698,0.14902733
-0.002854351,0.0037156492,-0.0822644,0.42255923,0.38986063,0.6980516,0.41320863,0.4371095,0.14968185
-0.0019832477,0.0044523925,-0.081776775,0.42154548,0.38895163,0.6982679,0.4135284,0.437546,0.14892562
-0.0037043877,0.0028814748,-0.08266456,0.42369452,0.39089605,0.697798,0.41286084,0.43663576,0.15050343
-0.0037065707,0.0027562603,-0.082584776,0.42385137,0.39105552,0.6977521,0.41282335,0.43658507,0.15059157
-0.003952738,0.0028347373,-0.08260698,0.42404273,0.39125127,0.6978346,0.41273263,0.43654057,0.15072684
-0.0038333125,0.0026903898,-0.08256806,0.4240469,0.39125013,0.6977503,0.41275665,0.4365243,0.15071902
-0.004075758,0.0027779713,-0.082360364,0.42442688,0.3916658,0.6978652,0.41260427,0.43645677,0.15093894
-0.0011422597,0.0049957484,-0.08119572,0.42077744,0.38828835,0.6984151,0.41378647,0.4378992,0.14831437
