mu1,mu2,sigma1,sigma2,pi1,pi2
-0.018777974,0.021179484,0.48465893,0.5698045,0.51295644,0.4870436
-0.019234117,0.022973763,0.48590404,0.5708439,0.5130547,0.48694533
-0.019272897,0.022705974,0.48642808,0.57105076,0.51287585,0.48712412
-0.018752173,0.020137625,0.4857632,0.57011145,0.5124828,0.48751715
-0.019108053,0.022049623,0.48661032,0.57096213,0.5126973,0.48730278
-0.01845022,0.018925594,0.48511946,0.5695013,0.5123724,0.4876276
-0.018306285,0.018743725,0.48469874,0.5692287,0.51243246,0.48756757
-0.01863332,0.02049418,0.4853381,0.56995517,0.5126538,0.48734617
-0.018410124,0.019372659,0.48498034,0.56952524,0.51249236,0.48750767
-0.01820632,0.018617244,0.4844247,0.56906563,0.5124607,0.48753926
-0.018315285,0.019334571,0.4845031,0.5692683,0.51259494,0.48740503
-0.018601786,0.02064641,0.48483324,0.56974834,0.5127979,0.48720214
-0.018430326,0.019645737,0.48451555,0.5693645,0.5126577,0.48734227
-0.018647637,0.020666482,0.4850231,0.5698492,0.5127604,0.4872396
-0.01845295,0.019639106,0.48452196,0.5693673,0.5126573,0.48734272
-0.018000294,0.017613592,0.48383933,0.56854165,0.51238453,0.48761553
-0.018404223,0.019835921,0.48447528,0.56936675,0.5127119,0.4872881
-0.018329598,0.019350963,0.4843082,0.56918544,0.5126425,0.4873575
-0.01966365,0.025207536,0.48679164,0.5717944,0.51332873,0.4866713
-0.019267961,0.022473099,0.48665184,0.5711165,0.51277137,0.4872286
-0.02008754,0.026073935,0.4880785,0.57265985,0.5132248,0.48677525
-0.019356433,0.022109868,0.48700798,0.5712154,0.51262325,0.4873768
-0.019536167,0.023230644,0.48732674,0.5716131,0.5127953,0.4872047
-0.018977724,0.020637514,0.48639297,0.5705441,0.5124529,0.48754713
-0.018593807,0.019307764,0.4856805,0.5698591,0.5123325,0.48766753
-0.018830843,0.020822527,0.48628914,0.5705053,0.51250976,0.48749027
-0.018394154,0.018884467,0.48543736,0.56963634,0.5122861,0.48771393
-0.018053815,0.017731832,0.48469388,0.5689823,0.5122107,0.48778927
-0.017868266,0.017371776,0.48362008,0.5683624,0.5123817,0.4876183
-0.018112209,0.018766882,0.48405153,0.5689004,0.51257586,0.48742417
-0.018167384,0.019007327,0.48374176,0.56881773,0.51269716,0.48730284
-0.018152256,0.018853055,0.4838708,0.56884533,0.5126344,0.48736563
-0.017832212,0.017384456,0.4830186,0.56807786,0.5125209,0.48747906
-0.018816423,0.021993147,0.48481908,0.57004553,0.5130926,0.4869074
-0.018600862,0.020360904,0.48484543,0.569703,0.5127323,0.48726764
-0.018606625,0.020377608,0.4846245,0.56959164,0.5127933,0.48720676
-0.018488027,0.019759448,0.48457426,0.5694189,0.51267344,0.4873266
-0.018069014,0.017881261,0.48389035,0.56863153,0.5124312,0.4875688
-0.017897539,0.017451303,0.48352745,0.56833655,0.5124227,0.4875773
-0.01829354,0.019532176,0.48411486,0.5691157,0.512728,0.48727205
-0.018510643,0.020332964,0.48465163,0.56958455,0.51277053,0.4872295
-0.017915316,0.017366977,0.48360023,0.5683692,0.5123827,0.4876173
-0.017473739,0.015720816,0.48269385,0.56751025,0.5122448,0.48775518
-0.017536286,0.016557219,0.4822068,0.56745815,0.51253504,0.487465
-0.017439738,0.016225548,0.48204464,0.5673037,0.5124969,0.48750314
-0.017894857,0.018463256,0.4827596,0.5681847,0.5128072,0.48719284
-0.018453255,0.020698743,0.48391965,0.56930244,0.51301396,0.4869861
-0.018506158,0.020414488,0.4843521,0.56946474,0.5128536,0.4871464
-0.018551871,0.020395698,0.48453715,0.56955117,0.5128114,0.48718858
-0.019000132,0.022272112,0.485254,0.57035124,0.51305133,0.4869487
-0.018959042,0.021656068,0.48529342,0.57023907,0.5129122,0.48708782
-0.01922537,0.022676798,0.4861311,0.57088935,0.5129402,0.48705977
-0.01889472,0.020888003,0.48593888,0.5703756,0.51260144,0.4873986
-0.018877413,0.020976486,0.48593435,0.57038236,0.5126232,0.48737687
-0.01867871,0.020130651,0.48576468,0.5700964,0.5124787,0.48752135
-0.018275302,0.018493297,0.48486897,0.569261,0.51233554,0.48766446
-0.018579148,0.02027698,0.4851346,0.5698035,0.51265484,0.4873452
-0.018308602,0.018953579,0.48473793,0.56930506,0.51245916,0.4875409
-0.018336091,0.019299598,0.48467764,0.5693487,0.5125474,0.48745266
-0.018402949,0.019680785,0.48460218,0.56940496,0.5126451,0.4873549
-0.01811207,0.018314304,0.4840445,0.56880844,0.5124822,0.4875178
-0.018092133,0.018462675,0.48371238,0.5686717,0.5125926,0.48740742
-0.01792423,0.017763542,0.4834313,0.5683669,0.51250666,0.48749334
