mu1,mu2,sigma1,sigma2,pi1,pi2
-0.0015218034,0.037150845,0.43996382,0.48896024,0.5090515,0.49094853
-0.0012693331,0.036857173,0.43944478,0.4884902,0.5090637,0.4909363
-0.000831753,0.03630489,0.4390027,0.48784623,0.50892365,0.49107638
-0.00026753545,0.035694584,0.4385764,0.48713022,0.5087343,0.49126574
0.00023233145,0.0353283,0.43787393,0.48648915,0.50873524,0.49126476
3.3527613e-05,0.0359589,0.4381879,0.4870872,0.5089043,0.49109572
-6.277859e-05,0.03609778,0.4382418,0.48725748,0.5089568,0.49104324
0.00026491284,0.03559068,0.43756863,0.48658347,0.5089264,0.4910736
-9.967387e-05,0.036255687,0.43809104,0.48729837,0.50906914,0.49093089
0.00035165995,0.035455614,0.43698853,0.48624837,0.50904655,0.49095348
0.00038894266,0.035593435,0.43697068,0.48630184,0.5090962,0.49090385
0.00017920136,0.035905898,0.43732277,0.48670715,0.50913674,0.4908633
0.00078418106,0.034951046,0.436451,0.48560017,0.5089564,0.49104366
-0.0005888939,0.03710343,0.43874204,0.4882046,0.50926065,0.49073935
-0.0010584593,0.037158147,0.43938696,0.48865807,0.5091589,0.49084112
-0.0017820001,0.037938103,0.44032052,0.48969316,0.50927633,0.49072364
-0.0011719912,0.036632225,0.43917027,0.4882353,0.50905156,0.49094847
-0.0006856993,0.03615372,0.43864453,0.4875552,0.50895536,0.4910446
-0.0003145486,0.035852596,0.43796325,0.48699588,0.5089962,0.49100384
-0.00013843924,0.035798,0.43797663,0.4869239,0.5089411,0.49105886
0.0003055185,0.03538136,0.43761846,0.4864264,0.508825,0.49117503
-0.0014219582,0.03795199,0.4404421,0.48962024,0.5091793,0.4908207
-0.0023159087,0.03843312,0.4416918,0.49068913,0.5091173,0.49088272
-0.0025360845,0.038384855,0.4415078,0.4906359,0.509196,0.490804
-0.003627777,0.03955646,0.4430965,0.49225876,0.5093161,0.4906839
-0.0035837665,0.038928583,0.44275513,0.49171647,0.5091842,0.4908158
-0.0030414015,0.038024068,0.44213298,0.49070293,0.5089494,0.4910506
-0.0021615848,0.03698565,0.440996,0.48933277,0.5087706,0.49122941
-0.0019620657,0.037184045,0.4413156,0.48953724,0.5087085,0.49129155
-0.0020069107,0.037449613,0.44180506,0.48994514,0.50866073,0.4913393
-0.0018128753,0.037227973,0.44162044,0.48969218,0.5086032,0.4913968
-0.002292782,0.03813365,0.44213054,0.49061692,0.50886196,0.491138
-0.0021035075,0.037605315,0.44145897,0.48997936,0.5088461,0.49115393
-0.0016299561,0.037011847,0.44048783,0.48906732,0.5088505,0.49114946
-0.00074115396,0.03600189,0.4388232,0.48753333,0.5088513,0.4911487
-0.0002143532,0.035675347,0.4382349,0.48695672,0.5088264,0.49117368
0.0003899485,0.035118893,0.43752182,0.48617902,0.508743,0.491257
0.00036668032,0.035523146,0.43778884,0.48655814,0.50881183,0.4911882
-0.00050772727,0.03686507,0.43919608,0.48822993,0.5090143,0.49098566
-0.0006053075,0.036630467,0.4389436,0.48803213,0.5090255,0.49097455
0.00039549172,0.03508754,0.4369835,0.48597133,0.5089026,0.49109742
0.0005143285,0.035446003,0.43672386,0.4860572,0.50909793,0.49090207
5.1103532e-05,0.036101192,0.43743145,0.48689824,0.50919634,0.49080366
-0.0012417063,0.037678048,0.43947488,0.48905477,0.5093551,0.49064487
