mu1,mu2,sigma1,sigma2,pi1,pi2
0.08743681,0.0022112727,0.62971866,0.51526535,0.48109853,0.51890147
0.084744945,0.0016144142,0.6303998,0.5165105,0.48035887,0.5196411
0.08472724,0.0016254745,0.63039976,0.5165857,0.4803205,0.5196795
0.08764613,0.0022899099,0.62965894,0.51536024,0.4810587,0.51894134
0.08480349,0.0016458444,0.6303834,0.5166342,0.48029763,0.51970243
0.08919953,0.0026362725,0.629266,0.5146602,0.48147646,0.5185235
0.089333445,0.0026544556,0.6292379,0.5145861,0.48151827,0.51848173
0.08701311,0.0021296479,0.6298261,0.5155844,0.48091838,0.5190816
0.08849983,0.0024700202,0.6294458,0.51492506,0.48131365,0.51868635
0.08958489,0.0027082264,0.62917316,0.5144308,0.4816079,0.5183921
0.08873767,0.0025119334,0.6293897,0.5147814,0.4813955,0.5186045
0.08735737,0.0021986477,0.629739,0.515354,0.4810498,0.5189502
0.08874275,0.0025149882,0.6293857,0.51475054,0.48141226,0.5185877
0.087264985,0.0021818131,0.62976176,0.5154215,0.48101178,0.51898825
0.08881241,0.0025311299,0.62936825,0.51472753,0.48142672,0.51857334
0.091120064,0.0030517317,0.62878466,0.5137428,0.4820195,0.5179805
0.08823867,0.0023933388,0.6295187,0.51498413,0.48127207,0.5187279
0.08904283,0.0025794618,0.62931097,0.51461196,0.48149455,0.5185055
0.08165704,0.0009137057,0.63118535,0.5178487,0.47955754,0.5204425
0.084901825,0.0016724654,0.63035125,0.51650894,0.48036745,0.5196326
0.08037792,0.0006470941,0.6315044,0.51851934,0.47916776,0.5208323
0.08533466,0.0017794743,0.63024056,0.5163958,0.48044166,0.51955837
0.0836667,0.0013947338,0.63067013,0.51715297,0.47998965,0.5200104
0.086871654,0.0021214187,0.62985486,0.5157511,0.48082894,0.51917106
0.08832282,0.002441354,0.62949073,0.51511246,0.4812104,0.5187896
0.086042196,0.0019250475,0.6300702,0.5161098,0.4806126,0.5193874
0.08863619,0.002511844,0.6294095,0.5149426,0.48130998,0.51869005
0.09005965,0.0028244145,0.6290521,0.5142988,0.48169357,0.51830643
0.091219574,0.0030678362,0.62876225,0.51368743,0.4820511,0.51794887
