mu1,mu2,sigma1,sigma2,pi1,pi2
0.11240782,-0.0017421208,0.60510427,0.44954604,0.46102664,0.5389734
0.11322805,-0.0015825853,0.6048826,0.44914335,0.4612154,0.5387846
0.114581496,-0.0013004765,0.6045078,0.44852966,0.4615048,0.53849524
0.11589256,-0.001026392,0.60414326,0.44796476,0.4617729,0.53822714
0.11689243,-0.0008290857,0.6038717,0.44747555,0.46200293,0.5379971
0.11496401,-0.0012441464,0.6044138,0.44830638,0.46160853,0.53839153
0.11485864,-0.0012654327,0.60444117,0.448312,0.46160454,0.5383955
0.11663982,-0.0008956529,0.6039468,0.44747692,0.46199846,0.53800154
0.11456089,-0.0013365708,0.6045289,0.44842523,0.4615502,0.53844976
0.1175642,-0.00071195513,0.6036939,0.44699687,0.46222362,0.5377764
0.11689407,-0.0008618608,0.6038864,0.44730264,0.46207875,0.53792125
0.115940034,-0.0010599345,0.6041506,0.44773263,0.46187523,0.53812474
0.11885142,-0.00044966862,0.60334,0.44639364,0.46250874,0.53749126
0.11193675,-0.0018984191,0.60526633,0.44958776,0.46100053,0.53899944
0.11232054,-0.0017850064,0.6051401,0.44946188,0.461062,0.53893805
0.1100816,-0.0022482947,0.6057616,0.4505199,0.46056506,0.5394349
0.11432913,-0.0013506971,0.60457367,0.44859567,0.46147236,0.5385276
0.11518814,-0.0011817515,0.60434246,0.4482331,0.46164432,0.5383557
0.11614899,-0.0009921677,0.6040812,0.44775593,0.46186835,0.53813165
0.11596058,-0.00103103,0.60413384,0.4478584,0.46182048,0.5381796
0.11691587,-0.0008355342,0.60387003,0.44739637,0.46203804,0.53796196
0.10893692,-0.002503924,0.60609126,0.4510522,0.46031478,0.5396852
0.10824105,-0.0026029833,0.606259,0.45147142,0.46012187,0.53987813
0.10887748,-0.002470985,0.6060818,0.45116737,0.46026424,0.5397358
0.105278686,-0.0032128468,0.60708094,0.4528869,0.45946014,0.54053986
0.107543215,-0.0027237684,0.6064404,0.4518785,0.45993397,0.54006606
0.10981409,-0.002242729,0.60580635,0.4509215,0.460386,0.53961396
0.11248805,-0.0016915314,0.60506725,0.44971186,0.46095544,0.53904456
0.111039355,-0.0020027757,0.60547626,0.45038307,0.4606396,0.5393604
0.109991595,-0.0022158884,0.6057643,0.45086527,0.46041307,0.5395869
0.1107136,-0.0020578727,0.6055593,0.4505509,0.46056148,0.53943855
0.10819253,-0.0026019774,0.6062698,0.4516222,0.46005526,0.5399447
0.11044194,-0.002124332,0.60563767,0.45057598,0.4605464,0.5394536
0.112356454,-0.0017346367,0.6051108,0.4496844,0.4609654,0.53903466
0.11554983,-0.001091484,0.6042347,0.4481294,0.46169546,0.5383045
0.11611141,-0.0009911917,0.6040881,0.4478338,0.46183363,0.5381664
0.11759947,-0.0006879866,0.6036783,0.4471188,0.4621705,0.53782946
0.11611855,-0.001003772,0.60409355,0.44778538,0.46185485,0.5381452
0.11216918,-0.0018279403,0.60519046,0.44956318,0.46101508,0.53898495
0.113650024,-0.0015060939,0.60476995,0.44887066,0.4613413,0.5386587
0.11870052,-0.00046087056,0.6033715,0.44653645,0.46244377,0.5375563
0.11727229,-0.0007910803,0.60378623,0.447119,0.46216515,0.5378349
0.11541782,-0.0011729188,0.60429794,0.44796008,0.46176738,0.5382327
0.1106838,-0.0021467432,0.6056068,0.4501651,0.46072906,0.53927094
0.112841144,-0.0016670898,0.6049901,0.44924754,0.46116394,0.53883606
0.113768965,-0.0014753379,0.6047346,0.44886136,0.4613472,0.53865284
0.11594769,-0.001021184,0.60413015,0.44788605,0.4618083,0.53819174
