mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.0010209344,-0.016820692,-0.017433047,0.01613006,0.5081283,0.027591322,0.15985458,0.012626386,0.82751906
-6.113574e-05,-0.02072265,-0.018618736,0.01539663,0.50695497,0.026492197,0.15752678,0.012100816,0.8303724
0.00027208775,-0.018564127,-0.017151825,0.015187738,0.50834584,0.026186682,0.15591581,0.0119054355,0.8321788
0.00047441944,-0.022458933,-0.019396067,0.014742229,0.5064569,0.025522757,0.15499897,0.01162083,0.8333802
0.002283685,-0.029221438,-0.02093019,0.013456391,0.50469613,0.02357308,0.15026812,0.0106769875,0.8390549
0.0023902915,-0.027255677,-0.01969916,0.013595104,0.5057349,0.023776669,0.1503926,0.010754304,0.8388531
0.002158679,-0.025300764,-0.019192196,0.013562836,0.50646865,0.023741547,0.14981905,0.010716863,0.8394641
0.001699362,-0.024510644,-0.019350152,0.013717327,0.5064916,0.02398553,0.15047003,0.010838883,0.83869106
0.0018829443,-0.025545023,-0.019653723,0.013508052,0.5061493,0.02367038,0.14968726,0.010687868,0.8396248
0.0015978552,-0.023767136,-0.018912904,0.01373755,0.5068011,0.024019837,0.15038271,0.010847787,0.8387695
0.0011501499,-0.021737836,-0.018350892,0.013955696,0.5074202,0.024358045,0.15100366,0.011002236,0.83799416
0.00038113073,-0.019050024,-0.017694186,0.014460276,0.50813127,0.025126504,0.1528167,0.01137165,0.8358117
0.00081767514,-0.02075293,-0.018238619,0.013866328,0.50763035,0.024240188,0.15042442,0.010935764,0.8386398
-0.00042064115,-0.015687965,-0.016624637,0.014918716,0.5091628,0.025828106,0.15418214,0.011697649,0.8341203
-0.0012238584,-0.014843129,-0.016992506,0.015571396,0.5088792,0.026800642,0.15704153,0.012199394,0.83075905
-0.0007583611,-0.017311238,-0.017638136,0.015333946,0.5080815,0.026435515,0.15652636,0.012037062,0.83143663
-0.00038585812,-0.017622612,-0.017345037,0.015176369,0.508231,0.026193313,0.15581581,0.011910333,0.83227384
-0.00076047704,-0.015348457,-0.016604025,0.015495558,0.5090412,0.026673589,0.156701,0.012131157,0.8311678
-0.0014502518,-0.01205232,-0.015654184,0.015970752,0.5101256,0.027392367,0.15802097,0.0124639375,0.8295151
-0.001067292,-0.017967366,-0.018517803,0.015530652,0.50743484,0.026727634,0.15768178,0.012204671,0.8301136
0.00091060624,-0.0293627,-0.022070471,0.014543067,0.5034902,0.02520115,0.1557755,0.011539264,0.8326852
0.0026852712,-0.031569384,-0.02099346,0.013984751,0.5039067,0.024324508,0.15324362,0.011083192,0.8356732
0.0029000267,-0.02889242,-0.01989923,0.013807117,0.5052958,0.02406472,0.15170304,0.010914692,0.83738226
0.0034877025,-0.032391213,-0.021697495,0.012996716,0.50402904,0.022852,0.14857557,0.01033042,0.841094
0.0035740174,-0.031309985,-0.020933893,0.012965412,0.50472957,0.022808407,0.1480735,0.010290184,0.84163636
0.0033289418,-0.029951237,-0.02062792,0.012972657,0.50513655,0.022828234,0.14785591,0.0102897575,0.84185433
0.0033195913,-0.028764628,-0.020116333,0.012726228,0.5057323,0.022468003,0.14632936,0.010091845,0.8435788
0.003357008,-0.028597377,-0.020154055,0.0123395845,0.50581354,0.021893,0.14435107,0.009798918,0.84585005
0.0037686266,-0.030909799,-0.021010283,0.011757895,0.5049969,0.021007383,0.14182524,0.009371793,0.848803
0.002589818,-0.027602814,-0.02010915,0.012650433,0.50569403,0.022377718,0.14585091,0.010045056,0.84410405
0.0006116964,-0.0210258,-0.018313799,0.014446377,0.50734645,0.025092594,0.15320571,0.0113765765,0.83541775
0.00089174137,-0.02451124,-0.019894417,0.014291635,0.5058151,0.024848297,0.1533645,0.011294766,0.83534074
0.0015809573,-0.024178647,-0.018824495,0.013978145,0.50662994,0.024371065,0.15159176,0.01103084,0.8373774
0.0007432066,-0.021195315,-0.018318161,0.014576099,0.507336,0.025275785,0.15381835,0.011470963,0.8347107
0.0008220896,-0.022306822,-0.018883564,0.01442678,0.5068836,0.025054967,0.15340313,0.011370634,0.83522624
0.0011358038,-0.02417197,-0.019475192,0.014261627,0.5062228,0.024799168,0.15305161,0.011259024,0.83568937
0.0010962822,-0.019798897,-0.01718318,0.014275889,0.50840193,0.02483336,0.15194917,0.0112170605,0.83683383
0.0004005991,-0.01813116,-0.017444916,0.014277754,0.508539,0.02486131,0.15177439,0.011226168,0.8369995
0.000102419406,-0.019504689,-0.018328547,0.014389455,0.50767106,0.025031824,0.15269938,0.011335112,0.8359655
-0.00030378625,-0.0151825175,-0.016163196,0.014835093,0.50954777,0.02570488,0.15362577,0.01162432,0.8347499
-0.0005027056,-0.018202446,-0.018210463,0.014722961,0.50773376,0.025536852,0.15406102,0.011589676,0.8343493
-0.00103705,-0.01538267,-0.016739544,0.015665254,0.5088628,0.02692924,0.15748246,0.012265486,0.83025205
-0.00104798,-0.013682149,-0.016015578,0.015584954,0.5096214,0.026816351,0.15671991,0.012186403,0.83109367
-0.0014534704,-0.013046168,-0.016241994,0.01574106,0.50959474,0.027058205,0.15733767,0.01230926,0.8303531
-0.0015705004,-0.014578246,-0.017057717,0.015964428,0.50875896,0.02737981,0.15872149,0.01249765,0.82878083
-0.0016727336,-0.013611816,-0.016399916,0.016444406,0.50920147,0.028074468,0.16046052,0.012839368,0.82670015
-0.0006947033,-0.016396664,-0.017073054,0.015449165,0.50856626,0.026601117,0.15676913,0.012108145,0.8311227
-0.0005923733,-0.016595267,-0.017139837,0.0153174875,0.50856036,0.026407788,0.1562218,0.012009804,0.8317684
-0.00081434473,-0.017147563,-0.017635386,0.0156118255,0.5080993,0.026838556,0.15770774,0.012242596,0.83004963
0.000101946294,-0.018497609,-0.017406974,0.014819839,0.50821495,0.02565939,0.15433545,0.0116397375,0.8340248
-0.0007458292,-0.016475342,-0.017275099,0.015555029,0.5084718,0.026755866,0.15727127,0.012189843,0.8305389
-0.0005723946,-0.016248368,-0.01694085,0.015393865,0.5087768,0.026519598,0.15644197,0.012060495,0.83149755
-0.0008457005,-0.012013219,-0.015131526,0.015328983,0.51065475,0.02644717,0.15510349,0.011968971,0.8329275
-0.0014902614,-0.012589239,-0.01637873,0.015362836,0.5097385,0.026515093,0.15563789,0.012028338,0.83233374
-0.0018579476,-0.012287758,-0.016191337,0.015880737,0.50969404,0.027277486,0.15781197,0.012416484,0.8297716
-0.002273675,-0.008008145,-0.014219295,0.016307589,0.5114852,0.027916355,0.15853953,0.012687841,0.82877266
-0.0028531402,-0.007924937,-0.015007049,0.016503766,0.510955,0.02821704,0.15953864,0.012855969,0.82760537
-0.002748236,-0.009735726,-0.015626013,0.01656142,0.51021475,0.028292067,0.16020156,0.012916562,0.8268819
-0.0029852092,-0.008519076,-0.015001781,0.017164234,0.5106406,0.029163793,0.16235614,0.013348637,0.8242953
-0.0026018657,-0.010590218,-0.015781596,0.016896896,0.5098898,0.028761636,0.16176525,0.013167634,0.8250671
-0.0023680963,-0.012330078,-0.016380869,0.017006284,0.5092459,0.028904594,0.16260768,0.013261469,0.82413083
-0.0015299357,-0.016053699,-0.017464388,0.0165542,0.5080838,0.028217902,0.1615553,0.01294764,0.8254971
-6.747246e-05,-0.01921215,-0.017720412,0.015343952,0.50772536,0.02642041,0.15687342,0.012041715,0.83108485
-0.0006480925,-0.014658593,-0.016100544,0.015767042,0.5094979,0.027063543,0.15763383,0.012317133,0.83004904
-0.001022499,-0.015102886,-0.017015263,0.01575065,0.508919,0.027052354,0.15782367,0.012327424,0.82984895
-0.000105403364,-0.017419837,-0.017253678,0.014802891,0.5085846,0.02564628,0.15403475,0.01162196,0.83434325
-0.0001581721,-0.018376611,-0.017838396,0.014751943,0.5079999,0.025569078,0.15410726,0.011599267,0.8342935
-0.00015724078,-0.018514894,-0.017740346,0.01486614,0.50797236,0.025734836,0.15462974,0.0116843125,0.83368593
