mu1,mu2,sigma1,sigma2,pi1,pi2
0.00560154,-0.0073300637,0.04019959,0.013177003,0.49033442,0.50966555
0.0004682243,-0.0084179975,0.040373098,0.013235538,0.4896601,0.5103399
0.00055128336,-0.008559067,0.0405376,0.0132982535,0.48960268,0.5103973
0.0039848983,-0.0084139,0.04090635,0.013468414,0.48990822,0.5100918
-0.0031723976,-0.009527568,0.040951326,0.013457487,0.48901942,0.51098055
-0.010025695,-0.010473732,0.04120302,0.013514274,0.48815206,0.5118479
-0.00032165647,-0.008306328,0.040810682,0.013372305,0.48947063,0.51052934
-0.0021944642,-0.008514736,0.040814217,0.013375147,0.48932895,0.510671
-0.007694781,-0.0095187165,0.04120078,0.013507943,0.4886314,0.51136863
-0.006031111,-0.009259913,0.0415016,0.013624552,0.48881412,0.5111859
-7.4490905e-05,-0.008344326,0.041642837,0.013707489,0.48955607,0.510444
-0.00680618,-0.009566713,0.041942175,0.0138078425,0.48871928,0.5112808
0.008007169,-0.006977264,0.04157929,0.013717314,0.49059552,0.5094045
0.0045084506,-0.008054484,0.04177658,0.01381388,0.49011678,0.5098832
0.0034696758,-0.008348156,0.0416546,0.013762843,0.48994687,0.5100531
0.010295242,-0.0070238896,0.041001145,0.013524023,0.4908401,0.5091599
0.00873366,-0.0077733286,0.041081037,0.013574028,0.49055603,0.509444
0.0036479682,-0.008828599,0.041085556,0.0135603,0.48983735,0.51016265
0.0068829656,-0.008020062,0.04056113,0.013350151,0.49025866,0.50974137
0.002910629,-0.008576337,0.040348534,0.013251249,0.48978648,0.51021355
0.009531796,-0.007376138,0.039985362,0.013128951,0.49062037,0.5093797
-0.009642035,-0.010350708,0.04010165,0.01310231,0.48827964,0.51172036
-0.012283176,-0.010775063,0.040738124,0.0133182425,0.48784158,0.5121584
-0.008716524,-0.00964709,0.04071823,0.0132977,0.48838255,0.5116174
0.0008996278,-0.0075961538,0.04039871,0.013202957,0.4897467,0.51025337
0.01083158,-0.006163884,0.040276263,0.013217316,0.49104017,0.50895983
-0.0012992024,-0.008708108,0.04071218,0.013370489,0.48946962,0.5105304
0.00059495866,-0.0084181465,0.040704302,0.0133601,0.48964718,0.51035285
0.006093055,-0.007738713,0.0407506,0.0134058725,0.49027124,0.5097288
0.0004891008,-0.008894984,0.040931776,0.013468121,0.48952708,0.5104729
0.0080302805,-0.007966835,0.041056223,0.013552408,0.49035317,0.50964683
0.00031130016,-0.0089853,0.04071387,0.01338419,0.48946276,0.51053727
0.00028850138,-0.008586127,0.040336974,0.01321664,0.489528,0.510472
0.0002873391,-0.008362863,0.040152468,0.013136753,0.48958668,0.5104133
0.003043592,-0.0079914965,0.040206157,0.013172489,0.4899216,0.5100784
0.0061338693,-0.007848162,0.040421695,0.013284386,0.4902341,0.5097659
0.00755322,-0.007408697,0.03993401,0.013095255,0.49048045,0.5095195
0.0052456856,-0.007904146,0.03985131,0.013060524,0.49018,0.50982004
-0.0011082888,-0.00921062,0.04018681,0.013172689,0.48929545,0.5107046
-0.0036177635,-0.009368528,0.040159408,0.013134296,0.488987,0.51101303
0.0094049275,-0.0071049817,0.039911732,0.013082001,0.49062118,0.50937885
0.01455529,-0.0061518736,0.039314196,0.012880992,0.4913731,0.50862694
0.00039193034,-0.0088083185,0.039547984,0.012938917,0.48957136,0.51042867
-0.0031457692,-0.009324137,0.039680436,0.012957758,0.4890611,0.51093894
0.001100719,-0.008432213,0.039617144,0.01293452,0.4895933,0.51040673
0.0029971004,-0.008068923,0.039598666,0.012937864,0.4898613,0.5101387
0.004357204,-0.007943992,0.03964929,0.012969875,0.4900274,0.50997263
0.003218785,-0.008183841,0.039657317,0.012971902,0.4898837,0.5101163
-0.0019262731,-0.008845959,0.039599862,0.012922298,0.48928103,0.51071894
-0.0011419505,-0.008390445,0.039432727,0.012843804,0.4894405,0.5105595
0.00025737286,-0.008412544,0.039815605,0.013006827,0.48955932,0.5104407
-0.0023029894,-0.009216387,0.04040569,0.0132405395,0.4891416,0.51085836
0.0022996515,-0.008081127,0.040059723,0.013107017,0.48979345,0.5102066
-0.0014337003,-0.008575115,0.04002973,0.0130825965,0.48939058,0.51060945
-0.0013406277,-0.0086017735,0.0402071,0.013150784,0.48938802,0.510612
0.0013011992,-0.008210603,0.040290486,0.013194031,0.48971018,0.51028985
0.0009810328,-0.008412678,0.04045796,0.013265972,0.48964927,0.51035076
0.004411444,-0.007912014,0.040424034,0.013268334,0.49006492,0.5099351
0.010506377,-0.00685722,0.040022016,0.013137554,0.4908642,0.50913584
-0.0029873997,-0.009439576,0.040422045,0.013261401,0.48911476,0.51088524
0.0002054125,-0.008831669,0.04043951,0.013261828,0.48945388,0.51054615
0.0023269355,-0.008252416,0.04020379,0.0131705925,0.48977125,0.51022875
-0.00020556152,-0.008788932,0.04040104,0.013246075,0.4894388,0.5105612
-0.0033912063,-0.00918347,0.040455375,0.013247548,0.4890572,0.5109428
-0.0027222782,-0.008872632,0.040449608,0.013236928,0.48917452,0.51082546
-0.00479953,-0.009159658,0.040649746,0.013305476,0.48893473,0.5110653
-0.0013591349,-0.008412201,0.04061334,0.013297089,0.4894129,0.5105871
9.338558e-05,-0.008267615,0.040752932,0.013364857,0.48960352,0.5103965
0.013703272,-0.00628661,0.040617876,0.013379787,0.49126557,0.50873446
-0.00054708123,-0.008833427,0.040648192,0.013356204,0.48950592,0.51049405
-2.990663e-05,-0.008847315,0.040773943,0.01339556,0.48947707,0.51052296
0.00089389086,-0.008799735,0.04089975,0.013447701,0.48953745,0.5104626
0.008623511,-0.0073870607,0.040529285,0.013330527,0.49053514,0.50946486
0.0022179633,-0.008520294,0.040475104,0.013296348,0.48975697,0.51024306
0.00137119,-0.008626107,0.04042353,0.013265656,0.48963004,0.51037
