mu1,mu2,sigma1,sigma2,pi1,pi2
-0.004803449,0.00843773,0.029481411,0.08461353,0.8527455,0.14725459
-0.0049898326,0.0071699396,0.029981742,0.08540688,0.85259056,0.14740944
-0.005797833,0.008228518,0.02998161,0.08563515,0.8518103,0.14818972
-0.004746586,0.0063242093,0.03045892,0.08616253,0.85205084,0.14794919
-0.0051933825,0.004766591,0.031565893,0.08809832,0.851286,0.14871398
-0.005828589,0.005692251,0.031294007,0.087787345,0.8511447,0.14885533
-0.0055582225,0.0061263815,0.031363,0.087954804,0.8505952,0.14940476
-0.00518772,0.006093569,0.031288106,0.0877616,0.8506899,0.14931005
-0.0050393045,0.0058704093,0.031525012,0.088173345,0.85049057,0.14950947
-0.0051300228,0.0065590814,0.03130494,0.0878762,0.85046464,0.14953539
-0.0048914254,0.0071354583,0.031162618,0.08767483,0.8503211,0.14967889
-0.0047135055,0.007853247,0.030757299,0.08698777,0.8505614,0.14943863
-0.0041514337,0.0074134544,0.031461198,0.08823816,0.84967977,0.1503202
-0.0043160617,0.008991994,0.030554099,0.086753115,0.8502876,0.14971238
-0.003831178,0.008880086,0.030086366,0.085780315,0.8512127,0.14878735
-0.004055649,0.008287646,0.030257093,0.0860479,0.8514072,0.14859283
-0.0043947995,0.008435704,0.030341828,0.08627413,0.85119617,0.14880386
-0.004491538,0.009078778,0.030063199,0.08583308,0.8511997,0.14880028
-0.0044697225,0.009984054,0.029681932,0.08521283,0.8512064,0.14879355
-0.0035660565,0.0075756684,0.030157749,0.08568828,0.85193634,0.14806369
-0.004215747,0.0042952076,0.030835275,0.08655787,0.8531216,0.14687844
-0.006373614,0.0046259537,0.030887078,0.08691266,0.8529045,0.14709552
-0.0067385137,0.0052710846,0.03089259,0.08703088,0.8521158,0.14788416
-0.006044537,0.003640242,0.03174645,0.08831376,0.85144395,0.14855607
-0.0066575706,0.004213877,0.031630624,0.08822702,0.85124516,0.1487549
-0.0063492954,0.0045340434,0.031598847,0.08818735,0.8510105,0.14898944
-0.006092757,0.0050720945,0.03185949,0.0887513,0.85020363,0.14979637
-0.005288869,0.0052157715,0.03241991,0.089780815,0.84919816,0.15080182
-0.0043263137,0.00468082,0.033322718,0.091333516,0.8482065,0.15179352
-0.0043000877,0.0056027845,0.032530583,0.09000406,0.849078,0.15092202
-0.0047430694,0.0073241666,0.030810205,0.0870224,0.85094655,0.14905348
-0.004433006,0.0059752837,0.030984823,0.087118596,0.8515404,0.14845958
-0.005373746,0.006683208,0.031133069,0.08760646,0.8508776,0.14912248
-0.005105287,0.0071795657,0.03061428,0.08664499,0.851309,0.148691
-0.0050131977,0.006693192,0.030751895,0.08681608,0.85134655,0.14865346
-0.005101353,0.0061521605,0.030851405,0.08693219,0.8515609,0.1484391
-0.0057344735,0.008049436,0.03073282,0.0870635,0.8504976,0.14950241
-0.004437119,0.00800661,0.030968476,0.087391645,0.84996474,0.1500353
-0.003999561,0.007439561,0.030993149,0.08731373,0.85041815,0.1495819
-0.0045851767,0.009373881,0.03055134,0.08683312,0.8500575,0.1499425
-0.0031867921,0.0077818707,0.0309104,0.08716206,0.8504699,0.14953017
-0.004393667,0.009115942,0.029942347,0.08559598,0.8514893,0.14851068
-0.0042627156,0.009684123,0.030034998,0.0858595,0.8508765,0.14912347
-0.0038354099,0.0095737055,0.030004583,0.08573601,0.8509392,0.14906079
-0.0037940443,0.008943863,0.029824723,0.08527924,0.8517346,0.14826542
-0.0045649707,0.009507097,0.029261531,0.08432533,0.85245323,0.14754678
-0.0044049323,0.008694507,0.030083228,0.08580442,0.85142857,0.14857148
-0.0044104755,0.008596219,0.030199295,0.08601133,0.85124636,0.14875363
-0.0044061244,0.00821761,0.029920623,0.08540016,0.8519814,0.1480186
-0.004739195,0.008204855,0.03056304,0.086687356,0.8508616,0.14913836
-0.0045183003,0.008453764,0.029943405,0.08548929,0.851733,0.14826696
-0.0047914684,0.008694746,0.03002292,0.085703395,0.8514302,0.14856985
-0.0047416985,0.010270126,0.030117128,0.08613306,0.85015005,0.14985
-0.0032828748,0.009431936,0.030370036,0.086365744,0.85020506,0.14979492
-0.0035938919,0.009770311,0.029934416,0.08560464,0.8509756,0.14902444
-0.003918916,0.011547126,0.029569993,0.0852089,0.8505321,0.14946787
-0.002863437,0.011047162,0.029617649,0.0851328,0.85072577,0.14927417
-0.0030001104,0.010572918,0.02959967,0.08504043,0.8512149,0.1487851
-0.0035221279,0.01115904,0.029042779,0.08408127,0.8519366,0.14806339
-0.0035018027,0.010379918,0.029231228,0.084331155,0.85206276,0.14793727
-0.003975719,0.009786077,0.029020172,0.083853275,0.8528296,0.14717048
-0.004488617,0.008620329,0.029201435,0.08406942,0.8532183,0.1467817
-0.0050722063,0.007968374,0.030069046,0.08572291,0.8519998,0.1480002
-0.0053652823,0.009332962,0.029630722,0.085084446,0.8517094,0.14829051
-0.004614264,0.008639462,0.029711941,0.08505282,0.85186625,0.14813377
-0.0046700537,0.008318014,0.03052987,0.08661416,0.85068786,0.14931214
-0.0041392744,0.00790868,0.030663477,0.08677359,0.85077083,0.14922918
-0.004341036,0.008032627,0.030547347,0.086592965,0.8509895,0.14901046
-0.0041703284,0.007305689,0.030856304,0.08706994,0.85096437,0.14903566
-0.0045898855,0.0075286403,0.03071781,0.086875,0.85109186,0.1489082
-0.0050166547,0.009443976,0.03011724,0.08603647,0.8508011,0.14919886
-0.004160315,0.0093771,0.029728182,0.08517117,0.85140723,0.1485928
-0.0043795407,0.009655811,0.029693816,0.08516603,0.8513615,0.14863849
-0.003850311,0.008854337,0.030362975,0.08631989,0.8507413,0.1492587
-0.003907591,0.008655734,0.03021366,0.0860101,0.8512359,0.14876409
-0.0041231215,0.00854788,0.030392542,0.08636897,0.85104144,0.14895856
-0.004181117,0.008454777,0.030205332,0.08599137,0.8514163,0.14858371
-0.004210025,0.007111676,0.030360242,0.086080074,0.8520222,0.14797789
-0.0052380264,0.0071522966,0.030009724,0.08548714,0.8526365,0.14736347
-0.0056955516,0.007255383,0.029932745,0.08538039,0.85256547,0.14743452
-0.0055789053,0.0069100633,0.030734034,0.08686606,0.8512171,0.14878291
-0.0054716766,0.008150436,0.030546818,0.0866785,0.85062075,0.14937925
-0.0044887364,0.008017637,0.030878775,0.08721449,0.85008633,0.14991368
-0.0041444004,0.008210696,0.030881636,0.087232865,0.850092,0.14990804
-0.0039595664,0.008699067,0.030689267,0.08693857,0.85024357,0.14975645
-0.0034893453,0.0077277496,0.030932814,0.087229386,0.85056823,0.14943177
-0.004267961,0.0089908615,0.030588254,0.0868396,0.8504441,0.14955594
-0.0030755699,0.0052491203,0.030700378,0.08635776,0.8526705,0.14732952
-0.0062275827,0.0072409287,0.029987004,0.08556007,0.85281813,0.14718185
-0.0057438314,0.007269062,0.029984608,0.0854956,0.85241556,0.14758442
-0.005826205,0.007126786,0.03018407,0.08583667,0.8519526,0.14804743
-0.005143136,0.0051753595,0.031175831,0.08738743,0.85146546,0.14853449
-0.0057374537,0.0053374544,0.031385817,0.087880895,0.8511123,0.14888766
-0.0056767166,0.006305881,0.031440035,0.08813979,0.8503287,0.14967133
-0.0048123896,0.005956687,0.03184178,0.088773616,0.8498197,0.15018025
-0.004826039,0.0066307858,0.031479213,0.08819215,0.85008353,0.14991653
-0.0043009818,0.0065052286,0.03212915,0.08938595,0.8491342,0.15086576
-0.0047495663,0.008969374,0.029965408,0.08562753,0.8513127,0.14868735
-0.0041690767,0.008112259,0.030566104,0.0866186,0.8508043,0.14919566
-0.004184991,0.007746257,0.030735793,0.086900055,0.8508423,0.14915769
-0.0043261945,0.007898964,0.030818779,0.08710652,0.8506492,0.14935082
-0.0045419633,0.008915938,0.030018272,0.08571948,0.85136604,0.14863397
-0.0044073164,0.008792467,0.029922323,0.08549292,0.8515699,0.14843015
-0.004530102,0.009118773,0.03015246,0.08600653,0.8509406,0.14905946
-0.0039566457,0.008208521,0.0302081,0.085922144,0.85143304,0.14856699
-0.0045817792,0.00848607,0.030137626,0.08588765,0.85146904,0.14853097
-0.004568726,0.008929141,0.030093832,0.08587179,0.85120714,0.14879283
-0.0041044056,0.008037038,0.030489404,0.08645934,0.8510551,0.14894497
-0.00462541,0.009018876,0.030160904,0.08601935,0.85103554,0.1489645
-0.0042135417,0.009059705,0.029980324,0.085633375,0.85127634,0.14872372
-0.00433293,0.009363718,0.02992075,0.08557338,0.8512054,0.14879458
-0.0040973723,0.009416051,0.0300355,0.085789815,0.8509683,0.14903167
-0.0038860738,0.009056218,0.030023878,0.085694864,0.8512643,0.14873573
-0.0040248334,0.008830614,0.030315246,0.08624941,0.85095966,0.14904034
-0.004189521,0.009298243,0.029806733,0.08534023,0.8515643,0.1484357
-0.004180819,0.008784153,0.029890204,0.08541931,0.85173076,0.14826927
-0.0044733584,0.008724131,0.030053949,0.085755795,0.8514747,0.14852528
