mu1,mu2,sigma1,sigma2,pi1,pi2
-0.012305059,-0.0039231554,0.019115333,0.059922818,0.90931237,0.09068764
-0.011793412,-0.00467328,0.019267216,0.060126368,0.90932316,0.090676844
-0.012018599,-0.004974343,0.01946989,0.060555294,0.9090863,0.090913735
-0.01169423,-0.0055884197,0.020314332,0.06230711,0.90756166,0.09243831
-0.011297025,-0.0062049106,0.020165887,0.06188207,0.9082328,0.09176723
-0.011850931,-0.007594086,0.020170432,0.06176013,0.9089926,0.09100742
-0.0132593885,-0.0061200634,0.019636484,0.060886476,0.90942967,0.09057034
-0.012894668,-0.006629832,0.01962053,0.060752664,0.9095394,0.090460636
-0.01313857,-0.008412637,0.019974703,0.06130601,0.9095756,0.09042441
-0.013907351,-0.009347655,0.020355036,0.062066097,0.90920997,0.09079005
-0.014155783,-0.00947199,0.020788642,0.063000105,0.90827507,0.091724955
-0.013731696,-0.010962941,0.021064896,0.06335919,0.9083537,0.091646284
-0.01472161,-0.008902259,0.02092903,0.06340447,0.9075985,0.09240151
-0.013082363,-0.0094861165,0.021470733,0.06435621,0.9066504,0.09334962
-0.012976743,-0.008951731,0.021277545,0.06400427,0.906864,0.09313598
-0.013024725,-0.006294228,0.020437842,0.06255758,0.90737563,0.092624396
-0.011654414,-0.0061598793,0.0208168,0.06329454,0.9065107,0.09348928
-0.01102028,-0.00608889,0.020770803,0.06316508,0.9067211,0.0932789
-0.01122383,-0.0040315464,0.019983467,0.061750274,0.9075516,0.09244841
-0.010615803,-0.0035118833,0.019579802,0.060895257,0.90824175,0.09175825
-0.010807551,-0.0018023029,0.01925723,0.06041141,0.90817624,0.091823764
-0.009859778,-0.0035126284,0.01879868,0.05912046,0.91010624,0.08989378
-0.0114062205,-0.005803056,0.01942316,0.060333133,0.9099583,0.09004172
-0.012676872,-0.0060258284,0.019229842,0.05997838,0.9104692,0.08953082
-0.013538577,-0.0050340667,0.018937048,0.059499953,0.91044176,0.08955828
-0.013169028,-0.0042142943,0.019263856,0.060278162,0.9090423,0.09095771
-0.0118089095,-0.006253548,0.01975851,0.060999766,0.9088532,0.09114684
-0.012659587,-0.005870886,0.019630773,0.060831428,0.9090861,0.090913914
-0.0123787895,-0.005349703,0.019955728,0.06159944,0.9081278,0.09187221
-0.011571743,-0.006098546,0.020183325,0.061942652,0.90801024,0.091989815
-0.011641361,-0.0056493357,0.020789757,0.063319825,0.90656084,0.09343917
-0.01091335,-0.0051283017,0.020025529,0.061685417,0.907994,0.09200605
-0.011578597,-0.004057534,0.019271761,0.060213808,0.90922344,0.09077661
-0.011738278,-0.0035823658,0.018902237,0.05946671,0.90982014,0.090179846
-0.011795618,-0.0035874024,0.019090988,0.05988632,0.9093488,0.090651214
-0.011366405,-0.003904678,0.01970371,0.061166253,0.90808976,0.09191018
-0.011154987,-0.002218701,0.01900335,0.05981212,0.9088516,0.091148354
-0.010623015,-0.0019098297,0.018876653,0.059530683,0.90901476,0.090985276
-0.010273851,-0.0031558052,0.019238463,0.060161393,0.9088889,0.091111094
-0.010858096,-0.0032434538,0.018945642,0.05955168,0.9097131,0.09028689
-0.011399247,-0.0016275421,0.01898488,0.05988089,0.9088031,0.091196895
-0.010453798,0.0006116256,0.018422259,0.05881922,0.9088772,0.09112283
-0.009197094,-0.00088552386,0.018506246,0.058731273,0.9094306,0.09056935
-0.010046221,-0.0013431087,0.018397832,0.058498733,0.91010916,0.08989083
-0.010604896,-0.00085721165,0.018306598,0.05840443,0.91014177,0.08985823
-0.010508157,-0.0008204654,0.018370418,0.058544777,0.9099008,0.090099275
-0.010391332,-0.00096739084,0.018567769,0.05895572,0.90945464,0.090545356
-0.010209717,-0.0010729805,0.018595701,0.058990236,0.9094343,0.090565704
-0.010305561,-0.0013044849,0.018263139,0.05822133,0.9103635,0.0896365
-0.011049308,-0.0008630827,0.017842863,0.05737372,0.9111711,0.08882896
-0.011084832,-0.0020720437,0.01848751,0.058687445,0.9101601,0.089839876
-0.010893978,-0.0041298047,0.01941735,0.06048745,0.909006,0.09099403
-0.0116174,-0.0029315427,0.018903084,0.05954668,0.9095941,0.09040588
-0.011396505,-0.003284432,0.018722676,0.05908227,0.9101092,0.089890756
-0.011809386,-0.003944911,0.018933684,0.059494752,0.9099267,0.09007332
-0.012006737,-0.004079677,0.019123686,0.059913486,0.9095257,0.09047433
-0.011811651,-0.004635252,0.019424312,0.06049257,0.9090765,0.09092351
-0.011874713,-0.0042581633,0.019516103,0.06074406,0.9086744,0.09132555
-0.011641361,-0.002489902,0.019159006,0.060156524,0.9085754,0.09142461
-0.010420956,-0.0044423416,0.019498242,0.060576487,0.90878797,0.091212034
-0.011433877,-0.004136272,0.019465847,0.060622282,0.90886974,0.09113025
-0.011424817,-0.0033048168,0.019128732,0.05998928,0.9092198,0.09078025
-0.011150397,-0.004155703,0.019427544,0.060520805,0.90892535,0.09107466
-0.011461474,-0.004670985,0.019326102,0.060253672,0.90942955,0.09057045
-0.012033679,-0.004803933,0.019214856,0.06003277,0.90974265,0.09025736
-0.012254633,-0.005801864,0.019393647,0.06031671,0.90977377,0.09022626
-0.012926437,-0.0057193413,0.019332467,0.060234327,0.90981346,0.090186544
-0.012881435,-0.0061886385,0.019618716,0.060796015,0.9093073,0.09069267
-0.012843646,-0.004710771,0.02003489,0.061882854,0.90757334,0.092426695
-0.01122693,-0.0056170896,0.019789053,0.061111584,0.90852684,0.09147316
-0.011973657,-0.0056955293,0.01987487,0.06134579,0.90854335,0.09145664
-0.01180432,-0.0058229044,0.02012384,0.061874714,0.90812045,0.09187956
-0.011899866,-0.004134275,0.019843064,0.061483517,0.9078914,0.092108585
-0.010949768,-0.004346825,0.019692672,0.061055876,0.90830195,0.091698036
-0.01123593,-0.0041514114,0.019539881,0.060765248,0.9086331,0.0913669
-0.011427797,-0.002765067,0.019031474,0.05983273,0.9091322,0.09086788
-0.010954298,-0.0033853129,0.019033836,0.05972804,0.9094151,0.09058489
-0.011406638,-0.0039267614,0.018967435,0.059545714,0.9098824,0.09011758
-0.011503376,-0.005990483,0.019955961,0.061476197,0.908703,0.09129699
-0.01235918,-0.004724808,0.019322813,0.060307484,0.9094701,0.09052991
-0.012284912,-0.0042397752,0.01914802,0.059968002,0.9095039,0.09049615
-0.011931457,-0.0065071657,0.019410893,0.060233433,0.90996975,0.09003026
-0.013177313,-0.0062038973,0.01983843,0.06129803,0.9089172,0.09108283
-0.012542941,-0.0067132786,0.019887133,0.06129546,0.90896153,0.091038465
-0.01293651,-0.0064099804,0.019899474,0.061380453,0.90876234,0.09123767
-0.012382843,-0.007656969,0.020490956,0.062465243,0.90807736,0.09192264
-0.0127250925,-0.007483311,0.020434255,0.062391263,0.90815634,0.091843665
-0.012788154,-0.0065327957,0.020208705,0.062030368,0.9081555,0.09184452
-0.012500085,-0.005371012,0.019834742,0.06133746,0.9083516,0.091648385
-0.011853255,-0.005456634,0.020070354,0.061791137,0.9078763,0.092123665
-0.011540271,-0.004563786,0.02018931,0.0621444,0.9072376,0.09276243
-0.011039354,-0.002205886,0.019220682,0.060282953,0.9082803,0.091719665
-0.010159828,-0.0019526854,0.01939212,0.060634453,0.9078253,0.092174746
-0.009775557,-0.00094345957,0.018994026,0.0598573,0.9083676,0.09163244
