mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.007010348,0.0880648,-0.18411648,0.024927754,0.06050189,0.09839062,0.97341704,0.008932901,0.017650064
-0.006853409,0.087967254,-0.18399012,0.024819436,0.060304973,0.098135754,0.97354287,0.008883731,0.01757339
-0.0062816814,0.08603121,-0.18084192,0.024570286,0.059942245,0.09761069,0.9738545,0.008752573,0.017392963
-0.00974793,0.08573836,-0.18416512,0.024216974,0.05935317,0.09666455,0.9743547,0.008568165,0.01707715
-0.009087153,0.08727781,-0.18569958,0.024352102,0.059511892,0.09695988,0.97415817,0.00864981,0.017191993
-0.007749267,0.08697302,-0.18410778,0.024285315,0.059383962,0.09684323,0.9742101,0.008625229,0.017164698
-0.007892676,0.085827865,-0.18256414,0.024231274,0.059347313,0.096746154,0.97429395,0.008587472,0.017118579
-0.008810885,0.08584749,-0.18330693,0.02431067,0.05950812,0.09691482,0.9742218,0.008617226,0.017160904
-0.008907802,0.08621746,-0.18402302,0.024267364,0.059409473,0.096792996,0.9742701,0.008600994,0.01712887
-0.008240946,0.08540152,-0.18233824,0.024139991,0.059206877,0.09652565,0.9744174,0.008538959,0.017043667
-0.008777685,0.08362429,-0.18043423,0.023914559,0.05889016,0.0960159,0.9747215,0.0084151095,0.016863396
-0.011328705,0.08561825,-0.18555677,0.024119655,0.059203364,0.09638582,0.9745087,0.008512429,0.01697881
-0.008932777,0.08777299,-0.18630862,0.024343042,0.059466984,0.09692371,0.9741591,0.00865172,0.017189149
-0.007824667,0.08729895,-0.18481302,0.024207948,0.059223287,0.096641146,0.97429764,0.008593715,0.017108679
-0.008595653,0.086881414,-0.18501103,0.024146257,0.05914133,0.096485,0.9743927,0.008557035,0.01705029
-0.008751459,0.08778715,-0.18628943,0.024317114,0.059412006,0.09686895,0.9741812,0.00864298,0.017175863
-0.008155651,0.08970477,-0.1882422,0.02462295,0.059864327,0.097566694,0.9737761,0.008806936,0.017416982
-0.006729968,0.09081957,-0.18845046,0.024770407,0.060052566,0.097927,0.9735492,0.008896659,0.017554209
-0.0059094504,0.091128506,-0.18800378,0.024901068,0.060262226,0.09825721,0.9733681,0.008965906,0.017665973
-0.0046766475,0.09003423,-0.18499863,0.025009308,0.06050304,0.09858996,0.97322774,0.009010778,0.017761441
-0.0051515773,0.08956794,-0.18425965,0.025295584,0.06106246,0.099282935,0.9729076,0.0091324495,0.017959978
-0.0052716807,0.08771039,-0.1819402,0.024974588,0.0605793,0.098566175,0.97332317,0.008962731,0.017714048
-0.0062344745,0.085279115,-0.17944789,0.024700202,0.06022287,0.09795486,0.9737109,0.008803298,0.017485857
-0.00804574,0.08466181,-0.18014336,0.024683703,0.060255647,0.09788423,0.9737848,0.008775984,0.017439177
-0.008627601,0.08507894,-0.1814022,0.024607142,0.060101278,0.0976657,0.97388434,0.008741588,0.0173741
-0.009162433,0.08623965,-0.1838237,0.024527973,0.059898544,0.0974192,0.9739717,0.008715663,0.017312542
