mu1,mu2,sigma1,sigma2,pi1,pi2
0.022458948,0.011598656,0.050218556,0.020309571,0.46389082,0.5361092
0.022863008,0.011709953,0.0504612,0.020425616,0.4638103,0.5361897
0.023680426,0.0144026,0.05091463,0.020607047,0.46293595,0.537064
0.023095705,0.011066848,0.052080434,0.021273363,0.46381018,0.53618985
0.023276724,0.010031985,0.051768634,0.02112153,0.46412966,0.5358704
0.024119891,0.011531027,0.051826674,0.02111095,0.46366495,0.5363351
0.024012722,0.012734691,0.05189799,0.021133268,0.46331528,0.5366847
0.023180105,0.012133116,0.051743988,0.021079183,0.46354726,0.5364527
0.023348965,0.011607708,0.051887635,0.021158123,0.4636752,0.5363248
0.023978986,0.013073759,0.052108724,0.02123965,0.46319136,0.5368086
0.024101116,0.014620068,0.052614428,0.021479074,0.46268538,0.53731465
0.022363283,0.009719828,0.0524037,0.021482052,0.46415973,0.53584033
0.02311448,0.009762103,0.051752098,0.021120943,0.46420935,0.5357906
0.024153568,0.010876017,0.052051824,0.021237373,0.4638269,0.53617316
0.024142899,0.010408657,0.052308086,0.02137734,0.46394694,0.53605306
0.023876525,0.009144114,0.051964987,0.021223519,0.46434182,0.53565824
0.023620345,0.0072778035,0.05130195,0.02091111,0.4649409,0.5350591
0.02427236,0.007170925,0.050961345,0.020719213,0.4649985,0.53500146
0.02455137,0.0074569676,0.050648145,0.02054511,0.46495122,0.53504884
0.024803855,0.01029511,0.050191205,0.020262787,0.4641811,0.53581893
0.023288228,0.011026213,0.049426608,0.01988978,0.4641203,0.53587973
0.024082042,0.0132292155,0.05007107,0.020176563,0.4633694,0.5366306
0.023779966,0.015469121,0.050599217,0.020425403,0.46267363,0.53732634
0.022229232,0.015094759,0.05062332,0.020475972,0.46284664,0.5371534
0.021803178,0.014291385,0.05079668,0.020586958,0.4630688,0.5369312
0.02168522,0.012094902,0.05109921,0.020778416,0.46366575,0.5363342
0.023133852,0.012397194,0.05189117,0.021155203,0.46343657,0.5365634
0.023255982,0.0109781865,0.052391116,0.021433834,0.46379602,0.536204
0.023864843,0.009567486,0.052710187,0.021608628,0.46413913,0.53586084
0.024719872,0.011134105,0.052725412,0.021573164,0.46366325,0.5363367
0.024181344,0.009498404,0.05268623,0.021589264,0.4641551,0.5358449
0.02444122,0.010332124,0.052262638,0.02134759,0.46396574,0.5360343
0.023769654,0.010494867,0.05153654,0.020981144,0.46401933,0.53598064
0.02425263,0.012807624,0.051464528,0.020901347,0.46332768,0.53667235
0.024253584,0.015952634,0.051815484,0.021040186,0.46237326,0.53762674
0.022308089,0.012710663,0.052010324,0.021230396,0.46337745,0.5366225
0.022391833,0.01050731,0.051742353,0.0211219,0.4640174,0.53598267
0.024101175,0.0132618565,0.052156474,0.021260327,0.46311444,0.53688556
0.023331441,0.012285264,0.052481182,0.021459451,0.46341622,0.5365838
0.024442889,0.015719676,0.052842062,0.02157588,0.46231517,0.53768486
0.02229271,0.010251055,0.05290629,0.021740247,0.46395642,0.5360436
0.024139859,0.0115982015,0.053120527,0.02178758,0.46350566,0.5364943
0.024704851,0.0130752865,0.05354782,0.021977494,0.46301195,0.5369881
0.023418225,0.0109471325,0.05314712,0.021828134,0.4637155,0.53628457
0.023243107,0.01067833,0.052293684,0.021387659,0.46389055,0.53610945
0.023783006,0.010020809,0.052424397,0.02145328,0.46404773,0.53595227
0.024767257,0.010731505,0.052877627,0.021657338,0.4637668,0.5362332
0.023247994,0.0063082147,0.051915947,0.021256894,0.46514493,0.5348551
0.025037922,0.00874033,0.051735204,0.021081844,0.46445224,0.5355478
0.024736263,0.012277903,0.050990205,0.02065173,0.46351245,0.5364876
0.023970641,0.011751333,0.051466346,0.020921392,0.463666,0.536334
0.023232259,0.010123873,0.051092274,0.020767719,0.46418408,0.53581595
0.022320129,0.0066219736,0.050083034,0.020315701,0.46529126,0.5347088
0.02391348,0.008359732,0.050017193,0.020218825,0.4647881,0.5352119
0.024503328,0.010860937,0.050148215,0.020239953,0.4640263,0.53597367
0.023987629,0.012173856,0.050291486,0.020306336,0.46366,0.53634
0.022784509,0.011403719,0.05000754,0.020195251,0.4639667,0.53603333
0.02330444,0.0097567905,0.05061103,0.02052081,0.4643413,0.5356587
0.023453929,0.009372974,0.050435614,0.020431802,0.46446577,0.53553426
0.023689665,0.011784771,0.050016526,0.020176897,0.46380296,0.53619707
0.023143567,0.013016397,0.050025165,0.020176044,0.46346962,0.5365304
0.022420265,0.0116278995,0.050243694,0.020322854,0.463883,0.536117
0.024000265,0.012950825,0.05131907,0.020829178,0.4633123,0.5366877
0.022798218,0.009730743,0.051343612,0.020915298,0.4642715,0.5357285
0.023567177,0.010764876,0.051109944,0.020760117,0.46398875,0.5360113
0.023286738,0.01103759,0.050856106,0.020630313,0.46394983,0.53605014
0.023539998,0.011429915,0.051041976,0.020715995,0.4638057,0.5361943
0.023332216,0.009941766,0.051211573,0.020830333,0.46421865,0.5357814
0.023083307,0.0055127535,0.050964292,0.020774074,0.4654797,0.5345203
0.025190987,0.009835595,0.05079864,0.020576576,0.46421942,0.53578055
0.023725845,0.009363914,0.050320987,0.020366015,0.4644769,0.5355231
0.0246583,0.012134606,0.05056559,0.020434778,0.46360925,0.5363907
0.022732116,0.010813126,0.049999498,0.020200962,0.46413228,0.53586775
0.023398913,0.011042999,0.05032395,0.02035116,0.46400785,0.53599215
0.023853578,0.013372825,0.05052099,0.020412551,0.46328166,0.5367183
0.022848167,0.013316238,0.0506291,0.020490179,0.46333542,0.53666455
0.022095896,0.011656405,0.05049507,0.020460602,0.46385115,0.5361489
0.022863366,0.011870543,0.050799806,0.020599319,0.46372476,0.53627527
0.02343873,0.010286951,0.05167655,0.021065492,0.46406674,0.53593326
0.02377472,0.011072399,0.05151004,0.020959605,0.4638489,0.5361512
0.023941971,0.011157112,0.05177488,0.021092346,0.463795,0.536205
0.02320198,0.009824442,0.051263746,0.020862462,0.46424744,0.5357526
0.024350263,0.011392714,0.051609524,0.020994289,0.46372184,0.5362782
0.023973979,0.011594074,0.051702544,0.021047411,0.46367797,0.53632206
0.023836233,0.013223799,0.051469818,0.020907117,0.46322653,0.5367735
0.023281075,0.013932938,0.051518172,0.020934504,0.46303853,0.5369615
0.023276187,0.014318371,0.052010037,0.021185754,0.46287274,0.53712726
0.022931494,0.014149914,0.052250367,0.02132146,0.46290967,0.5370903
0.022142388,0.009635517,0.052242912,0.02140422,0.46420556,0.53579444
0.023330368,0.008975478,0.05211776,0.021319598,0.46438095,0.535619
0.024194695,0.009990955,0.052109808,0.02127932,0.46407664,0.53592336
0.024728812,0.010696294,0.05248318,0.021451846,0.46382025,0.5361798
0.024173833,0.009987781,0.052207742,0.02133049,0.46407455,0.5359255
0.024818935,0.011808218,0.052234,0.021303408,0.46352148,0.5364785
0.024029113,0.012412535,0.0519661,0.021172011,0.46341163,0.5365884
0.023837365,0.013888584,0.051856227,0.021098882,0.46299386,0.53700614
0.022556402,0.012917334,0.05152632,0.020968392,0.4633678,0.53663224
0.022292651,0.011872599,0.051250782,0.02084638,0.46369836,0.5363017
0.023007132,0.010323273,0.051762052,0.021120138,0.4640547,0.53594536
0.024066187,0.010959135,0.052180134,0.021304986,0.4637956,0.5362044
0.023913063,0.010662319,0.052173667,0.021308543,0.46389642,0.5361036
0.023884036,0.010355065,0.05198554,0.02121541,0.4640038,0.5359962
0.02439598,0.011001432,0.05214987,0.021280294,0.46378273,0.5362173
0.023822166,0.010701003,0.05179492,0.021111803,0.46393117,0.5360688
0.023991264,0.011595609,0.051635657,0.021012546,0.46367937,0.5363206
0.02337835,0.011995317,0.051250994,0.020820092,0.46362886,0.5363712
0.02342645,0.012580106,0.051348403,0.02086192,0.46344292,0.5365571
0.022959866,0.011254491,0.051434174,0.020935543,0.4638358,0.5361642
0.023418345,0.010763133,0.051614594,0.021026313,0.46394238,0.5360576
0.023551323,0.010849426,0.05150602,0.020965341,0.4639253,0.53607476
0.023644902,0.010798493,0.05151236,0.020967135,0.4639374,0.5360626
0.023697712,0.0103682745,0.05153268,0.020982785,0.46405616,0.53594387
0.02376441,0.010530071,0.05137665,0.02089734,0.4640271,0.5359729
0.023690738,0.009779939,0.051306076,0.020873532,0.46424577,0.53575426
0.023708858,0.009591343,0.05102559,0.020729624,0.4643307,0.5356693
0.024058975,0.010848412,0.05092293,0.020650677,0.46396866,0.5360313
0.02339933,0.01080727,0.05063779,0.02051697,0.46404356,0.53595644
0.023336627,0.010230215,0.050618943,0.02051711,0.4642086,0.53579146
0.023459949,0.010111349,0.05056982,0.02049044,0.46424514,0.53575486
0.023841836,0.011399293,0.05060851,0.020484753,0.46384993,0.5361501
0.023158409,0.010763058,0.050517973,0.02046086,0.46407625,0.5359238
0.02335558,0.010908285,0.050546695,0.020469587,0.46402237,0.5359776
0.023434557,0.011436174,0.05058944,0.020483006,0.46385908,0.5361409
