mu1,mu2,sigma1,sigma2,pi1,pi2
0.075680025,0.006934531,0.5965306,0.047058463,0.045549933,0.9544501
0.07576846,0.0066702142,0.59644836,0.047013707,0.04551596,0.95448405
0.075817294,0.006781973,0.59648436,0.046924274,0.04543195,0.9545681
0.075954966,0.0064375773,0.5963798,0.046834026,0.045358345,0.95464164
0.07616455,0.0067398325,0.5964446,0.04655316,0.0450993,0.95490074
0.07695515,0.0051320866,0.59587234,0.04609733,0.044732764,0.9552672
0.07756334,0.0039254203,0.5953967,0.045816522,0.044517864,0.9554822
0.07718823,0.0050450936,0.59572065,0.046042204,0.044698514,0.95530146
0.0769893,0.005285926,0.5958121,0.046198275,0.044832714,0.9551673
0.076205336,0.0059059337,0.59609425,0.046856977,0.045405783,0.9545942
0.076506115,0.005706556,0.59597445,0.04663312,0.045213968,0.95478606
0.076270275,0.006584622,0.5962545,0.04669833,0.04525067,0.95474935
0.07613567,0.006352462,0.5962217,0.046853736,0.045393065,0.95460695
0.075669624,0.006066121,0.5962126,0.047364417,0.045854382,0.9541456
0.07473343,0.007953711,0.59688973,0.047915924,0.04629607,0.95370394
0.075513594,0.006554015,0.5963919,0.04739197,0.045864,0.954136
0.07577481,0.006950386,0.59646076,0.04706368,0.045562655,0.9544374
0.075573154,0.0070532337,0.5965449,0.047199856,0.045677673,0.95432234
0.07555821,0.008124776,0.5968813,0.046952553,0.045426548,0.95457345
0.07626168,0.006301053,0.5963014,0.046551462,0.04510933,0.9548907
0.07632182,0.005730398,0.59612685,0.04661055,0.045176744,0.95482326
0.076269306,0.0044742897,0.59574807,0.046959244,0.045523148,0.9544769
0.07645344,0.0055542365,0.59596175,0.046676453,0.04525322,0.9547467
0.076593004,0.0060215667,0.59607244,0.046451118,0.045040876,0.9549591
0.07638567,0.005954303,0.5960836,0.04666713,0.045235153,0.95476484
0.07683437,0.0059653595,0.59600717,0.046250477,0.044865273,0.95513475
0.07657602,0.006606646,0.59623784,0.046358895,0.044944543,0.9550555
0.07615847,0.006626673,0.5963393,0.04670508,0.04524776,0.95475227
0.07511031,0.007322736,0.5967188,0.047556326,0.045983672,0.9540163
0.07540064,0.006098695,0.5963347,0.04750083,0.04596456,0.95403546
0.075846545,0.005883284,0.5961674,0.047169983,0.04568135,0.95431864
0.076837026,0.00422097,0.5955055,0.0465987,0.04522026,0.95477974
0.076194964,0.0046255067,0.5956535,0.04725356,0.045802474,0.9541975
0.07558072,0.0057529584,0.5960122,0.047593653,0.046082173,0.9539178
0.075297974,0.007141955,0.59643567,0.04750444,0.045967717,0.9540323
0.07482999,0.008768894,0.5970097,0.047639538,0.046041235,0.9539588
0.07471082,0.008595891,0.59704566,0.04786069,0.046234883,0.9537651
0.07441061,0.008649744,0.5971595,0.048058387,0.04640122,0.9535988
0.074336745,0.008153416,0.59707314,0.048157554,0.046495646,0.9535043
0.07462446,0.0068256035,0.59667075,0.04810606,0.04648158,0.95351845
0.074798726,0.005735822,0.59630376,0.048205458,0.046602417,0.95339763
0.07572787,0.005099632,0.5959144,0.047525052,0.04602402,0.953976
0.0766023,0.00399328,0.5953934,0.047002483,0.045597505,0.9544025
0.07626923,0.00514964,0.5957026,0.04694618,0.04552406,0.95447594
0.075354226,0.006900169,0.596331,0.04745155,0.045929506,0.95407045
0.07449425,0.008405276,0.5969178,0.048038945,0.04640959,0.9535904
0.07442904,0.00804285,0.5968655,0.048286714,0.046635307,0.9533647
0.07378835,0.00813774,0.5970119,0.04895762,0.047225207,0.9527748
0.07337975,0.00805179,0.59705865,0.04937682,0.047597114,0.9524029
0.073310085,0.009086736,0.59737265,0.04921777,0.0474278,0.9525722
0.073814906,0.008363046,0.5971304,0.048782136,0.047055397,0.9529446
0.074395455,0.008336253,0.5970513,0.048173662,0.04651457,0.9534854
0.07568116,0.0066218153,0.5963865,0.047212306,0.045702457,0.9542976
0.07580129,0.0065074638,0.5963308,0.047125638,0.045628984,0.95437104
0.07544293,0.006567575,0.5964075,0.047457315,0.045921605,0.9540784
0.075022526,0.007030435,0.59660304,0.04778051,0.0461968,0.95380324
0.07532785,0.0072420016,0.59662294,0.047425535,0.04587525,0.9541248
0.076002695,0.006803192,0.5964079,0.046830624,0.045355752,0.95464426
0.07651105,0.005665876,0.5960147,0.04654859,0.045132317,0.95486766
0.076088406,0.006153144,0.596202,0.04688898,0.045425262,0.95457476
0.076005824,0.005978264,0.5961621,0.04700898,0.04553687,0.9544632
0.07565697,0.006200947,0.59626365,0.047331665,0.045820307,0.9541797
0.07577101,0.0067312196,0.596389,0.04712789,0.04562676,0.9543732
0.07603874,0.0057908967,0.5960808,0.047052596,0.045583665,0.9544164
0.07616732,0.0059294775,0.5960718,0.04694818,0.045491334,0.95450866
0.07585665,0.0068236366,0.5963711,0.04707821,0.04558462,0.9544154
0.07515512,0.008705981,0.5970544,0.047322497,0.045747977,0.954252
0.075196676,0.008929171,0.5971937,0.047098435,0.04553175,0.9544683
0.07583357,0.0075069442,0.59676504,0.046636574,0.045146942,0.954853
0.07620729,0.0064284876,0.59643126,0.046436798,0.04499211,0.9550079
0.07672342,0.0059086457,0.596211,0.0460317,0.0446434,0.9553566
0.07708546,0.0045019165,0.59575593,0.045958705,0.044613384,0.95538664
0.077223815,0.0043273047,0.595637,0.045939896,0.04460764,0.9553924
0.078257136,0.0036278442,0.59522635,0.045185074,0.04395824,0.9560418
0.07879496,0.0034491196,0.59503824,0.04480547,0.043630555,0.95636946
0.07854905,0.0036841705,0.59510154,0.04505665,0.04385519,0.9561448
0.07723481,0.0050235465,0.59565514,0.046088293,0.04474745,0.9552526
0.07612299,0.007317014,0.59647894,0.046707463,0.045241192,0.9547588
0.076106586,0.0064755455,0.59627944,0.046826962,0.045363523,0.95463645
0.07564721,0.00677488,0.5964416,0.04720432,0.04569056,0.95430946
0.0754332,0.0059729293,0.5962432,0.047580343,0.046045687,0.95395434
0.07539412,0.007283248,0.59660184,0.04739067,0.045846477,0.95415354
0.075550444,0.0066914633,0.596434,0.047313742,0.045789763,0.9542102
0.075669356,0.006242819,0.5962826,0.047295954,0.04578619,0.9542138
0.07590867,0.005850084,0.5961128,0.047176115,0.04569272,0.95430726
0.07635894,0.0054183975,0.5958867,0.04688042,0.045445472,0.9545545
0.0758959,0.0064406767,0.59623265,0.047155652,0.045666594,0.9543334
0.07497213,0.0075919405,0.596715,0.04781246,0.04621868,0.95378137
0.07513694,0.007361479,0.59664714,0.047656268,0.046082675,0.9539173
0.0754028,0.007159747,0.5965554,0.047423624,0.045880325,0.9541197
0.075804256,0.006358601,0.5962767,0.04717148,0.045675173,0.95432484
0.07495237,0.0072775856,0.5966698,0.0478247,0.046231724,0.9537683
0.07509243,0.0067406967,0.5965028,0.047781732,0.04620638,0.95379364
0.07530577,0.006046064,0.59625477,0.047740683,0.04619035,0.9538097
0.07567773,0.005622156,0.59603536,0.04752994,0.04602002,0.95397997
0.07581524,0.005797513,0.59602517,0.04738801,0.045894373,0.9541056
0.075253464,0.006948985,0.5964244,0.04767137,0.04611778,0.9538822
0.074822016,0.008129157,0.59684604,0.04786924,0.0462608,0.9537392
0.074687906,0.00869856,0.597077,0.047865134,0.04623637,0.95376366
0.07470504,0.009089209,0.5972476,0.047663506,0.046038616,0.9539614
0.07502893,0.00796444,0.59694684,0.047451966,0.045869883,0.9541301
0.07507647,0.006333478,0.5964963,0.04769667,0.046125982,0.953874
0.07522931,0.0063167587,0.596441,0.04759537,0.04604038,0.95395964
0.07588189,0.005642481,0.5961275,0.047125768,0.045643333,0.9543567
0.07666605,0.004581429,0.5956633,0.04664439,0.04524774,0.95475227
0.07699322,0.005124189,0.595715,0.046309855,0.044943314,0.9550567
0.07697328,0.0053439513,0.5957596,0.04629844,0.04493024,0.9550698
0.07661619,0.0055188015,0.5958447,0.04660997,0.045205716,0.9547943
0.075762846,0.0060856417,0.59612316,0.047389187,0.04588719,0.95411277
0.0745743,0.007261105,0.5966326,0.048360933,0.0467209,0.9532791
0.074410416,0.007622756,0.59675765,0.048451554,0.046792164,0.95320785
0.074669234,0.0074544623,0.59667736,0.048219148,0.046589512,0.9534105
0.07434387,0.0074823275,0.59674233,0.048527412,0.046861034,0.95313895
