mu1,mu2,sigma1,sigma2,pi1,pi2
-0.1418593,0.0120020155,0.46573257,0.20318784,0.2641712,0.7358288
-0.14098695,0.011117764,0.46530417,0.20261188,0.26392555,0.73607445
-0.1368717,0.007710306,0.4642719,0.20124231,0.26335797,0.736642
-0.13750441,0.007291939,0.46278957,0.19882166,0.26237622,0.7376238
-0.13919961,0.008742724,0.46338817,0.19974042,0.26273975,0.7372602
-0.13751237,0.0074403994,0.46316695,0.19954744,0.26264694,0.737353
-0.13616236,0.00646233,0.46291053,0.19913858,0.26249462,0.7375054
-0.1373012,0.0074357074,0.46323502,0.1995374,0.26266894,0.7373311
-0.13738175,0.0073192865,0.46300638,0.19921257,0.2625282,0.73747176
-0.13511181,0.0054249857,0.46243262,0.19847654,0.26221642,0.73778355
-0.13210164,0.0026669595,0.4613614,0.19701263,0.26160142,0.7383986
-0.1375826,0.0068641026,0.4620549,0.19766244,0.2619008,0.7380992
-0.13921836,0.008622726,0.463292,0.19965802,0.26269194,0.737308
-0.13746709,0.0071592666,0.46280444,0.19902292,0.2624226,0.73757744
-0.13756165,0.0071145296,0.4625113,0.19849375,0.26221794,0.73778206
-0.13969064,0.0088828355,0.4631397,0.19936195,0.26257792,0.7374221
-0.14325479,0.012006145,0.46447656,0.20130993,0.26337025,0.7366297
-0.14436707,0.012966044,0.46503648,0.20223852,0.26372972,0.7362703
-0.14503255,0.0136086065,0.46547,0.20292,0.2640023,0.7359977
-0.14349565,0.01296882,0.46604255,0.20387085,0.26439548,0.7356046
-0.14499441,0.014983725,0.46741247,0.20577379,0.26520234,0.73479766
-0.14092234,0.011549959,0.46611238,0.20390224,0.26444888,0.7355511
-0.13713783,0.008297123,0.46490532,0.20215452,0.26374584,0.7362542
-0.1373424,0.008401295,0.46473008,0.20176299,0.26360717,0.73639286
-0.13735107,0.008190313,0.46435073,0.20117977,0.2633653,0.7366347
-0.13857514,0.008753922,0.4639904,0.20060344,0.2631179,0.7368821
-0.13607746,0.0062611997,0.4627165,0.19885838,0.2623754,0.73762465
-0.13644537,0.006130278,0.46212307,0.19791849,0.2619867,0.7380133
-0.13709125,0.0063277017,0.46180123,0.19743846,0.26177707,0.73822296
-0.13550884,0.005102515,0.4616069,0.19727412,0.26169828,0.73830175
-0.13738969,0.0064788423,0.46173525,0.19730182,0.261726,0.73827404
-0.13770661,0.0070700254,0.46241635,0.19839133,0.26216683,0.7378332
-0.13957155,0.00920804,0.46375614,0.20030601,0.26297107,0.73702896
