mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
7.7039e-06,0.051427603,-0.11266932,0.3964998,0.48542988,0.30875078,0.27834627,0.3263981,0.39525563
-2.451241e-05,0.05139838,-0.1126737,0.39648435,0.48540032,0.3087157,0.2783517,0.32638964,0.39525867
-8.432567e-05,0.051514566,-0.11282107,0.39640358,0.48532993,0.30860412,0.27835304,0.3264017,0.39524525
-0.0001411289,0.051545724,-0.11289644,0.39635104,0.48527026,0.30851972,0.27835834,0.32640025,0.39524135
-4.284084e-05,0.051328838,-0.11263284,0.3964919,0.4853884,0.30871034,0.2783575,0.3263762,0.39526632
4.6148896e-05,0.05125849,-0.11249727,0.3965808,0.4854838,0.30884847,0.27835026,0.32637495,0.39527485
1.7777085e-05,0.051567957,-0.11277524,0.39646444,0.48542717,0.3087258,0.27833787,0.32642215,0.39523998
-8.119643e-05,0.05165711,-0.11293501,0.39636222,0.48532003,0.3085692,0.27834538,0.3264253,0.3952293
0.00032486022,0.050715744,-0.111808956,0.39695832,0.4858122,0.3093699,0.27834406,0.32631847,0.39533746
5.4985285e-06,0.051909924,-0.11306557,0.39635038,0.4853839,0.3086159,0.27832186,0.32647654,0.39520165
-7.300079e-05,0.051642254,-0.11287907,0.39641008,0.4853599,0.3086315,0.278348,0.32642072,0.39523134
-1.5631318e-05,0.05151066,-0.11271086,0.39650425,0.48543775,0.30875748,0.27834854,0.326405,0.39524654
0.000106319785,0.05158183,-0.11266753,0.3965692,0.48554882,0.30889392,0.27832958,0.3264311,0.39523938
0.00031630695,0.051591143,-0.112502635,0.39671344,0.48574853,0.30915695,0.27830258,0.32645774,0.39523968
0.00027893484,0.052126855,-0.1129978,0.3964808,0.48562503,0.30889773,0.27829227,0.32653132,0.39517644
6.173551e-05,0.052100196,-0.113167346,0.39633918,0.48542657,0.30864477,0.2783056,0.32651365,0.39518076
9.544194e-05,0.051602468,-0.11272004,0.39652815,0.48551446,0.30884,0.27832782,0.32643542,0.39523676
0.00023703277,0.051498562,-0.11250627,0.39667186,0.48566952,0.3090636,0.27831623,0.32643437,0.39524943
3.542006e-05,0.05197963,-0.113081425,0.39636678,0.4854198,0.30865613,0.27831578,0.32649007,0.39519414
-6.632507e-05,0.05200751,-0.11320242,0.3962722,0.4853081,0.30850103,0.27832606,0.3264837,0.39519027
