mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.020814128,0.013436034,-0.010880418,0.42457902,0.15776315,0.016666513,0.028174158,0.04054532,0.9312805
0.020849235,0.013437048,-0.010900892,0.42455077,0.1577175,0.016654165,0.02815694,0.040523265,0.93131983
0.020662196,0.013419881,-0.010807909,0.4245179,0.1577199,0.01665305,0.028159993,0.04052961,0.9313104
0.020933636,0.013421193,-0.01097507,0.42418712,0.15721995,0.016517201,0.027973073,0.04029162,0.93173534
0.020686395,0.013401523,-0.010848053,0.42419332,0.15728806,0.016533682,0.02800095,0.04032989,0.9316691
0.021632858,0.013494447,-0.011310317,0.42445385,0.15739976,0.016573569,0.028031016,0.040354915,0.93161404
0.022287436,0.013556853,-0.011632659,0.424603,0.15743633,0.016589914,0.028036878,0.040353473,0.93160963
0.02324713,0.013644949,-0.012109883,0.42476812,0.1574195,0.016594393,0.028019592,0.04031898,0.9316614
0.023011573,0.013616696,-0.01200176,0.42462143,0.15728454,0.016554778,0.027972776,0.040263463,0.9317637
0.022033222,0.013517037,-0.011528827,0.42429468,0.15709402,0.016492855,0.027914202,0.04020308,0.93188274
0.023790427,0.01368393,-0.012394734,0.42468956,0.15718469,0.016534572,0.027927192,0.040195912,0.93187684
0.02031035,0.013339773,-0.010698386,0.42369267,0.15672351,0.016374635,0.02779836,0.040080693,0.9321209
0.021451838,0.013446286,-0.011263706,0.4239149,0.156738,0.01638934,0.027790539,0.040055685,0.93215376
0.021016963,0.013401762,-0.01105351,0.4237703,0.15665415,0.016362226,0.027764887,0.04002926,0.93220586
0.020774908,0.013373151,-0.0109419,0.42362583,0.15652378,0.0163242,0.027720014,0.039976127,0.93230385
0.022513397,0.013544753,-0.011789836,0.42411828,0.15674683,0.016401762,0.027781598,0.04003035,0.93218803
0.020738132,0.0133769065,-0.0109138265,0.423734,0.15667403,0.016365062,0.027775345,0.040046107,0.9321785
0.021642156,0.0134771615,-0.011339791,0.4241647,0.15701865,0.016468383,0.027891109,0.040179335,0.9319295
0.021409161,0.013460949,-0.011216886,0.42420727,0.15713093,0.016497143,0.027934948,0.04023744,0.93182766
0.021214552,0.013439789,-0.011124648,0.42412037,0.15706432,0.01647692,0.027912745,0.040212203,0.93187505
0.017541058,0.01309897,-0.0093031,0.42343011,0.15705055,0.016438441,0.02795008,0.040308174,0.9317418
0.02084864,0.013410345,-0.010937192,0.42412224,0.15715554,0.016498623,0.027950423,0.040264353,0.9317852
0.0196907,0.0132994205,-0.010367669,0.42385057,0.15708041,0.016466957,0.027936224,0.040262014,0.9318018
0.021119006,0.0134387165,-0.011066623,0.4242283,0.15722886,0.016521433,0.027974216,0.04029058,0.9317352
0.023457713,0.013664439,-0.01221437,0.4248068,0.15741909,0.016596274,0.028016988,0.040312897,0.9316701
0.02064354,0.013401881,-0.0108208135,0.42425528,0.15737972,0.016558621,0.028035106,0.040373307,0.93159163
0.019015022,0.013242021,-0.0100253895,0.4238073,0.15718769,0.016490137,0.027983403,0.04033026,0.93168634
0.020295925,0.013375655,-0.010640211,0.42428476,0.15750286,0.016589392,0.028084403,0.040439777,0.9314759
0.01919461,0.013272598,-0.010095425,0.42406344,0.15748008,0.016572604,0.028088775,0.040460046,0.93145114
0.021960802,0.013542965,-0.011448182,0.42480597,0.15778208,0.01668274,0.028167794,0.040521894,0.9313103
0.019326039,0.013256624,-0.010198958,0.42363825,0.15689065,0.016411295,0.027870864,0.040184848,0.9319443
0.020547993,0.01338549,-0.01078368,0.42411697,0.1572215,0.016513988,0.027978113,0.040303085,0.9317188
0.019666798,0.013298407,-0.010354228,0.42386442,0.15710446,0.016473355,0.027945336,0.040273767,0.9317809
0.019636877,0.013306156,-0.010324873,0.42402855,0.15732683,0.01653444,0.028027326,0.040377043,0.9315956
0.020526715,0.01341863,-0.010725297,0.4246733,0.15795718,0.016717697,0.028248997,0.040642947,0.9311081
0.01970423,0.013332263,-0.010331251,0.4243569,0.1577416,0.016649917,0.028179126,0.040566485,0.9312544
0.02102954,0.013445213,-0.011002071,0.4244472,0.15753767,0.016606022,0.028088681,0.0404353,0.93147606
0.020766862,0.013419405,-0.010873802,0.4243739,0.1575054,0.01659457,0.028079867,0.04042776,0.9314924
0.023970492,0.013721064,-0.012456305,0.42504966,0.15761282,0.016654922,0.028082212,0.040387716,0.93153006
0.022304542,0.013569549,-0.011626013,0.42478368,0.15766919,0.016654665,0.028122269,0.040460244,0.9314175
0.020627446,0.013394907,-0.010820545,0.42416266,0.1572621,0.016525956,0.02799209,0.04031957,0.93168837
0.023573287,0.01368238,-0.012261845,0.42494512,0.15757224,0.016639866,0.028071903,0.040380135,0.93154794
0.023582228,0.013671234,-0.012282558,0.4247547,0.15732057,0.016570175,0.027979398,0.04026413,0.9317565
0.023843296,0.013683036,-0.012429006,0.42460582,0.15706229,0.016501244,0.027881738,0.040138237,0.9319801
0.023573048,0.013649479,-0.012306638,0.42441934,0.15688391,0.016449485,0.027819553,0.04006386,0.93211657
0.022255786,0.013507083,-0.0116810575,0.42384785,0.1564559,0.016319467,0.027678275,0.03990407,0.93241763
0.02104456,0.0133894235,-0.011087514,0.42353615,0.15634154,0.016276818,0.027650388,0.039885096,0.93246454
0.019987531,0.013283864,-0.010573871,0.42321718,0.15618032,0.016222902,0.027603647,0.039840356,0.93255603
0.02308596,0.013606384,-0.01206214,0.42436206,0.15692693,0.016456733,0.027840894,0.040097103,0.932062
0.019771643,0.013279811,-0.010444857,0.42343143,0.1565122,0.01631163,0.02772727,0.03999857,0.9322742
0.021570511,0.013441041,-0.011344649,0.42367885,0.1564008,0.016297957,0.027665997,0.039897732,0.9324363
0.022747226,0.01356937,-0.011901952,0.4242078,0.15680733,0.016420603,0.02780103,0.040051617,0.9321473
0.021023817,0.013411418,-0.0110446885,0.42391422,0.15684065,0.016413527,0.02783302,0.04011469,0.9320523
0.02052737,0.013375357,-0.010784723,0.4239822,0.15704997,0.016466483,0.027915433,0.040224742,0.93185985
0.02234698,0.013561264,-0.011663802,0.42459548,0.15741198,0.01658374,0.028027236,0.040340606,0.93163216
0.025530107,0.013864949,-0.013230808,0.42533037,0.15760143,0.016666679,0.02805996,0.040338963,0.9316011
0.02308888,0.013611272,-0.012057342,0.42443496,0.15702166,0.01648289,0.027875543,0.040140525,0.9319839
0.021570452,0.013448849,-0.011333831,0.42380622,0.15656714,0.016343541,0.027726738,0.039974015,0.93229926
0.018421002,0.013161138,-0.0097660795,0.4232855,0.15664801,0.01633619,0.02779243,0.040098388,0.9321092
0.022935756,0.013588563,-0.011993058,0.42426968,0.15684257,0.016432086,0.02781176,0.040062558,0.9321257
0.025679357,0.01385434,-0.013338156,0.42496753,0.1570901,0.016526323,0.027870772,0.040100034,0.93202925
0.023313649,0.013626173,-0.012176998,0.42438325,0.15689954,0.016451344,0.027828261,0.04007822,0.93209356
0.022646137,0.013549581,-0.011865951,0.42402172,0.15658869,0.016359542,0.027722273,0.039954145,0.9323236
0.025487073,0.013812676,-0.013275422,0.42454952,0.15659063,0.016386777,0.027690459,0.039876547,0.93243295
0.02423913,0.013691381,-0.012664236,0.42422605,0.1564702,0.016341975,0.027660796,0.039855868,0.9324833
0.026245423,0.01390858,-0.013616361,0.42510164,0.15712816,0.016542226,0.027878204,0.040101796,0.93202
0.026455529,0.013918474,-0.013733752,0.42498738,0.15692793,0.016488863,0.027802534,0.040004183,0.9321933
0.023420997,0.013601378,-0.01227776,0.42384586,0.15617199,0.016252628,0.02756146,0.03974199,0.9326966
0.023509271,0.013571158,-0.012374051,0.42325008,0.15537556,0.016036598,0.027271193,0.03937605,0.93335277
0.020075805,0.013248339,-0.010677226,0.4225373,0.15527366,0.015977466,0.02727301,0.039423276,0.9333037
0.01940871,0.013214782,-0.0103077665,0.42286438,0.15585972,0.01613019,0.027493432,0.039709434,0.9327971
0.020530708,0.013324216,-0.010856636,0.42316183,0.15597713,0.01617256,0.02752342,0.039732337,0.93274426
0.022097595,0.013470069,-0.011633135,0.42346227,0.15599118,0.016190942,0.027510712,0.0396957,0.93279356
0.020732172,0.013357416,-0.010936983,0.42342764,0.15627532,0.016255796,0.027629804,0.039863374,0.93250686
