mu1,mu2,sigma1,sigma2,pi1,pi2
0.009241685,-0.0125435125,0.017643215,0.22880681,0.59212387,0.4078762
0.010432154,-0.01281078,0.017568639,0.22878149,0.5921874,0.4078126
0.012956545,-0.013000263,0.017092211,0.22732328,0.59252274,0.40747726
0.014111921,-0.012967451,0.016688047,0.22584753,0.59279037,0.40720963
0.016769558,-0.012326641,0.016185183,0.22390851,0.59320176,0.40679824
0.016404346,-0.012081994,0.01636201,0.22450137,0.59309155,0.40690845
0.018901527,-0.012223495,0.016028851,0.22350359,0.5933711,0.40662897
0.016471952,-0.0125151705,0.016256357,0.2242268,0.5931501,0.40684998
0.01924324,-0.011201723,0.016337918,0.22444873,0.59325165,0.40674838
0.017757714,-0.013047023,0.01670559,0.22643723,0.5928959,0.4071041
0.017470136,-0.012877179,0.016592612,0.22587454,0.5929638,0.40703624
0.018831313,-0.012518955,0.016417203,0.22521143,0.59312105,0.40687898
0.02296786,-0.01216094,0.016036252,0.22405885,0.59349126,0.4065088
0.029453442,-0.0117327105,0.015543682,0.22267978,0.5940202,0.40597978
0.031983823,-0.012535198,0.015396159,0.22267215,0.59415925,0.40584075
0.030071408,-0.013226731,0.015441188,0.2228633,0.5940425,0.40595752
0.030168235,-0.012725545,0.015219917,0.22173244,0.59420824,0.40579173
0.033774868,-0.012057019,0.014794772,0.22009219,0.59462535,0.4053747
0.026789352,-0.013025535,0.01568296,0.22340052,0.5937798,0.40622023
0.028191373,-0.012958182,0.015091408,0.22099781,0.59420997,0.40579
0.028806955,-0.011899902,0.014890313,0.21980551,0.59441435,0.40558565
0.026058793,-0.012396527,0.015112708,0.22060029,0.59416366,0.4058364
0.025436372,-0.011177225,0.015553452,0.22197935,0.59392226,0.40607777
0.022388712,-0.012637092,0.016232178,0.22497007,0.59333724,0.40666276
0.022321299,-0.012774153,0.016200578,0.22487807,0.5933517,0.40664825
0.027025595,-0.012164516,0.015660828,0.22300984,0.59386045,0.40613952
0.025515035,-0.0133001935,0.015625503,0.2230755,0.59378,0.40622002
0.020724177,-0.012823893,0.016047062,0.22404721,0.59338444,0.40661559
0.021179587,-0.012687666,0.015764173,0.22287032,0.5935743,0.40642574
0.022974655,-0.0121298265,0.015368901,0.22121264,0.5939089,0.40609112
0.02052401,-0.011900408,0.015783684,0.22257362,0.59358424,0.40641573
0.019738033,-0.012573613,0.015656918,0.22217053,0.59361935,0.4063807
0.009617358,-0.012714786,0.0168634,0.2258488,0.592568,0.40743205
0.009999007,-0.011960609,0.01687694,0.22567582,0.5926056,0.40739444
0.011134133,-0.012115909,0.016900249,0.22598156,0.5926176,0.40738243
0.008779764,-0.012423439,0.017449757,0.22795218,0.5922128,0.40778726
0.012301639,-0.012606485,0.016846491,0.22610387,0.59266543,0.40733457
0.011829287,-0.012476845,0.016864587,0.22606382,0.5926475,0.40735254
0.011732727,-0.012564106,0.016794808,0.22580355,0.59267974,0.40732026
0.011730045,-0.012139602,0.016922105,0.22615848,0.5926221,0.40737793
0.009549841,-0.012865676,0.017220357,0.22732256,0.5923432,0.40765682
0.010216281,-0.012888355,0.016748575,0.22553499,0.5926412,0.40735888
0.0075191557,-0.012868984,0.016594058,0.22453716,0.59265405,0.40734592
0.0013334155,-0.012286736,0.017239904,0.22606678,0.59211034,0.40788966
-0.001968339,-0.0120968055,0.017702311,0.22734722,0.591753,0.40824702
-0.0047505945,-0.012215508,0.018106721,0.22855254,0.5914407,0.40855935
-0.0038420558,-0.0116223525,0.018203555,0.22881423,0.5914518,0.40854818
-0.0036662817,-0.012097789,0.018451182,0.22994186,0.5913058,0.40869418
-0.0009227991,-0.011754347,0.018486505,0.23031737,0.5913937,0.4086063
0.0015012026,-0.012060953,0.018825581,0.23202683,0.5912706,0.40872937
0.007351771,-0.012738628,0.018313522,0.23118602,0.59168774,0.4083123
0.014359966,-0.012668205,0.017511196,0.22904143,0.5923469,0.40765315
0.022232026,-0.012761397,0.0164843,0.22603409,0.59317774,0.40682226
0.025467694,-0.012956394,0.015991636,0.22449858,0.5935621,0.40643784
0.028843641,-0.01249112,0.015564791,0.22296892,0.5939495,0.4060505
0.033413604,-0.012415243,0.014985624,0.22102547,0.59446675,0.40553328
0.031335473,-0.013011022,0.0150143625,0.2210929,0.59435743,0.40564257
0.030840516,-0.012498094,0.014784236,0.21981695,0.5945225,0.40547752
0.02689831,-0.01239462,0.0151323415,0.22079803,0.5941747,0.40582538
0.023781538,-0.012090458,0.015587664,0.2222445,0.5937981,0.40620193
0.0252444,-0.0118659865,0.015590123,0.22236614,0.59385496,0.40614507
0.024298564,-0.012454135,0.015796889,0.2233331,0.59367275,0.40632728
0.022415653,-0.012804164,0.015895039,0.22362198,0.5935416,0.4064584
0.022231713,-0.012410833,0.01582662,0.22316392,0.5935968,0.40640315
0.019021332,-0.012793256,0.016155008,0.22425541,0.59327096,0.4067291
