mu1,mu2,sigma1,sigma2,pi1,pi2
-0.011111721,-0.01619967,0.035241447,0.34743276,0.98234355,0.017656432
-0.011109754,-0.016106866,0.035254154,0.347449,0.9823346,0.017665368
-0.011119828,-0.015870027,0.03528127,0.34747112,0.9823141,0.017685892
-0.011269972,-0.015645854,0.035295274,0.34744978,0.9822994,0.017700586
-0.010823593,-0.016072594,0.035334162,0.3476528,0.9822923,0.017707676
-0.010563418,-0.016428046,0.03532686,0.34772027,0.9823073,0.01769268
-0.010437712,-0.01627051,0.03535267,0.34776658,0.9822909,0.017709062
-0.010923967,-0.015856825,0.035325747,0.34758803,0.98229104,0.017708948
-0.009428486,-0.017635457,0.03537676,0.34815043,0.9823199,0.017680086
-0.010399148,-0.016159348,0.03532656,0.3476951,0.9823037,0.017696267
-0.010599539,-0.016121052,0.035336874,0.34769416,0.9822949,0.017705064
-0.010219142,-0.016542844,0.03535386,0.34784013,0.98229927,0.017700737
-0.009476647,-0.017103396,0.03539934,0.34811166,0.98229516,0.017704882
-0.008318469,-0.017934762,0.035474118,0.34853867,0.9822858,0.01771419
-0.008382663,-0.017432176,0.03548961,0.34848732,0.9822655,0.01773452
-0.009208366,-0.016560785,0.03546495,0.34820488,0.98225015,0.017749852
-0.00914894,-0.016801588,0.035476785,0.3482765,0.9822495,0.017750485
-0.008342847,-0.01754602,0.035497442,0.3485258,0.98226434,0.0177356
-0.009521589,-0.016558044,0.03542649,0.34808126,0.98226744,0.017732501
-0.009904966,-0.016057216,0.035447277,0.34800643,0.98224014,0.017759882
-0.009368762,-0.01684793,0.035469882,0.3482409,0.98225135,0.017748673
-0.009951994,-0.016212039,0.03542963,0.3479831,0.98225254,0.017747475
-0.008897588,-0.017748825,0.03543836,0.34836423,0.98229456,0.01770547
-0.009632513,-0.016755752,0.03538159,0.347998,0.9822954,0.01770456
-0.00985156,-0.016567402,0.035386283,0.3479579,0.9822863,0.017713733
-0.008988425,-0.017299674,0.0354492,0.34831023,0.98227775,0.017722264
-0.0100064725,-0.015989594,0.035415556,0.347913,0.98225516,0.017744858
-0.0104248375,-0.016142301,0.03537297,0.34779763,0.98227733,0.017722696
-0.010512814,-0.016012542,0.03537329,0.34776536,0.9822729,0.017727053
-0.010239586,-0.016266666,0.035400666,0.34789583,0.9822664,0.01773359
-0.010175273,-0.016553663,0.035373352,0.3478868,0.98228884,0.017711218
-0.010815486,-0.015674226,0.03533889,0.34759736,0.98228115,0.017718844
-0.011988208,-0.0152370855,0.035250794,0.34720498,0.9823064,0.017693564
-0.0114053935,-0.016035847,0.035264026,0.3474246,0.9823236,0.017676426
-0.011179194,-0.01609879,0.035269637,0.3474706,0.9823245,0.017675517
-0.011387274,-0.016026668,0.03523588,0.347362,0.98233944,0.017660562
-0.0112959,-0.015766464,0.03527731,0.3474242,0.9823116,0.017688336
-0.011311635,-0.015845828,0.035276577,0.34743404,0.9823137,0.017686332
-0.011435077,-0.01568582,0.03527468,0.34739012,0.98230964,0.017690359
-0.011064991,-0.01622235,0.035279732,0.3475275,0.9823231,0.01767689
-0.011685178,-0.015531175,0.03523894,0.3472572,0.9823232,0.0176768
-0.012071356,-0.015054934,0.035252642,0.34717032,0.98230034,0.017699668
-0.012819633,-0.014438026,0.035228595,0.3469349,0.9822909,0.01770907
-0.013232157,-0.014659576,0.035166863,0.34678525,0.9823253,0.017674698
-0.013397083,-0.014759414,0.035125494,0.3466879,0.98234856,0.017651457
-0.013737842,-0.014560632,0.035088986,0.34653643,0.98236054,0.01763948
-0.013086006,-0.0153394565,0.035107937,0.3467752,0.98237497,0.017625032
-0.01305227,-0.015196227,0.035100263,0.34673885,0.9823766,0.017623398
-0.012195036,-0.016028427,0.03514006,0.34705698,0.98238313,0.017616853
-0.011477515,-0.016577177,0.035156608,0.3472613,0.9823948,0.017605197
-0.011026189,-0.01644104,0.03521342,0.3474189,0.9823658,0.017634258
-0.010187134,-0.01686602,0.035297442,0.34776965,0.9823385,0.017661529
-0.009486541,-0.016973041,0.03538595,0.34806213,0.98229986,0.017700106
-0.009425327,-0.016766302,0.035419576,0.34811163,0.98227733,0.017722689
-0.008889422,-0.017239027,0.035462033,0.34834072,0.98227054,0.017729497
-0.008473918,-0.017319135,0.0355101,0.34850544,0.9822504,0.017749595
-0.009278163,-0.0164501,0.035479292,0.34820965,0.98223865,0.017761387
-0.009383008,-0.016517363,0.035486672,0.34822562,0.98223466,0.017765373
-0.009754047,-0.01641839,0.03544349,0.34807077,0.9822519,0.01774809
-0.009760007,-0.016729467,0.035411082,0.3480465,0.98227674,0.017723234
