mu1,mu2,sigma1,sigma2,pi1,pi2
0.012879949,-0.028338224,0.030756773,0.40470797,0.96831536,0.031684667
0.012742836,-0.02855666,0.030700533,0.40461046,0.968365,0.031634975
0.013116423,-0.02827391,0.030692505,0.4044724,0.9683843,0.0316157
0.011748057,-0.029901564,0.030399216,0.40413034,0.96862733,0.031372648
0.012355674,-0.029348508,0.03044447,0.40407324,0.9686004,0.031399593
0.010686573,-0.030674562,0.030443395,0.40458846,0.9685509,0.031449057
0.00949854,-0.03178546,0.030376213,0.40482375,0.96857566,0.031424318
0.007686436,-0.03349991,0.030248005,0.40508613,0.96864176,0.031358212
0.0080742985,-0.03347376,0.030116646,0.4046528,0.9687779,0.031222146
0.0097812,-0.032241017,0.03004112,0.4039026,0.9689049,0.031095123
0.006374594,-0.035060048,0.029967852,0.40474418,0.9688765,0.031123508
0.01247691,-0.030413404,0.029881865,0.40265477,0.9691392,0.030860791
0.010129515,-0.032091543,0.029915407,0.40335292,0.9690493,0.030950736
0.010654647,-0.031732783,0.029905112,0.40320036,0.969071,0.03092906
0.010901239,-0.031544894,0.0298948,0.40308505,0.96908957,0.030910444
0.007833291,-0.033906654,0.029939396,0.40416673,0.96895325,0.031046785
0.011337493,-0.031086817,0.029986452,0.40325317,0.969007,0.030992996
0.010187928,-0.03159699,0.030167231,0.40402764,0.9688033,0.031196773
0.010789383,-0.031039208,0.030223496,0.40401378,0.968764,0.031236026
0.011066351,-0.030852854,0.03019989,0.40385506,0.9687964,0.03120361
0.018222887,-0.024652287,0.030453965,0.40225756,0.96877074,0.031229213
0.011629436,-0.02981086,0.030433292,0.40413764,0.9686036,0.03139643
0.013655562,-0.028337836,0.030425016,0.4036039,0.96866024,0.031339772
0.011217985,-0.030189067,0.030458365,0.40442732,0.96855634,0.03144367
0.007018987,-0.033774614,0.030364366,0.40556365,0.9685121,0.03148792
0.012803998,-0.029124826,0.030429576,0.40399715,0.9686174,0.031382635
0.015759561,-0.02654557,0.030483829,0.40309227,0.9686683,0.031331725
0.013458688,-0.028042078,0.030629287,0.40412644,0.96846414,0.031535838
0.015397225,-0.026463136,0.030671714,0.40367192,0.968478,0.031521987
0.010385159,-0.030401781,0.030687515,0.4052611,0.968311,0.031688984
0.014230136,-0.028131574,0.030313266,0.40317348,0.9687815,0.031218547
0.012475397,-0.029100925,0.030496607,0.40411794,0.96855944,0.031440604
0.013985436,-0.02796176,0.030481745,0.40364122,0.9686162,0.031383816
0.014411185,-0.027295068,0.030641165,0.40389177,0.9684784,0.031521678
0.013636325,-0.027370155,0.030934924,0.40489364,0.9681704,0.031829618
0.014902871,-0.026564613,0.030837985,0.40427104,0.9683005,0.031699423
0.011964221,-0.029221848,0.030653812,0.40469292,0.9683907,0.031609286
0.0124759935,-0.028946087,0.03061142,0.40447438,0.9684419,0.031558134
0.0064099245,-0.034119174,0.030431876,0.40591806,0.9684291,0.0315709
0.010027278,-0.031353623,0.030432748,0.40489876,0.9685268,0.03147316
