mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.020118684,-0.014633056,-0.01093968,0.5828905,0.3236583,0.5587945,0.19453247,0.617239,0.18822847
-0.020098738,-0.014567759,-0.010973811,0.5829501,0.3237817,0.55887717,0.19459999,0.6171132,0.18828684
-0.020182222,-0.014604952,-0.010961145,0.58277684,0.32341796,0.5587059,0.19440572,0.6174932,0.18810114
-0.020175815,-0.014427852,-0.0110523775,0.5828349,0.32354912,0.5588313,0.19448894,0.6173563,0.18815477
-0.020240761,-0.014598783,-0.010971997,0.5826641,0.32318288,0.55860883,0.19428317,0.6177385,0.18797833
-0.020171896,-0.014798533,-0.01089897,0.5827354,0.32333964,0.55860513,0.19437386,0.6175526,0.1880735
-0.020311363,-0.014211398,-0.011163399,0.5826211,0.3231037,0.5587248,0.19426596,0.61783355,0.18790051
-0.02021432,-0.014270019,-0.011113964,0.5828185,0.3234976,0.55887544,0.1944493,0.6174345,0.18811624
-0.020219311,-0.014304187,-0.011091754,0.5827936,0.3234514,0.55883443,0.1944262,0.617478,0.18809584
-0.02026359,-0.014500748,-0.011017367,0.5826414,0.3231444,0.5586242,0.19427091,0.617778,0.18795115
-0.020247728,-0.01441535,-0.011072103,0.5826921,0.32325906,0.55871046,0.1943445,0.6176527,0.1880028
-0.020284325,-0.014423471,-0.011063028,0.5826253,0.32310957,0.55864525,0.19425595,0.61781794,0.18792616
-0.02023682,-0.014418792,-0.011065189,0.58271843,0.32330585,0.55873233,0.19436203,0.6176106,0.18802747
-0.020211548,-0.014195349,-0.0111451745,0.5828351,0.3235397,0.55891657,0.19447997,0.61738974,0.18813024
-0.020102136,-0.014376681,-0.011037514,0.5830109,0.32389235,0.558998,0.1946441,0.61702514,0.1883308
-0.02005896,-0.01440781,-0.011017323,0.5830828,0.3240469,0.559048,0.19472688,0.61685926,0.1884138
-0.020070896,-0.014359843,-0.011036228,0.58307093,0.32402527,0.55905336,0.19471759,0.6168831,0.18839933
-0.020096406,-0.0144829415,-0.0109855905,0.5829802,0.32384154,0.55892384,0.1946232,0.6170632,0.18831357
-0.02013293,-0.014626216,-0.010941703,0.5828594,0.3235998,0.55876637,0.19450578,0.6172961,0.1881981
-0.020059459,-0.01459473,-0.010958463,0.58301777,0.3239247,0.558927,0.19467586,0.61696094,0.1883632
-0.020075433,-0.01458865,-0.010948952,0.5829977,0.32386935,0.5589071,0.19463353,0.61703175,0.18833472
-0.020006463,-0.0145200305,-0.010972053,0.58315384,0.32419464,0.55907327,0.19480456,0.61669725,0.18849821
-0.019973405,-0.014490198,-0.010964885,0.5832352,0.32435298,0.5591512,0.19487493,0.61654586,0.18857919
-0.020087823,-0.014698174,-0.010886736,0.58293855,0.32374793,0.55880326,0.19456457,0.6171539,0.1882816
-0.020298578,-0.015035804,-0.01080291,0.58240336,0.3226652,0.5582103,0.19402634,0.6182314,0.18774223
-0.020366862,-0.014609646,-0.011040892,0.58237773,0.32262895,0.5583711,0.19404379,0.61827254,0.18768373
-0.020327382,-0.014331754,-0.011132944,0.582571,0.32298556,0.5586482,0.19419618,0.6179555,0.18784834
-0.020322673,-0.014394071,-0.011086512,0.58256906,0.32297963,0.55861294,0.19418162,0.61796314,0.18785527
-0.020186357,-0.014106076,-0.011175748,0.582903,0.32367247,0.55901045,0.19455025,0.6172644,0.1881853
-0.020106487,-0.0139970295,-0.011201937,0.5831312,0.32411674,0.5592569,0.1947511,0.61683357,0.18841541
-0.020074986,-0.014227729,-0.011072274,0.58310807,0.32409263,0.55912787,0.19474155,0.6168327,0.18842575
-0.020069033,-0.014150124,-0.011119131,0.5831277,0.32415423,0.55917764,0.1947935,0.61675525,0.18845132
-0.020034052,-0.0142394565,-0.011067681,0.58317375,0.3242449,0.55918103,0.1948328,0.6166614,0.18850581
-0.020005949,-0.014719706,-0.010858465,0.5830856,0.32406312,0.5589187,0.19473177,0.6168201,0.18844818
-0.019962355,-0.015143406,-0.0106991455,0.5830441,0.3239819,0.5587336,0.19469467,0.61686933,0.18843603
-0.020051844,-0.014920916,-0.010829315,0.5829345,0.3237549,0.5587338,0.19458808,0.617113,0.18829896
-0.020094201,-0.014756884,-0.0108998455,0.58290994,0.32369003,0.55877525,0.19454598,0.61720145,0.18825263
-0.020049274,-0.014663603,-0.010928083,0.5830325,0.32393602,0.5589186,0.1946674,0.61695904,0.18837349
-0.020160355,-0.014494743,-0.011004832,0.5828602,0.3235812,0.5588241,0.19448529,0.61733747,0.1881773
-0.020168811,-0.014245313,-0.011116538,0.58290696,0.32368916,0.5589604,0.1945551,0.6172317,0.18821321
-0.020108089,-0.01430225,-0.011068288,0.5830198,0.3239125,0.5590329,0.19465636,0.61700785,0.18833587
-0.020151787,-0.0143342875,-0.011058621,0.5829149,0.3237063,0.5589238,0.19455644,0.6172118,0.18823174
-0.02018039,-0.014402967,-0.011042021,0.58283085,0.3235418,0.5588254,0.19447972,0.61736923,0.18815109
-0.020112023,-0.014521953,-0.010988522,0.582934,0.3237521,0.55887586,0.19458602,0.6171453,0.18826874
-0.02006536,-0.014644381,-0.01092666,0.58299726,0.32387355,0.55888575,0.19463922,0.61701965,0.18834111
-0.020065323,-0.014575075,-0.01095916,0.5830178,0.32391664,0.5589319,0.19466381,0.6169782,0.188358
-0.020085238,-0.014637109,-0.010929726,0.58296275,0.32379836,0.55885744,0.194597,0.61710143,0.18830156
-0.020109333,-0.014507752,-0.010997202,0.58294815,0.3237759,0.5588967,0.19459565,0.61712486,0.1882795
-0.02008076,-0.014536571,-0.010973461,0.58300227,0.3238794,0.5589318,0.19464041,0.61702377,0.18833585
-0.020199522,-0.014636319,-0.0109466575,0.5827312,0.32332578,0.55865103,0.19435807,0.61758596,0.18805602
-0.020249195,-0.014519434,-0.011028651,0.582657,0.3231881,0.5586395,0.19430755,0.6177187,0.18797383
-0.020237856,-0.014484193,-0.01103754,0.5826999,0.32326367,0.5586918,0.19433664,0.6176531,0.18801032
-0.020193838,-0.0143789165,-0.011073012,0.582821,0.32351077,0.55883867,0.19446237,0.61740667,0.18813096
-0.0201715,-0.014342081,-0.0110722035,0.5828805,0.32362735,0.5588999,0.19451453,0.6172958,0.1881897
