mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.028622873,-0.6039171,0.0003792718,0.08496057,0.5409961,0.014272276,0.021820283,0.078156546,0.90002316
-0.02848246,-0.60411096,0.00040011853,0.08485545,0.5407538,0.014247267,0.02177861,0.07804905,0.90017235
-0.028636754,-0.6041881,0.00050794333,0.08484895,0.54086107,0.01424372,0.021778528,0.07806027,0.90016115
-0.028689675,-0.6033107,0.0004035458,0.085080475,0.5411427,0.014312537,0.021866336,0.07825823,0.8998754
-0.028652504,-0.6035789,0.00028530508,0.08506568,0.5410654,0.014303202,0.02185697,0.07822985,0.89991313
-0.028733306,-0.6043136,0.00031160563,0.08494607,0.54098916,0.014260205,0.021810917,0.07813297,0.9000561
-0.028734662,-0.60497296,0.0005152896,0.0847283,0.5407575,0.014200053,0.021730397,0.077953815,0.9003158
-0.028807878,-0.6052989,0.00082755834,0.084556065,0.54066086,0.014156956,0.02167109,0.077831924,0.900497
-0.029163003,-0.6039929,0.00068137795,0.08500829,0.54143894,0.014278968,0.0218456,0.078251675,0.89990276
-0.028753266,-0.6041603,0.0004290715,0.08492956,0.5409982,0.014260766,0.021807304,0.07812784,0.9000649
-0.028662749,-0.6041165,0.000358589,0.084946185,0.5409954,0.014264356,0.021813871,0.078143306,0.90004283
-0.028839804,-0.6034417,0.00012820214,0.08523966,0.541404,0.014340462,0.021922393,0.07839208,0.8996855
-0.028747782,-0.60305977,-0.00026469678,0.085445784,0.54148,0.014392926,0.021991862,0.07852785,0.8994803
-0.028231956,-0.6046864,-3.106147e-05,0.08482952,0.5404109,0.014229946,0.021754876,0.0779583,0.90028685
-0.028731927,-0.60449624,0.0004101023,0.08486384,0.54089963,0.014239308,0.021780852,0.07806553,0.90015364
-0.029138565,-0.6032107,0.00022948533,0.08533335,0.54165345,0.014366135,0.02195883,0.07848339,0.89955777
-0.028775796,-0.6039372,7.5921416e-06,0.08515603,0.5411491,0.014313323,0.02188311,0.0782818,0.8998351
-0.028581776,-0.60592693,0.00047195703,0.08450726,0.5403703,0.014132601,0.021642264,0.077741034,0.9006167
-0.029115029,-0.60509706,0.0008113459,0.084719434,0.5410729,0.014193581,0.021735128,0.077999294,0.9002656
-0.029126577,-0.6047715,0.00074940175,0.08480388,0.54112643,0.014219656,0.021765063,0.0780594,0.9001756
-0.029076248,-0.604077,0.00041437894,0.085080035,0.5414205,0.014291521,0.021866955,0.07828865,0.8998444
-0.028776146,-0.60338503,-2.9064715e-05,0.085298195,0.5414055,0.014353828,0.021941468,0.07842793,0.89963055
-0.028234854,-0.60432917,7.3589385e-05,0.08486159,0.5405123,0.014244356,0.021771755,0.07800594,0.9002223
-0.02856683,-0.605475,0.0006885603,0.08449472,0.5404074,0.014140889,0.021643737,0.07775174,0.90060455
-0.029284388,-0.60398775,0.0006797537,0.085048296,0.5415384,0.014287499,0.021860108,0.07828762,0.8998522
-0.028643414,-0.6045117,0.0005899146,0.08473964,0.54068005,0.01421508,0.021735284,0.077953555,0.9003112
-0.028789572,-0.6040365,0.0005973652,0.08490522,0.541084,0.014257456,0.021804336,0.07813713,0.90005857
-0.028917864,-0.604264,0.00048265606,0.084951185,0.54116094,0.01426164,0.021817734,0.07816633,0.9000159
-0.028619714,-0.6054809,0.0006886795,0.084514625,0.540467,0.014144516,0.021651588,0.077773266,0.90057516
-0.029026195,-0.60458827,0.0007510409,0.084818915,0.5411647,0.0142256245,0.021774208,0.07808756,0.90013826
-0.028872028,-0.6037128,0.000446029,0.08505364,0.5412404,0.014296417,0.021856822,0.07824986,0.89989334
-0.02851972,-0.60342264,0.00020531565,0.08508848,0.54102194,0.014311406,0.021865094,0.0782429,0.89989203
-0.028514363,-0.603978,0.0002471581,0.0849606,0.5408694,0.01427177,0.02181579,0.07813134,0.90005285
-0.028887697,-0.603765,0.00016833097,0.08517308,0.5413429,0.014319214,0.02189646,0.07833412,0.8997694
-0.028687328,-0.6033989,-5.19827e-05,0.085258394,0.5412348,0.014347112,0.021923011,0.07837,0.899707
-0.028766908,-0.60322684,-0.0002815649,0.08542712,0.5414602,0.014385037,0.021983813,0.0785094,0.8995068
-0.028668694,-0.603228,-0.00047858804,0.08547136,0.5413815,0.014394961,0.021994954,0.07851864,0.8994864
-0.02855318,-0.6037454,-0.00041208416,0.08529426,0.54108536,0.014346929,0.02192635,0.078354396,0.89971924
-0.028855413,-0.6043206,-0.00020233542,0.085202,0.54120517,0.01431312,0.021895057,0.07830689,0.8997981
-0.028780736,-0.6054505,0.00024514645,0.084753126,0.5406708,0.01419525,0.021729482,0.07793279,0.90033776
-0.02938097,-0.60376775,0.00018311292,0.08534259,0.5418318,0.014352856,0.021961646,0.078507155,0.8995312
-0.028864391,-0.6046706,7.755309e-05,0.085010655,0.54101264,0.0142661,0.021826519,0.07815573,0.90001774
-0.028791592,-0.6059897,0.0005128458,0.08455633,0.54057866,0.014140187,0.021662528,0.07780214,0.9005353
-0.029219449,-0.6051655,0.0007323399,0.08477822,0.5411866,0.014203659,0.021755641,0.078049,0.9001953
-0.029135577,-0.604661,0.00057374686,0.08490789,0.5412308,0.014243208,0.021801524,0.078139566,0.9000589
-0.028831542,-0.60447174,0.00041579455,0.08490963,0.5410428,0.014248277,0.02179977,0.07811871,0.9000816
-0.028670326,-0.6044265,0.0004239753,0.08485656,0.5408864,0.014238938,0.021779679,0.07806484,0.90015554
-0.028858371,-0.60364383,0.00027183443,0.085143164,0.5413245,0.01431589,0.021888098,0.078318626,0.89979327
-0.028475896,-0.6046478,0.0003791377,0.084749855,0.5405694,0.01421369,0.021734832,0.07794101,0.9003241
-0.028965555,-0.60423493,0.00044017285,0.084996276,0.5412544,0.0142709995,0.021834837,0.07820963,0.8999556
-0.028709926,-0.60388184,0.00032580644,0.08500671,0.54102045,0.014283977,0.021834068,0.078179464,0.89998645
-0.028803088,-0.6033557,0.00012224168,0.08524178,0.5413642,0.014343529,0.021922512,0.07838713,0.8996904
-0.02884578,-0.6032912,-0.00020737201,0.08541255,0.5415135,0.014380098,0.021980168,0.078508906,0.899511
-0.028687425,-0.6032937,-0.0004885122,0.08547476,0.54141563,0.014393478,0.021996742,0.078526884,0.89947635
-0.028454006,-0.604217,-0.0003394857,0.08513642,0.54085445,0.014303269,0.021866625,0.078216285,0.8999171
-0.02868577,-0.60475147,0.00010342151,0.08492212,0.5408263,0.014246108,0.021793662,0.0780754,0.9001309
-0.029048748,-0.60464066,0.00036684424,0.08495917,0.5411449,0.014255546,0.021814367,0.0781497,0.900036
-0.0288831,-0.605183,0.00063120574,0.0846781,0.54074913,0.014185767,0.021711186,0.077911705,0.9003771
-0.029280514,-0.60477567,0.0006641969,0.0849062,0.54136604,0.014238972,0.021804063,0.07816094,0.900035
-0.029019266,-0.6049119,0.0005457923,0.084831916,0.54106694,0.014221735,0.021771401,0.07806474,0.9001638
-0.028741524,-0.60615814,0.00086105615,0.08435864,0.54040414,0.014095716,0.021595346,0.07765947,0.90074515
-0.02910591,-0.6051691,0.0010148808,0.084622264,0.54103416,0.014171197,0.021704005,0.07794033,0.9003557
-0.028881788,-0.6045893,0.0008861348,0.08469688,0.54090995,0.014202269,0.021728573,0.07797176,0.90029967
-0.02867619,-0.6040385,0.0007319972,0.0848028,0.54091436,0.014237023,0.021767816,0.07805056,0.90018165
-0.028501622,-0.6046367,0.0008337572,0.08457633,0.5405354,0.014177226,0.021681318,0.07784371,0.90047497
-0.028773844,-0.60435826,0.00090084225,0.08470391,0.54089576,0.014208726,0.021733463,0.07798358,0.900283
-0.028744906,-0.60405785,0.0007823631,0.08479711,0.5409401,0.014235701,0.02176601,0.07804847,0.9001856
-0.028399281,-0.60593,0.0011954084,0.084129006,0.5399736,0.014056023,0.021514723,0.077463254,0.901022
-0.028882802,-0.605101,0.0015440062,0.084325574,0.540662,0.014113056,0.021602882,0.07771392,0.9006832
-0.02909486,-0.60337424,0.0011362359,0.084907725,0.54139954,0.01427337,0.02181964,0.0782058,0.8999746
-0.028392889,-0.6052753,0.001098834,0.084298745,0.54017824,0.01410578,0.021579526,0.07761171,0.9008088
-0.028613381,-0.60523283,0.0013948753,0.08427696,0.54044396,0.01409976,0.02158182,0.07765268,0.90076554
-0.028818749,-0.60446113,0.0013856366,0.0844912,0.5407827,0.014162623,0.021663463,0.077842556,0.9004939
-0.028672673,-0.6039367,0.0011418685,0.08464436,0.54082346,0.014207013,0.02171727,0.07794935,0.9003334
-0.028605096,-0.60359806,0.0008360967,0.08482425,0.54096067,0.014251466,0.02178078,0.07808555,0.9001337
-0.02847334,-0.60314214,0.0005064681,0.08500482,0.5410136,0.01430015,0.0218426,0.078206755,0.8999506
-0.02850262,-0.60193294,-2.3387372e-05,0.08548026,0.5414892,0.014427165,0.02201517,0.078583874,0.89940095
-0.028177567,-0.60365224,-9.638816e-05,0.085043855,0.5406593,0.014298351,0.02183881,0.07814962,0.9000116
-0.028561868,-0.603671,4.927069e-05,0.08512353,0.5410566,0.014312353,0.021874426,0.07826193,0.89986366
-0.028590232,-0.6031616,3.8720667e-05,0.08522153,0.54112273,0.014346426,0.021910202,0.078333355,0.8997565
-0.028678358,-0.60394555,0.0001328066,0.08506269,0.5410032,0.014294421,0.021850007,0.07820454,0.8999455
-0.028896354,-0.6043301,0.0002380386,0.08502868,0.5411452,0.014276814,0.021839956,0.078201585,0.89995843
-0.02918338,-0.60328627,-9.6298754e-05,0.0854887,0.5418366,0.014394853,0.022012424,0.0786045,0.89938307
