mu1,mu2,sigma1,sigma2,pi1,pi2
0.047296893,-0.00848259,0.6671637,0.5739575,0.4904021,0.50959796
0.04713158,-0.00813555,0.6672194,0.5741113,0.49042177,0.5095782
0.04738026,-0.008789673,0.66706735,0.573773,0.49037707,0.50962293
0.04705421,-0.0081156045,0.66720897,0.57405806,0.49042216,0.5095779
0.04744138,-0.0090724155,0.66699636,0.5735592,0.49036723,0.5096328
0.047470562,-0.008994803,0.6669925,0.57364756,0.49037257,0.50962746
0.047042374,-0.008353822,0.6671731,0.57398707,0.4903539,0.50964606
0.04695374,-0.008178167,0.6672169,0.57410765,0.49034742,0.5096526
0.04705003,-0.008354366,0.6671768,0.57401496,0.49034527,0.50965476
0.047399394,-0.009026192,0.66701496,0.5736612,0.49033275,0.5096672
0.0471913,-0.008525126,0.6671214,0.5739116,0.49036354,0.5096365
0.047305465,-0.008858308,0.6670546,0.573733,0.49034017,0.5096598
0.047169987,-0.008516774,0.6671257,0.5739184,0.49035764,0.50964236
0.04684779,-0.007908933,0.6672742,0.5741966,0.49038264,0.5096174
0.04689897,-0.007954866,0.6672592,0.5742021,0.490379,0.509621
0.046858583,-0.007790521,0.6672901,0.57427895,0.49039957,0.50960046
0.046854742,-0.0077835694,0.6672955,0.5742849,0.49039844,0.50960153
0.04708759,-0.008236304,0.66718835,0.5740519,0.49038705,0.5096129
0.04730251,-0.008619949,0.66708875,0.5738166,0.49039742,0.5096026
0.047043644,-0.008027971,0.66721606,0.57413566,0.49042124,0.50957876
0.047101766,-0.008252323,0.6671755,0.5740233,0.4903967,0.5096033
0.046843372,-0.0076642185,0.66730505,0.5743264,0.490425,0.50957507
0.04678382,-0.0075803697,0.6673317,0.5743765,0.49041915,0.50958085
0.04733987,-0.008758433,0.6670634,0.5737857,0.49036843,0.5096316
0.048141964,-0.010408491,0.6666725,0.5729453,0.49031043,0.50968957
0.047568195,-0.0092346445,0.6669409,0.5735372,0.49035373,0.50964624
0.04716819,-0.008663282,0.667101,0.57385385,0.4903266,0.5096734
0.047286227,-0.0089597255,0.66703933,0.5737059,0.49030674,0.50969326
0.046605404,-0.0075391755,0.6674117,0.57448757,0.49034417,0.50965583
0.046430003,-0.0071879923,0.66748816,0.5746544,0.49035668,0.5096433
0.046752658,-0.007693365,0.6673472,0.57436585,0.49037194,0.50962806
0.046633415,-0.007309437,0.667415,0.5745199,0.49042064,0.50957936
0.046683226,-0.0073585063,0.6673925,0.5744003,0.49046162,0.5095384
0.047229595,-0.008350022,0.6671427,0.57388175,0.49045166,0.50954837
0.04758326,-0.008910611,0.6669854,0.57365495,0.4904357,0.5095643
0.04739926,-0.008652866,0.667054,0.5738001,0.4904219,0.5095781
0.04726701,-0.0085482225,0.66709423,0.5738615,0.49039754,0.5096024
0.04704663,-0.008132331,0.667194,0.5740914,0.49040014,0.5095999
0.04713185,-0.008461766,0.6671401,0.57395065,0.4903546,0.50964546
0.0468334,-0.00784263,0.6672869,0.5742629,0.49037832,0.5096217
0.046834525,-0.0078356415,0.6672909,0.57427037,0.49037823,0.50962174
0.04700612,-0.008165911,0.66721535,0.57410216,0.4903696,0.50963044
0.0471313,-0.008363061,0.66716164,0.5739578,0.49038807,0.5096119
0.047098666,-0.008208357,0.6671843,0.5740288,0.49041,0.50958997
0.047152758,-0.008305512,0.66715807,0.57400316,0.4904,0.50960004
0.04704748,-0.00810349,0.66720587,0.5741071,0.49040464,0.50959533
0.047185462,-0.008426048,0.667135,0.57394916,0.490385,0.50961506
0.047046423,-0.0081442,0.66720104,0.57408804,0.4903961,0.50960386
0.047040008,-0.008147165,0.66720235,0.5740937,0.49039093,0.5096091
0.047445517,-0.009049207,0.66700107,0.5736472,0.49034366,0.50965637
0.047326528,-0.00876981,0.6670601,0.5737797,0.4903626,0.50963736
0.047255296,-0.008690923,0.66708446,0.57382727,0.4903526,0.50964737
0.047024183,-0.008224547,0.6671937,0.5740687,0.49036643,0.5096336
0.046974346,-0.008155137,0.66721624,0.5741105,0.49036124,0.5096387
0.046834506,-0.007817291,0.66729146,0.57427585,0.49038324,0.5096168
0.047021564,-0.008195326,0.66720563,0.57407784,0.49037257,0.50962746
0.04709211,-0.008249216,0.6671825,0.57404417,0.49038675,0.5096133
0.046998378,-0.008058317,0.6672274,0.57414144,0.49039325,0.5096068
0.04693284,-0.007919654,0.667258,0.5741738,0.4904131,0.50958693
0.047072865,-0.008140191,0.6671984,0.5740881,0.4904056,0.50959444
0.047044307,-0.008061454,0.6672136,0.5741246,0.49041286,0.50958717
0.047242194,-0.008493602,0.6671148,0.5739084,0.49039227,0.50960773
0.04699161,-0.0079830885,0.6672334,0.57416743,0.49041012,0.50958985
0.046987012,-0.008037157,0.6672291,0.5741502,0.49039468,0.50960535
0.047023408,-0.0081166625,0.6672126,0.57410616,0.49039236,0.5096077
0.046943992,-0.007908732,0.6672559,0.5742103,0.49040717,0.50959283
0.046972748,-0.007964142,0.6672431,0.57418203,0.49040574,0.50959426
0.046995685,-0.008002453,0.66723394,0.57416177,0.4904059,0.5095941
0.046668004,-0.0073078126,0.66739386,0.57451123,0.4904354,0.5095646
0.046773404,-0.007522449,0.6673461,0.5744038,0.4904271,0.50957286
0.04681077,-0.0075192675,0.6673383,0.5743812,0.49044833,0.5095517
