mu1,mu2,sigma1,sigma2,pi1,pi2
0.11751028,-0.04615582,0.51319635,0.35577706,0.4717833,0.52821666
0.11798941,-0.04616871,0.51306283,0.3553505,0.47167632,0.5283237
0.11800224,-0.046024438,0.5130283,0.3552381,0.47168395,0.528316
0.11777631,-0.04611535,0.5130842,0.35550672,0.4717209,0.5282791
0.11730208,-0.045924406,0.5131995,0.3558235,0.4718481,0.5281519
0.11690556,-0.045610424,0.5132755,0.35597944,0.4719679,0.5280321
0.117488615,-0.04559849,0.5131261,0.3554311,0.4718427,0.5281573
0.11841934,-0.045762774,0.51289886,0.35467345,0.47162026,0.52837974
0.11701851,-0.045574185,0.51336515,0.35592765,0.47192815,0.5280719
0.11729043,-0.045911264,0.5132281,0.35581553,0.4718544,0.5281456
0.117289,-0.045907702,0.51321787,0.3558179,0.4718541,0.52814597
0.11566084,-0.045273956,0.51394194,0.35726416,0.47246313,0.52753687
0.11413162,-0.0446874,0.5146055,0.3586256,0.4730415,0.52695847
0.116627805,-0.045316454,0.51346684,0.3561904,0.47206283,0.5279372
0.11732588,-0.04540434,0.51313233,0.35548195,0.47189036,0.52810967
0.11535124,-0.044838574,0.5139912,0.3572919,0.47254476,0.5274552
0.11555361,-0.04508428,0.5137634,0.3570919,0.4724578,0.5275422
0.1174069,-0.045254897,0.51312095,0.3552865,0.4719011,0.52809894
0.117589496,-0.045407858,0.51305383,0.35519186,0.47182944,0.5281706
0.117368065,-0.045582633,0.5131545,0.3555105,0.4718636,0.52813643
0.11594593,-0.045264464,0.5137928,0.35688514,0.47233197,0.527668
0.114955,-0.045059618,0.5142956,0.35794616,0.4727357,0.5272643
0.117157824,-0.045728367,0.51334375,0.3559335,0.4719058,0.5280942
0.11852027,-0.045695048,0.51285446,0.35454673,0.4716067,0.52839327
0.11669933,-0.045296293,0.51342607,0.3560628,0.47202793,0.5279721
0.11816644,-0.045962807,0.51300806,0.355053,0.4716594,0.52834064
0.11794042,-0.045990746,0.5130428,0.35526326,0.47169834,0.52830166
0.11701328,-0.045725476,0.5132688,0.35594094,0.47192946,0.52807057
0.11824661,-0.04584911,0.51298136,0.35489446,0.47165588,0.52834415
0.11767522,-0.045811754,0.5130925,0.3553762,0.4717706,0.5282294
