mu1,mu2,sigma1,sigma2,pi1,pi2
-0.005865371,0.00047528185,0.5895791,0.6229915,0.49387437,0.5061256
-0.00575345,0.00020659901,0.58947724,0.623181,0.4938659,0.5061341
-0.005965559,0.00073030405,0.5896777,0.6228159,0.49388322,0.5061168
-0.0057676528,0.00024629943,0.58949304,0.62315464,0.49386746,0.50613254
-0.0060733818,0.0009962786,0.58977944,0.6226306,0.49389198,0.506108
-0.0060346387,0.0008145552,0.5896989,0.6227329,0.4938813,0.5061188
-0.005848607,0.00046737306,0.58958036,0.6230065,0.49387595,0.5061241
-0.0057571866,0.00030241348,0.58952504,0.6231387,0.49387383,0.50612617
-0.005808415,0.00041553192,0.5895666,0.6230561,0.49387687,0.5061232
-0.006032491,0.0008939225,0.58974016,0.6227015,0.49388853,0.50611144
-0.0058807973,0.00050019287,0.589587,0.6229704,0.4938745,0.50612557
-0.005991185,0.000802109,0.58970624,0.62276834,0.49388608,0.50611395
-0.0058762785,0.0005111117,0.589594,0.6229691,0.493876,0.50612396
-0.0056835804,0.00011369027,0.5894519,0.62326825,0.4938672,0.5061328
-0.005662957,7.832982e-05,0.5894404,0.62329733,0.4938669,0.5061331
-0.0056021996,-8.712523e-05,0.58937514,0.6234083,0.49386057,0.50613946
-0.005595105,-9.847246e-05,0.58937156,0.62341803,0.4938605,0.50613946
-0.0057417043,0.00022321753,0.58948946,0.6231823,0.49386898,0.50613105
-0.0058876574,0.00051374175,0.58959174,0.62296003,0.49387473,0.5061253
-0.005691046,3.8569793e-05,0.5894112,0.6232942,0.49385956,0.5061404
-0.005760964,0.00025562383,0.58949995,0.6231555,0.4938692,0.5061308
-0.005563738,-0.00021277927,0.5893231,0.6234873,0.49385476,0.5061453
-0.0055216886,-0.00026954897,0.58930737,0.62354016,0.49385545,0.5061446
-0.0059105195,0.000614034,0.5896357,0.6229025,0.49388045,0.50611955
-0.0058520976,0.0013600122,0.5901458,0.6222716,0.49401233,0.5059877
-0.006114967,0.0010375213,0.5898006,0.622535,0.49389052,0.5061095
-0.0059213527,0.0007308554,0.58970314,0.6228044,0.49388975,0.5061103
-0.0060140435,0.0009658169,0.5897915,0.62265146,0.4938977,0.50610226
-0.0055472385,-0.00013763271,0.5893732,0.6234432,0.49386388,0.5061362
-0.005399987,-0.00038959272,0.58929026,0.6236534,0.49386162,0.5061384
-0.0055504926,-9.3529e-05,0.5893922,0.623432,0.49386722,0.50613284
-0.0054331087,-0.00043288805,0.58925515,0.62365776,0.4938532,0.5061468
-0.005464174,-0.00036888383,0.5892767,0.6236148,0.49385458,0.5061454
-0.005785726,0.0002948586,0.5895121,0.62312186,0.49386927,0.5061307
-0.0059584584,0.0005824212,0.58960444,0.6228821,0.49387115,0.50612885
