mu1,mu2,sigma1,sigma2,pi1,pi2
0.12267441,0.00371309,0.5105659,0.4281541,0.4080809,0.5919191
0.12312255,0.003896419,0.51055634,0.42799598,0.4079078,0.5920922
0.12333984,0.0038876273,0.5105437,0.42791772,0.40786728,0.59213275
0.12282968,0.0037372,0.5105625,0.42809838,0.40803814,0.5919619
0.12242014,0.0035252012,0.51059014,0.428236,0.4082134,0.5917866
0.122365825,0.0033722408,0.51059866,0.42824835,0.4082903,0.5917097
0.12326128,0.0036692284,0.5105583,0.42793593,0.40797713,0.5920229
0.12448711,0.0041276775,0.51049024,0.4275134,0.40752742,0.59247255
0.12304977,0.0035832413,0.51053315,0.42801797,0.408062,0.591938
0.122766025,0.0036113448,0.5105642,0.42811674,0.408106,0.59189403
0.12262652,0.003582891,0.5105762,0.4281649,0.40814644,0.59185356
0.121223114,0.0030025803,0.5106385,0.42864776,0.40868703,0.591313
0.1197081,0.0024168976,0.51072156,0.4291658,0.40925112,0.59074885
0.12192889,0.0032842122,0.51065356,0.4283907,0.40841395,0.5915861
0.12290653,0.0034990571,0.5105833,0.42805284,0.40812263,0.59187734
0.12127506,0.0028289445,0.5106357,0.42862037,0.40875158,0.59124845
0.121057905,0.0027847402,0.51066816,0.42869306,0.40881303,0.59118694
0.12349691,0.0036265366,0.5105666,0.42784202,0.4079447,0.59205526
0.12383626,0.003717009,0.51051426,0.4277333,0.40784007,0.5921599
0.123483755,0.0036619343,0.51052237,0.4278609,0.40793744,0.5920626
0.122022055,0.0031777136,0.510587,0.42836973,0.40844837,0.5915516
0.12064331,0.002793517,0.5106649,0.42884728,0.40889686,0.59110314
0.122300304,0.0035391413,0.5106199,0.42827123,0.40822884,0.5917712
0.12438547,0.004115816,0.51051086,0.42754197,0.40755114,0.5924489
0.12284393,0.0034092702,0.51054484,0.42808172,0.40817922,0.59182084
0.12381207,0.003998164,0.51052105,0.4277504,0.40772218,0.5922779
0.12350609,0.0038750954,0.51052415,0.42786124,0.40784007,0.59216
0.12267,0.0034796707,0.51056504,0.42814672,0.4081833,0.5918167
0.124190696,0.00408845,0.5105076,0.42761672,0.40760472,0.59239525
0.123573415,0.0038074218,0.5105131,0.4278356,0.40785646,0.5921436
0.122537024,0.0035506599,0.51056445,0.42819846,0.40818045,0.5918196
0.12224672,0.003567595,0.5105947,0.42830038,0.4082309,0.59176916
0.12247724,0.0035671555,0.51059437,0.42821443,0.4081825,0.5918175
0.121360995,0.0029714517,0.51063883,0.4285949,0.4086714,0.5913286
0.120853834,0.0028554983,0.51067376,0.42877045,0.40882468,0.5911753
0.11970403,0.0023245178,0.51073205,0.42916209,0.40929106,0.590709
0.11909377,0.002066683,0.51077497,0.42936847,0.40952688,0.5904731
0.11971512,0.0022662692,0.5107622,0.42915,0.40931082,0.5906892
0.120056964,0.0022035576,0.51074225,0.42902565,0.40926835,0.5907317
0.122233875,0.0030014925,0.5106419,0.42827132,0.40847412,0.5915259
0.12065651,0.00234342,0.51067126,0.42882326,0.409089,0.59091103
0.12124132,0.0027067326,0.51066864,0.42862254,0.40880832,0.59119165
0.12326702,0.0034362786,0.5105736,0.42792007,0.4080752,0.5919248
0.12326,0.003433343,0.5105417,0.4279308,0.40808168,0.5919183
0.122668795,0.0033323206,0.51056397,0.42814127,0.40824762,0.5917524
0.12255638,0.003437493,0.5105768,0.42818436,0.4082242,0.59177583
0.122913666,0.003654424,0.5105655,0.42806274,0.408056,0.59194404
0.12184317,0.0032287873,0.51060796,0.4284336,0.40846157,0.5915384
0.12316675,0.003784556,0.5105675,0.4279717,0.40794572,0.5920543
0.12240938,0.0033262782,0.5105834,0.42823258,0.40830266,0.59169734
0.12246779,0.0034893192,0.51058865,0.42821628,0.40821895,0.591781
0.12138156,0.0030449517,0.51063675,0.42859137,0.40863547,0.5913645
0.11982394,0.002365116,0.51071745,0.42912254,0.40924978,0.5907502
0.118944384,0.002022136,0.5107761,0.42942134,0.40957755,0.59042245
0.12017927,0.0024709292,0.5107427,0.42898977,0.40912616,0.59087384
0.12173415,0.002938535,0.51066196,0.42844906,0.4086044,0.5913956
0.122171275,0.0030074678,0.5106196,0.42829975,0.4084872,0.5915128
0.12368486,0.0036583506,0.51054406,0.4277807,0.40789413,0.59210587
0.1228979,0.003282901,0.51055497,0.42805785,0.40822205,0.591778
0.12281684,0.0033910982,0.51056415,0.42808998,0.40819108,0.5918089
0.124719836,0.004169155,0.51048094,0.4274299,0.40746135,0.59253865
0.124561526,0.0041381456,0.5104603,0.42749438,0.40751073,0.59248924
0.12442867,0.0042738654,0.51046705,0.4275476,0.40747908,0.59252095
0.12416843,0.0043073334,0.51048267,0.427643,0.4075177,0.59248227
0.12499038,0.0046325363,0.5104526,0.42735517,0.40720657,0.59279346
0.12471571,0.0044557936,0.5104549,0.42745146,0.40734112,0.59265894
0.12425087,0.0043156706,0.5104778,0.4276137,0.40749726,0.5925027
0.12681785,0.0052632354,0.51036644,0.4267146,0.40655693,0.59344304
0.12733993,0.0054321773,0.51030886,0.42654607,0.40638098,0.59361905
0.12503147,0.0046503134,0.51040345,0.4273564,0.4071963,0.59280366
0.12630203,0.005209122,0.5103756,0.42690557,0.40668848,0.5933115
0.12711236,0.0054786988,0.5103226,0.42662853,0.4064071,0.59359294
0.12661928,0.0053302236,0.5103351,0.42680615,0.4065743,0.59342575
0.12584287,0.0051329397,0.51037675,0.42707852,0.40681884,0.5931812
0.12461453,0.004670065,0.5104432,0.42750156,0.40727088,0.5927291
0.123454414,0.004258614,0.5105117,0.42789978,0.407686,0.592314
0.12110501,0.0033484288,0.51062995,0.42870733,0.40856263,0.5914374
0.12158344,0.0033882149,0.51064944,0.42852476,0.40844208,0.5915579
0.12152425,0.0031526126,0.51064694,0.42853817,0.4085572,0.5914428
0.12153671,0.003167022,0.51064724,0.4285347,0.40854838,0.59145164
0.12184059,0.0031327493,0.5106383,0.4284234,0.40850037,0.5914997
0.12184685,0.0030050017,0.51063174,0.42841855,0.40855542,0.5914446
0.11971048,0.0021386258,0.51071405,0.42915583,0.40937242,0.59062755
0.12097264,0.0027019195,0.5106939,0.42871603,0.40886417,0.59113586
0.12103715,0.0026342906,0.5106737,0.4286939,0.40888223,0.5911178
0.12128035,0.0027542897,0.51066166,0.4286106,0.40878013,0.5912199
0.12292773,0.0034831725,0.5105874,0.42804447,0.40812474,0.59187526
0.1221553,0.003101129,0.5105984,0.42831504,0.40845236,0.59154767
0.12274519,0.0034109391,0.5105817,0.42811194,0.40819538,0.5918046
0.12308604,0.0035474263,0.51055837,0.42799678,0.40806702,0.591933
0.121310554,0.0028601699,0.510626,0.4286123,0.40873185,0.5912682
0.121728145,0.003115479,0.5106341,0.42846522,0.40853202,0.59146804
0.12344641,0.003841173,0.5105556,0.4278727,0.40786353,0.5921365
0.12462681,0.004184779,0.5104831,0.42746398,0.40747383,0.5925262
0.12437264,0.0041103773,0.51047516,0.42755985,0.4075609,0.5924391
0.12422282,0.004146587,0.51048356,0.42761576,0.40757588,0.59242415
0.124013476,0.004056152,0.51049477,0.42768776,0.40765804,0.59234196
0.12433874,0.0042623915,0.51048154,0.42757756,0.4075014,0.5924986
0.12367887,0.0039986484,0.5105071,0.4278069,0.40775207,0.59224796
0.12279793,0.0036916994,0.5105537,0.42811063,0.4080656,0.59193444
0.123806186,0.004197579,0.51052326,0.4277616,0.4076368,0.59236324
0.123296656,0.003926877,0.51053625,0.4279388,0.40786037,0.5921396
0.12352625,0.003965158,0.51053405,0.42785472,0.40779552,0.59220445
0.12274686,0.0035731904,0.5105638,0.42812276,0.4081267,0.5918733
0.12250381,0.0035092644,0.5105835,0.4282057,0.40820342,0.5917966
0.122000016,0.0032961033,0.51060927,0.4283785,0.40839925,0.5916008
0.12299042,0.003665153,0.5105748,0.42803204,0.40803403,0.591966
0.12316432,0.0036413409,0.51055396,0.42797187,0.40801015,0.5919898
0.12404042,0.0040055923,0.5105113,0.42767,0.40767217,0.59232783
0.12331841,0.0037547536,0.5105296,0.42792606,0.40793136,0.5920686
0.123556174,0.0038679428,0.5105293,0.42784157,0.4078321,0.5921679
0.12289468,0.0036276393,0.5105532,0.42807305,0.40807316,0.5919268
0.121866174,0.0032455884,0.51060635,0.42842674,0.40844968,0.59155035
0.12159101,0.0031883605,0.5106334,0.42851987,0.4085294,0.59147066
0.12242744,0.0034861006,0.5106049,0.4282269,0.40822697,0.59177303
0.1224188,0.0034351163,0.5105951,0.42823094,0.40825212,0.5917479
0.12205335,0.003239531,0.5106116,0.42835537,0.40841225,0.5915878
