mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.0007563215,0.00046159886,-0.0016507282,0.67468876,0.5575723,0.54580945,0.27639696,0.3907329,0.3328702
-0.00072245114,0.0004980471,-0.0012777223,0.6744124,0.5575302,0.545668,0.27667868,0.3904202,0.33290112
-0.0006927606,0.00028254837,-0.0021800473,0.67500854,0.5573357,0.5457687,0.2760663,0.39111778,0.3328159
-0.0006577503,0.00030713342,-0.0017407386,0.67468333,0.5572938,0.5456215,0.27640304,0.39074016,0.33285683
-0.0005898159,0.00018765219,-0.001958564,0.6747831,0.5570432,0.54547596,0.27628857,0.3908809,0.33283055
-0.0006343033,0.0004605353,-0.0009490325,0.67412484,0.557286,0.5453729,0.27695987,0.3901166,0.33292353
-0.00075664185,0.0009975638,0.00069636863,0.6730881,0.5578118,0.5452904,0.27801186,0.38891622,0.33307195
-0.0009185653,0.0012116302,0.00048376631,0.6733453,0.5582212,0.5456444,0.27773726,0.3892062,0.33305657
-0.000809839,0.00026539527,-0.0033711344,0.6758967,0.5574133,0.5461185,0.27512413,0.392174,0.3327019
-0.00073176436,0.00047542714,-0.0013431459,0.6744556,0.5574977,0.54566836,0.27663022,0.3904705,0.33289933
-0.00072864257,0.00046978705,-0.0015034302,0.6745697,0.55750376,0.5457046,0.27651224,0.3906082,0.3328795
-0.0007393714,0.00062679686,-0.00082152325,0.67411226,0.5576186,0.54559803,0.27697977,0.3900789,0.33294126
-0.00091344677,0.0012789555,0.001121834,0.6729124,0.5583772,0.54562527,0.27821478,0.38866392,0.33312136
-0.0010003354,0.0013043229,0.00046677154,0.6734183,0.55850714,0.54588515,0.2776796,0.38925844,0.33306196
-0.0010624435,0.0014642067,0.0008789153,0.67317766,0.5587179,0.5459343,0.27792707,0.3889694,0.3331035
-0.0011242013,0.0017051268,0.0015918986,0.67273384,0.5589666,0.545916,0.2783784,0.38845336,0.3331682
-0.0011297222,0.0016580913,0.0012199805,0.672988,0.558893,0.54594815,0.27810308,0.38876438,0.3331325
-0.001083402,0.001255339,-0.00039763737,0.67405593,0.5585468,0.546144,0.27700624,0.3900065,0.33298722
-0.0010686424,0.00093304925,-0.001581557,0.6748578,0.5584454,0.54644597,0.276219,0.3908924,0.33288854
-0.0008966755,0.00072163343,-0.0012751146,0.6745297,0.55802554,0.54605925,0.27656677,0.39051998,0.33291325
-0.0009026509,0.00095283054,-0.00021200615,0.6738145,0.55821824,0.5459075,0.2773066,0.38968506,0.33300832
-0.0009811278,0.0013594609,0.0010990502,0.672978,0.55860186,0.5458133,0.27815804,0.38871777,0.33312425
-0.0009443965,0.0010804106,-0.000223562,0.67384946,0.5582617,0.54589516,0.27723774,0.38976407,0.33299825
-0.00086054765,0.0006372407,-0.0017310901,0.67481494,0.557812,0.54598475,0.27624807,0.39089122,0.33286068
-0.0007057395,0.00022792444,-0.002531387,0.6752509,0.55727327,0.5458145,0.27580807,0.39140734,0.33278456
-0.0006228965,0.00026887842,-0.0017037614,0.67462873,0.5571522,0.5454952,0.27644804,0.39069387,0.33285812
-0.00076876394,0.0010359157,0.00093939167,0.67293286,0.5579155,0.5453215,0.27818683,0.38871482,0.33309838
